Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Lao People's Democratic Republic's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Lao People's Democratic Republic (%)	
"Italy"	9032	1563	0.2	-8	-39	11	2.5	2	2891	0.06		
"Philippines"	8335	6006	0.2	121	-11	34	0.6	2	4354	0.09		
"Denmark"	7175	1116	0.1	-10	2	35	0.6	5	2182	0.08		
"Canada"	6281	-13580	0.1	-14	-3	14	2.2	1	5042	0.26		
"Malaysia"	6001	-13417	0.1	-3	-41	25	1.1	3	5172	0.09		
"France"	5929	-24645	0.1	-10	-6	6	3.2	1	3195	0.06		
"Taipei, Chinese"	4117	-15291	0.1	5	23	17	1.7	8	5007	0.1		
"United Arab Emirates"	3780	-124	0.1	-53	605	29	0.9	-2	5715	0.08		
"Spain"	3445	-6049	0.1	17	32	15	1.9	3	3890	0.05		
"Turkey"	2730	2119	0	-6	12	22	1.2	3	4285	0.05		
"Myanmar"	1730	-6518	0	102	-87	79	0.10	-1	2536	0.25		
"Sri Lanka"	1564	1363	0			85	0.08	-3	4351	0.16		
"Poland"	1447	-3047	0	-10	-87	18	1.5	8	3121	0.08		
"Russian Federation"	1276	-25988	0	185	-50	21	1.3	5	4187	0.09		
"Saudi Arabia"	1222	1222	0	335	4630	32	0.7	3	5816	0.07		
"Austria"	1126	-10343	0	5	1814	27	1	3	1514	0.18		
"Panama"	1024	1024	0	62	34	60	0.2	1	8657	0.12		
"Ethiopia"	933	873	0			90	0.07	1	6305	0.11		
"Area Nes"	773	773	0	276	467							
"Norway"	585	307	0	116	969	39	0.5	3	3470	0.06		
"Botswana"	528	528	0			124	0.03	2	2968	0.52		
"Czech Republic"	507	222	0		168	28	1	4	2987	0.1		
"Ireland"	501	497	0	12	750	36	0.5	4	3265	0.1		
"Mexico"	405	-3347	0	61	74	13	2.3	2	7039	0.24		
"Uruguay"	379	374	0	-12	8	95	0.06	0	9836	0.11		
"Iceland"	368	-421	0	-28	290	112	0.04	-1	4251	0.05		
"Angola"	348	348	0			100	0.05	-11	7692	0.06		
"Yemen"	326	326	0	13	19	107	0.04	11	5706	0.11		
"Mali"	314	187	0		1451	141	0.02	9	5008	0.1		
"Sudan"	294	232	0	-10	-26	122	0.03	-2		0.13		
"New Zealand"	287	-795	0	71	95	56	0.2	3	11141	0.09		
"Belize"	284	284	0	-2		179	0	1	5006	0.18		
"Kuwait"	276	276	0	69	7741	76	0.1	-3	5837	0.07		
"Maldives"	264	264	0	69	-25	151	0.01	-3	4478	0.08		
"Guinea"	260	260	0			135	0.02	7	9140	0.19		
"Nigeria"	255	255	0		429	53	0.2	17	7792	0.1		
"Oman"	244	244	0	22		83	0.08	-6	5977	0.08		
"Ghana"	224	224	0			82	0.08	8	8888	0.18		
"Pakistan"	162	-6794	0	-15	10036	47	0.3	2	4850	0.11		
"Aruba"	160	160	0		-58	175	0	-3	4917	0.3		
"Jordan"	135	135	0			84	0.08	0	5167	0.07		
"Israel"	111	1	0	107	848	42	0.4	4	5483	0.07		
"Brazil"	110	-516	0		402	26	1	6	10879	0.09		
"Mongolia"	95	95	0	199	65	125	0.03	8	3267	0.22		
"Qatar"	76	76	0	138		70	0.1	0	5745	0.06		
"Tunisia"	76	65	0			78	0.10	-1	3411	0.06		
"Bolivia, Plurinational State of"	68	68	0			106	0.04	-3	7978	0.11		
"Antigua and Barbuda"	63	63	0			174	0	1	6334	0.27		
"Chile"	62	-4189	0	68	67	43	0.4	6	11582	0.13		
"Brunei Darussalam"	40	40	0	42		109	0.04	26	5185	0.11		
"Colombia"	40	33	0			51	0.3	4	8915	0.13		
"Argentina"	40	-93	0	-14	14	50	0.3	-5	10631	0.1		
"Eswatini"	39	-2050	0	-1	12	160	0	1	1597	0.74		
"Cameroon"	37	-295	0			116	0.03	8	7279	0.14		
"Greece"	33	-130	0	-10	-59	45	0.3	4	2847	0.05		
"Bahrain"	28	-53	0			101	0.05	1	6359	0.08		
"Finland"	24	-1839	0		-92	44	0.4	3	2842	0.07		
"Peru"	16	16	0	78	-18	54	0.2	3	10420	0.13		
"Costa Rica"	13	13	0	-26		86	0.08	3	6987	0.22		
"Korea, Democratic People's Republic of"	10	-79	0	-50	-37	200	0	-49	1470	0.87		
"Luxembourg"	9	-46	0	44	125	71	0.1	3	1488	0.14		
"South Africa"	8	-371	0	6	-70	41	0.4	-1	9230	0.07		
"Namibia"	4	-12	0		-99	126	0.03	-1	3757	0.37		
"Fiji"	3	3	0		-50	157	0.01	-7	7384	0.12		
"Nepal"	3	-8	0			96	0.06	8	1856	0.56		
"Lebanon"	2	2	0			97	0.06	-12	3592	0.06		
"United States Minor Outlying Islands"	1	-3	0			177	0	0		0.21		
"Latvia"	1	-217	0			77	0.1	7	1575	0.08		
"Hungary"	1	-9306	0			33	0.6	6	2180	0.09		
"Georgia"		-1				113	0.04	-2	2513	0.09		
"Malta"		-1				120	0.03	1	3249	0.08		
"Trinidad and Tobago"		-1				128	0.03	-1	6663	0.26		
"Cuba"		-1				145	0.02	-13	7148	0.09		
"Cabo Verde"		-1				181	0	4	5196	0.21		
"Falkland Islands (Malvinas)"		-1				207	0	2	12325	0.46		
"Congo, Democratic Republic of the"		-2				111	0.04	13	6479	0.14		
"Gabon"		-2				158	0.01	-2	7114	0.11		
"Cocos (Keeling) Islands"		-3				225	0	8		0.74		
"Morocco"		-6				52	0.3	4	4316	0.07		
"Lithuania"		-9				59	0.2	7	1630	0.07		
"Grenada"		-9				191	0	-1	4157	0.2		
"Andorra"		-10				166	0	2	610	0.52		
"Central African Republic"		-10				199	0	7	6606	0.08		
"Sierra Leone"		-16				170	0	10	8820	0.13		
"Croatia"		-18				63	0.2	6	1362	0.07		
"Belarus"		-21				61	0.2	2	2268	0.23		
"Uganda"		-23				132	0.02	11	5788	0.09		
"Estonia"		-26				73	0.1	6	2314	0.06		
"Bosnia and Herzegovina"		-27				94	0.06	3	2228	0.07		
"Dominica"		-52				185	0	8	4908	0.65		
"Tokelau"		-52				226	0	-33	11566	0.22		
"Niger"		-55				162	0	13	5715	0.09		
"Serbia"		-64				65	0.2	9	2497	0.06		
"Kenya"		-74				80	0.09	2	6680	0.08		
"Turks and Caicos Islands"		-78				193	0	-3	3491	0.74		
"Western Sahara"		-87				221	0	-16	12469	0.9		
"Afghanistan"		-123				147	0.02	-8	2990	0.12		
"Romania"		-129				37	0.5	6	1891	0.07		
"Zimbabwe"		-132				134	0.02	7	3754	0.39		
"Haiti"		-179				140	0.02	0	6340	0.18		
"Slovenia"		-199				55	0.2	10	2404	0.07		
"Gambia"		-245				167	0	7	8260	0.14		
"Curaçao"		-543				163	0	-12		0.24		
"Bulgaria"		-843				57	0.2	6	2237	0.05		
"Nicaragua"		-1137				104	0.05	4	5888	0.1		
"Ukraine"		-1414				48	0.3	7	3255	0.06		
"Slovakia"		-2473				38	0.5	4	2664	0.07		
"Egypt"						46	0.3	-1	5219	0.05		
"Kazakhstan"						58	0.2	6	3017	0.25		
"Iraq"						62	0.2	3	4107	0.18		
"Algeria"						64	0.2	-8	4584	0.07		
"Dominican Republic"						67	0.1	5	6446	0.22		
"Guatemala"						68	0.1	7	5828	0.15		
"Ecuador"						69	0.1	3	9174	0.12		
"Iran, Islamic Republic of"						72	0.1	-18	5612	0.13		
"Uzbekistan"						74	0.1	16	3412	0.12		
"Ship stores and bunkers"						75	0.1	-11		0.16		
"Macao, China"						81	0.09	15		0.17		
"Liberia"						87	0.07	17	11608	0.19		
"El Salvador"						88	0.07	9	4914	0.15		
"Libya, State of"						89	0.07	12	3475	0.08		
"Marshall Islands"						91	0.06	-1	7455	0.18		
"Paraguay"						92	0.06	0	7311	0.15		
"Côte d'Ivoire"						93	0.06	9	6793	0.08		
"Azerbaijan"						98	0.05	5	3712	0.09		
"Honduras"						99	0.05	4	6104	0.16		
"Tanzania, United Republic of"						102	0.05	7	6633	0.1		
"Macedonia, North"						103	0.05	8	1348	0.09		
"Cyprus"						105	0.05	-1	3118	0.09		
"Mozambique"						108	0.04	8	6196	0.1		
"Senegal"						110	0.04	4	6632	0.05		
"Gibraltar"						114	0.03	-5	2572	0.09		
"Bahamas"						115	0.03	-8	6248	0.19		
"Venezuela, Bolivarian Republic of"						117	0.03	-11	8121	0.16		
"Moldova, Republic of"						118	0.03	8	2317	0.08		
"Zambia"						119	0.03	-9	5447	0.14		
"Albania"						121	0.03	6	1886	0.13		
"Cayman Islands"						123	0.03	5	7522	0.35		
"Kyrgyzstan"						127	0.03	1	2892	0.2		
"Djibouti"						130	0.02	5	6387	0.22		
"Armenia"						131	0.02	6	3323	0.15		
"Mauritius"						133	0.02	-2	7320	0.08		
"Burkina Faso"						136	0.02	5	6109	0.05		
"Jamaica"						137	0.02	-2	6759	0.22		
"Madagascar"						138	0.02	2	7339	0.08		
"Syrian Arab Republic"						139	0.02	-3	2496	0.27		
"Tajikistan"						142	0.02	9	2803	0.17		
"Papua New Guinea"						143	0.02	-1	4973	0.17		
"Guyana"						144	0.02	13	11175	0.21		
"Mauritania"						146	0.02	1	5817	0.07		
"Turkmenistan"						148	0.02	4	3495	0.15		
"Benin"						149	0.01	-2	6481	0.07		
"Somalia"						150	0.01	9	5305	0.16		
"Montenegro"						152	0.01	0	2382	0.08		
"Togo"						153	0.01	10	7318	0.08		
"Congo"						154	0.01	-18	6851	0.07		
"New Caledonia"						155	0.01	-1	11471	0.2		
"British Virgin Islands"						156	0.01	8	7242	0.27		
"Rwanda"						159	0.01	17	5437	0.08		
"Barbados"						161	0	0	4992	0.21		
"Lesotho"						164	0	-2	1590	0.78		
"French Polynesia"						165	0	1	13300	0.24		
"Malawi"						168	0	0	5169	0.15		
"Bermuda"						169	0	-3	8006	0.28		
"Saint Lucia"						171	0	-10	5321	0.23		
"Faroe Islands"						172	0	7	1404	0.27		
"Suriname"						173	0	1	9050	0.14		
"Palestine, State of"						176	0	8	3026	0.1		
"Bhutan"						178	0	15	1733	0.63		
"Greenland"						180	0	6	3482	0.44		
"Equatorial Guinea"						182	0	2	6008	0.11		
"Timor-Leste"						183	0	12	3988	0.22		
"Chad"						184	0	13	6931	0.16		
"Free Zones"						186	0	-34		0.92		
"Seychelles"						187	0	-7	6627	0.06		
"Burundi"						188	0	13	4755	0.14		
"Bonaire, Sint Eustatius and Saba"						189	0	20		0.19		
"Solomon Islands"						190	0	0	6301	0.17		
"Comoros"						192	0	18	5731	0.22		
"South Sudan"						194	0	12		0.25		
"Guinea-Bissau"						195	0	2	5802	0.16		
"Saint Vincent and the Grenadines"						196	0	3	6798	0.14		
"Samoa"						197	0	-1	6816	0.13		
"Vanuatu"						198	0	-2	6248	0.13		
"Saint Kitts and Nevis"						201	0	-12	5440	0.41		
"Tonga"						202	0	4	5771	0.16		
"Eritrea"						203	0	-8	6303	0.14		
"Tuvalu"						204	0	17	6386	0.21		
"Kiribati"						205	0	10	5936	0.13		
"Cook Islands"						206	0	-4	9417	0.22		
"Micronesia, Federated States of"						208	0	-8	7109	0.19		
"Palau"						209	0	1	6232	0.16		
"Sao Tome and Principe"						210	0	-3	6155	0.31		
"Nauru"						211	0	18	6014	0.27		
"Anguilla"						212	0	-5	4397	0.58		
"Sint Maarten (Dutch part)"						213	0	-7		0.43		
"French Southern and Antarctic Territories"						214	0	14		0.12		
"Saint Pierre and Miquelon"						215	0	10	3489	0.45		
"Northern Mariana Islands"						216	0	-19	3811	0.2		
"Saint Helena"						217	0	6	7699	0.31		
"Wallis and Futuna Islands"						218	0	7	10103	0.24		
"British Indian Ocean Territory"						219	0	-9		0.67		
"Christmas Island"						220	0	3		0.69		
"Norfolk Island"						222	0	1	5454	0.24		
"Niue"						223	0	7	11410	0.48		
"Montserrat"						224	0	-7		0.49		
"Pitcairn"						227	0	-5		0.23		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
