Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Uzbekistan's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Uzbekistan (%)	
"Netherlands"	34852	-176111	0.2	30	82	8	2.8	5	3706	0.07		
"Egypt"	31986	29834	0.2	123	71	46	0.3	-1	5219	0.05		
"Korea, Republic of"	29056	-1713033	0.2	-13	45	9	2.8	4	5699	0.09		
"Qatar"	28923	28916	0.2	220	191	70	0.1	0	5745	0.06		
"Georgia"	27761	-66510	0.2	-8	39	113	0.04	-2	2513	0.09		
"Viet Nam"	20797	-96864	0.1	-8	63	19	1.5	8	3535	0.19		
"United States of America"	20172	-262081	0.1	27	145	1	13.4	3	7938	0.08		
"India"	18917	-439663	0.1	4	36	10	2.6	2	5793	0.05		
"Switzerland"	17373	-126275	0.1	46	200	20	1.5	4	3384	0.07		
"United Arab Emirates"	16788	-106406	0.1	-19	73	29	0.9	-2	5715	0.08		
"Moldova, Republic of"	15111	8483	0.1	23	86	118	0.03	8	2317	0.08		
"Bulgaria"	13568	-13142	0.1	20	649	57	0.2	6	2237	0.05		
"Greece"	12902	-3046	0.1	128	6812	45	0.3	4	2847	0.05		
"Iraq"	11733	9788	0.1	1	-36	62	0.2	3	4107	0.18		
"United Kingdom"	11220	-37240	0.1	-29	-34	7	3.2	1	3930	0.06		
"Portugal"	10682	5430	0.1	42	183	40	0.4	2	2788	0.14		
"Bangladesh"	10630	-7728	0.1	-31	-52	49	0.3	6	4172	0.15		
"Belgium"	10570	-47731	0.1	29	28	12	2.4	3	2709	0.08		
"Armenia"	10180	7370	0.1	61	143	131	0.02	6	3323	0.15		
"Malaysia"	9697	-48308	0.1	30	243	25	1.1	3	5172	0.09		
"Indonesia"	8649	-7806	0.1	-25	-57	30	0.9	2	5872	0.11		
"Estonia"	7776	-33629	0.1	19	102	73	0.1	6	2314	0.06		
"Japan"	7150	-149067	0.1	74	49	4	3.5	1	6256	0.09		
"Thailand"	6818	-28600	0	101	5125	23	1.2	2	4905	0.09		
"Austria"	6336	-88104	0	28	1670	27	1	3	1514	0.18		
"Romania"	5783	-12494	0	51	240	37	0.5	6	1891	0.07		
"Hong Kong, China"	5054	-36769	0	-31	200	5	3.3	3	2841	0.22		
"Czech Republic"	4885	-124107	0	-5	55	28	1	4	2987	0.1		
"Morocco"	4849	3716	0	19	143	52	0.3	4	4316	0.07		
"Myanmar"	4843	4726	0	51	326	79	0.10	-1	2536	0.25		
"Canada"	4402	-6709	0	165	551	14	2.2	1	5042	0.26		
"France"	3999	-252679	0	35	-17	6	3.2	1	3195	0.06		
"Saudi Arabia"	3929	-5167	0	26	502	32	0.7	3	5816	0.07		
"Peru"	3923	3863	0		129	54	0.2	3	10420	0.13		
"Philippines"	3702	409	0	45	150	34	0.6	2	4354	0.09		
"Israel"	3689	-14453	0	1	93	42	0.4	4	5483	0.07		
"South Africa"	3240	-482	0	64	2382	41	0.4	-1	9230	0.07		
"Spain"	3153	-148055	0	29	125	15	1.9	3	3890	0.05		
"Albania"	2642	2587	0		351	121	0.03	6	1886	0.13		
"Mongolia"	2430	2342	0	54	31	125	0.03	8	3267	0.22		
"Brazil"	1874	-346213	0	127	-2	26	1	6	10879	0.09		
"Macedonia, North"	1457	1428	0	97	257	103	0.05	8	1348	0.09		
"Bosnia and Herzegovina"	1441	1340	0		12	94	0.06	3	2228	0.07		
"Mexico"	1405	-17323	0	486	661	13	2.3	2	7039	0.24		
"Taipei, Chinese"	1374	-21899	0	24	36	17	1.7	8	5007	0.1		
"Chile"	1224	771	0	125	387	43	0.4	6	11582	0.13		
"Sudan"	1166	1158	0			122	0.03	-2		0.13		
"Lebanon"	802	-21	0	21	79	97	0.06	-12	3592	0.06		
"Hungary"	799	-112745	0	50	157	33	0.6	6	2180	0.09		
"Tunisia"	781	464	0	-35	479	78	0.10	-1	3411	0.06		
"Kuwait"	690	684	0	204	-37	76	0.1	-3	5837	0.07		
"Venezuela, Bolivarian Republic of"	678	678	0	-43		117	0.03	-11	8121	0.16		
"Serbia"	582	-5587	0	29	-23	65	0.2	9	2497	0.06		
"Dominican Republic"	546	533	0		1533	67	0.1	5	6446	0.22		
"Libya, State of"	380	380	0		133	89	0.07	12	3475	0.08		
"Colombia"	368	318	0	65	506	51	0.3	4	8915	0.13		
"Algeria"	349	-2211	0	-44		64	0.2	-8	4584	0.07		
"Slovenia"	336	-74844	0	-12	185	55	0.2	10	2404	0.07		
"Paraguay"	333	303	0		209	92	0.06	0	7311	0.15		
"Croatia"	256	-384	0	33	32	63	0.2	6	1362	0.07		
"Guatemala"	228	20	0			68	0.1	7	5828	0.15		
"Argentina"	204	-60066	0		222	50	0.3	-5	10631	0.1		
"Kenya"	192	-4471	0	22		80	0.09	2	6680	0.08		
"Suriname"	180	180	0			173	0	1	9050	0.14		
"Luxembourg"	160	-3267	0		-29	71	0.1	3	1488	0.14		
"Jamaica"	116	98	0			137	0.02	-2	6759	0.22		
"Nepal"	110	88	0			96	0.06	8	1856	0.56		
"Yemen"	103	103	0		52	107	0.04	11	5706	0.11		
"Jordan"	98	-730	0	-29		84	0.08	0	5167	0.07		
"Australia"	98	-8041	0	171	283	24	1.1	1	10262	0.1		
"Ireland"	93	-45186	0	108	5055	36	0.5	4	3265	0.1		
"Honduras"	68	-42	0			99	0.05	4	6104	0.16		
"Denmark"	65	-17777	0	-43	721	35	0.6	5	2182	0.08		
"Slovakia"	64	-15104	0	-11	-85	38	0.5	4	2664	0.07		
"Sweden"	47	-32868	0	-53	3	31	0.9	3	2128	0.07		
"British Virgin Islands"	41	41	0			156	0.01	8	7242	0.27		
"Bolivia, Plurinational State of"	40	39	0			106	0.04	-3	7978	0.11		
"Malta"	32	-399	0	0		120	0.03	1	3249	0.08		
"Central African Republic"	26	26	0			199	0	7	6606	0.08		
"Palestine, State of"	18	18	0	86		176	0	8	3026	0.1		
"United States Minor Outlying Islands"	16	16	0			177	0	0		0.21		
"Maldives"	14	14	0	30	222	151	0.01	-3	4478	0.08		
"Cyprus"	13	-482	0	92	-75	105	0.05	-1	3118	0.09		
"Oman"	12	3	0	-38	-77	83	0.08	-6	5977	0.08		
"Cambodia"	9	-111	0			66	0.1	16	2651	0.18		
"Congo"	5	5	0			154	0.01	-18	6851	0.07		
"Côte d'Ivoire"	3	-639	0			93	0.06	9	6793	0.08		
"Finland"	2	-56689	0	-62	-86	44	0.4	3	2842	0.07		
"Panama"		-1				60	0.2	1	8657	0.12		
"Benin"		-1				149	0.01	-2	6481	0.07		
"Rwanda"		-1				159	0.01	17	5437	0.08		
"Seychelles"		-1				187	0	-7	6627	0.06		
"Iceland"		-2				112	0.04	-1	4251	0.05		
"Senegal"		-3				110	0.04	4	6632	0.05		
"Eswatini"		-5				160	0	1	1597	0.74		
"Barbados"		-5				161	0	0	4992	0.21		
"Nicaragua"		-6				104	0.05	4	5888	0.1		
"British Indian Ocean Territory"		-6				219	0	-9		0.67		
"Nigeria"		-8				53	0.2	17	7792	0.1		
"Greenland"		-8				180	0	6	3482	0.44		
"Madagascar"		-9				138	0.02	2	7339	0.08		
"El Salvador"		-11				88	0.07	9	4914	0.15		
"Antigua and Barbuda"		-13				174	0	1	6334	0.27		
"Ethiopia"		-14				90	0.07	1	6305	0.11		
"Cuba"		-18				145	0.02	-13	7148	0.09		
"Mauritius"		-24				133	0.02	-2	7320	0.08		
"Cameroon"		-28				116	0.03	8	7279	0.14		
"Syrian Arab Republic"		-28				139	0.02	-3	2496	0.27		
"Malawi"		-33				168	0	0	5169	0.15		
"Gabon"		-37				158	0.01	-2	7114	0.11		
"Faroe Islands"		-120				172	0	7	1404	0.27		
"Costa Rica"		-140				86	0.08	3	6987	0.22		
"Korea, Democratic People's Republic of"		-230				200	0	-49	1470	0.87		
"Uganda"		-373				132	0.02	11	5788	0.09		
"Zimbabwe"		-884				134	0.02	7	3754	0.39		
"Mozambique"		-1903				108	0.04	8	6196	0.1		
"New Zealand"		-2025				56	0.2	3	11141	0.09		
"Ghana"		-2104				82	0.08	8	8888	0.18		
"Sri Lanka"		-2190				85	0.08	-3	4351	0.16		
"Norway"		-4665				39	0.5	3	3470	0.06		
"Ecuador"		-30826				69	0.1	3	9174	0.12		
"Ship stores and bunkers"						75	0.1	-11		0.16		
"Macao, China"						81	0.09	15		0.17		
"Liberia"						87	0.07	17	11608	0.19		
"Marshall Islands"						91	0.06	-1	7455	0.18		
"Uruguay"						95	0.06	0	9836	0.11		
"Angola"						100	0.05	-11	7692	0.06		
"Bahrain"						101	0.05	1	6359	0.08		
"Tanzania, United Republic of"						102	0.05	7	6633	0.1		
"Brunei Darussalam"						109	0.04	26	5185	0.11		
"Congo, Democratic Republic of the"						111	0.04	13	6479	0.14		
"Gibraltar"						114	0.03	-5	2572	0.09		
"Bahamas"						115	0.03	-8	6248	0.19		
"Zambia"						119	0.03	-9	5447	0.14		
"Cayman Islands"						123	0.03	5	7522	0.35		
"Botswana"						124	0.03	2	2968	0.52		
"Namibia"						126	0.03	-1	3757	0.37		
"Trinidad and Tobago"						128	0.03	-1	6663	0.26		
"Lao People's Democratic Republic"						129	0.02	-1	2572	0.28		
"Djibouti"						130	0.02	5	6387	0.22		
"Guinea"						135	0.02	7	9140	0.19		
"Burkina Faso"						136	0.02	5	6109	0.05		
"Haiti"						140	0.02	0	6340	0.18		
"Mali"						141	0.02	9	5008	0.1		
"Papua New Guinea"						143	0.02	-1	4973	0.17		
"Guyana"						144	0.02	13	11175	0.21		
"Mauritania"						146	0.02	1	5817	0.07		
"Somalia"						150	0.01	9	5305	0.16		
"Montenegro"						152	0.01	0	2382	0.08		
"Togo"						153	0.01	10	7318	0.08		
"New Caledonia"						155	0.01	-1	11471	0.2		
"Fiji"						157	0.01	-7	7384	0.12		
"Niger"						162	0	13	5715	0.09		
"Curaçao"						163	0	-12		0.24		
"Lesotho"						164	0	-2	1590	0.78		
"French Polynesia"						165	0	1	13300	0.24		
"Andorra"						166	0	2	610	0.52		
"Gambia"						167	0	7	8260	0.14		
"Bermuda"						169	0	-3	8006	0.28		
"Sierra Leone"						170	0	10	8820	0.13		
"Saint Lucia"						171	0	-10	5321	0.23		
"Aruba"						175	0	-3	4917	0.3		
"Bhutan"						178	0	15	1733	0.63		
"Belize"						179	0	1	5006	0.18		
"Cabo Verde"						181	0	4	5196	0.21		
"Equatorial Guinea"						182	0	2	6008	0.11		
"Timor-Leste"						183	0	12	3988	0.22		
"Chad"						184	0	13	6931	0.16		
"Dominica"						185	0	8	4908	0.65		
"Free Zones"						186	0	-34		0.92		
"Burundi"						188	0	13	4755	0.14		
"Bonaire, Sint Eustatius and Saba"						189	0	20		0.19		
"Solomon Islands"						190	0	0	6301	0.17		
"Grenada"						191	0	-1	4157	0.2		
"Comoros"						192	0	18	5731	0.22		
"Turks and Caicos Islands"						193	0	-3	3491	0.74		
"South Sudan"						194	0	12		0.25		
"Guinea-Bissau"						195	0	2	5802	0.16		
"Saint Vincent and the Grenadines"						196	0	3	6798	0.14		
"Samoa"						197	0	-1	6816	0.13		
"Vanuatu"						198	0	-2	6248	0.13		
"Saint Kitts and Nevis"						201	0	-12	5440	0.41		
"Tonga"						202	0	4	5771	0.16		
"Eritrea"						203	0	-8	6303	0.14		
"Tuvalu"						204	0	17	6386	0.21		
"Kiribati"						205	0	10	5936	0.13		
"Cook Islands"						206	0	-4	9417	0.22		
"Falkland Islands (Malvinas)"						207	0	2	12325	0.46		
"Micronesia, Federated States of"						208	0	-8	7109	0.19		
"Palau"						209	0	1	6232	0.16		
"Sao Tome and Principe"						210	0	-3	6155	0.31		
"Nauru"						211	0	18	6014	0.27		
"Anguilla"						212	0	-5	4397	0.58		
"Sint Maarten (Dutch part)"						213	0	-7		0.43		
"French Southern and Antarctic Territories"						214	0	14		0.12		
"Saint Pierre and Miquelon"						215	0	10	3489	0.45		
"Northern Mariana Islands"						216	0	-19	3811	0.2		
"Saint Helena"						217	0	6	7699	0.31		
"Wallis and Futuna Islands"						218	0	7	10103	0.24		
"Christmas Island"						220	0	3		0.69		
"Western Sahara"						221	0	-16	12469	0.9		
"Norfolk Island"						222	0	1	5454	0.24		
"Niue"						223	0	7	11410	0.48		
"Montserrat"						224	0	-7		0.49		
"Cocos (Keeling) Islands"						225	0	8		0.74		
"Tokelau"						226	0	-33	11566	0.22		
"Pitcairn"						227	0	-5		0.23		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
