Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Nicaragua's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Nicaragua (%)	
"Barbados"	1	-641	0			161	0	0	4992	0.21		
"Brunei Darussalam"		-1				109	0.04	26	5185	0.11		
"Mali"		-1				141	0.02	9	5008	0.1		
"Afghanistan"		-1				147	0.02	-8	2990	0.12		
"Somalia"		-1				150	0.01	9	5305	0.16		
"Gambia"		-1				167	0	7	8260	0.14		
"Timor-Leste"		-1				183	0	12	3988	0.22		
"Turks and Caicos Islands"		-1				193	0	-3	3491	0.74		
"Cocos (Keeling) Islands"		-1				225	0	8		0.74		
"Palestine, State of"		-2				176	0	8	3026	0.1		
"Cabo Verde"		-2				181	0	4	5196	0.21		
"Chad"		-2				184	0	13	6931	0.16		
"Cameroon"		-3				116	0.03	8	7279	0.14		
"French Southern and Antarctic Territories"		-3				214	0	14		0.12		
"Moldova, Republic of"		-5				118	0.03	8	2317	0.08		
"Georgia"		-7				113	0.04	-2	2513	0.09		
"Fiji"		-7				157	0.01	-7	7384	0.12		
"Mauritius"		-8				133	0.02	-2	7320	0.08		
"Sierra Leone"		-8				170	0	10	8820	0.13		
"Kyrgyzstan"		-9				127	0.03	1	2892	0.2		
"Algeria"		-12				64	0.2	-8	4584	0.07		
"Armenia"		-13				131	0.02	6	3323	0.15		
"Lesotho"		-15				164	0	-2	1590	0.78		
"Lao People's Democratic Republic"		-25				129	0.02	-1	2572	0.28		
"Ethiopia"		-31				90	0.07	1	6305	0.11		
"Tanzania, United Republic of"		-39				102	0.05	7	6633	0.1		
"Korea, Democratic People's Republic of"		-52				200	0	-49	1470	0.87		
"Tokelau"		-54				226	0	-33	11566	0.22		
"Bosnia and Herzegovina"		-68				94	0.06	3	2228	0.07		
"Sudan"		-75				122	0.03	-2		0.13		
"French Polynesia"		-76				165	0	1	13300	0.24		
"Myanmar"		-179				79	0.10	-1	2536	0.25		
"Egypt"		-610				46	0.3	-1	5219	0.05		
"Eswatini"		-1114				160	0	1	1597	0.74		
"Luxembourg"		-1166				71	0.1	3	1488	0.14		
"Gabon"		-1494				158	0.01	-2	7114	0.11		
"Bangladesh"		-4905				49	0.3	6	4172	0.15		
"Estonia"		-5478				73	0.1	6	2314	0.06		
"Kazakhstan"						58	0.2	6	3017	0.25		
"Uzbekistan"						74	0.1	16	3412	0.12		
"Ship stores and bunkers"						75	0.1	-11		0.16		
"Nepal"						96	0.06	8	1856	0.56		
"Azerbaijan"						98	0.05	5	3712	0.09		
"Yemen"						107	0.04	11	5706	0.11		
"Gibraltar"						114	0.03	-5	2572	0.09		
"Botswana"						124	0.03	2	2968	0.52		
"Mongolia"						125	0.03	8	3267	0.22		
"Djibouti"						130	0.02	5	6387	0.22		
"Uganda"						132	0.02	11	5788	0.09		
"Zimbabwe"						134	0.02	7	3754	0.39		
"Guinea"						135	0.02	7	9140	0.19		
"Burkina Faso"						136	0.02	5	6109	0.05		
"Tajikistan"						142	0.02	9	2803	0.17		
"Papua New Guinea"						143	0.02	-1	4973	0.17		
"Turkmenistan"						148	0.02	4	3495	0.15		
"Maldives"						151	0.01	-3	4478	0.08		
"New Caledonia"						155	0.01	-1	11471	0.2		
"British Virgin Islands"						156	0.01	8	7242	0.27		
"Rwanda"						159	0.01	17	5437	0.08		
"Niger"						162	0	13	5715	0.09		
"Malawi"						168	0	0	5169	0.15		
"Saint Lucia"						171	0	-10	5321	0.23		
"Faroe Islands"						172	0	7	1404	0.27		
"Bhutan"						178	0	15	1733	0.63		
"Greenland"						180	0	6	3482	0.44		
"Equatorial Guinea"						182	0	2	6008	0.11		
"Dominica"						185	0	8	4908	0.65		
"Free Zones"						186	0	-34		0.92		
"Burundi"						188	0	13	4755	0.14		
"Bonaire, Sint Eustatius and Saba"						189	0	20		0.19		
"Solomon Islands"						190	0	0	6301	0.17		
"Grenada"						191	0	-1	4157	0.2		
"Comoros"						192	0	18	5731	0.22		
"South Sudan"						194	0	12		0.25		
"Guinea-Bissau"						195	0	2	5802	0.16		
"Saint Vincent and the Grenadines"						196	0	3	6798	0.14		
"Samoa"						197	0	-1	6816	0.13		
"Vanuatu"						198	0	-2	6248	0.13		
"Central African Republic"						199	0	7	6606	0.08		
"Saint Kitts and Nevis"						201	0	-12	5440	0.41		
"Tonga"						202	0	4	5771	0.16		
"Eritrea"						203	0	-8	6303	0.14		
"Tuvalu"						204	0	17	6386	0.21		
"Kiribati"						205	0	10	5936	0.13		
"Cook Islands"						206	0	-4	9417	0.22		
"Falkland Islands (Malvinas)"						207	0	2	12325	0.46		
"Micronesia, Federated States of"						208	0	-8	7109	0.19		
"Palau"						209	0	1	6232	0.16		
"Sao Tome and Principe"						210	0	-3	6155	0.31		
"Nauru"						211	0	18	6014	0.27		
"Sint Maarten (Dutch part)"						213	0	-7		0.43		
"Saint Pierre and Miquelon"						215	0	10	3489	0.45		
"Northern Mariana Islands"						216	0	-19	3811	0.2		
"Saint Helena"						217	0	6	7699	0.31		
"Wallis and Futuna Islands"						218	0	7	10103	0.24		
"Christmas Island"						220	0	3		0.69		
"Western Sahara"						221	0	-16	12469	0.9		
"Norfolk Island"						222	0	1	5454	0.24		
"Niue"						223	0	7	11410	0.48		
"Montserrat"						224	0	-7		0.49		
"Pitcairn"						227	0	-5		0.23		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
