Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Angola's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Angola (%)	
"Gibraltar"	75871	75870	0.2	140		114	0.03	-5	2572	0.09		
"Australia"	54884	51402	0.2	4	72105	24	1.1	1	10262	0.1		
"Congo"	44877	33809	0.1	-18	213	154	0.01	-18	6851	0.07		
"Kuwait"	44225	39465	0.1	-12	-8	76	0.1	-3	5837	0.07		
"Bangladesh"	41825	41087	0.1	108		49	0.3	6	4172	0.15		
"Togo"	37582	-584892	0.1	-1	-57	153	0.01	10	7318	0.08		
"Viet Nam"	29130	20119	0.1	-12	-7	19	1.5	8	3535	0.19		
"United Kingdom"	27363	-497604	0.1	-57	43	7	3.2	1	3930	0.06		
"Namibia"	19246	-16084	0.1	-22	97	126	0.03	-1	3757	0.37		
"Côte d'Ivoire"	16396	12911	0	-20	3598	93	0.06	9	6793	0.08		
"Dominican Republic"	15393	15262	0	311	466072	67	0.1	5	6446	0.22		
"Morocco"	11637	-13010	0	144	-37	52	0.3	4	4316	0.07		
"Czech Republic"	10078	1066	0	337	32333	28	1	4	2987	0.1		
"Cameroon"	9439	4510	0	-17	112	116	0.03	8	7279	0.14		
"Senegal"	9169	8859	0	24	117	110	0.04	4	6632	0.05		
"Ghana"	5837	1473	0	-26	-41	82	0.08	8	8888	0.18		
"Turkey"	5804	-239968	0	0	-91	22	1.2	3	4285	0.05		
"Germany"	2684	-184988	0	-17	-35	3	6.5	3	3376	0.05		
"Sao Tome and Principe"	2622	2481	0	-49	-11	210	0	-3	6155	0.31		
"Cuba"	2048	1594	0	1	47	145	0.02	-13	7148	0.09		
"Norway"	1875	-171787	0	-44	-98	39	0.5	3	3470	0.06		
"Ireland"	1356	-21439	0	-30	72143	36	0.5	4	3265	0.1		
"Guinea"	1262	620	0	-14	155	135	0.02	7	9140	0.19		
"Mozambique"	937	-890	0	23	-71	108	0.04	8	6196	0.1		
"Nigeria"	639	-3393	0	-53	-48	53	0.2	17	7792	0.1		
"Tanzania, United Republic of"	527	-1423	0	75	3995	102	0.05	7	6633	0.1		
"Poland"	477	-17946	0	9	-46	18	1.5	8	3121	0.08		
"Russian Federation"	425	-183604	0	-38	96	21	1.3	5	4187	0.09		
"Denmark"	424	-35626	0	-43	-21	35	0.6	5	2182	0.08		
"Saudi Arabia"	393	-42260	0	-33	31	32	0.7	3	5816	0.07		
"Egypt"	388	-21790	0	-58	22	46	0.3	-1	5219	0.05		
"New Zealand"	356	-2798	0	21		56	0.2	3	11141	0.09		
"Benin"	353	196	0	13	-84	149	0.01	-2	6481	0.07		
"Gabon"	352	-707	0	-62	0	158	0.01	-2	7114	0.11		
"Hong Kong, China"	333	-43770	0	-69	-99	5	3.3	3	2841	0.22		
"Equatorial Guinea"	296	168	0	-62	478	182	0	2	6008	0.11		
"Qatar"	248	-12109	0	-6	19	70	0.1	0	5745	0.06		
"Venezuela, Bolivarian Republic of"	215	194	0	-4		117	0.03	-11	8121	0.16		
"Sweden"	187	-75912	0	-4	71	31	0.9	3	2128	0.07		
"Lebanon"	181	-21769	0	-39	7	97	0.06	-12	3592	0.06		
"Mexico"	170	-26176	0	-24	-33	13	2.3	2	7039	0.24		
"Andorra"	155	135	0	263	-25	166	0	2	610	0.52		
"Trinidad and Tobago"	152	-4887	0	-58	5330	128	0.03	-1	6663	0.26		
"Switzerland"	132	-12469	0	-68	-82	20	1.5	4	3384	0.07		
"Ethiopia"	95	-1346	0	-19	955	90	0.07	1	6305	0.11		
"Mauritania"	89	-631	0	-41	-81	146	0.02	1	5817	0.07		
"Cyprus"	81	-986	0	-8		105	0.05	-1	3118	0.09		
"Iceland"	77	-148	0			112	0.04	-1	4251	0.05		
"Bolivia, Plurinational State of"	74	-881	0	-24	381	106	0.04	-3	7978	0.11		
"Philippines"	67	-622	0	191	-99	34	0.6	2	4354	0.09		
"Liberia"	54	-803	0	-53	313	87	0.07	17	11608	0.19		
"Panama"	53	-8394	0	-93	790	60	0.2	1	8657	0.12		
"Mali"	46	-18	0	-42	970	141	0.02	9	5008	0.1		
"Bahrain"	44	-453	0	37		101	0.05	1	6359	0.08		
"Romania"	44	-9132	0	-25	-37	37	0.5	6	1891	0.07		
"Ecuador"	41	-435	0	-67	3607	69	0.1	3	9174	0.12		
"Gambia"	39	38	0		276	167	0	7	8260	0.14		
"Cabo Verde"	39	-9808	0	-32	-69	181	0	4	5196	0.21		
"Colombia"	37	-1655	0	-87	89	51	0.3	4	8915	0.13		
"Zambia"	35	-1681	0	-11	-81	119	0.03	-9	5447	0.14		
"Malta"	31	-183571	0	-9	110	120	0.03	1	3249	0.08		
"Kenya"	30	-2696	0	-53	-86	80	0.09	2	6680	0.08		
"Azerbaijan"	28	-206	0	-59	1066	98	0.05	5	3712	0.09		
"Luxembourg"	28	-782	0		1878	71	0.1	3	1488	0.14		
"Peru"	27	-353	0	-80	2021	54	0.2	3	10420	0.13		
"Sierra Leone"	25	18	0	-58	-84	170	0	10	8820	0.13		
"Sudan"	25	-188	0	81	85	122	0.03	-2		0.13		
"Oman"	24	-2732	0	-39	-26	83	0.08	-6	5977	0.08		
"Antigua and Barbuda"	21	-27	0	-38	-10	174	0	1	6334	0.27		
"Madagascar"	18	18	0		1129	138	0.02	2	7339	0.08		
"Bahamas"	17	17	0	-68	105	115	0.03	-8	6248	0.19		
"Kazakhstan"	17	-36	0	-61	-7	58	0.2	6	3017	0.25		
"Rwanda"	14	-126	0	-61	554	159	0.01	17	5437	0.08		
"Ukraine"	14	-21775	0	-39	563	48	0.3	7	3255	0.06		
"Papua New Guinea"	12	12	0	-20		143	0.02	-1	4973	0.17		
"Djibouti"	9	9	0	-35	-28	130	0.02	5	6387	0.22		
"Brunei Darussalam"	9	6	0		-75	109	0.04	26	5185	0.11		
"Nicaragua"	9	-42	0	47	-10	104	0.05	4	5888	0.1		
"Botswana"	8	-438	0	56		124	0.03	2	2968	0.52		
"Chad"	6	6	0	-66	-90	184	0	13	6931	0.16		
"Marshall Islands"	5	-11	0		-67	91	0.06	-1	7455	0.18		
"Cambodia"	5	-33	0			66	0.1	16	2651	0.18		
"Costa Rica"	5	-42	0	31		86	0.08	3	6987	0.22		
"Cayman Islands"	5	-88	0			123	0.03	5	7522	0.35		
"Serbia"	5	-673	0	-23		65	0.2	9	2497	0.06		
"Tunisia"	5	-9640	0	-81	81	78	0.10	-1	3411	0.06		
"Hungary"	4	-8089	0	9		33	0.6	6	2180	0.09		
"Bulgaria"	3	-2606	0	-48	-90	57	0.2	6	2237	0.05		
"Lesotho"	2	-1	0			164	0	-2	1590	0.78		
"Burkina Faso"	2	-36	0	-45	-100	136	0.02	5	6109	0.05		
"Syrian Arab Republic"	2	-198	0			139	0.02	-3	2496	0.27		
"Algeria"	2	-592	0	-80	-94	64	0.2	-8	4584	0.07		
"Vanuatu"	1	-56	0			198	0	-2	6248	0.13		
"Saint Vincent and the Grenadines"	1	-127	0			196	0	3	6798	0.14		
"Malawi"	1	-298	0	-63		168	0	0	5169	0.15		
"Turks and Caicos Islands"	1	-322	0			193	0	-3	3491	0.74		
"Austria"	1	-4160	0	-78		27	1	3	1514	0.18		
"Finland"	1	-4233	0	-43		44	0.4	3	2842	0.07		
"Nepal"		-1				96	0.06	8	1856	0.56		
"Kyrgyzstan"		-1				127	0.03	1	2892	0.2		
"Haiti"		-1				140	0.02	0	6340	0.18		
"Faroe Islands"		-1				172	0	7	1404	0.27		
"Cook Islands"		-1				206	0	-4	9417	0.22		
"Saint Helena"		-1				217	0	6	7699	0.31		
"Cocos (Keeling) Islands"		-1				225	0	8		0.74		
"Burundi"		-2				188	0	13	4755	0.14		
"Falkland Islands (Malvinas)"		-2				207	0	2	12325	0.46		
"Nauru"		-3				211	0	18	6014	0.27		
"Norfolk Island"		-3				222	0	1	5454	0.24		
"Somalia"		-5				150	0.01	9	5305	0.16		
"Iraq"		-6				62	0.2	3	4107	0.18		
"Lao People's Democratic Republic"		-6				129	0.02	-1	2572	0.28		
"New Caledonia"		-8				155	0.01	-1	11471	0.2		
"Eritrea"		-12				203	0	-8	6303	0.14		
"Jamaica"		-13				137	0.02	-2	6759	0.22		
"Tokelau"		-14				226	0	-33	11566	0.22		
"Guyana"		-17				144	0.02	13	11175	0.21		
"Macedonia, North"		-21				103	0.05	8	1348	0.09		
"Guinea-Bissau"		-24				195	0	2	5802	0.16		
"Timor-Leste"		-28				183	0	12	3988	0.22		
"Niger"		-36				162	0	13	5715	0.09		
"Bhutan"		-39				178	0	15	1733	0.63		
"Dominica"		-39				185	0	8	4908	0.65		
"Guatemala"		-41				68	0.1	7	5828	0.15		
"Curaçao"		-41				163	0	-12		0.24		
"Honduras"		-50				99	0.05	4	6104	0.16		
"British Virgin Islands"		-59				156	0.01	8	7242	0.27		
"Montserrat"		-75				224	0	-7		0.49		
"Afghanistan"		-79				147	0.02	-8	2990	0.12		
"United States Minor Outlying Islands"		-86				177	0	0		0.21		
"Moldova, Republic of"		-98				118	0.03	8	2317	0.08		
"Albania"		-215				121	0.03	6	1886	0.13		
"Uzbekistan"		-221				74	0.1	16	3412	0.12		
"Belize"		-285				179	0	1	5006	0.18		
"Saint Lucia"		-409				171	0	-10	5321	0.23		
"Macao, China"		-529				81	0.09	15		0.17		
"Bosnia and Herzegovina"		-552				94	0.06	3	2228	0.07		
"Zimbabwe"		-592				134	0.02	7	3754	0.39		
"Iran, Islamic Republic of"		-650				72	0.1	-18	5612	0.13		
"Bermuda"		-684				169	0	-3	8006	0.28		
"Croatia"		-830				63	0.2	6	1362	0.07		
"Slovakia"		-887				38	0.5	4	2664	0.07		
"Uganda"		-962				132	0.02	11	5788	0.09		
"Slovenia"		-974				55	0.2	10	2404	0.07		
"Georgia"		-979				113	0.04	-2	2513	0.09		
"Estonia"		-1049				73	0.1	6	2314	0.06		
"Jordan"		-1501				84	0.08	0	5167	0.07		
"Korea, Democratic People's Republic of"		-1672				200	0	-49	1470	0.87		
"Sri Lanka"		-2113				85	0.08	-3	4351	0.16		
"Belarus"		-2307				61	0.2	2	2268	0.23		
"Mauritius"		-2695				133	0.02	-2	7320	0.08		
"Latvia"		-5421				77	0.1	7	1575	0.08		
"Paraguay"		-5546				92	0.06	0	7311	0.15		
"Eswatini"		-6300				160	0	1	1597	0.74		
"Lithuania"		-20718				59	0.2	7	1630	0.07		
"Argentina"		-122181				50	0.3	-5	10631	0.1		
"Ship stores and bunkers"						75	0.1	-11		0.16		
"Myanmar"						79	0.10	-1	2536	0.25		
"El Salvador"						88	0.07	9	4914	0.15		
"Libya, State of"						89	0.07	12	3475	0.08		
"Yemen"						107	0.04	11	5706	0.11		
"Mongolia"						125	0.03	8	3267	0.22		
"Armenia"						131	0.02	6	3323	0.15		
"Tajikistan"						142	0.02	9	2803	0.17		
"Turkmenistan"						148	0.02	4	3495	0.15		
"Maldives"						151	0.01	-3	4478	0.08		
"Montenegro"						152	0.01	0	2382	0.08		
"Fiji"						157	0.01	-7	7384	0.12		
"Barbados"						161	0	0	4992	0.21		
"French Polynesia"						165	0	1	13300	0.24		
"Suriname"						173	0	1	9050	0.14		
"Aruba"						175	0	-3	4917	0.3		
"Palestine, State of"						176	0	8	3026	0.1		
"Greenland"						180	0	6	3482	0.44		
"Free Zones"						186	0	-34		0.92		
"Seychelles"						187	0	-7	6627	0.06		
"Bonaire, Sint Eustatius and Saba"						189	0	20		0.19		
"Solomon Islands"						190	0	0	6301	0.17		
"Grenada"						191	0	-1	4157	0.2		
"Comoros"						192	0	18	5731	0.22		
"South Sudan"						194	0	12		0.25		
"Samoa"						197	0	-1	6816	0.13		
"Central African Republic"						199	0	7	6606	0.08		
"Saint Kitts and Nevis"						201	0	-12	5440	0.41		
"Tonga"						202	0	4	5771	0.16		
"Tuvalu"						204	0	17	6386	0.21		
"Kiribati"						205	0	10	5936	0.13		
"Micronesia, Federated States of"						208	0	-8	7109	0.19		
"Palau"						209	0	1	6232	0.16		
"Anguilla"						212	0	-5	4397	0.58		
"Sint Maarten (Dutch part)"						213	0	-7		0.43		
"French Southern and Antarctic Territories"						214	0	14		0.12		
"Saint Pierre and Miquelon"						215	0	10	3489	0.45		
"Northern Mariana Islands"						216	0	-19	3811	0.2		
"Wallis and Futuna Islands"						218	0	7	10103	0.24		
"British Indian Ocean Territory"						219	0	-9		0.67		
"Christmas Island"						220	0	3		0.69		
"Western Sahara"						221	0	-16	12469	0.9		
"Niue"						223	0	7	11410	0.48		
"Pitcairn"						227	0	-5		0.23		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
