Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Costa Rica's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Costa Rica (%)	
"Thailand"	63956	-29575	0.3	21	45	23	1.2	2	4905	0.09		
"India"	62695	-81406	0.3	-4	60	10	2.6	2	5793	0.05		
"Norway"	62210	46098	0.3	4	11	39	0.5	3	3470	0.06		
"Ecuador"	61544	36134	0.3	6	45	69	0.1	3	9174	0.12		
"Finland"	53237	42428	0.2	-12	-8	44	0.4	3	2842	0.07		
"Turkey"	47822	-55901	0.2	7	-28	22	1.2	3	4285	0.05		
"Ukraine"	44188	-119582	0.2	0	-11	48	0.3	7	3255	0.06		
"Chile"	42228	-204464	0.2	1	52	43	0.4	6	11582	0.13		
"South Africa"	25854	18738	0.1	12	33	41	0.4	-1	9230	0.07		
"New Zealand"	20132	15193	0.1	2	60	56	0.2	3	11141	0.09		
"Slovakia"	20086	13169	0.1	-3	16	38	0.5	4	2664	0.07		
"Israel"	18155	-25295	0.1	22	251	42	0.4	4	5483	0.07		
"Argentina"	17556	-74539	0.1	1	9	50	0.3	-5	10631	0.1		
"Serbia"	17155	15584	0.1	8	4	65	0.2	9	2497	0.06		
"Guyana"	16429	15936	0.1	5	13	144	0.02	13	11175	0.21		
"Hungary"	15760	-25716	0.1	117	32	33	0.6	6	2180	0.09		
"Romania"	14334	11837	0.1	79	44	37	0.5	6	1891	0.07		
"Philippines"	13999	-8183	0.1	6	-17	34	0.6	2	4354	0.09		
"Belize"	12715	12714	0.1	4	16	179	0	1	5006	0.18		
"Barbados"	12052	11999	0.1	6	4	161	0	0	4992	0.21		
"Greece"	11132	7569	0.1	-17	-1	45	0.3	4	2847	0.05		
"Morocco"	10849	9915	0.1	24	32	52	0.3	4	4316	0.07		
"Slovenia"	10704	7700	0.1	-5	-23	55	0.2	10	2404	0.07		
"Sweden"	9420	-23982	0	-25	-41	31	0.9	3	2128	0.07		
"Belarus"	8366	8135	0	-6	6	61	0.2	2	2268	0.23		
"Indonesia"	7467	-29013	0	-11	37	30	0.9	2	5872	0.11		
"Tunisia"	7421	7408	0	46	-11	78	0.10	-1	3411	0.06		
"Estonia"	6854	4656	0	-10	18	73	0.1	6	2314	0.06		
"Egypt"	5686	-702	0	23	63	46	0.3	-1	5219	0.05		
"Denmark"	5686	-21372	0	3	114	35	0.6	5	2182	0.08		
"Luxembourg"	4601	3220	0	33	66	71	0.1	3	1488	0.14		
"Bosnia and Herzegovina"	3964	3963	0	-19	-36	94	0.06	3	2228	0.07		
"Moldova, Republic of"	3077	3077	0	21	93	118	0.03	8	2317	0.08		
"Paraguay"	2719	-1506	0	-4	70	92	0.06	0	7311	0.15		
"Pakistan"	2706	-1597	0	4	-21	47	0.3	2	4850	0.11		
"Armenia"	2527	2527	0	22	48	131	0.02	6	3323	0.15		
"Bolivia, Plurinational State of"	2168	-6901	0	11	26	106	0.04	-3	7978	0.11		
"Iceland"	1923	1863	0	-16	14	112	0.04	-1	4251	0.05		
"Azerbaijan"	1912	1912	0	13	12	98	0.05	5	3712	0.09		
"Grenada"	1630	1630	0	-3	30	191	0	-1	4157	0.2		
"Malta"	1020	846	0	-7	95	120	0.03	1	3249	0.08		
"Lithuania"	863	-2168	0	-42	-59	59	0.2	7	1630	0.07		
"Austria"	809	-16671	0	-2	97	27	1	3	1514	0.18		
"Montenegro"	642	642	0	-17	27	152	0.01	0	2382	0.08		
"Burkina Faso"	569	569	0	-12	-21	136	0.02	5	6109	0.05		
"Kenya"	567	546	0	47	33	80	0.09	2	6680	0.08		
"Croatia"	369	311	0	-25	115	63	0.2	6	1362	0.07		
"Latvia"	315	-1627	0	49	150	77	0.1	7	1575	0.08		
"Macao, China"	294	289	0	52	-9	81	0.09	15		0.17		
"Brunei Darussalam"	249	249	0	-3	-21	109	0.04	26	5185	0.11		
"Tajikistan"	231	231	0	107	333	142	0.02	9	2803	0.17		
"Uzbekistan"	140	140	0	3	105	74	0.1	16	3412	0.12		
"Ethiopia"	129	129	0	-16	-59	90	0.07	1	6305	0.11		
"Mauritius"	125	99	0	-9	-9	133	0.02	-2	7320	0.08		
"Senegal"	125	89	0	-28	-69	110	0.04	4	6632	0.05		
"Bulgaria"	121	-1813	0	-29	-35	57	0.2	6	2237	0.05		
"Georgia"	117	100	0	-29	-10	113	0.04	-2	2513	0.09		
"Mozambique"	110	110	0	194	167	108	0.04	8	6196	0.1		
"Nigeria"	98	-191	0	33	58	53	0.2	17	7792	0.1		
"Tanzania, United Republic of"	83	83	0	-3	12	102	0.05	7	6633	0.1		
"Cyprus"	74	10	0	-12	-1	105	0.05	-1	3118	0.09		
"Maldives"	52	-1103	0	2	357	151	0.01	-3	4478	0.08		
"Angola"	47	42	0	-12	-90	100	0.05	-11	7692	0.06		
"Zambia"	21	21	0	-23	-57	119	0.03	-9	5447	0.14		
"Fiji"	18	18	0	42	-35	157	0.01	-7	7384	0.12		
"Kyrgyzstan"	16	16	0	-14	-13	127	0.03	1	2892	0.2		
"Cambodia"	13	-1110	0	129	73	66	0.1	16	2651	0.18		
"Madagascar"	11	-47	0	-21	-62	138	0.02	2	7339	0.08		
"Togo"	1	1	0	2		153	0.01	10	7318	0.08		
"Lao People's Democratic Republic"		-13				129	0.02	-1	2572	0.28		
"Viet Nam"						19	1.5	8	3535	0.19		
"United Arab Emirates"						29	0.9	-2	5715	0.08		
"Bangladesh"						49	0.3	6	4172	0.15		
"Kazakhstan"						58	0.2	6	3017	0.25		
"Panama"						60	0.2	1	8657	0.12		
"Iraq"						62	0.2	3	4107	0.18		
"Algeria"						64	0.2	-8	4584	0.07		
"Qatar"						70	0.1	0	5745	0.06		
"Iran, Islamic Republic of"						72	0.1	-18	5612	0.13		
"Ship stores and bunkers"						75	0.1	-11		0.16		
"Kuwait"						76	0.1	-3	5837	0.07		
"Myanmar"						79	0.10	-1	2536	0.25		
"Ghana"						82	0.08	8	8888	0.18		
"Oman"						83	0.08	-6	5977	0.08		
"Jordan"						84	0.08	0	5167	0.07		
"Sri Lanka"						85	0.08	-3	4351	0.16		
"Liberia"						87	0.07	17	11608	0.19		
"Libya, State of"						89	0.07	12	3475	0.08		
"Marshall Islands"						91	0.06	-1	7455	0.18		
"Côte d'Ivoire"						93	0.06	9	6793	0.08		
"Uruguay"						95	0.06	0	9836	0.11		
"Nepal"						96	0.06	8	1856	0.56		
"Lebanon"						97	0.06	-12	3592	0.06		
"Bahrain"						101	0.05	1	6359	0.08		
"Macedonia, North"						103	0.05	8	1348	0.09		
"Yemen"						107	0.04	11	5706	0.11		
"Congo, Democratic Republic of the"						111	0.04	13	6479	0.14		
"Gibraltar"						114	0.03	-5	2572	0.09		
"Bahamas"						115	0.03	-8	6248	0.19		
"Cameroon"						116	0.03	8	7279	0.14		
"Venezuela, Bolivarian Republic of"						117	0.03	-11	8121	0.16		
"Albania"						121	0.03	6	1886	0.13		
"Sudan"						122	0.03	-2		0.13		
"Cayman Islands"						123	0.03	5	7522	0.35		
"Botswana"						124	0.03	2	2968	0.52		
"Mongolia"						125	0.03	8	3267	0.22		
"Namibia"						126	0.03	-1	3757	0.37		
"Trinidad and Tobago"						128	0.03	-1	6663	0.26		
"Djibouti"						130	0.02	5	6387	0.22		
"Uganda"						132	0.02	11	5788	0.09		
"Zimbabwe"						134	0.02	7	3754	0.39		
"Guinea"						135	0.02	7	9140	0.19		
"Jamaica"						137	0.02	-2	6759	0.22		
"Syrian Arab Republic"						139	0.02	-3	2496	0.27		
"Haiti"						140	0.02	0	6340	0.18		
"Mali"						141	0.02	9	5008	0.1		
"Papua New Guinea"						143	0.02	-1	4973	0.17		
"Cuba"						145	0.02	-13	7148	0.09		
"Mauritania"						146	0.02	1	5817	0.07		
"Afghanistan"						147	0.02	-8	2990	0.12		
"Turkmenistan"						148	0.02	4	3495	0.15		
"Benin"						149	0.01	-2	6481	0.07		
"Somalia"						150	0.01	9	5305	0.16		
"Congo"						154	0.01	-18	6851	0.07		
"New Caledonia"						155	0.01	-1	11471	0.2		
"British Virgin Islands"						156	0.01	8	7242	0.27		
"Gabon"						158	0.01	-2	7114	0.11		
"Rwanda"						159	0.01	17	5437	0.08		
"Eswatini"						160	0	1	1597	0.74		
"Niger"						162	0	13	5715	0.09		
"Curaçao"						163	0	-12		0.24		
"Lesotho"						164	0	-2	1590	0.78		
"French Polynesia"						165	0	1	13300	0.24		
"Andorra"						166	0	2	610	0.52		
"Gambia"						167	0	7	8260	0.14		
"Malawi"						168	0	0	5169	0.15		
"Bermuda"						169	0	-3	8006	0.28		
"Sierra Leone"						170	0	10	8820	0.13		
"Saint Lucia"						171	0	-10	5321	0.23		
"Faroe Islands"						172	0	7	1404	0.27		
"Suriname"						173	0	1	9050	0.14		
"Antigua and Barbuda"						174	0	1	6334	0.27		
"Aruba"						175	0	-3	4917	0.3		
"Palestine, State of"						176	0	8	3026	0.1		
"United States Minor Outlying Islands"						177	0	0		0.21		
"Bhutan"						178	0	15	1733	0.63		
"Greenland"						180	0	6	3482	0.44		
"Cabo Verde"						181	0	4	5196	0.21		
"Equatorial Guinea"						182	0	2	6008	0.11		
"Timor-Leste"						183	0	12	3988	0.22		
"Chad"						184	0	13	6931	0.16		
"Dominica"						185	0	8	4908	0.65		
"Free Zones"						186	0	-34		0.92		
"Seychelles"						187	0	-7	6627	0.06		
"Burundi"						188	0	13	4755	0.14		
"Bonaire, Sint Eustatius and Saba"						189	0	20		0.19		
"Solomon Islands"						190	0	0	6301	0.17		
"Comoros"						192	0	18	5731	0.22		
"Turks and Caicos Islands"						193	0	-3	3491	0.74		
"South Sudan"						194	0	12		0.25		
"Guinea-Bissau"						195	0	2	5802	0.16		
"Saint Vincent and the Grenadines"						196	0	3	6798	0.14		
"Samoa"						197	0	-1	6816	0.13		
"Vanuatu"						198	0	-2	6248	0.13		
"Central African Republic"						199	0	7	6606	0.08		
"Korea, Democratic People's Republic of"						200	0	-49	1470	0.87		
"Saint Kitts and Nevis"						201	0	-12	5440	0.41		
"Tonga"						202	0	4	5771	0.16		
"Eritrea"						203	0	-8	6303	0.14		
"Tuvalu"						204	0	17	6386	0.21		
"Kiribati"						205	0	10	5936	0.13		
"Cook Islands"						206	0	-4	9417	0.22		
"Falkland Islands (Malvinas)"						207	0	2	12325	0.46		
"Micronesia, Federated States of"						208	0	-8	7109	0.19		
"Palau"						209	0	1	6232	0.16		
"Sao Tome and Principe"						210	0	-3	6155	0.31		
"Nauru"						211	0	18	6014	0.27		
"Anguilla"						212	0	-5	4397	0.58		
"Sint Maarten (Dutch part)"						213	0	-7		0.43		
"French Southern and Antarctic Territories"						214	0	14		0.12		
"Saint Pierre and Miquelon"						215	0	10	3489	0.45		
"Northern Mariana Islands"						216	0	-19	3811	0.2		
"Saint Helena"						217	0	6	7699	0.31		
"Wallis and Futuna Islands"						218	0	7	10103	0.24		
"British Indian Ocean Territory"						219	0	-9		0.67		
"Christmas Island"						220	0	3		0.69		
"Western Sahara"						221	0	-16	12469	0.9		
"Norfolk Island"						222	0	1	5454	0.24		
"Niue"						223	0	7	11410	0.48		
"Montserrat"						224	0	-7		0.49		
"Cocos (Keeling) Islands"						225	0	8		0.74		
"Tokelau"						226	0	-33	11566	0.22		
"Pitcairn"						227	0	-5		0.23		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
