Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Comoros's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Comoros (%)	
"Thailand"		-1246				23	1.2	2	4905	0.09		
"Portugal"		-1645				40	0.4	2	2788	0.14		
"Ukraine"		-1716				48	0.3	7	3255	0.06		
"Brazil"		-1765				26	1	6	10879	0.09		
"New Zealand"		-1860				56	0.2	3	11141	0.09		
"Oman"		-4111				83	0.08	-6	5977	0.08		
"Japan"		-7654				4	3.5	1	6256	0.09		
"Poland"		-9119				18	1.5	8	3121	0.08		
"Turkey"		-12450				22	1.2	3	4285	0.05		
"Viet Nam"		-12839				19	1.5	8	3535	0.19		
"Hungary"						33	0.6	6	2180	0.09		
"Norway"						39	0.5	3	3470	0.06		
"Nigeria"						53	0.2	17	7792	0.1		
"Peru"						54	0.2	3	10420	0.13		
"Kazakhstan"						58	0.2	6	3017	0.25		
"Panama"						60	0.2	1	8657	0.12		
"Belarus"						61	0.2	2	2268	0.23		
"Croatia"						63	0.2	6	1362	0.07		
"Algeria"						64	0.2	-8	4584	0.07		
"Serbia"						65	0.2	9	2497	0.06		
"Cambodia"						66	0.1	16	2651	0.18		
"Dominican Republic"						67	0.1	5	6446	0.22		
"Guatemala"						68	0.1	7	5828	0.15		
"Luxembourg"						71	0.1	3	1488	0.14		
"Uzbekistan"						74	0.1	16	3412	0.12		
"Ship stores and bunkers"						75	0.1	-11		0.16		
"Myanmar"						79	0.10	-1	2536	0.25		
"Macao, China"						81	0.09	15		0.17		
"Sri Lanka"						85	0.08	-3	4351	0.16		
"Costa Rica"						86	0.08	3	6987	0.22		
"Liberia"						87	0.07	17	11608	0.19		
"El Salvador"						88	0.07	9	4914	0.15		
"Libya, State of"						89	0.07	12	3475	0.08		
"Marshall Islands"						91	0.06	-1	7455	0.18		
"Bosnia and Herzegovina"						94	0.06	3	2228	0.07		
"Uruguay"						95	0.06	0	9836	0.11		
"Nepal"						96	0.06	8	1856	0.56		
"Honduras"						99	0.05	4	6104	0.16		
"Angola"						100	0.05	-11	7692	0.06		
"Bahrain"						101	0.05	1	6359	0.08		
"Macedonia, North"						103	0.05	8	1348	0.09		
"Nicaragua"						104	0.05	4	5888	0.1		
"Bolivia, Plurinational State of"						106	0.04	-3	7978	0.11		
"Brunei Darussalam"						109	0.04	26	5185	0.11		
"Congo, Democratic Republic of the"						111	0.04	13	6479	0.14		
"Gibraltar"						114	0.03	-5	2572	0.09		
"Bahamas"						115	0.03	-8	6248	0.19		
"Moldova, Republic of"						118	0.03	8	2317	0.08		
"Malta"						120	0.03	1	3249	0.08		
"Albania"						121	0.03	6	1886	0.13		
"Sudan"						122	0.03	-2		0.13		
"Cayman Islands"						123	0.03	5	7522	0.35		
"Botswana"						124	0.03	2	2968	0.52		
"Mongolia"						125	0.03	8	3267	0.22		
"Kyrgyzstan"						127	0.03	1	2892	0.2		
"Trinidad and Tobago"						128	0.03	-1	6663	0.26		
"Lao People's Democratic Republic"						129	0.02	-1	2572	0.28		
"Armenia"						131	0.02	6	3323	0.15		
"Zimbabwe"						134	0.02	7	3754	0.39		
"Jamaica"						137	0.02	-2	6759	0.22		
"Syrian Arab Republic"						139	0.02	-3	2496	0.27		
"Haiti"						140	0.02	0	6340	0.18		
"Mali"						141	0.02	9	5008	0.1		
"Tajikistan"						142	0.02	9	2803	0.17		
"Papua New Guinea"						143	0.02	-1	4973	0.17		
"Guyana"						144	0.02	13	11175	0.21		
"Cuba"						145	0.02	-13	7148	0.09		
"Mauritania"						146	0.02	1	5817	0.07		
"Somalia"						150	0.01	9	5305	0.16		
"Maldives"						151	0.01	-3	4478	0.08		
"Montenegro"						152	0.01	0	2382	0.08		
"Togo"						153	0.01	10	7318	0.08		
"New Caledonia"						155	0.01	-1	11471	0.2		
"British Virgin Islands"						156	0.01	8	7242	0.27		
"Fiji"						157	0.01	-7	7384	0.12		
"Gabon"						158	0.01	-2	7114	0.11		
"Rwanda"						159	0.01	17	5437	0.08		
"Barbados"						161	0	0	4992	0.21		
"Niger"						162	0	13	5715	0.09		
"French Polynesia"						165	0	1	13300	0.24		
"Gambia"						167	0	7	8260	0.14		
"Malawi"						168	0	0	5169	0.15		
"Bermuda"						169	0	-3	8006	0.28		
"Sierra Leone"						170	0	10	8820	0.13		
"Saint Lucia"						171	0	-10	5321	0.23		
"Faroe Islands"						172	0	7	1404	0.27		
"Suriname"						173	0	1	9050	0.14		
"Aruba"						175	0	-3	4917	0.3		
"Palestine, State of"						176	0	8	3026	0.1		
"United States Minor Outlying Islands"						177	0	0		0.21		
"Bhutan"						178	0	15	1733	0.63		
"Belize"						179	0	1	5006	0.18		
"Greenland"						180	0	6	3482	0.44		
"Equatorial Guinea"						182	0	2	6008	0.11		
"Timor-Leste"						183	0	12	3988	0.22		
"Chad"						184	0	13	6931	0.16		
"Dominica"						185	0	8	4908	0.65		
"Free Zones"						186	0	-34		0.92		
"Bonaire, Sint Eustatius and Saba"						189	0	20		0.19		
"Solomon Islands"						190	0	0	6301	0.17		
"Grenada"						191	0	-1	4157	0.2		
"South Sudan"						194	0	12		0.25		
"Guinea-Bissau"						195	0	2	5802	0.16		
"Saint Vincent and the Grenadines"						196	0	3	6798	0.14		
"Samoa"						197	0	-1	6816	0.13		
"Vanuatu"						198	0	-2	6248	0.13		
"Central African Republic"						199	0	7	6606	0.08		
"Saint Kitts and Nevis"						201	0	-12	5440	0.41		
"Tonga"						202	0	4	5771	0.16		
"Tuvalu"						204	0	17	6386	0.21		
"Kiribati"						205	0	10	5936	0.13		
"Cook Islands"						206	0	-4	9417	0.22		
"Falkland Islands (Malvinas)"						207	0	2	12325	0.46		
"Micronesia, Federated States of"						208	0	-8	7109	0.19		
"Palau"						209	0	1	6232	0.16		
"Sao Tome and Principe"						210	0	-3	6155	0.31		
"Nauru"						211	0	18	6014	0.27		
"Anguilla"						212	0	-5	4397	0.58		
"Sint Maarten (Dutch part)"						213	0	-7		0.43		
"French Southern and Antarctic Territories"						214	0	14		0.12		
"Saint Pierre and Miquelon"						215	0	10	3489	0.45		
"Northern Mariana Islands"						216	0	-19	3811	0.2		
"Saint Helena"						217	0	6	7699	0.31		
"Wallis and Futuna Islands"						218	0	7	10103	0.24		
"British Indian Ocean Territory"						219	0	-9		0.67		
"Christmas Island"						220	0	3		0.69		
"Western Sahara"						221	0	-16	12469	0.9		
"Norfolk Island"						222	0	1	5454	0.24		
"Niue"						223	0	7	11410	0.48		
"Montserrat"						224	0	-7		0.49		
"Cocos (Keeling) Islands"						225	0	8		0.74		
"Tokelau"						226	0	-33	11566	0.22		
"Pitcairn"						227	0	-5		0.23		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
