Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Dominican Republic's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Dominican Republic (%)	
"Saint Lucia"	7114	7005	0.1	7	34	171	0	-10	5321	0.23		
"Aruba"	6922	6855	0.1	-4	26	175	0	-3	4917	0.3		
"Senegal"	6187	5985	0.1	199	164887	110	0.04	4	6632	0.05		
"New Zealand"	5845	-4670	0	9	-11	56	0.2	3	11141	0.09		
"Grenada"	5353	5317	0	11	43	191	0	-1	4157	0.2		
"Dominican Republic"	5185	-171277	0		256	67	0.1	5	6446	0.22		
"Ireland"	4672	-29763	0	12	-13	36	0.5	4	3265	0.1		
"Bolivia, Plurinational State of"	4311	-12172	0	37	3	106	0.04	-3	7978	0.11		
"Dominica"	4087	2857	0	-8	50	185	0	8	4908	0.65		
"British Virgin Islands"	4074	3957	0	2	4	156	0.01	8	7242	0.27		
"Denmark"	3306	-70956	0	-23	-42	35	0.6	5	2182	0.08		
"Israel"	3044	-23083	0	-3	40	42	0.4	4	5483	0.07		
"Portugal"	3025	-37346	0	2	42	40	0.4	2	2788	0.14		
"Cabo Verde"	2980	2970	0			181	0	4	5196	0.21		
"Saint Vincent and the Grenadines"	2787	2739	0	0	36	196	0	3	6798	0.14		
"Bangladesh"	2584	-16948	0	-8	248	49	0.3	6	4172	0.15		
"Czech Republic"	2573	-8580	0	-9	30	28	1	4	2987	0.1		
"Estonia"	2354	1201	0	37	50	73	0.1	6	2314	0.06		
"Greece"	2347	-7471	0	10	78	45	0.3	4	2847	0.05		
"Argentina"	2201	-387511	0	3	51	50	0.3	-5	10631	0.1		
"Uruguay"	1849	-54513	0	4	-12	95	0.06	0	9836	0.11		
"Saint Kitts and Nevis"	1845	1845	0	7	22	201	0	-12	5440	0.41		
"Anguilla"	1832	1804	0	23	40	212	0	-5	4397	0.58		
"Paraguay"	1729	-1534	0	-1	-14	92	0.06	0	7311	0.15		
"Belize"	1623	1361	0	-19	360	179	0	1	5006	0.18		
"Norway"	1613	-63848	0	-15	-16	39	0.5	3	3470	0.06		
"Pakistan"	1433	-15188	0	27	105	47	0.3	2	4850	0.11		
"Austria"	1047	-29539	0	17	98	27	1	3	1514	0.18		
"Egypt"	1007	-28779	0	108	764	46	0.3	-1	5219	0.05		
"Bulgaria"	990	-8089	0	3	42	57	0.2	6	2237	0.05		
"Ukraine"	988	-324976	0	34	398	48	0.3	7	3255	0.06		
"Saudi Arabia"	980	-48185	0	13	801	32	0.7	3	5816	0.07		
"Latvia"	922	-15272	0	48	87	77	0.1	7	1575	0.08		
"South Africa"	882	-35075	0	-58	-42	41	0.4	-1	9230	0.07		
"Libya, State of"	823	817	0		-21	89	0.07	12	3475	0.08		
"Malta"	582	-379	0	-9	472	120	0.03	1	3249	0.08		
"Romania"	513	-5863	0	23	19	37	0.5	6	1891	0.07		
"Croatia"	438	-288	0	19	92	63	0.2	6	1362	0.07		
"Cambodia"	411	-3844	0	-2	-58	66	0.1	16	2651	0.18		
"Cyprus"	405	367	0	9	58	105	0.05	-1	3118	0.09		
"Sao Tome and Principe"	397	392	0	-26	47	210	0	-3	6155	0.31		
"Slovakia"	376	-1982	0	65	749	38	0.5	4	2664	0.07		
"Bermuda"	307	304	0	7	3	169	0	-3	8006	0.28		
"Serbia"	219	-1925	0	62	97	65	0.2	9	2497	0.06		
"Jordan"	207	-608	0	95	400	84	0.08	0	5167	0.07		
"Tunisia"	195	-3939	0	-41		78	0.10	-1	3411	0.06		
"Montserrat"	173	155	0	22	48	224	0	-7		0.49		
"Kuwait"	157	-2725	0		1805	76	0.1	-3	5837	0.07		
"Hungary"	149	-11072	0	55	-79	33	0.6	6	2180	0.09		
"Luxembourg"	141	-2367	0	259	67	71	0.1	3	1488	0.14		
"Lithuania"	135	-5166	0	-3	636	59	0.2	7	1630	0.07		
"Sri Lanka"	107	-2552	0	-55	-83	85	0.08	-3	4351	0.16		
"Ghana"	104	-17866	0	-3	3	82	0.08	8	8888	0.18		
"Lebanon"	94	-1500	0	-31	80	97	0.06	-12	3592	0.06		
"Nigeria"	93	-867	0	-15	133	53	0.2	17	7792	0.1		
"Angola"	66	65	0	139	-41	100	0.05	-11	7692	0.06		
"Andorra"	64	-586	0	90	70	166	0	2	610	0.52		
"Armenia"	46	30	0	-7	296	131	0.02	6	3323	0.15		
"Central African Republic"	42	8	0	40		199	0	7	6606	0.08		
"Belarus"	39	-4792	0	-41	-19	61	0.2	2	2268	0.23		
"Mozambique"	35	-699	0	139	-67	108	0.04	8	6196	0.1		
"Iraq"	33	33	0	38	1281	62	0.2	3	4107	0.18		
"Togo"	33	33	0	105	330	153	0.01	10	7318	0.08		
"Côte d'Ivoire"	33	-3491	0	-11	1	93	0.06	9	6793	0.08		
"Algeria"	28	-21848	0			64	0.2	-8	4584	0.07		
"Palestine, State of"	25	13	0	-5	14	176	0	8	3026	0.1		
"Liberia"	24	-59	0	-46	36	87	0.07	17	11608	0.19		
"Nepal"	13	-29	0			96	0.06	8	1856	0.56		
"Macedonia, North"	13	-39	0		168	103	0.05	8	1348	0.09		
"Marshall Islands"	12	12	0	8	150	91	0.06	-1	7455	0.18		
"Oman"	8	-2065	0			83	0.08	-6	5977	0.08		
"Albania"	7	-681	0	-13	-95	121	0.03	6	1886	0.13		
"Mongolia"	6	6	0	1		125	0.03	8	3267	0.22		
"Kyrgyzstan"	4	4	0			127	0.03	1	2892	0.2		
"Kenya"	4	-57	0	63	-38	80	0.09	2	6680	0.08		
"Georgia"	4	-87	0	-26	-58	113	0.04	-2	2513	0.09		
"Iceland"	4	-197	0	-5	268	112	0.04	-1	4251	0.05		
"Benin"	3	3	0			149	0.01	-2	6481	0.07		
"Macao, China"	3	-72	0		-99	81	0.09	15		0.17		
"Qatar"	2	-560	0			70	0.1	0	5745	0.06		
"Uganda"	1	-72	0	-68		132	0.02	11	5788	0.09		
"Sudan"	1	-100	0			122	0.03	-2		0.13		
"Zimbabwe"	1	-189	0			134	0.02	7	3754	0.39		
"Congo"	1	-1030	0			154	0.01	-18	6851	0.07		
"Brunei Darussalam"		-1				109	0.04	26	5185	0.11		
"Burkina Faso"		-1				136	0.02	5	6109	0.05		
"Gambia"		-1				167	0	7	8260	0.14		
"Vanuatu"		-1				198	0	-2	6248	0.13		
"Micronesia, Federated States of"		-1				208	0	-8	7109	0.19		
"Palau"		-1				209	0	1	6232	0.16		
"Tajikistan"		-2				142	0.02	9	2803	0.17		
"French Polynesia"		-2				165	0	1	13300	0.24		
"Bhutan"		-2				178	0	15	1733	0.63		
"Kiribati"		-2				205	0	10	5936	0.13		
"Nauru"		-2				211	0	18	6014	0.27		
"Wallis and Futuna Islands"		-2				218	0	7	10103	0.24		
"Cocos (Keeling) Islands"		-2				225	0	8		0.74		
"Botswana"		-3				124	0.03	2	2968	0.52		
"Faroe Islands"		-3				172	0	7	1404	0.27		
"Area Nes"		-4										
"Falkland Islands (Malvinas)"		-8				207	0	2	12325	0.46		
"Turkmenistan"		-9				148	0.02	4	3495	0.15		
"Lesotho"		-12				164	0	-2	1590	0.78		
"Mauritius"		-13				133	0.02	-2	7320	0.08		
"New Caledonia"		-14				155	0.01	-1	11471	0.2		
"Moldova, Republic of"		-22				118	0.03	8	2317	0.08		
"French Southern and Antarctic Territories"		-22				214	0	14		0.12		
"Namibia"		-23				126	0.03	-1	3757	0.37		
"Cook Islands"		-24				206	0	-4	9417	0.22		
"Chad"		-29				184	0	13	6931	0.16		
"Tanzania, United Republic of"		-46				102	0.05	7	6633	0.1		
"Yemen"		-48				107	0.04	11	5706	0.11		
"Afghanistan"		-51				147	0.02	-8	2990	0.12		
"Madagascar"		-77				138	0.02	2	7339	0.08		
"Lao People's Democratic Republic"		-110				129	0.02	-1	2572	0.28		
"Zambia"		-127				119	0.03	-9	5447	0.14		
"Syrian Arab Republic"		-199				139	0.02	-3	2496	0.27		
"Bosnia and Herzegovina"		-218				94	0.06	3	2228	0.07		
"Iran, Islamic Republic of"		-235				72	0.1	-18	5612	0.13		
"Mauritania"		-343				146	0.02	1	5817	0.07		
"Myanmar"		-580				79	0.10	-1	2536	0.25		
"Eswatini"		-635				160	0	1	1597	0.74		
"Ethiopia"		-738				90	0.07	1	6305	0.11		
"Gibraltar"		-796				114	0.03	-5	2572	0.09		
"Bahrain"		-829				101	0.05	1	6359	0.08		
"Cameroon"		-2298				116	0.03	8	7279	0.14		
"Kazakhstan"		-3047				58	0.2	6	3017	0.25		
"Fiji"		-3106				157	0.01	-7	7384	0.12		
"Slovenia"		-3452				55	0.2	10	2404	0.07		
"Equatorial Guinea"		-3778				182	0	2	6008	0.11		
"Malawi"		-4396				168	0	0	5169	0.15		
"Gabon"		-7232				158	0.01	-2	7114	0.11		
"Morocco"		-13953				52	0.3	4	4316	0.07		
"Taipei, Chinese"						17	1.7	8	5007	0.1		
"Uzbekistan"						74	0.1	16	3412	0.12		
"Ship stores and bunkers"						75	0.1	-11		0.16		
"Azerbaijan"						98	0.05	5	3712	0.09		
"Congo, Democratic Republic of the"						111	0.04	13	6479	0.14		
"Djibouti"						130	0.02	5	6387	0.22		
"Guinea"						135	0.02	7	9140	0.19		
"Mali"						141	0.02	9	5008	0.1		
"Papua New Guinea"						143	0.02	-1	4973	0.17		
"Somalia"						150	0.01	9	5305	0.16		
"Maldives"						151	0.01	-3	4478	0.08		
"Montenegro"						152	0.01	0	2382	0.08		
"Rwanda"						159	0.01	17	5437	0.08		
"Niger"						162	0	13	5715	0.09		
"Sierra Leone"						170	0	10	8820	0.13		
"United States Minor Outlying Islands"						177	0	0		0.21		
"Greenland"						180	0	6	3482	0.44		
"Timor-Leste"						183	0	12	3988	0.22		
"Free Zones"						186	0	-34		0.92		
"Seychelles"						187	0	-7	6627	0.06		
"Burundi"						188	0	13	4755	0.14		
"Bonaire, Sint Eustatius and Saba"						189	0	20		0.19		
"Solomon Islands"						190	0	0	6301	0.17		
"Comoros"						192	0	18	5731	0.22		
"South Sudan"						194	0	12		0.25		
"Guinea-Bissau"						195	0	2	5802	0.16		
"Samoa"						197	0	-1	6816	0.13		
"Korea, Democratic People's Republic of"						200	0	-49	1470	0.87		
"Tonga"						202	0	4	5771	0.16		
"Eritrea"						203	0	-8	6303	0.14		
"Tuvalu"						204	0	17	6386	0.21		
"Sint Maarten (Dutch part)"						213	0	-7		0.43		
"Saint Pierre and Miquelon"						215	0	10	3489	0.45		
"Northern Mariana Islands"						216	0	-19	3811	0.2		
"Saint Helena"						217	0	6	7699	0.31		
"British Indian Ocean Territory"						219	0	-9		0.67		
"Christmas Island"						220	0	3		0.69		
"Western Sahara"						221	0	-16	12469	0.9		
"Norfolk Island"						222	0	1	5454	0.24		
"Niue"						223	0	7	11410	0.48		
"Tokelau"						226	0	-33	11566	0.22		
"Pitcairn"						227	0	-5		0.23		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
