Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Madagascar's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Madagascar (%)	
"Russian Federation"	3981	-24417	0.1	2	65	21	1.3	5	4187	0.09		
"Finland"	3173	-1113	0.1	-15	3	44	0.4	3	2842	0.07		
"Hong Kong, China"	3071	-449	0.1	-35	-34	5	3.3	3	2841	0.22		
"Thailand"	2954	-22608	0.1	-21	-1	23	1.2	2	4905	0.09		
"Mozambique"	2698	822	0.1	-27	195	108	0.04	8	6196	0.1		
"Brazil"	2331	-68325	0.1	55	6	26	1	6	10879	0.09		
"Pakistan"	2320	-121989	0.1	-14	31	47	0.3	2	4850	0.11		
"Seychelles"	2310	-10452	0.1	-23	27	187	0	-7	6627	0.06		
"Ethiopia"	2103	574	0.1	17	23	90	0.07	1	6305	0.11		
"Egypt"	2092	-116165	0.1	6	89	46	0.3	-1	5219	0.05		
"Poland"	2046	-6232	0.1	56	120	18	1.5	8	3121	0.08		
"Denmark"	1912	-3747	0.1	4	8	35	0.6	5	2182	0.08		
"Saudi Arabia"	1803	-58628	0.1	-21	81	32	0.7	3	5816	0.07		
"Cambodia"	1704	1342	0.1		1348	66	0.1	16	2651	0.18		
"Romania"	1660	-1783	0.1	-14	132	37	0.5	6	1891	0.07		
"Sri Lanka"	1410	630	0.1	-19	14	85	0.08	-3	4351	0.16		
"Zimbabwe"	1319	-1602	0	25	9	134	0.02	7	3754	0.39		
"Algeria"	1264	1073	0	31	48	64	0.2	-8	4584	0.07		
"Greece"	1026	-2253	0	-8	12	45	0.3	4	2847	0.05		
"Iraq"	949	677	0	8	36	62	0.2	3	4107	0.18		
"Uganda"	841	791	0	673	-13	132	0.02	11	5788	0.09		
"Malawi"	706	-164	0	243	754	168	0	0	5169	0.15		
"Mexico"	670	-7491	0	-9	59	13	2.3	2	7039	0.24		
"Sierra Leone"	645	609	0			170	0	10	8820	0.13		
"Tunisia"	642	-11997	0	-2	901	78	0.10	-1	3411	0.06		
"Bangladesh"	630	-4210	0	-4	-14	49	0.3	6	4172	0.15		
"Ukraine"	614	-18278	0	43	323	48	0.3	7	3255	0.06		
"New Zealand"	597	-1601	0	14	37	56	0.2	3	11141	0.09		
"Dominican Republic"	475	473	0	-34		67	0.1	5	6446	0.22		
"Norway"	437	242	0	43	-68	39	0.5	3	3470	0.06		
"Ghana"	417	120	0	24	116	82	0.08	8	8888	0.18		
"Argentina"	354	-64125	0	31	44	50	0.3	-5	10631	0.1		
"Slovakia"	341	-4212	0	31	26	38	0.5	4	2664	0.07		
"Austria"	340	-3866	0	-14	121	27	1	3	1514	0.18		
"Benin"	330	327	0	149	450	149	0.01	-2	6481	0.07		
"Jordan"	307	177	0	18	53	84	0.08	0	5167	0.07		
"Oman"	307	-388645	0	-29	34	83	0.08	-6	5977	0.08		
"Nigeria"	290	212	0	-22	-22	53	0.2	17	7792	0.1		
"Slovenia"	275	-311	0	12	250	55	0.2	10	2404	0.07		
"Togo"	272	194	0	194	-40	153	0.01	10	7318	0.08		
"Kuwait"	250	-5616	0	-29	194	76	0.1	-3	5837	0.07		
"Latvia"	236	-2599	0		27	77	0.1	7	1575	0.08		
"Area Nes"	215	215	0	208	392							
"Rwanda"	211	144	0	-17	468	159	0.01	17	5437	0.08		
"Qatar"	199	-48644	0	19	-11	70	0.1	0	5745	0.06		
"Zambia"	196	95	0	30	1477	119	0.03	-9	5447	0.14		
"Yemen"	192	192	0	-48	-89	107	0.04	11	5706	0.11		
"Philippines"	189	-534	0	-4	319	34	0.6	2	4354	0.09		
"Hungary"	185	-3865	0	39	-50	33	0.6	6	2180	0.09		
"Peru"	172	157	0	-29	-73	54	0.2	3	10420	0.13		
"Cameroon"	172	113	0	201	-73	116	0.03	8	7279	0.14		
"Georgia"	165	158	0	95	9529	113	0.04	-2	2513	0.09		
"Côte d'Ivoire"	153	-832	0	-24	-72	93	0.06	9	6793	0.08		
"Ireland"	145	-4332	0	-18	10	36	0.5	4	3265	0.1		
"Czech Republic"	126	-5621	0	-35	10	28	1	4	2987	0.1		
"European Union Nes"	121	-103339	0	25	-5							
"Bolivia, Plurinational State of"	114	113	0		-42	106	0.04	-3	7978	0.11		
"Niger"	100	90	0	15		162	0	13	5715	0.09		
"Gambia"	98	98	0	28	14	167	0	7	8260	0.14		
"Burkina Faso"	90	72	0	-2	-77	136	0.02	5	6109	0.05		
"Bulgaria"	87	-813	0	-27	2786	57	0.2	6	2237	0.05		
"Israel"	75	-2139	0	-30	-63	42	0.4	4	5483	0.07		
"Iran, Islamic Republic of"	73	-270	0	-12		72	0.1	-18	5612	0.13		
"Libya, State of"	68	68	0	34	346	89	0.07	12	3475	0.08		
"Sudan"	59	38	0	-6	-84	122	0.03	-2		0.13		
"Costa Rica"	58	47	0	-5	113	86	0.08	3	6987	0.22		
"Senegal"	57	-236	0	-17	-77	110	0.04	4	6632	0.05		
"Azerbaijan"	55	55	0	25	123	98	0.05	5	3712	0.09		
"Cyprus"	54	7	0	-19	-48	105	0.05	-1	3118	0.09		
"Croatia"	36	-181	0	-6	14	63	0.2	6	1362	0.07		
"Angola"	34	-4	0	23	-37	100	0.05	-11	7692	0.06		
"El Salvador"	30	30	0			88	0.07	9	4914	0.15		
"Liberia"	26	26	0	39	83	87	0.07	17	11608	0.19		
"Djibouti"	26	-268	0	-39	41	130	0.02	5	6387	0.22		
"Guinea"	24	19	0	33	493	135	0.02	7	9140	0.19		
"Chile"	23	-131	0	-13	-2	43	0.4	6	11582	0.13		
"Saint Kitts and Nevis"	22	22	0			201	0	-12	5440	0.41		
"Bahrain"	20	-167	0	10	-20	101	0.05	1	6359	0.08		
"Panama"	18	18	0	-46	450	60	0.2	1	8657	0.12		
"Lebanon"	18	-657	0	-16	-61	97	0.06	-12	3592	0.06		
"Guyana"	17	17	0	-8	17	144	0.02	13	11175	0.21		
"Honduras"	15	10	0			99	0.05	4	6104	0.16		
"Colombia"	15	-313	0	-41		51	0.3	4	8915	0.13		
"Chad"	14	14	0	-43	-18	184	0	13	6931	0.16		
"Mauritania"	14	-40	0	-36	859	146	0.02	1	5817	0.07		
"Estonia"	14	-279	0	-66	-13	73	0.1	6	2314	0.06		
"New Caledonia"	12	-59	0	-18	24	155	0.01	-1	11471	0.2		
"Congo, Democratic Republic of the"	12	-1612	0	-21	-84	111	0.04	13	6479	0.14		
"Albania"	11	-205	0	97	-63	121	0.03	6	1886	0.13		
"Nepal"	10	-28	0	-43	-95	96	0.06	8	1856	0.56		
"Dominica"	9	7	0	4	212	185	0	8	4908	0.65		
"Macedonia, North"	5	-42	0	99	-69	103	0.05	8	1348	0.09		
"Serbia"	5	-219	0	87	-73	65	0.2	9	2497	0.06		
"Belarus"	4	-426	0			61	0.2	2	2268	0.23		
"Tajikistan"	3	3	0			142	0.02	9	2803	0.17		
"Botswana"	3	-3	0	-28	-54	124	0.03	2	2968	0.52		
"Maldives"	2	2	0	-44		151	0.01	-3	4478	0.08		
"Mali"	2	-54	0	-64	-30	141	0.02	9	5008	0.1		
"French Polynesia"	2	-93	0	-74		165	0	1	13300	0.24		
"Luxembourg"	2	-3989	0	-31	-98	71	0.1	3	1488	0.14		
"Palau"	1	1	0			209	0	1	6232	0.16		
"Congo"	1	-337	0	-60		154	0.01	-18	6851	0.07		
"Iceland"		-1				112	0.04	-1	4251	0.05		
"Venezuela, Bolivarian Republic of"		-1				117	0.03	-11	8121	0.16		
"Montenegro"		-1				152	0.01	0	2382	0.08		
"Saint Vincent and the Grenadines"		-1				196	0	3	6798	0.14		
"Vanuatu"		-1				198	0	-2	6248	0.13		
"Saint Lucia"		-2				171	0	-10	5321	0.23		
"Namibia"		-3				126	0.03	-1	3757	0.37		
"Suriname"		-3				173	0	1	9050	0.14		
"Nauru"		-3				211	0	18	6014	0.27		
"Central African Republic"		-4				199	0	7	6606	0.08		
"Cuba"		-5				145	0.02	-13	7148	0.09		
"Ecuador"		-7				69	0.1	3	9174	0.12		
"Fiji"		-8				157	0.01	-7	7384	0.12		
"Myanmar"		-21				79	0.10	-1	2536	0.25		
"Turkmenistan"		-23				148	0.02	4	3495	0.15		
"Paraguay"		-24				92	0.06	0	7311	0.15		
"Lao People's Democratic Republic"		-25				129	0.02	-1	2572	0.28		
"Bosnia and Herzegovina"		-37				94	0.06	3	2228	0.07		
"Gabon"		-56				158	0.01	-2	7114	0.11		
"Lesotho"		-125				164	0	-2	1590	0.78		
"Moldova, Republic of"		-143				118	0.03	8	2317	0.08		
"Falkland Islands (Malvinas)"		-153				207	0	2	12325	0.46		
"Korea, Democratic People's Republic of"		-176				200	0	-49	1470	0.87		
"Guatemala"		-194				68	0.1	7	5828	0.15		
"Nicaragua"		-206				104	0.05	4	5888	0.1		
"Malta"		-515				120	0.03	1	3249	0.08		
"Lithuania"		-1156				59	0.2	7	1630	0.07		
"Uruguay"		-4410				95	0.06	0	9836	0.11		
"Eswatini"		-7019				160	0	1	1597	0.74		
"Trinidad and Tobago"		-7374				128	0.03	-1	6663	0.26		
"Kazakhstan"						58	0.2	6	3017	0.25		
"Uzbekistan"						74	0.1	16	3412	0.12		
"Ship stores and bunkers"						75	0.1	-11		0.16		
"Macao, China"						81	0.09	15		0.17		
"Marshall Islands"						91	0.06	-1	7455	0.18		
"Brunei Darussalam"						109	0.04	26	5185	0.11		
"Gibraltar"						114	0.03	-5	2572	0.09		
"Bahamas"						115	0.03	-8	6248	0.19		
"Cayman Islands"						123	0.03	5	7522	0.35		
"Mongolia"						125	0.03	8	3267	0.22		
"Kyrgyzstan"						127	0.03	1	2892	0.2		
"Armenia"						131	0.02	6	3323	0.15		
"Jamaica"						137	0.02	-2	6759	0.22		
"Syrian Arab Republic"						139	0.02	-3	2496	0.27		
"Haiti"						140	0.02	0	6340	0.18		
"Papua New Guinea"						143	0.02	-1	4973	0.17		
"Afghanistan"						147	0.02	-8	2990	0.12		
"Somalia"						150	0.01	9	5305	0.16		
"British Virgin Islands"						156	0.01	8	7242	0.27		
"Barbados"						161	0	0	4992	0.21		
"Curaçao"						163	0	-12		0.24		
"Andorra"						166	0	2	610	0.52		
"Bermuda"						169	0	-3	8006	0.28		
"Faroe Islands"						172	0	7	1404	0.27		
"Antigua and Barbuda"						174	0	1	6334	0.27		
"Aruba"						175	0	-3	4917	0.3		
"Palestine, State of"						176	0	8	3026	0.1		
"United States Minor Outlying Islands"						177	0	0		0.21		
"Bhutan"						178	0	15	1733	0.63		
"Belize"						179	0	1	5006	0.18		
"Greenland"						180	0	6	3482	0.44		
"Cabo Verde"						181	0	4	5196	0.21		
"Equatorial Guinea"						182	0	2	6008	0.11		
"Timor-Leste"						183	0	12	3988	0.22		
"Free Zones"						186	0	-34		0.92		
"Burundi"						188	0	13	4755	0.14		
"Bonaire, Sint Eustatius and Saba"						189	0	20		0.19		
"Solomon Islands"						190	0	0	6301	0.17		
"Grenada"						191	0	-1	4157	0.2		
"Turks and Caicos Islands"						193	0	-3	3491	0.74		
"South Sudan"						194	0	12		0.25		
"Guinea-Bissau"						195	0	2	5802	0.16		
"Samoa"						197	0	-1	6816	0.13		
"Tonga"						202	0	4	5771	0.16		
"Eritrea"						203	0	-8	6303	0.14		
"Tuvalu"						204	0	17	6386	0.21		
"Kiribati"						205	0	10	5936	0.13		
"Cook Islands"						206	0	-4	9417	0.22		
"Micronesia, Federated States of"						208	0	-8	7109	0.19		
"Sao Tome and Principe"						210	0	-3	6155	0.31		
"Anguilla"						212	0	-5	4397	0.58		
"Sint Maarten (Dutch part)"						213	0	-7		0.43		
"French Southern and Antarctic Territories"						214	0	14		0.12		
"Saint Pierre and Miquelon"						215	0	10	3489	0.45		
"Northern Mariana Islands"						216	0	-19	3811	0.2		
"Saint Helena"						217	0	6	7699	0.31		
"Wallis and Futuna Islands"						218	0	7	10103	0.24		
"British Indian Ocean Territory"						219	0	-9		0.67		
"Christmas Island"						220	0	3		0.69		
"Western Sahara"						221	0	-16	12469	0.9		
"Norfolk Island"						222	0	1	5454	0.24		
"Niue"						223	0	7	11410	0.48		
"Montserrat"						224	0	-7		0.49		
"Cocos (Keeling) Islands"						225	0	8		0.74		
"Tokelau"						226	0	-33	11566	0.22		
"Pitcairn"						227	0	-5		0.23		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
