Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Romania's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Romania (%)	
"Uruguay"	11272	4948	0	17	40	95	0.06	0	9836	0.11		
"Guatemala"	9045	4928	0	33	475	68	0.1	7	5828	0.15		
"Bahrain"	8740	7836	0	5	-37	101	0.05	1	6359	0.08		
"Angola"	8487	8363	0	-13	428	100	0.05	-11	7692	0.06		
"Iceland"	7060	6277	0	-15	106	112	0.04	-1	4251	0.05		
"Peru"	6593	-8235	0	1	-7	54	0.2	3	10420	0.13		
"Mauritania"	6338	6336	0	-16	1388	146	0.02	1	5817	0.07		
"Senegal"	5737	5719	0	-1	3	110	0.04	4	6632	0.05		
"Ghana"	5323	2903	0	-5	58	82	0.08	8	8888	0.18		
"New Caledonia"	4265	4260	0	-6	-47	155	0.01	-1	11471	0.2		
"Armenia"	4163	3945	0	4	-38	131	0.02	6	3323	0.15		
"Dominican Republic"	4139	3018	0	32	88	67	0.1	5	6446	0.22		
"Cameroon"	4060	2179	0	6	-12	116	0.03	8	7279	0.14		
"Honduras"	4009	1434	0	108	482	99	0.05	4	6104	0.16		
"Bangladesh"	3403	-43180	0	4	-83	49	0.3	6	4172	0.15		
"Gabon"	2932	2926	0	-6	-37	158	0.01	-2	7114	0.11		
"Tanzania, United Republic of"	2781	-3211	0	2	-13	102	0.05	7	6633	0.1		
"Congo"	2660	2629	0	-13	-66	154	0.01	-18	6851	0.07		
"Kyrgyzstan"	2571	2198	0	-2	-5	127	0.03	1	2892	0.2		
"Costa Rica"	2497	-11837	0	27	14	86	0.08	3	6987	0.22		
"Cambodia"	2460	-3449	0	10	34	66	0.1	16	2651	0.18		
"Afghanistan"	2218	1664	0	-19	2	147	0.02	-8	2990	0.12		
"French Polynesia"	2061	1973	0	-24	-4	165	0	1	13300	0.24		
"Mongolia"	1798	1660	0	21	191	125	0.03	8	3267	0.22		
"Paraguay"	1731	1525	0	20	87	92	0.06	0	7311	0.15		
"Madagascar"	1666	800	0	-18	42	138	0.02	2	7339	0.08		
"Turkmenistan"	1600	-280228	0	-8	-67	148	0.02	4	3495	0.15		
"Burkina Faso"	1482	1473	0	0	14	136	0.02	5	6109	0.05		
"Bolivia, Plurinational State of"	1392	-4473	0	-20	417	106	0.04	-3	7978	0.11		
"Togo"	1203	1203	0	34	-67	153	0.01	10	7318	0.08		
"Djibouti"	1167	1167	0	-33	-87	130	0.02	5	6387	0.22		
"Macao, China"	1056	1007	0	29	151	81	0.09	15		0.17		
"Myanmar"	994	-5796	0	-6	-83	79	0.10	-1	2536	0.25		
"Malawi"	850	-439	0	149	716	168	0	0	5169	0.15		
"Mozambique"	787	-1656	0	67	-64	108	0.04	8	6196	0.1		
"Sierra Leone"	769	-67425	0	-19	24	170	0	10	8820	0.13		
"Marshall Islands"	622	622	0	-89	15296	91	0.06	-1	7455	0.18		
"Panama"	602	423	0	-49	-43	60	0.2	1	8657	0.12		
"Maldives"	547	547	0	61	811	151	0.01	-3	4478	0.08		
"Andorra"	538	354	0	27	-27	166	0	2	610	0.52		
"Benin"	507	419	0	-31	11	149	0.01	-2	6481	0.07		
"Mauritius"	483	200	0	-36	-52	133	0.02	-2	7320	0.08		
"Liberia"	478	-1321	0	-53	-99	87	0.07	17	11608	0.19		
"Cabo Verde"	469	254	0	-15	20	181	0	4	5196	0.21		
"Tajikistan"	425	425	0	-1	-25	142	0.02	9	2803	0.17		
"Niger"	411	407	0	-38	153	162	0	13	5715	0.09		
"Trinidad and Tobago"	398	343	0	-16	-89	128	0.03	-1	6663	0.26		
"Somalia"	386	378	0	-55	83	150	0.01	9	5305	0.16		
"Mali"	353	352	0	-40	-42	141	0.02	9	5008	0.1		
"Guyana"	334	-404	0	46	168	144	0.02	13	11175	0.21		
"Nepal"	332	88	0	-41	2092	96	0.06	8	1856	0.56		
"Faroe Islands"	322	280	0	-8	171	172	0	7	1404	0.27		
"Guinea"	318	-538	0	-55	-64	135	0.02	7	9140	0.19		
"Lao People's Democratic Republic"	280	212	0	-10	-81	129	0.02	-1	2572	0.28		
"United States Minor Outlying Islands"	278	275	0	17	2641	177	0	0		0.21		
"Nicaragua"	276	-1112	0	8	410	104	0.05	4	5888	0.1		
"Gambia"	253	253	0	115	-33	167	0	7	8260	0.14		
"Saint Vincent and the Grenadines"	248	248	0	66	238	196	0	3	6798	0.14		
"Congo, Democratic Republic of the"	234	-140	0	-57	556	111	0.04	13	6479	0.14		
"Papua New Guinea"	230	118	0	10	-43	143	0.02	-1	4973	0.17		
"Brunei Darussalam"	189	188	0	-15	-70	109	0.04	26	5185	0.11		
"Turks and Caicos Islands"	146	146	0	140		193	0	-3	3491	0.74		
"Cuba"	143	-10405	0	-56	509	145	0.02	-13	7148	0.09		
"Curaçao"	127	121	0	313	69	163	0	-12		0.24		
"Palau"	126	126	0	81		209	0	1	6232	0.16		
"British Indian Ocean Territory"	124	124	0			219	0	-9		0.67		
"Zambia"	123	-189	0	-14	143	119	0.03	-9	5447	0.14		
"Uganda"	121	-6708	0	-39	-77	132	0.02	11	5788	0.09		
"Venezuela, Bolivarian Republic of"	115	-2221	0	-45	30	117	0.03	-11	8121	0.16		
"El Salvador"	108	-119	0	68	-65	88	0.07	9	4914	0.15		
"Belize"	106	-7762	0	39	2304	179	0	1	5006	0.18		
"Suriname"	105	88	0	48	147	173	0	1	9050	0.14		
"Saint Pierre and Miquelon"	102	102	0	12	-4	215	0	10	3489	0.45		
"Central African Republic"	95	95	0		-34	199	0	7	6606	0.08		
"Guinea-Bissau"	95	94	0	-29	2139	195	0	2	5802	0.16		
"Equatorial Guinea"	92	66	0	6	19	182	0	2	6008	0.11		
"Chad"	90	54	0	-57	-68	184	0	13	6931	0.16		
"Aruba"	85	85	0	219		175	0	-3	4917	0.3		
"Comoros"	63	63	0	-26	1	192	0	18	5731	0.22		
"Bahamas"	54	50	0	-22	-18	115	0.03	-8	6248	0.19		
"Barbados"	49	-59	0	139		161	0	0	4992	0.21		
"Rwanda"	49	-302	0	-32	-59	159	0.01	17	5437	0.08		
"Haiti"	47	20	0	-2	-62	140	0.02	0	6340	0.18		
"Antigua and Barbuda"	36	15	0	-27	690	174	0	1	6334	0.27		
"Saint Lucia"	33	33	0	158	295	171	0	-10	5321	0.23		
"Montserrat"	28	-93	0	29	-73	224	0	-7		0.49		
"Burundi"	27	-759	0	29	-90	188	0	13	4755	0.14		
"South Sudan"	26	26	0		-67	194	0	12		0.25		
"Dominica"	25	-18	0		63	185	0	8	4908	0.65		
"Botswana"	23	23	0	-51	348	124	0.03	2	2968	0.52		
"Jamaica"	23	0	0	36	-94	137	0.02	-2	6759	0.22		
"British Virgin Islands"	22	20	0	92	-19	156	0.01	8	7242	0.27		
"Zimbabwe"	19	-7373	0		237	134	0.02	7	3754	0.39		
"Nauru"	16	16	0	156		211	0	18	6014	0.27		
"Bermuda"	15	15	0	-6		169	0	-3	8006	0.28		
"Eritrea"	10	10	0			203	0	-8	6303	0.14		
"Sint Maarten (Dutch part)"	10	10	0	10	17	213	0	-7		0.43		
"Cook Islands"	3	3	0	-18		206	0	-4	9417	0.22		
"Saint Kitts and Nevis"	3	-3	0	-54		201	0	-12	5440	0.41		
"Cayman Islands"	2	0	0			123	0.03	5	7522	0.35		
"Cocos (Keeling) Islands"	2	-216	0			225	0	8		0.74		
"Fiji"	1	-1	0			157	0.01	-7	7384	0.12		
"Timor-Leste"		-1				183	0	12	3988	0.22		
"Korea, Democratic People's Republic of"		-1				200	0	-49	1470	0.87		
"Micronesia, Federated States of"		-1				208	0	-8	7109	0.19		
"Christmas Island"		-1				220	0	3		0.69		
"Bonaire, Sint Eustatius and Saba"		-15				189	0	20		0.19		
"Tokelau"		-17				226	0	-33	11566	0.22		
"Saint Helena"		-18				217	0	6	7699	0.31		
"Lesotho"		-43				164	0	-2	1590	0.78		
"Seychelles"		-102				187	0	-7	6627	0.06		
"Eswatini"		-810				160	0	1	1597	0.74		
"Bhutan"						178	0	15	1733	0.63		
"Greenland"						180	0	6	3482	0.44		
"Free Zones"						186	0	-34		0.92		
"Solomon Islands"						190	0	0	6301	0.17		
"Grenada"						191	0	-1	4157	0.2		
"Samoa"						197	0	-1	6816	0.13		
"Vanuatu"						198	0	-2	6248	0.13		
"Tonga"						202	0	4	5771	0.16		
"Tuvalu"						204	0	17	6386	0.21		
"Kiribati"						205	0	10	5936	0.13		
"Falkland Islands (Malvinas)"						207	0	2	12325	0.46		
"Sao Tome and Principe"						210	0	-3	6155	0.31		
"Anguilla"						212	0	-5	4397	0.58		
"French Southern and Antarctic Territories"						214	0	14		0.12		
"Northern Mariana Islands"						216	0	-19	3811	0.2		
"Wallis and Futuna Islands"						218	0	7	10103	0.24		
"Western Sahara"						221	0	-16	12469	0.9		
"Norfolk Island"						222	0	1	5454	0.24		
"Niue"						223	0	7	11410	0.48		
"Pitcairn"						227	0	-5		0.23		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
