Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Ghana's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Ghana (%)	
"Denmark"	3622	-45042	0	-25	-64	35	0.6	5	2182	0.08		
"Colombia"	3501	369	0	101	401	51	0.3	4	8915	0.13		
"Slovakia"	3418	-4051	0	-3	114	38	0.5	4	2664	0.07		
"Saudi Arabia"	3197	-134693	0	-17	7	32	0.7	3	5816	0.07		
"Slovenia"	3170	-15661	0	37	10	55	0.2	10	2404	0.07		
"Mexico"	2877	874	0	11	26	13	2.3	2	7039	0.24		
"Tanzania, United Republic of"	2842	-205	0	67	791	102	0.05	7	6633	0.1		
"Czech Republic"	2779	-55170	0	-24	26	28	1	4	2987	0.1		
"Sweden"	2767	-88214	0	-24	81	31	0.9	3	2128	0.07		
"Pakistan"	2550	-52059	0	-4	26	47	0.3	2	4850	0.11		
"Romania"	2420	-2903	0	18	278	37	0.5	6	1891	0.07		
"Taipei, Chinese"	2319	-35590	0	-25	-95	17	1.7	8	5007	0.1		
"Argentina"	2174	-88054	0	104	154	50	0.3	-5	10631	0.1		
"Uzbekistan"	2104	2104	0	194	111	74	0.1	16	3412	0.12		
"Congo"	2082	-2076	0	-54	-4	154	0.01	-18	6851	0.07		
"Bosnia and Herzegovina"	1896	1278	0	-10	0	94	0.06	3	2228	0.07		
"Norway"	1546	-52168	0	-16	-57	39	0.5	3	3470	0.06		
"Finland"	1163	-49892	0	21	16	44	0.4	3	2842	0.07		
"Ethiopia"	888	-27	0	39	23	90	0.07	1	6305	0.11		
"Lithuania"	845	-21523	0	80	193	59	0.2	7	1630	0.07		
"Zambia"	689	-1565	0	-20	125	119	0.03	-9	5447	0.14		
"Austria"	667	-15920	0	-4	27	27	1	3	1514	0.18		
"Iceland"	469	89	0	4	20	112	0.04	-1	4251	0.05		
"Armenia"	465	447	0	-25	405	131	0.02	6	3323	0.15		
"Guatemala"	354	-15374	0	1	659	68	0.1	7	5828	0.15		
"Guyana"	338	-148	0	121	2266	144	0.02	13	11175	0.21		
"Philippines"	305	-3976	0	-31	-54	34	0.6	2	4354	0.09		
"Madagascar"	297	-120	0	55	1400	138	0.02	2	7339	0.08		
"Latvia"	280	-6728	0	-40	-49	77	0.1	7	1575	0.08		
"Hungary"	246	-15967	0	52	-57	33	0.6	6	2180	0.09		
"Luxembourg"	245	-12232	0	45	-35	71	0.1	3	1488	0.14		
"Mozambique"	242	-2218	0	3	-58	108	0.04	8	6196	0.1		
"Cambodia"	220	-1456	0	-20	48	66	0.1	16	2651	0.18		
"Croatia"	163	-3891	0	38	-10	63	0.2	6	1362	0.07		
"Cyprus"	156	-10483	0	-6	550	105	0.05	-1	3118	0.09		
"Mauritania"	149	-20927	0	-14	29	146	0.02	1	5817	0.07		
"Malta"	144	-31803	0	23	-15	120	0.03	1	3249	0.08		
"Maldives"	109	109	0	39	1118	151	0.01	-3	4478	0.08		
"Peru"	103	-24348	0	10	-56	54	0.2	3	10420	0.13		
"Georgia"	71	-181	0		385	113	0.04	-2	2513	0.09		
"Chile"	49	-23810	0	-24	-52	43	0.4	6	11582	0.13		
"Ecuador"	45	-10277	0	-18	1112	69	0.1	3	9174	0.12		
"Montenegro"	30	29	0	168	2406	152	0.01	0	2382	0.08		
"Azerbaijan"	24	-123	0	-20		98	0.05	5	3712	0.09		
"Macao, China"	21	21	0	149		81	0.09	15		0.17		
"Mauritius"	19	-691	0	-28	-91	133	0.02	-2	7320	0.08		
"Barbados"	18	12	0	-60	619	161	0	0	4992	0.21		
"Moldova, Republic of"	14	-1164	0	-75	-61	118	0.03	8	2317	0.08		
"El Salvador"	4	3	0	-72		88	0.07	9	4914	0.15		
"Honduras"	1	-3454	0	-16		99	0.05	4	6104	0.16		
"Kyrgyzstan"		-1				127	0.03	1	2892	0.2		
"Comoros"		-4				192	0	18	5731	0.22		
"Lao People's Democratic Republic"		-224				129	0.02	-1	2572	0.28		
"Paraguay"		-1235				92	0.06	0	7311	0.15		
"Nicaragua"		-1542				104	0.05	4	5888	0.1		
"Bolivia, Plurinational State of"		-4658				106	0.04	-3	7978	0.11		
"Viet Nam"						19	1.5	8	3535	0.19		
"United Arab Emirates"						29	0.9	-2	5715	0.08		
"Bangladesh"						49	0.3	6	4172	0.15		
"Kazakhstan"						58	0.2	6	3017	0.25		
"Panama"						60	0.2	1	8657	0.12		
"Iraq"						62	0.2	3	4107	0.18		
"Algeria"						64	0.2	-8	4584	0.07		
"Qatar"						70	0.1	0	5745	0.06		
"Iran, Islamic Republic of"						72	0.1	-18	5612	0.13		
"Ship stores and bunkers"						75	0.1	-11		0.16		
"Kuwait"						76	0.1	-3	5837	0.07		
"Myanmar"						79	0.10	-1	2536	0.25		
"Oman"						83	0.08	-6	5977	0.08		
"Jordan"						84	0.08	0	5167	0.07		
"Sri Lanka"						85	0.08	-3	4351	0.16		
"Costa Rica"						86	0.08	3	6987	0.22		
"Liberia"						87	0.07	17	11608	0.19		
"Libya, State of"						89	0.07	12	3475	0.08		
"Marshall Islands"						91	0.06	-1	7455	0.18		
"Côte d'Ivoire"						93	0.06	9	6793	0.08		
"Uruguay"						95	0.06	0	9836	0.11		
"Nepal"						96	0.06	8	1856	0.56		
"Lebanon"						97	0.06	-12	3592	0.06		
"Bahrain"						101	0.05	1	6359	0.08		
"Macedonia, North"						103	0.05	8	1348	0.09		
"Yemen"						107	0.04	11	5706	0.11		
"Brunei Darussalam"						109	0.04	26	5185	0.11		
"Congo, Democratic Republic of the"						111	0.04	13	6479	0.14		
"Gibraltar"						114	0.03	-5	2572	0.09		
"Bahamas"						115	0.03	-8	6248	0.19		
"Cameroon"						116	0.03	8	7279	0.14		
"Venezuela, Bolivarian Republic of"						117	0.03	-11	8121	0.16		
"Albania"						121	0.03	6	1886	0.13		
"Sudan"						122	0.03	-2		0.13		
"Cayman Islands"						123	0.03	5	7522	0.35		
"Botswana"						124	0.03	2	2968	0.52		
"Mongolia"						125	0.03	8	3267	0.22		
"Namibia"						126	0.03	-1	3757	0.37		
"Trinidad and Tobago"						128	0.03	-1	6663	0.26		
"Djibouti"						130	0.02	5	6387	0.22		
"Uganda"						132	0.02	11	5788	0.09		
"Zimbabwe"						134	0.02	7	3754	0.39		
"Guinea"						135	0.02	7	9140	0.19		
"Jamaica"						137	0.02	-2	6759	0.22		
"Syrian Arab Republic"						139	0.02	-3	2496	0.27		
"Haiti"						140	0.02	0	6340	0.18		
"Mali"						141	0.02	9	5008	0.1		
"Tajikistan"						142	0.02	9	2803	0.17		
"Papua New Guinea"						143	0.02	-1	4973	0.17		
"Cuba"						145	0.02	-13	7148	0.09		
"Afghanistan"						147	0.02	-8	2990	0.12		
"Turkmenistan"						148	0.02	4	3495	0.15		
"Somalia"						150	0.01	9	5305	0.16		
"New Caledonia"						155	0.01	-1	11471	0.2		
"British Virgin Islands"						156	0.01	8	7242	0.27		
"Fiji"						157	0.01	-7	7384	0.12		
"Gabon"						158	0.01	-2	7114	0.11		
"Rwanda"						159	0.01	17	5437	0.08		
"Eswatini"						160	0	1	1597	0.74		
"Niger"						162	0	13	5715	0.09		
"Curaçao"						163	0	-12		0.24		
"Lesotho"						164	0	-2	1590	0.78		
"French Polynesia"						165	0	1	13300	0.24		
"Andorra"						166	0	2	610	0.52		
"Gambia"						167	0	7	8260	0.14		
"Malawi"						168	0	0	5169	0.15		
"Bermuda"						169	0	-3	8006	0.28		
"Sierra Leone"						170	0	10	8820	0.13		
"Saint Lucia"						171	0	-10	5321	0.23		
"Faroe Islands"						172	0	7	1404	0.27		
"Suriname"						173	0	1	9050	0.14		
"Antigua and Barbuda"						174	0	1	6334	0.27		
"Aruba"						175	0	-3	4917	0.3		
"Palestine, State of"						176	0	8	3026	0.1		
"United States Minor Outlying Islands"						177	0	0		0.21		
"Bhutan"						178	0	15	1733	0.63		
"Belize"						179	0	1	5006	0.18		
"Greenland"						180	0	6	3482	0.44		
"Cabo Verde"						181	0	4	5196	0.21		
"Equatorial Guinea"						182	0	2	6008	0.11		
"Timor-Leste"						183	0	12	3988	0.22		
"Chad"						184	0	13	6931	0.16		
"Dominica"						185	0	8	4908	0.65		
"Free Zones"						186	0	-34		0.92		
"Seychelles"						187	0	-7	6627	0.06		
"Burundi"						188	0	13	4755	0.14		
"Bonaire, Sint Eustatius and Saba"						189	0	20		0.19		
"Solomon Islands"						190	0	0	6301	0.17		
"Grenada"						191	0	-1	4157	0.2		
"Turks and Caicos Islands"						193	0	-3	3491	0.74		
"South Sudan"						194	0	12		0.25		
"Guinea-Bissau"						195	0	2	5802	0.16		
"Saint Vincent and the Grenadines"						196	0	3	6798	0.14		
"Samoa"						197	0	-1	6816	0.13		
"Vanuatu"						198	0	-2	6248	0.13		
"Central African Republic"						199	0	7	6606	0.08		
"Korea, Democratic People's Republic of"						200	0	-49	1470	0.87		
"Saint Kitts and Nevis"						201	0	-12	5440	0.41		
"Tonga"						202	0	4	5771	0.16		
"Eritrea"						203	0	-8	6303	0.14		
"Tuvalu"						204	0	17	6386	0.21		
"Kiribati"						205	0	10	5936	0.13		
"Cook Islands"						206	0	-4	9417	0.22		
"Falkland Islands (Malvinas)"						207	0	2	12325	0.46		
"Micronesia, Federated States of"						208	0	-8	7109	0.19		
"Palau"						209	0	1	6232	0.16		
"Sao Tome and Principe"						210	0	-3	6155	0.31		
"Nauru"						211	0	18	6014	0.27		
"Anguilla"						212	0	-5	4397	0.58		
"Sint Maarten (Dutch part)"						213	0	-7		0.43		
"French Southern and Antarctic Territories"						214	0	14		0.12		
"Saint Pierre and Miquelon"						215	0	10	3489	0.45		
"Northern Mariana Islands"						216	0	-19	3811	0.2		
"Saint Helena"						217	0	6	7699	0.31		
"Wallis and Futuna Islands"						218	0	7	10103	0.24		
"British Indian Ocean Territory"						219	0	-9		0.67		
"Christmas Island"						220	0	3		0.69		
"Western Sahara"						221	0	-16	12469	0.9		
"Norfolk Island"						222	0	1	5454	0.24		
"Niue"						223	0	7	11410	0.48		
"Montserrat"						224	0	-7		0.49		
"Cocos (Keeling) Islands"						225	0	8		0.74		
"Tokelau"						226	0	-33	11566	0.22		
"Pitcairn"						227	0	-5		0.23		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
