Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Senegal's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Senegal (%)	
"Venezuela, Bolivarian Republic of"	172	131	0	24	-22	117	0.03	-11	8121	0.16		
"Saudi Arabia"	169	-20829	0	-41	-63	32	0.7	3	5816	0.07		
"Lithuania"	154	-9878	0		55	59	0.2	7	1630	0.07		
"Albania"	142	-6586	0	26	-90	121	0.03	6	1886	0.13		
"Seychelles"	128	128	0		264	187	0	-7	6627	0.06		
"Ethiopia"	96	90	0	-35	233	90	0.07	1	6305	0.11		
"Papua New Guinea"	80	64	0	44		143	0.02	-1	4973	0.17		
"Namibia"	79	79	0	-47		126	0.03	-1	3757	0.37		
"Iran, Islamic Republic of"	79	-6542	0	-51	-75	72	0.1	-18	5612	0.13		
"Austria"	76	-3351	0	-26	-69	27	1	3	1514	0.18		
"Romania"	58	-6389	0		855	37	0.5	6	1891	0.07		
"Malta"	56	-1965	0	-46	-67	120	0.03	1	3249	0.08		
"Georgia"	45	-313	0	-11	-78	113	0.04	-2	2513	0.09		
"Montenegro"	38	-43	0	-18		152	0.01	0	2382	0.08		
"Costa Rica"	36	-89	0	49	-65	86	0.08	3	6987	0.22		
"Djibouti"	29	3	0	-21	2504	130	0.02	5	6387	0.22		
"Croatia"	28	-434	0			63	0.2	6	1362	0.07		
"Pakistan"	21	-15931	0	-50	-98	47	0.3	2	4850	0.11		
"Czech Republic"	16	-6209	0	108	-35	28	1	4	2987	0.1		
"Iraq"	12	-139	0	71	-73	62	0.2	3	4107	0.18		
"Kenya"	11	-1462	0	-54	-48	80	0.09	2	6680	0.08		
"Finland"	11	-28268	0	-21	-39	44	0.4	3	2842	0.07		
"Rwanda"	10	-210	0	38	-84	159	0.01	17	5437	0.08		
"Comoros"	8	8	0	51	-55	192	0	18	5731	0.22		
"Cyprus"	5	-5	0	-71	-98	105	0.05	-1	3118	0.09		
"Oman"	4	-4310	0	5	-94	83	0.08	-6	5977	0.08		
"Jordan"	3	-743	0	-42	-97	84	0.08	0	5167	0.07		
"Kuwait"	1	-8271	0	-74		76	0.1	-3	5837	0.07		
"Bosnia and Herzegovina"		-1				94	0.06	3	2228	0.07		
"Guatemala"		-2				68	0.1	7	5828	0.15		
"Saint Helena"		-3				217	0	6	7699	0.31		
"Suriname"		-4				173	0	1	9050	0.14		
"Lao People's Democratic Republic"		-5				129	0.02	-1	2572	0.28		
"Serbia"		-6				65	0.2	9	2497	0.06		
"Latvia"		-9				77	0.1	7	1575	0.08		
"Andorra"		-13				166	0	2	610	0.52		
"Syrian Arab Republic"		-17				139	0.02	-3	2496	0.27		
"Honduras"		-19				99	0.05	4	6104	0.16		
"Guyana"		-26				144	0.02	13	11175	0.21		
"Armenia"		-27				131	0.02	6	3323	0.15		
"Macao, China"		-32				81	0.09	15		0.17		
"Myanmar"		-43				79	0.10	-1	2536	0.25		
"Turks and Caicos Islands"		-58				193	0	-3	3491	0.74		
"Cuba"		-93				145	0.02	-13	7148	0.09		
"Nicaragua"		-100				104	0.05	4	5888	0.1		
"Estonia"		-111				73	0.1	6	2314	0.06		
"Samoa"		-135				197	0	-1	6816	0.13		
"Timor-Leste"		-139				183	0	12	3988	0.22		
"Sri Lanka"		-147				85	0.08	-3	4351	0.16		
"Belize"		-163				179	0	1	5006	0.18		
"Afghanistan"		-164				147	0.02	-8	2990	0.12		
"Malawi"		-231				168	0	0	5169	0.15		
"Philippines"		-237				34	0.6	2	4354	0.09		
"Libya, State of"		-321				89	0.07	12	3475	0.08		
"Cambodia"		-391				66	0.1	16	2651	0.18		
"Falkland Islands (Malvinas)"		-614				207	0	2	12325	0.46		
"Azerbaijan"		-816				98	0.05	5	3712	0.09		
"Slovenia"		-1008				55	0.2	10	2404	0.07		
"Sao Tome and Principe"		-1040				210	0	-3	6155	0.31		
"Bahrain"		-1196				101	0.05	1	6359	0.08		
"Trinidad and Tobago"		-1244				128	0.03	-1	6663	0.26		
"Somalia"		-1460				150	0.01	9	5305	0.16		
"Slovakia"		-2471				38	0.5	4	2664	0.07		
"United States Minor Outlying Islands"		-2930				177	0	0		0.21		
"Antigua and Barbuda"		-3513				174	0	1	6334	0.27		
"Belarus"		-5338				61	0.2	2	2268	0.23		
"Qatar"		-6307				70	0.1	0	5745	0.06		
"Uruguay"		-9598				95	0.06	0	9836	0.11		
"Paraguay"		-9766				92	0.06	0	7311	0.15		
"Kazakhstan"		-15793				58	0.2	6	3017	0.25		
"Ireland"		-18733				36	0.5	4	3265	0.1		
"Argentina"		-92954				50	0.3	-5	10631	0.1		
"Dominican Republic"						67	0.1	5	6446	0.22		
"Luxembourg"						71	0.1	3	1488	0.14		
"Uzbekistan"						74	0.1	16	3412	0.12		
"El Salvador"						88	0.07	9	4914	0.15		
"Marshall Islands"						91	0.06	-1	7455	0.18		
"Nepal"						96	0.06	8	1856	0.56		
"Macedonia, North"						103	0.05	8	1348	0.09		
"Bolivia, Plurinational State of"						106	0.04	-3	7978	0.11		
"Yemen"						107	0.04	11	5706	0.11		
"Gibraltar"						114	0.03	-5	2572	0.09		
"Bahamas"						115	0.03	-8	6248	0.19		
"Moldova, Republic of"						118	0.03	8	2317	0.08		
"Cayman Islands"						123	0.03	5	7522	0.35		
"Mongolia"						125	0.03	8	3267	0.22		
"Kyrgyzstan"						127	0.03	1	2892	0.2		
"Zimbabwe"						134	0.02	7	3754	0.39		
"Jamaica"						137	0.02	-2	6759	0.22		
"Tajikistan"						142	0.02	9	2803	0.17		
"Turkmenistan"						148	0.02	4	3495	0.15		
"Maldives"						151	0.01	-3	4478	0.08		
"New Caledonia"						155	0.01	-1	11471	0.2		
"British Virgin Islands"						156	0.01	8	7242	0.27		
"Fiji"						157	0.01	-7	7384	0.12		
"Barbados"						161	0	0	4992	0.21		
"Curaçao"						163	0	-12		0.24		
"Lesotho"						164	0	-2	1590	0.78		
"French Polynesia"						165	0	1	13300	0.24		
"Bermuda"						169	0	-3	8006	0.28		
"Saint Lucia"						171	0	-10	5321	0.23		
"Faroe Islands"						172	0	7	1404	0.27		
"Aruba"						175	0	-3	4917	0.3		
"Palestine, State of"						176	0	8	3026	0.1		
"Bhutan"						178	0	15	1733	0.63		
"Greenland"						180	0	6	3482	0.44		
"Dominica"						185	0	8	4908	0.65		
"Free Zones"						186	0	-34		0.92		
"Bonaire, Sint Eustatius and Saba"						189	0	20		0.19		
"Solomon Islands"						190	0	0	6301	0.17		
"Grenada"						191	0	-1	4157	0.2		
"South Sudan"						194	0	12		0.25		
"Saint Vincent and the Grenadines"						196	0	3	6798	0.14		
"Vanuatu"						198	0	-2	6248	0.13		
"Saint Kitts and Nevis"						201	0	-12	5440	0.41		
"Eritrea"						203	0	-8	6303	0.14		
"Tuvalu"						204	0	17	6386	0.21		
"Kiribati"						205	0	10	5936	0.13		
"Cook Islands"						206	0	-4	9417	0.22		
"Micronesia, Federated States of"						208	0	-8	7109	0.19		
"Palau"						209	0	1	6232	0.16		
"Nauru"						211	0	18	6014	0.27		
"Anguilla"						212	0	-5	4397	0.58		
"Sint Maarten (Dutch part)"						213	0	-7		0.43		
"French Southern and Antarctic Territories"						214	0	14		0.12		
"Saint Pierre and Miquelon"						215	0	10	3489	0.45		
"Northern Mariana Islands"						216	0	-19	3811	0.2		
"Wallis and Futuna Islands"						218	0	7	10103	0.24		
"British Indian Ocean Territory"						219	0	-9		0.67		
"Christmas Island"						220	0	3		0.69		
"Western Sahara"						221	0	-16	12469	0.9		
"Norfolk Island"						222	0	1	5454	0.24		
"Niue"						223	0	7	11410	0.48		
"Montserrat"						224	0	-7		0.49		
"Cocos (Keeling) Islands"						225	0	8		0.74		
"Tokelau"						226	0	-33	11566	0.22		
"Pitcairn"						227	0	-5		0.23		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
