Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Guatemala's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Guatemala (%)	
"Ireland"	2395	-20350	0	58	-26	36	0.5	4	3265	0.1		
"Bahrain"	2288	2145	0	31	-54	101	0.05	1	6359	0.08		
"Viet Nam"	2247	-341204	0	-17	-64	19	1.5	8	3535	0.19		
"Cayman Islands"	2227	2212	0	118	3391	123	0.03	5	7522	0.35		
"Paraguay"	1959	-3453	0	9	131	92	0.06	0	7311	0.15		
"Curaçao"	1884	-35969	0	-5	14	163	0	-12		0.24		
"Afghanistan"	1660	-173	0	6	734	147	0.02	-8	2990	0.12		
"Myanmar"	1405	1403	0	-35	5	79	0.10	-1	2536	0.25		
"Sudan"	1336	970	0	4	50	122	0.03	-2		0.13		
"Denmark"	1336	-13203	0	-10	11	35	0.6	5	2182	0.08		
"Croatia"	1279	-354	0	59	95	63	0.2	6	1362	0.07		
"Aruba"	1109	1097	0	4	40	175	0	-3	4917	0.3		
"Czech Republic"	1002	-1428	0	14	11	28	1	4	2987	0.1		
"Cameroon"	878	878	0	21	-75	116	0.03	8	7279	0.14		
"Nepal"	742	742	0	-47	219	96	0.06	8	1856	0.56		
"Latvia"	661	-2600	0	14	76	77	0.1	7	1575	0.08		
"Saint Lucia"	627	627	0	-20	-20	171	0	-10	5321	0.23		
"Indonesia"	611	-75783	0	-43	-96	30	0.9	2	5872	0.11		
"Austria"	575	-12234	0	12	204	27	1	3	1514	0.18		
"Sri Lanka"	565	-4955	0	-57	164	85	0.08	-3	4351	0.16		
"Estonia"	551	-30578	0	2	61	73	0.1	6	2314	0.06		
"Belarus"	504	115	0		205	61	0.2	2	2268	0.23		
"Wallis and Futuna Islands"	478	478	0		130	218	0	7	10103	0.24		
"Saint Vincent and the Grenadines"	451	451	0	8	-40	196	0	3	6798	0.14		
"Lithuania"	366	-46866	0	-33	1205	59	0.2	7	1630	0.07		
"Grenada"	346	346	0	-26	-25	191	0	-1	4157	0.2		
"Antigua and Barbuda"	323	240	0	-19	-41	174	0	1	6334	0.27		
"Bermuda"	306	306	0	79	118	169	0	-3	8006	0.28		
"Kenya"	293	174	0	-62	141	80	0.09	2	6680	0.08		
"Dominica"	278	277	0	-2	-59	185	0	8	4908	0.65		
"Slovakia"	242	-1390	0	37		38	0.5	4	2664	0.07		
"Madagascar"	200	200	0	0		138	0.02	2	7339	0.08		
"Liberia"	198	198	0		690	87	0.07	17	11608	0.19		
"Saint Kitts and Nevis"	177	177	0	-28	-53	201	0	-12	5440	0.41		
"Cambodia"	164	-77	0	13	472	66	0.1	16	2651	0.18		
"Luxembourg"	155	-29	0	163		71	0.1	3	1488	0.14		
"Sierra Leone"	145	145	0		145	170	0	10	8820	0.13		
"Malta"	136	129	0		967	120	0.03	1	3249	0.08		
"Bulgaria"	133	-4383	0	-9	-95	57	0.2	6	2237	0.05		
"Algeria"	130	-1031	0		355	64	0.2	-8	4584	0.07		
"Macedonia, North"	128	113	0	149	-70	103	0.05	8	1348	0.09		
"Uzbekistan"	125	125	0		-13	74	0.1	16	3412	0.12		
"Ethiopia"	113	112	0	-28	2406	90	0.07	1	6305	0.11		
"Palestine, State of"	112	112	0		148	176	0	8	3026	0.1		
"Armenia"	93	93	0			131	0.02	6	3323	0.15		
"Namibia"	71	61	0		-88	126	0.03	-1	3757	0.37		
"Bosnia and Herzegovina"	68	68	0		-54	94	0.06	3	2228	0.07		
"Marshall Islands"	63	63	0	-20	1650	91	0.06	-1	7455	0.18		
"Eswatini"	54	43	0		1780	160	0	1	1597	0.74		
"Iceland"	29	3	0	-14	-5	112	0.04	-1	4251	0.05		
"Montserrat"	21	21	0	-20	33	224	0	-7		0.49		
"Tunisia"	21	-728	0		-100	78	0.10	-1	3411	0.06		
"Anguilla"	20	20	0	-57		212	0	-5	4397	0.58		
"Gambia"	17	17	0			167	0	7	8260	0.14		
"Georgia"	17	-82	0	28	-53	113	0.04	-2	2513	0.09		
"Albania"	5	2	0	-78		121	0.03	6	1886	0.13		
"Senegal"	5	0	0	-91		110	0.04	4	6632	0.05		
"Serbia"	1	-523	0			65	0.2	9	2497	0.06		
"Hungary"	1	-1950	0	-59		33	0.6	6	2180	0.09		
"Mongolia"		-1				125	0.03	8	3267	0.22		
"Congo"		-1				154	0.01	-18	6851	0.07		
"Burkina Faso"		-4				136	0.02	5	6109	0.05		
"Cook Islands"		-4				206	0	-4	9417	0.22		
"Iran, Islamic Republic of"		-6				72	0.1	-18	5612	0.13		
"Northern Mariana Islands"		-8				216	0	-19	3811	0.2		
"Micronesia, Federated States of"		-19				208	0	-8	7109	0.19		
"Papua New Guinea"		-22				143	0.02	-1	4973	0.17		
"Lao People's Democratic Republic"		-38				129	0.02	-1	2572	0.28		
"Saint Helena"		-77				217	0	6	7699	0.31		
"Cabo Verde"		-82				181	0	4	5196	0.21		
"British Virgin Islands"		-232				156	0.01	8	7242	0.27		
"Cyprus"		-236				105	0.05	-1	3118	0.09		
"Andorra"		-276				166	0	2	610	0.52		
"Djibouti"		-304				130	0.02	5	6387	0.22		
"Nigeria"		-2316				53	0.2	17	7792	0.1		
"Macao, China"		-3658				81	0.09	15		0.17		
"Seychelles"		-13608				187	0	-7	6627	0.06		
"Kazakhstan"						58	0.2	6	3017	0.25		
"Ship stores and bunkers"						75	0.1	-11		0.16		
"Azerbaijan"						98	0.05	5	3712	0.09		
"Angola"						100	0.05	-11	7692	0.06		
"Tanzania, United Republic of"						102	0.05	7	6633	0.1		
"Yemen"						107	0.04	11	5706	0.11		
"Mozambique"						108	0.04	8	6196	0.1		
"Brunei Darussalam"						109	0.04	26	5185	0.11		
"Gibraltar"						114	0.03	-5	2572	0.09		
"Moldova, Republic of"						118	0.03	8	2317	0.08		
"Zambia"						119	0.03	-9	5447	0.14		
"Botswana"						124	0.03	2	2968	0.52		
"Kyrgyzstan"						127	0.03	1	2892	0.2		
"Uganda"						132	0.02	11	5788	0.09		
"Mauritius"						133	0.02	-2	7320	0.08		
"Zimbabwe"						134	0.02	7	3754	0.39		
"Guinea"						135	0.02	7	9140	0.19		
"Mali"						141	0.02	9	5008	0.1		
"Tajikistan"						142	0.02	9	2803	0.17		
"Turkmenistan"						148	0.02	4	3495	0.15		
"Benin"						149	0.01	-2	6481	0.07		
"Somalia"						150	0.01	9	5305	0.16		
"Maldives"						151	0.01	-3	4478	0.08		
"Montenegro"						152	0.01	0	2382	0.08		
"New Caledonia"						155	0.01	-1	11471	0.2		
"Fiji"						157	0.01	-7	7384	0.12		
"Gabon"						158	0.01	-2	7114	0.11		
"Rwanda"						159	0.01	17	5437	0.08		
"Niger"						162	0	13	5715	0.09		
"Lesotho"						164	0	-2	1590	0.78		
"French Polynesia"						165	0	1	13300	0.24		
"Malawi"						168	0	0	5169	0.15		
"Faroe Islands"						172	0	7	1404	0.27		
"Bhutan"						178	0	15	1733	0.63		
"Greenland"						180	0	6	3482	0.44		
"Equatorial Guinea"						182	0	2	6008	0.11		
"Timor-Leste"						183	0	12	3988	0.22		
"Chad"						184	0	13	6931	0.16		
"Free Zones"						186	0	-34		0.92		
"Burundi"						188	0	13	4755	0.14		
"Bonaire, Sint Eustatius and Saba"						189	0	20		0.19		
"Solomon Islands"						190	0	0	6301	0.17		
"Comoros"						192	0	18	5731	0.22		
"Turks and Caicos Islands"						193	0	-3	3491	0.74		
"South Sudan"						194	0	12		0.25		
"Guinea-Bissau"						195	0	2	5802	0.16		
"Samoa"						197	0	-1	6816	0.13		
"Vanuatu"						198	0	-2	6248	0.13		
"Central African Republic"						199	0	7	6606	0.08		
"Korea, Democratic People's Republic of"						200	0	-49	1470	0.87		
"Tonga"						202	0	4	5771	0.16		
"Eritrea"						203	0	-8	6303	0.14		
"Tuvalu"						204	0	17	6386	0.21		
"Kiribati"						205	0	10	5936	0.13		
"Falkland Islands (Malvinas)"						207	0	2	12325	0.46		
"Palau"						209	0	1	6232	0.16		
"Sao Tome and Principe"						210	0	-3	6155	0.31		
"Nauru"						211	0	18	6014	0.27		
"Sint Maarten (Dutch part)"						213	0	-7		0.43		
"French Southern and Antarctic Territories"						214	0	14		0.12		
"Saint Pierre and Miquelon"						215	0	10	3489	0.45		
"British Indian Ocean Territory"						219	0	-9		0.67		
"Christmas Island"						220	0	3		0.69		
"Western Sahara"						221	0	-16	12469	0.9		
"Norfolk Island"						222	0	1	5454	0.24		
"Niue"						223	0	7	11410	0.48		
"Cocos (Keeling) Islands"						225	0	8		0.74		
"Tokelau"						226	0	-33	11566	0.22		
"Pitcairn"						227	0	-5		0.23		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
