Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Georgia's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Georgia (%)	
"Finland"	1026	-16090	0	99	60	44	0.4	3	2842	0.07		
"Algeria"	1025	966	0	61	13	64	0.2	-8	4584	0.07		
"Argentina"	914	-4173	0			50	0.3	-5	10631	0.1		
"Sweden"	887	-11244	0	35	68	31	0.9	3	2128	0.07		
"Viet Nam"	843	-7687	0	-4	-75	19	1.5	8	3535	0.19		
"Kenya"	760	252	0	-13	50	80	0.09	2	6680	0.08		
"Portugal"	662	-9343	0	233	253	40	0.4	2	2788	0.14		
"Norway"	585	-7869	0	-2	279	39	0.5	3	3470	0.06		
"Mali"	572	562	0			141	0.02	9	5008	0.1		
"Malaysia"	550	-12934	0	53	26	25	1.1	3	5172	0.09		
"Ireland"	541	-10873	0	13	-62	36	0.5	4	3265	0.1		
"Croatia"	537	-6776	0	60	6	63	0.2	6	1362	0.07		
"Venezuela, Bolivarian Republic of"	522	522	0	279		117	0.03	-11	8121	0.16		
"Serbia"	498	-8375	0	152	192	65	0.2	9	2497	0.06		
"Slovenia"	476	-24563	0	-26	4	55	0.2	10	2404	0.07		
"Marshall Islands"	455	455	0			91	0.06	-1	7455	0.18		
"South Africa"	440	-5907	0	36	22	41	0.4	-1	9230	0.07		
"Slovakia"	426	-11048	0	-39	-68	38	0.5	4	2664	0.07		
"Thailand"	375	-10438	0	2	-13	23	1.2	2	4905	0.09		
"Sudan"	355	340	0	126	119	122	0.03	-2		0.13		
"Cameroon"	320	65	0		-83	116	0.03	8	7279	0.14		
"Cyprus"	290	-3597	0	-46	-37	105	0.05	-1	3118	0.09		
"Ghana"	252	181	0	12	-58	82	0.08	8	8888	0.18		
"Bangladesh"	224	-2054	0	-38	632	49	0.3	6	4172	0.15		
"Macedonia, North"	151	-1353	0	31	398	103	0.05	8	1348	0.09		
"Montenegro"	124	-378	0	-2	-60	152	0.01	0	2382	0.08		
"Côte d'Ivoire"	107	107	0	367	-59	93	0.06	9	6793	0.08		
"Honduras"	87	87	0		-92	99	0.05	4	6104	0.16		
"Nigeria"	83	39	0	93	-49	53	0.2	17	7792	0.1		
"Syrian Arab Republic"	78	-62	0	-13	-77	139	0.02	-3	2496	0.27		
"Pakistan"	75	-3115	0	-36	-55	47	0.3	2	4850	0.11		
"Bahrain"	67	56	0	-28	30	101	0.05	1	6359	0.08		
"Somalia"	61	61	0	281	39	150	0.01	9	5305	0.16		
"New Zealand"	48	-2024	0	31	55	56	0.2	3	11141	0.09		
"Nepal"	46	37	0	300	119	96	0.06	8	1856	0.56		
"Ethiopia"	45	45	0	-21	1778	90	0.07	1	6305	0.11		
"Panama"	36	36	0		1700	60	0.2	1	8657	0.12		
"Bhutan"	31	31	0	9		178	0	15	1733	0.63		
"Indonesia"	30	-10484	0	193	-96	30	0.9	2	5872	0.11		
"Cuba"	24	-108	0	80	-97	145	0.02	-13	7148	0.09		
"Luxembourg"	21	-1723	0	-51	-91	71	0.1	3	1488	0.14		
"Mozambique"	19	19	0			108	0.04	8	6196	0.1		
"Albania"	18	-492	0	21	-31	121	0.03	6	1886	0.13		
"Costa Rica"	17	-100	0	-25	-30	86	0.08	3	6987	0.22		
"Oman"	14	-1644	0	22	-88	83	0.08	-6	5977	0.08		
"Macao, China"	11	11	0	42	95	81	0.09	15		0.17		
"Senegal"	11	-1	0			110	0.04	4	6632	0.05		
"Niger"	9	8	0	-37	-56	162	0	13	5715	0.09		
"Central African Republic"	9	4	0	185		199	0	7	6606	0.08		
"Nicaragua"	8	8	0			104	0.05	4	5888	0.1		
"Chad"	7	7	0		-98	184	0	13	6931	0.16		
"Uganda"	6	-121	0	-43	29	132	0.02	11	5788	0.09		
"Afghanistan"	5	-85	0	-30	-93	147	0.02	-8	2990	0.12		
"Iceland"	3	-2966	0	-62		112	0.04	-1	4251	0.05		
"Malta"	2	-9403	0	-90	-99	120	0.03	1	3249	0.08		
"Benin"	1	1	0			149	0.01	-2	6481	0.07		
"Sri Lanka"	1	-1527	0	-24		85	0.08	-3	4351	0.16		
"Guinea"		-1				135	0.02	7	9140	0.19		
"Northern Mariana Islands"		-2				216	0	-19	3811	0.2		
"Bahamas"		-4				115	0.03	-8	6248	0.19		
"Gambia"		-4				167	0	7	8260	0.14		
"Djibouti"		-5				130	0.02	5	6387	0.22		
"Botswana"		-9				124	0.03	2	2968	0.52		
"Korea, Democratic People's Republic of"		-11				200	0	-49	1470	0.87		
"Myanmar"		-14				79	0.10	-1	2536	0.25		
"Lao People's Democratic Republic"		-15				129	0.02	-1	2572	0.28		
"El Salvador"		-16				88	0.07	9	4914	0.15		
"Jamaica"		-22				137	0.02	-2	6759	0.22		
"French Polynesia"		-22				165	0	1	13300	0.24		
"Belize"		-57				179	0	1	5006	0.18		
"Seychelles"		-57				187	0	-7	6627	0.06		
"Pitcairn"		-60				227	0	-5		0.23		
"European Union Nes"		-124										
"Europe Othr. Nes"		-219										
"Bosnia and Herzegovina"		-307				94	0.06	3	2228	0.07		
"Cambodia"		-372				66	0.1	16	2651	0.18		
"French Southern and Antarctic Territories"		-391				214	0	14		0.12		
"Faroe Islands"		-455				172	0	7	1404	0.27		
"Malawi"		-700				168	0	0	5169	0.15		
"United States Minor Outlying Islands"		-1254				177	0	0		0.21		
"British Virgin Islands"		-1763				156	0.01	8	7242	0.27		
"Paraguay"		-4161				92	0.06	0	7311	0.15		
"Gabon"		-9527				158	0.01	-2	7114	0.11		
"Ecuador"		-17122				69	0.1	3	9174	0.12		
"Dominican Republic"						67	0.1	5	6446	0.22		
"Guatemala"						68	0.1	7	5828	0.15		
"Ship stores and bunkers"						75	0.1	-11		0.16		
"Liberia"						87	0.07	17	11608	0.19		
"Angola"						100	0.05	-11	7692	0.06		
"Bolivia, Plurinational State of"						106	0.04	-3	7978	0.11		
"Yemen"						107	0.04	11	5706	0.11		
"Brunei Darussalam"						109	0.04	26	5185	0.11		
"Congo, Democratic Republic of the"						111	0.04	13	6479	0.14		
"Gibraltar"						114	0.03	-5	2572	0.09		
"Zambia"						119	0.03	-9	5447	0.14		
"Cayman Islands"						123	0.03	5	7522	0.35		
"Namibia"						126	0.03	-1	3757	0.37		
"Trinidad and Tobago"						128	0.03	-1	6663	0.26		
"Mauritius"						133	0.02	-2	7320	0.08		
"Madagascar"						138	0.02	2	7339	0.08		
"Haiti"						140	0.02	0	6340	0.18		
"Papua New Guinea"						143	0.02	-1	4973	0.17		
"Guyana"						144	0.02	13	11175	0.21		
"Mauritania"						146	0.02	1	5817	0.07		
"Maldives"						151	0.01	-3	4478	0.08		
"Togo"						153	0.01	10	7318	0.08		
"Congo"						154	0.01	-18	6851	0.07		
"New Caledonia"						155	0.01	-1	11471	0.2		
"Fiji"						157	0.01	-7	7384	0.12		
"Rwanda"						159	0.01	17	5437	0.08		
"Eswatini"						160	0	1	1597	0.74		
"Barbados"						161	0	0	4992	0.21		
"Curaçao"						163	0	-12		0.24		
"Lesotho"						164	0	-2	1590	0.78		
"Andorra"						166	0	2	610	0.52		
"Bermuda"						169	0	-3	8006	0.28		
"Sierra Leone"						170	0	10	8820	0.13		
"Saint Lucia"						171	0	-10	5321	0.23		
"Suriname"						173	0	1	9050	0.14		
"Antigua and Barbuda"						174	0	1	6334	0.27		
"Aruba"						175	0	-3	4917	0.3		
"Palestine, State of"						176	0	8	3026	0.1		
"Greenland"						180	0	6	3482	0.44		
"Cabo Verde"						181	0	4	5196	0.21		
"Equatorial Guinea"						182	0	2	6008	0.11		
"Timor-Leste"						183	0	12	3988	0.22		
"Dominica"						185	0	8	4908	0.65		
"Free Zones"						186	0	-34		0.92		
"Burundi"						188	0	13	4755	0.14		
"Bonaire, Sint Eustatius and Saba"						189	0	20		0.19		
"Solomon Islands"						190	0	0	6301	0.17		
"Grenada"						191	0	-1	4157	0.2		
"Comoros"						192	0	18	5731	0.22		
"Turks and Caicos Islands"						193	0	-3	3491	0.74		
"South Sudan"						194	0	12		0.25		
"Guinea-Bissau"						195	0	2	5802	0.16		
"Saint Vincent and the Grenadines"						196	0	3	6798	0.14		
"Samoa"						197	0	-1	6816	0.13		
"Vanuatu"						198	0	-2	6248	0.13		
"Saint Kitts and Nevis"						201	0	-12	5440	0.41		
"Tonga"						202	0	4	5771	0.16		
"Eritrea"						203	0	-8	6303	0.14		
"Tuvalu"						204	0	17	6386	0.21		
"Kiribati"						205	0	10	5936	0.13		
"Cook Islands"						206	0	-4	9417	0.22		
"Falkland Islands (Malvinas)"						207	0	2	12325	0.46		
"Micronesia, Federated States of"						208	0	-8	7109	0.19		
"Palau"						209	0	1	6232	0.16		
"Sao Tome and Principe"						210	0	-3	6155	0.31		
"Nauru"						211	0	18	6014	0.27		
"Anguilla"						212	0	-5	4397	0.58		
"Sint Maarten (Dutch part)"						213	0	-7		0.43		
"Saint Pierre and Miquelon"						215	0	10	3489	0.45		
"Saint Helena"						217	0	6	7699	0.31		
"Wallis and Futuna Islands"						218	0	7	10103	0.24		
"British Indian Ocean Territory"						219	0	-9		0.67		
"Christmas Island"						220	0	3		0.69		
"Western Sahara"						221	0	-16	12469	0.9		
"Norfolk Island"						222	0	1	5454	0.24		
"Niue"						223	0	7	11410	0.48		
"Montserrat"						224	0	-7		0.49		
"Cocos (Keeling) Islands"						225	0	8		0.74		
"Tokelau"						226	0	-33	11566	0.22		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
