Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Norway's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Norway (%)	
"Georgia"	9722	4586	0	-2	30	113	0.04	-2	2513	0.09		
"Ecuador"	9581	-19771	0	-4	134	69	0.1	3	9174	0.12		
"Jordan"	9533	1653	0	-39	32	84	0.08	0	5167	0.07		
"Sri Lanka"	8939	-49830	0	2	52	85	0.08	-3	4351	0.16		
"Bolivia, Plurinational State of"	8418	6960	0	3	36	106	0.04	-3	7978	0.11		
"Tanzania, United Republic of"	8409	7557	0	18	12	102	0.05	7	6633	0.1		
"Mauritania"	8068	-40217	0	49	0	146	0.02	1	5817	0.07		
"Tunisia"	6870	-48261	0	16	-4	78	0.10	-1	3411	0.06		
"Gabon"	6435	-118990	0	-6	7	158	0.01	-2	7114	0.11		
"Haiti"	5816	5718	0	9	187	140	0.02	0	6340	0.18		
"Greenland"	5321	-25442	0	43	51	180	0	6	3482	0.44		
"Lebanon"	5008	-300	0	-24	-19	97	0.06	-12	3592	0.06		
"Benin"	4752	4734	0	-5	336	149	0.01	-2	6481	0.07		
"Gambia"	4371	4369	0	44	264	167	0	7	8260	0.14		
"Mauritius"	4269	1476	0	-20	57	133	0.02	-2	7320	0.08		
"Albania"	4098	-2171	0	25	-21	121	0.03	6	1886	0.13		
"Bosnia and Herzegovina"	3776	-33958	0	12	9	94	0.06	3	2228	0.07		
"Uzbekistan"	3764	3698	0	30	43	74	0.1	16	3412	0.12		
"Moldova, Republic of"	3754	-4109	0	5	47	118	0.03	8	2317	0.08		
"Bermuda"	3704	3666	0	11	365	169	0	-3	8006	0.28		
"Aruba"	3661	3661	0	50	1425	175	0	-3	4917	0.3		
"Iraq"	3093	2304	0	-42	5	62	0.2	3	4107	0.18		
"Macao, China"	3066	863	0	87	389	81	0.09	15		0.17		
"Kyrgyzstan"	2750	2694	0	-8	208	127	0.03	1	2892	0.2		
"Barbados"	2712	2649	0	10	276	161	0	0	4992	0.21		
"Ethiopia"	2433	-14546	0	-3	44	90	0.07	1	6305	0.11		
"New Caledonia"	2149	2149	0	36	-13	155	0.01	-1	11471	0.2		
"Afghanistan"	2149	1359	0	6	-38	147	0.02	-8	2990	0.12		
"Cayman Islands"	2135	-18956	0	-56	141	123	0.03	5	7522	0.35		
"Guinea"	1888	589	0	17	16	135	0.02	7	9140	0.19		
"Cabo Verde"	1866	1866	0	116	219	181	0	4	5196	0.21		
"Iran, Islamic Republic of"	1788	-5593	0	-51	-13	72	0.1	-18	5612	0.13		
"Myanmar"	1624	-45724	0	4	-76	79	0.10	-1	2536	0.25		
"Equatorial Guinea"	1595	-8677	0	-13	-44	182	0	2	6008	0.11		
"Seychelles"	1583	1557	0	-7	1	187	0	-7	6627	0.06		
"Cambodia"	1581	-88294	0	14	62	66	0.1	16	2651	0.18		
"Sudan"	1556	1378	0	2	11	122	0.03	-2		0.13		
"Honduras"	1523	-4546	0	-7	-29	99	0.05	4	6104	0.16		
"Gibraltar"	1434	1388	0	-50	-70	114	0.03	-5	2572	0.09		
"Zimbabwe"	1425	245	0	31	366	134	0.02	7	3754	0.39		
"Curaçao"	1349	-8080	0	-18	166	163	0	-12		0.24		
"Suriname"	1249	1028	0	64	219	173	0	1	9050	0.14		
"Montenegro"	1227	443	0	27	223	152	0.01	0	2382	0.08		
"Syrian Arab Republic"	1191	-40	0	-5	560	139	0.02	-3	2496	0.27		
"Niger"	1179	1148	0	97	129	162	0	13	5715	0.09		
"Macedonia, North"	1094	-12443	0	8	-13	103	0.05	8	1348	0.09		
"Nepal"	1035	-1376	0	-2	-52	96	0.06	8	1856	0.56		
"Uganda"	913	-1375	0	-16	-30	132	0.02	11	5788	0.09		
"Venezuela, Bolivarian Republic of"	892	633	0	-5	197	117	0.03	-11	8121	0.16		
"Turkmenistan"	868	824	0	0	141	148	0.02	4	3495	0.15		
"Libya, State of"	830	811	0	28	-44	89	0.07	12	3475	0.08		
"El Salvador"	820	-1023	0	22	-26	88	0.07	9	4914	0.15		
"Burkina Faso"	741	636	0	3	125	136	0.02	5	6109	0.05		
"Malawi"	735	482	0	46	276	168	0	0	5169	0.15		
"Paraguay"	712	177	0	-25	-7	92	0.06	0	7311	0.15		
"Mali"	510	-78	0	-22	-42	141	0.02	9	5008	0.1		
"Sierra Leone"	508	504	0	1	106	170	0	10	8820	0.13		
"Papua New Guinea"	466	36	0	11	-17	143	0.02	-1	4973	0.17		
"Zambia"	445	-401	0	-39	-75	119	0.03	-9	5447	0.14		
"Djibouti"	440	439	0	-1	-6	130	0.02	5	6387	0.22		
"Grenada"	429	309	0	3	71	191	0	-1	4157	0.2		
"Maldives"	427	-586	0	-16	86	151	0.01	-3	4478	0.08		
"Saint Vincent and the Grenadines"	384	384	0	-19	29	196	0	3	6798	0.14		
"Rwanda"	360	-39	0	15	16	159	0.01	17	5437	0.08		
"Central African Republic"	347	347	0	28		199	0	7	6606	0.08		
"United States Minor Outlying Islands"	344	302	0	-18	12	177	0	0		0.21		
"Cuba"	316	-1027	0	-15	59	145	0.02	-13	7148	0.09		
"Dominica"	295	281	0	4	120	185	0	8	4908	0.65		
"Saint Lucia"	292	292	0	70	-6	171	0	-10	5321	0.23		
"Lao People's Democratic Republic"	276	-4893	0	-24	477	129	0.02	-1	2572	0.28		
"Nicaragua"	238	-3315	0	-36	-61	104	0.05	4	5888	0.1		
"Saint Kitts and Nevis"	231	228	0	-53	288	201	0	-12	5440	0.41		
"British Virgin Islands"	221	219	0	-46	90	156	0.01	8	7242	0.27		
"Antigua and Barbuda"	220	-2481	0	-10	-56	174	0	1	6334	0.27		
"French Polynesia"	189	63	0	-17	-77	165	0	1	13300	0.24		
"Somalia"	160	118	0	-47	-35	150	0.01	9	5305	0.16		
"Madagascar"	157	-3715	0	4	22	138	0.02	2	7339	0.08		
"Mongolia"	150	-344	0	-26	-76	125	0.03	8	3267	0.22		
"Chad"	128	127	0	1	-17	184	0	13	6931	0.16		
"Tajikistan"	111	91	0	-23	168	142	0.02	9	2803	0.17		
"Bhutan"	104	104	0	-37		178	0	15	1733	0.63		
"Eritrea"	76	63	0	5	298	203	0	-8	6303	0.14		
"Eswatini"	73	-3862	0	-9	5006	160	0	1	1597	0.74		
"Andorra"	65	-753	0	-14	332	166	0	2	610	0.52		
"Belize"	59	-3323	0	-34	-45	179	0	1	5006	0.18		
"Yemen"	55	41	0	13	-71	107	0.04	11	5706	0.11		
"Botswana"	49	-7865	0		-67	124	0.03	2	2968	0.52		
"Burundi"	34	-138	0	-23	-8	188	0	13	4755	0.14		
"Turks and Caicos Islands"	24	24	0		220	193	0	-3	3491	0.74		
"Palestine, State of"	24	-830	0		-2	176	0	8	3026	0.1		
"Sao Tome and Principe"	22	7	0	-47		210	0	-3	6155	0.31		
"Anguilla"	20	20	0	-23		212	0	-5	4397	0.58		
"Samoa"	15	15	0	78	-31	197	0	-1	6816	0.13		
"Saint Pierre and Miquelon"	12	12	0			215	0	10	3489	0.45		
"Cook Islands"	11	11	0	-58	-60	206	0	-4	9417	0.22		
"Falkland Islands (Malvinas)"	11	-1	0	-38	-92	207	0	2	12325	0.46		
"Cocos (Keeling) Islands"	4	4	0			225	0	8		0.74		
"Fiji"	4	-70	0	-66	-87	157	0.01	-7	7384	0.12		
"Wallis and Futuna Islands"	3	3	0			218	0	7	10103	0.24		
"Northern Mariana Islands"	2	1	0	-31	-91	216	0	-19	3811	0.2		
"Solomon Islands"	1	1	0	-58		190	0	0	6301	0.17		
"Lesotho"	1	0	0			164	0	-2	1590	0.78		
"Guinea-Bissau"		-1				195	0	2	5802	0.16		
"Kiribati"		-2				205	0	10	5936	0.13		
"Comoros"		-3				192	0	18	5731	0.22		
"Christmas Island"		-3				220	0	3		0.69		
"Tokelau"		-6				226	0	-33	11566	0.22		
"Timor-Leste"		-8				183	0	12	3988	0.22		
"Nauru"		-15				211	0	18	6014	0.27		
"Ship stores and bunkers"						75	0.1	-11		0.16		
"Free Zones"						186	0	-34		0.92		
"Bonaire, Sint Eustatius and Saba"						189	0	20		0.19		
"South Sudan"						194	0	12		0.25		
"Vanuatu"						198	0	-2	6248	0.13		
"Korea, Democratic People's Republic of"						200	0	-49	1470	0.87		
"Tonga"						202	0	4	5771	0.16		
"Tuvalu"						204	0	17	6386	0.21		
"Micronesia, Federated States of"						208	0	-8	7109	0.19		
"Palau"						209	0	1	6232	0.16		
"Sint Maarten (Dutch part)"						213	0	-7		0.43		
"French Southern and Antarctic Territories"						214	0	14		0.12		
"Saint Helena"						217	0	6	7699	0.31		
"British Indian Ocean Territory"						219	0	-9		0.67		
"Western Sahara"						221	0	-16	12469	0.9		
"Norfolk Island"						222	0	1	5454	0.24		
"Niue"						223	0	7	11410	0.48		
"Montserrat"						224	0	-7		0.49		
"Pitcairn"						227	0	-5		0.23		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
