Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Brunei Darussalam's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Brunei Darussalam (%)	
"Palestine, State of"		-11				176	0	8	3026	0.1		
"Latvia"		-12				77	0.1	7	1575	0.08		
"Bosnia and Herzegovina"		-15				94	0.06	3	2228	0.07		
"Azerbaijan"		-15				98	0.05	5	3712	0.09		
"Greenland"		-16				180	0	6	3482	0.44		
"Falkland Islands (Malvinas)"		-16				207	0	2	12325	0.46		
"Macao, China"		-19				81	0.09	15		0.17		
"Eswatini"		-20				160	0	1	1597	0.74		
"Belarus"		-26				61	0.2	2	2268	0.23		
"Iceland"		-29				112	0.04	-1	4251	0.05		
"Yemen"		-30				107	0.04	11	5706	0.11		
"Fiji"		-34				157	0.01	-7	7384	0.12		
"Morocco"		-51				52	0.3	4	4316	0.07		
"Venezuela, Bolivarian Republic of"		-53				117	0.03	-11	8121	0.16		
"Maldives"		-59				151	0.01	-3	4478	0.08		
"Israel"		-67				42	0.4	4	5483	0.07		
"Lithuania"		-81				59	0.2	7	1630	0.07		
"Slovenia"		-87				55	0.2	10	2404	0.07		
"Georgia"		-93				113	0.04	-2	2513	0.09		
"Bulgaria"		-127				57	0.2	6	2237	0.05		
"Malawi"		-132				168	0	0	5169	0.15		
"Tunisia"		-139				78	0.10	-1	3411	0.06		
"Portugal"		-165				40	0.4	2	2788	0.14		
"Cyprus"		-166				105	0.05	-1	3118	0.09		
"Eritrea"		-167				203	0	-8	6303	0.14		
"Ecuador"		-182				69	0.1	3	9174	0.12		
"Saint Helena"		-213				217	0	6	7699	0.31		
"Estonia"		-221				73	0.1	6	2314	0.06		
"Niger"		-224				162	0	13	5715	0.09		
"Sierra Leone"		-242				170	0	10	8820	0.13		
"Costa Rica"		-249				86	0.08	3	6987	0.22		
"Peru"		-258				54	0.2	3	10420	0.13		
"Lebanon"		-272				97	0.06	-12	3592	0.06		
"Luxembourg"		-315				71	0.1	3	1488	0.14		
"Korea, Democratic People's Republic of"		-570				200	0	-49	1470	0.87		
"Iran, Islamic Republic of"		-584				72	0.1	-18	5612	0.13		
"Romania"		-722				37	0.5	6	1891	0.07		
"Finland"		-907				44	0.4	3	2842	0.07		
"Poland"		-939				18	1.5	8	3121	0.08		
"Ukraine"		-1062				48	0.3	7	3255	0.06		
"Egypt"		-1596				46	0.3	-1	5219	0.05		
"Ireland"		-2351				36	0.5	4	3265	0.1		
"Czech Republic"		-2438				28	1	4	2987	0.1		
"Slovakia"		-2636				38	0.5	4	2664	0.07		
"Austria"		-2701				27	1	3	1514	0.18		
"South Africa"		-2972				41	0.4	-1	9230	0.07		
"Hungary"		-3272				33	0.6	6	2180	0.09		
"Jordan"		-3485				84	0.08	0	5167	0.07		
"Mexico"		-4254				13	2.3	2	7039	0.24		
"Denmark"		-4728				35	0.6	5	2182	0.08		
"Malta"		-5388				120	0.03	1	3249	0.08		
"Spain"		-12529				15	1.9	3	3890	0.05		
"Equatorial Guinea"		-47581				182	0	2	6008	0.11		
"Iraq"		-61543				62	0.2	3	4107	0.18		
"Netherlands"		-61557				8	2.8	5	3706	0.07		
"Greece"		-119672				45	0.3	4	2847	0.05		
"Russian Federation"		-1309232				21	1.3	5	4187	0.09		
"Kazakhstan"						58	0.2	6	3017	0.25		
"Panama"						60	0.2	1	8657	0.12		
"Uzbekistan"						74	0.1	16	3412	0.12		
"Ship stores and bunkers"						75	0.1	-11		0.16		
"Kenya"						80	0.09	2	6680	0.08		
"Ghana"						82	0.08	8	8888	0.18		
"Liberia"						87	0.07	17	11608	0.19		
"Libya, State of"						89	0.07	12	3475	0.08		
"Marshall Islands"						91	0.06	-1	7455	0.18		
"Côte d'Ivoire"						93	0.06	9	6793	0.08		
"Honduras"						99	0.05	4	6104	0.16		
"Angola"						100	0.05	-11	7692	0.06		
"Tanzania, United Republic of"						102	0.05	7	6633	0.1		
"Mozambique"						108	0.04	8	6196	0.1		
"Senegal"						110	0.04	4	6632	0.05		
"Congo, Democratic Republic of the"						111	0.04	13	6479	0.14		
"Gibraltar"						114	0.03	-5	2572	0.09		
"Bahamas"						115	0.03	-8	6248	0.19		
"Zambia"						119	0.03	-9	5447	0.14		
"Botswana"						124	0.03	2	2968	0.52		
"Namibia"						126	0.03	-1	3757	0.37		
"Djibouti"						130	0.02	5	6387	0.22		
"Armenia"						131	0.02	6	3323	0.15		
"Guinea"						135	0.02	7	9140	0.19		
"Burkina Faso"						136	0.02	5	6109	0.05		
"Jamaica"						137	0.02	-2	6759	0.22		
"Haiti"						140	0.02	0	6340	0.18		
"Tajikistan"						142	0.02	9	2803	0.17		
"Guyana"						144	0.02	13	11175	0.21		
"Cuba"						145	0.02	-13	7148	0.09		
"Turkmenistan"						148	0.02	4	3495	0.15		
"Benin"						149	0.01	-2	6481	0.07		
"Somalia"						150	0.01	9	5305	0.16		
"Togo"						153	0.01	10	7318	0.08		
"Congo"						154	0.01	-18	6851	0.07		
"British Virgin Islands"						156	0.01	8	7242	0.27		
"Gabon"						158	0.01	-2	7114	0.11		
"Rwanda"						159	0.01	17	5437	0.08		
"Lesotho"						164	0	-2	1590	0.78		
"French Polynesia"						165	0	1	13300	0.24		
"Gambia"						167	0	7	8260	0.14		
"Bermuda"						169	0	-3	8006	0.28		
"Saint Lucia"						171	0	-10	5321	0.23		
"Faroe Islands"						172	0	7	1404	0.27		
"Suriname"						173	0	1	9050	0.14		
"Antigua and Barbuda"						174	0	1	6334	0.27		
"Aruba"						175	0	-3	4917	0.3		
"Bhutan"						178	0	15	1733	0.63		
"Cabo Verde"						181	0	4	5196	0.21		
"Free Zones"						186	0	-34		0.92		
"Seychelles"						187	0	-7	6627	0.06		
"Burundi"						188	0	13	4755	0.14		
"Bonaire, Sint Eustatius and Saba"						189	0	20		0.19		
"Solomon Islands"						190	0	0	6301	0.17		
"Grenada"						191	0	-1	4157	0.2		
"Comoros"						192	0	18	5731	0.22		
"Turks and Caicos Islands"						193	0	-3	3491	0.74		
"Guinea-Bissau"						195	0	2	5802	0.16		
"Saint Vincent and the Grenadines"						196	0	3	6798	0.14		
"Samoa"						197	0	-1	6816	0.13		
"Central African Republic"						199	0	7	6606	0.08		
"Saint Kitts and Nevis"						201	0	-12	5440	0.41		
"Tonga"						202	0	4	5771	0.16		
"Tuvalu"						204	0	17	6386	0.21		
"Kiribati"						205	0	10	5936	0.13		
"Cook Islands"						206	0	-4	9417	0.22		
"Micronesia, Federated States of"						208	0	-8	7109	0.19		
"Palau"						209	0	1	6232	0.16		
"Anguilla"						212	0	-5	4397	0.58		
"French Southern and Antarctic Territories"						214	0	14		0.12		
"Saint Pierre and Miquelon"						215	0	10	3489	0.45		
"Northern Mariana Islands"						216	0	-19	3811	0.2		
"Wallis and Futuna Islands"						218	0	7	10103	0.24		
"British Indian Ocean Territory"						219	0	-9		0.67		
"Christmas Island"						220	0	3		0.69		
"Western Sahara"						221	0	-16	12469	0.9		
"Norfolk Island"						222	0	1	5454	0.24		
"Niue"						223	0	7	11410	0.48		
"Cocos (Keeling) Islands"						225	0	8		0.74		
"Tokelau"						226	0	-33	11566	0.22		
"Pitcairn"						227	0	-5		0.23		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
