Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Malaysia's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Malaysia (%)	
"France"	1395249	-283255	0.5	-2	13	6	3.2	1	3195	0.06		
"Brunei Darussalam"	1394387	849612	0.5	23	111	109	0.04	26	5185	0.11		
"Saudi Arabia"	1220623	-1797528	0.4	5	24	32	0.7	3	5816	0.07		
"Spain"	1134202	590957	0.4	13	17	15	1.9	3	3890	0.05		
"Kenya"	1126655	1097594	0.4	48	110	80	0.09	2	6680	0.08		
"New Zealand"	1066666	313530	0.4	-2	18	56	0.2	3	11141	0.09		
"Brazil"	1035893	-1759038	0.3	2	43	26	1	6	10879	0.09		
"Costa Rica"	939090	753662	0.3	94	206	86	0.08	3	6987	0.22		
"Russian Federation"	930548	-258660	0.3	8	31	21	1.3	5	4187	0.09		
"Nigeria"	909395	544385	0.3	24	42	53	0.2	17	7792	0.1		
"South Africa"	830158	360103	0.3	-3	39	41	0.4	-1	9230	0.07		
"Czech Republic"	793987	500457	0.3	21	39	28	1	4	2987	0.1		
"Poland"	742724	473861	0.2	16	31	18	1.5	8	3121	0.08		
"Sri Lanka"	729928	652296	0.2	3	17	85	0.08	-3	4351	0.16		
"Egypt"	688403	465843	0.2	7	76	46	0.3	-1	5219	0.05		
"Myanmar"	654131	371976	0.2	-7	-11	79	0.10	-1	2536	0.25		
"Slovenia"	609030	549957	0.2	6	30	55	0.2	10	2404	0.07		
"Ghana"	570308	104693	0.2	21	90	82	0.08	8	8888	0.18		
"Iran, Islamic Republic of"	565770	497570	0.2	-13	77	72	0.1	-18	5612	0.13		
"Hungary"	544016	357781	0.2	4	3	33	0.6	6	2180	0.09		
"Mozambique"	482351	423492	0.2	25	97	108	0.04	8	6196	0.1		
"Switzerland"	472496	-1392154	0.2	-19	-26	20	1.5	4	3384	0.07		
"Sweden"	467744	-67842	0.2	6	33	31	0.9	3	2128	0.07		
"Cambodia"	457193	347643	0.2	9	28	66	0.1	16	2651	0.18		
"Iraq"	449883	-8760	0.2	27	277	62	0.2	3	4107	0.18		
"Tanzania, United Republic of"	394685	374663	0.1	11	152	102	0.05	7	6633	0.1		
"Qatar"	359283	84425	0.1	16	34	70	0.1	0	5745	0.06		
"Papua New Guinea"	341394	194379	0.1	-6	38	143	0.02	-1	4973	0.17		
"Togo"	329645	320965	0.1	17	106	153	0.01	10	7318	0.08		
"Denmark"	293870	3656	0.1	16	40	35	0.6	5	2182	0.08		
"Oman"	290714	-493201	0.1	-3	61	83	0.08	-6	5977	0.08		
"Ireland"	261774	-2778483	0.1	10	-9	36	0.5	4	3265	0.1		
"Finland"	257730	52867	0.1	17	58	44	0.4	3	2842	0.07		
"Chile"	226699	8815	0.1	4	40	43	0.4	6	11582	0.13		
"Afghanistan"	215707	215627	0.1	14	82	147	0.02	-8	2990	0.12		
"Argentina"	199503	-1462709	0.1	-3	64	50	0.3	-5	10631	0.1		
"Yemen"	195277	168974	0.1	1	-1	107	0.04	11	5706	0.11		
"Greece"	193847	128345	0.1	18	59	45	0.3	4	2847	0.05		
"Jordan"	193144	112312	0.1	12	116	84	0.08	0	5167	0.07		
"Peru"	190943	86273	0.1	8	24	54	0.2	3	10420	0.13		
"Norway"	190545	9101	0.1	19	47	39	0.5	3	3470	0.06		
"Kuwait"	183588	-43872	0.1	-6	41	76	0.1	-3	5837	0.07		
"Angola"	183439	42829	0.1	-6	30	100	0.05	-11	7692	0.06		
"Djibouti"	181606	179882	0.1	-2	65	130	0.02	5	6387	0.22		
"Ukraine"	177160	1741	0.1	11	40	48	0.3	7	3255	0.06		
"Colombia"	157650	60275	0.1	7	59	51	0.3	4	8915	0.13		
"Senegal"	148298	146971	0	7	136	110	0.04	4	6632	0.05		
"Panama"	144372	141792	0	0	65	60	0.2	1	8657	0.12		
"Madagascar"	138476	121366	0	6	67	138	0.02	2	7339	0.08		
"Austria"	129529	-533828	0	4	6	27	1	3	1514	0.18		
"Romania"	128732	63365	0	-3	-11	37	0.5	6	1891	0.07		
"Tunisia"	123139	98195	0	23	7	78	0.10	-1	3411	0.06		
"Côte d'Ivoire"	120992	-763073	0	9	6	93	0.06	9	6793	0.08		
"Maldives"	120713	119960	0	-8	39	151	0.01	-3	4478	0.08		
"Algeria"	116245	-96204	0	-4	33	64	0.2	-8	4584	0.07		
"Bulgaria"	110376	80717	0	8	-2	57	0.2	6	2237	0.05		
"Fiji"	105833	103790	0	3	136	157	0.01	-7	7384	0.12		
"Benin"	94180	94129	0	-24	-4	149	0.01	-2	6481	0.07		
"Portugal"	94146	52663	0	0	-10	40	0.4	2	2788	0.14		
"Morocco"	90600	50528	0	3	15	52	0.3	4	4316	0.07		
"Kazakhstan"	88309	77567	0	6	-14	58	0.2	6	3017	0.25		
"Somalia"	87338	87213	0	0	-3	150	0.01	9	5305	0.16		
"Bahrain"	85487	-181262	0	-5	40	101	0.05	1	6359	0.08		
"Mauritius"	82411	76814	0	-3	19	133	0.02	-2	7320	0.08		
"Slovakia"	70839	41969	0	-9	40	38	0.5	4	2664	0.07		
"Estonia"	66011	49977	0	11	-14	73	0.1	6	2314	0.06		
"Dominican Republic"	62782	47596	0	7	66	67	0.1	5	6446	0.22		
"New Caledonia"	62016	61817	0	18	41	155	0.01	-1	11471	0.2		
"Luxembourg"	58505	46701	0	19	265	71	0.1	3	1488	0.14		
"Nepal"	56051	55518	0	16	53	96	0.06	8	1856	0.56		
"Iceland"	55798	54333	0	105	3736	112	0.04	-1	4251	0.05		
"Guatemala"	51984	12561	0	10	59	68	0.1	7	5828	0.15		
"Georgia"	50486	43490	0	22	35	113	0.04	-2	2513	0.09		
"Mauritania"	48913	33546	0	-2	-21	146	0.02	1	5817	0.07		
"Uzbekistan"	48805	43983	0	-10	-3	74	0.1	16	3412	0.12		
"Lebanon"	48161	40278	0	-14	28	97	0.06	-12	3592	0.06		
"Solomon Islands"	45596	35638	0	-14	132	190	0	0	6301	0.17		
"Cameroon"	44634	-52233	0	-4	-17	116	0.03	8	7279	0.14		
"Ethiopia"	44243	34301	0	-33	40	90	0.07	1	6305	0.11		
"Syrian Arab Republic"	42375	41671	0	-12	66	139	0.02	-3	2496	0.27		
"Congo"	42067	-89268	0	-1	-1	154	0.01	-18	6851	0.07		
"Area Nes"	41081	-4043	0	15	45							
"Lithuania"	40780	-104110	0	23	11	59	0.2	7	1630	0.07		
"French Polynesia"	39207	39207	0	-4	415	165	0	1	13300	0.24		
"Latvia"	36859	19914	0	-19	41	77	0.1	7	1575	0.08		
"Guinea"	35418	18893	0	-13	55	135	0.02	7	9140	0.19		
"Ecuador"	34639	-158047	0	-2	35	69	0.1	3	9174	0.12		
"Mongolia"	34414	34316	0	15	39	125	0.03	8	3267	0.22		
"Gambia"	33213	33213	0	-6	9	167	0	7	8260	0.14		
"Uruguay"	31422	21060	0	-5	77	95	0.06	0	9836	0.11		
"Azerbaijan"	30239	30148	0	11	35	98	0.05	5	3712	0.09		
"Trinidad and Tobago"	29906	27625	0	-3	47	128	0.03	-1	6663	0.26		
"Sudan"	29888	-84180	0	-19	-53	122	0.03	-2		0.13		
"Croatia"	29157	19838	0	0	62	63	0.2	6	1362	0.07		
"Macao, China"	28773	8501	0	5	6	81	0.09	15		0.17		
"Lao People's Democratic Republic"	27343	5802	0	17	104	129	0.02	-1	2572	0.28		
"Congo, Democratic Republic of the"	26088	-27416	0	6	45	111	0.04	13	6479	0.14		
"Honduras"	25666	23448	0	1	106	99	0.05	4	6104	0.16		
"Malta"	24446	-76932	0	-17	6	120	0.03	1	3249	0.08		
"Gabon"	23575	-192979	0	-9	-12	158	0.01	-2	7114	0.11		
"United States Minor Outlying Islands"	23440	22702	0	-25	255	177	0	0		0.21		
"Timor-Leste"	20746	-5651	0	12	-32	183	0	12	3988	0.22		
"Bolivia, Plurinational State of"	20372	14600	0	19	85	106	0.04	-3	7978	0.11		
"Libya, State of"	19181	-11155	0	-5	33	89	0.07	12	3475	0.08		
"Vanuatu"	18500	15502	0	-11	503	198	0	-2	6248	0.13		
"El Salvador"	17867	16998	0	-3	70	88	0.07	9	4914	0.15		
"Uganda"	16528	-8021	0	-9	125	132	0.02	11	5788	0.09		
"Sierra Leone"	15889	14310	0	2	-27	170	0	10	8820	0.13		
"Liberia"	15601	-31453	0	-22	-2	87	0.07	17	11608	0.19		
"Cyprus"	14316	6466	0	-7	35	105	0.05	-1	3118	0.09		
"Jamaica"	13947	11401	0	-6	8	137	0.02	-2	6759	0.22		
"Seychelles"	13651	13444	0	-13	31	187	0	-7	6627	0.06		
"Guyana"	11886	11697	0	7	117	144	0.02	13	11175	0.21		
"Samoa"	11763	11588	0	16	233	197	0	-1	6816	0.13		
"Venezuela, Bolivarian Republic of"	10347	-7980	0	-10	112	117	0.03	-11	8121	0.16		
"Equatorial Guinea"	10001	10001	0	-15	-14	182	0	2	6008	0.11		
"Serbia"	9904	1938	0	1	56	65	0.2	9	2497	0.06		
"Haiti"	8464	7951	0	-18	-50	140	0.02	0	6340	0.18		
"Nicaragua"	8225	5634	0	-1	76	104	0.05	4	5888	0.1		
"Burkina Faso"	7853	3362	0	-1	44	136	0.02	5	6109	0.05		
"Tajikistan"	7650	7644	0	-19	423	142	0.02	9	2803	0.17		
"Paraguay"	7343	3893	0	-6	75	92	0.06	0	7311	0.15		
"Malawi"	7065	5888	0	-30	34	168	0	0	5169	0.15		
"Zambia"	5936	-29785	0	-5	11	119	0.03	-9	5447	0.14		
"Rwanda"	5839	-11946	0	6	371	159	0.01	17	5437	0.08		
"Niger"	5828	5790	0	7	-56	162	0	13	5715	0.09		
"Eswatini"	5589	5535	0	33	-27	160	0	1	1597	0.74		
"Cuba"	5246	3193	0	-6	66	145	0.02	-13	7148	0.09		
"Barbados"	5184	3484	0	22	118	161	0	0	4992	0.21		
"Suriname"	5121	4161	0	-11	-38	173	0	1	9050	0.14		
"Namibia"	4792	4232	0	2	-11	126	0.03	-1	3757	0.37		
"Comoros"	4655	4655	0	-1	33	192	0	18	5731	0.22		
"Macedonia, North"	4523	4103	0	75	72	103	0.05	8	1348	0.09		
"Christmas Island"	4400	1323	0	135	169	220	0	3		0.69		
"Turkmenistan"	4009	724	0	-26	-19	148	0.02	4	3495	0.15		
"Mali"	3914	-22129	0	4	-73	141	0.02	9	5008	0.1		
"Belarus"	3886	-47303	0	20	-27	61	0.2	2	2268	0.23		
"Albania"	3543	440	0	-11	-22	121	0.03	6	1886	0.13		
"Moldova, Republic of"	3011	-1470	0	8	138	118	0.03	8	2317	0.08		
"Tonga"	2926	2476	0	6	56	202	0	4	5771	0.16		
"Botswana"	2714	2713	0	3	94	124	0.03	2	2968	0.52		
"Kiribati"	2556	-654	0	25	43	205	0	10	5936	0.13		
"Kyrgyzstan"	2468	2362	0	-5	127	127	0.03	1	2892	0.2		
"Zimbabwe"	2301	1406	0	6	-97	134	0.02	7	3754	0.39		
"Montenegro"	2260	2165	0	-14	53	152	0.01	0	2382	0.08		
"Norfolk Island"	2245	2141	0	133	-71	222	0	1	5454	0.24		
"Eritrea"	2158	2153	0	-30	16	203	0	-8	6303	0.14		
"Belize"	2158	-1005	0	-5	18	179	0	1	5006	0.18		
"Guinea-Bissau"	2028	2025	0	-19	193	195	0	2	5802	0.16		
"Armenia"	1784	1433	0	3	11	131	0.02	6	3323	0.15		
"Bhutan"	1679	1647	0	21	27	178	0	15	1733	0.63		
"Gibraltar"	1520	1482	0	42	-94	114	0.03	-5	2572	0.09		
"Antigua and Barbuda"	1444	1443	0	2	213	174	0	1	6334	0.27		
"Saint Lucia"	1394	1393	0	-10	310	171	0	-10	5321	0.23		
"Micronesia, Federated States of"	1276	1268	0	25	77	208	0	-8	7109	0.19		
"Palestine, State of"	1113	169	0	-4	-66	176	0	8	3026	0.1		
"Central African Republic"	1028	271	0	-29	69	199	0	7	6606	0.08		
"Sao Tome and Principe"	954	954	0	25	156	210	0	-3	6155	0.31		
"Bosnia and Herzegovina"	951	-374	0	3	-18	94	0.06	3	2228	0.07		
"Northern Mariana Islands"	919	917	0	-3	27	216	0	-19	3811	0.2		
"Marshall Islands"	858	-15311	0	21	-59	91	0.06	-1	7455	0.18		
"Cabo Verde"	856	856	0	-12	-30	181	0	4	5196	0.21		
"Bahamas"	814	-979	0	-29	-41	115	0.03	-8	6248	0.19		
"Dominica"	801	786	0	-15	94	185	0	8	4908	0.65		
"Saint Vincent and the Grenadines"	721	721	0	-14	-52	196	0	3	6798	0.14		
"Grenada"	662	605	0	-49	-26	191	0	-1	4157	0.2		
"Nauru"	607	607	0	12	12	211	0	18	6014	0.27		
"Curaçao"	408	312	0	-10	-75	163	0	-12		0.24		
"Palau"	338	338	0	43	-40	209	0	1	6232	0.16		
"Cook Islands"	322	316	0	1	33	206	0	-4	9417	0.22		
"Burundi"	312	309	0	-55	7252	188	0	13	4755	0.14		
"Chad"	259	234	0	-16	-68	184	0	13	6931	0.16		
"Andorra"	259	-125	0	-9	7	166	0	2	610	0.52		
"Saint Kitts and Nevis"	228	228	0	0	248	201	0	-12	5440	0.41		
"Montserrat"	221	221	0	12	4620	224	0	-7		0.49		
"Lesotho"	219	213	0	-36	20	164	0	-2	1590	0.78		
"Bermuda"	217	-335	0	7	-79	169	0	-3	8006	0.28		
"Tuvalu"	216	216	0	-5	-38	204	0	17	6386	0.21		
"French Southern and Antarctic Territories"	216	213	0	157	108	214	0	14		0.12		
"Pitcairn"	205	205	0	42	844	227	0	-5		0.23		
"British Indian Ocean Territory"	200	200	0	23	3112	219	0	-9		0.67		
"Faroe Islands"	160	41	0	99	31	172	0	7	1404	0.27		
"Cayman Islands"	154	140	0	1	-15	123	0.03	5	7522	0.35		
"Greenland"	93	-37	0	81		180	0	6	3482	0.44		
"Anguilla"	74	73	0		77	212	0	-5	4397	0.58		
"Aruba"	58	58	0	-45	47	175	0	-3	4917	0.3		
"Tokelau"	58	-48	0	-32	753	226	0	-33	11566	0.22		
"Saint Helena"	47	46	0	-8	34	217	0	6	7699	0.31		
"British Virgin Islands"	45	-505	0	-12	-62	156	0.01	8	7242	0.27		
"Wallis and Futuna Islands"	44	44	0	-7	-7	218	0	7	10103	0.24		
"Turks and Caicos Islands"	11	11	0		-80	193	0	-3	3491	0.74		
"Niue"	5	5	0	-51		223	0	7	11410	0.48		
"Falkland Islands (Malvinas)"		-2				207	0	2	12325	0.46		
"Cocos (Keeling) Islands"		-1567				225	0	8		0.74		
"Malaysia"		-78711				25	1.1	3	5172	0.09		
"Israel"						42	0.4	4	5483	0.07		
"Ship stores and bunkers"						75	0.1	-11		0.16		
"Free Zones"						186	0	-34		0.92		
"Bonaire, Sint Eustatius and Saba"						189	0	20		0.19		
"South Sudan"						194	0	12		0.25		
"Korea, Democratic People's Republic of"						200	0	-49	1470	0.87		
"Sint Maarten (Dutch part)"						213	0	-7		0.43		
"Saint Pierre and Miquelon"						215	0	10	3489	0.45		
"Western Sahara"						221	0	-16	12469	0.9		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
