Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Czech Republic's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Czech Republic (%)	
"Paraguay"	9706	8632	0	13	38	92	0.06	0	7311	0.15		
"Costa Rica"	9396	-79515	0	0	14	86	0.08	3	6987	0.22		
"Dominican Republic"	9195	-11401	0	3	38	67	0.1	5	6446	0.22		
"Kyrgyzstan"	8062	6601	0	-17	55	127	0.03	1	2892	0.2		
"Nepal"	7837	5810	0	5	256	96	0.06	8	1856	0.56		
"Mozambique"	7530	-26949	0	55	27	108	0.04	8	6196	0.1		
"Sudan"	7442	7416	0	-4	-44	122	0.03	-2		0.13		
"Rwanda"	7164	5906	0	36	40	159	0.01	17	5437	0.08		
"Papua New Guinea"	6602	6184	0	-3	62	143	0.02	-1	4973	0.17		
"Burkina Faso"	6065	5164	0	36	13	136	0.02	5	6109	0.05		
"Tajikistan"	5917	3964	0	6	3	142	0.02	9	2803	0.17		
"Congo, Democratic Republic of the"	5491	5213	0	-10	654	111	0.04	13	6479	0.14		
"Bolivia, Plurinational State of"	5357	2142	0	-18	4	106	0.04	-3	7978	0.11		
"Panama"	5335	-10538	0	-11	-39	60	0.2	1	8657	0.12		
"Cameroon"	4886	-24123	0	-12	-21	116	0.03	8	7279	0.14		
"New Caledonia"	4719	4716	0	44	-12	155	0.01	-1	11471	0.2		
"Togo"	4571	4488	0	2	89	153	0.01	10	7318	0.08		
"French Polynesia"	4106	4076	0	52	544	165	0	1	13300	0.24		
"Myanmar"	3920	-126150	0	-5	-50	79	0.10	-1	2536	0.25		
"Yemen"	3546	3538	0	17	121	107	0.04	11	5706	0.11		
"Cambodia"	3337	-246349	0	7	-44	66	0.1	16	2651	0.18		
"Syrian Arab Republic"	3311	3060	0	-13	-16	139	0.02	-3	2496	0.27		
"Guinea"	3171	3050	0	10	141	135	0.02	7	9140	0.19		
"Venezuela, Bolivarian Republic of"	3105	-4431	0	2	29	117	0.03	-11	8121	0.16		
"Congo"	2898	2674	0	11	-39	154	0.01	-18	6851	0.07		
"Trinidad and Tobago"	2897	2183	0	10	252	128	0.03	-1	6663	0.26		
"Faroe Islands"	2814	2555	0	8	-7	172	0	7	1404	0.27		
"Africa not elsewhere specified"	2554	2551	0	-10	192							
"Zimbabwe"	2247	-1947	0	4	373	134	0.02	7	3754	0.39		
"British Virgin Islands"	2229	2164	0	-5	12	156	0.01	8	7242	0.27		
"Brunei Darussalam"	2193	2165	0	49	225	109	0.04	26	5185	0.11		
"Gabon"	2173	1860	0	12	37	158	0.01	-2	7114	0.11		
"Nicaragua"	2079	-3052	0	1	58	104	0.05	4	5888	0.1		
"Malawi"	2027	-1212	0	53	45	168	0	0	5169	0.15		
"Andorra"	1891	1088	0	-32	23	166	0	2	610	0.52		
"Namibia"	1796	-1479	0	-8	52	126	0.03	-1	3757	0.37		
"Zambia"	1763	1221	0	-4	-32	119	0.03	-9	5447	0.14		
"Afghanistan"	1725	1602	0	-14	-89	147	0.02	-8	2990	0.12		
"Benin"	1724	1659	0	-11	-1	149	0.01	-2	6481	0.07		
"Burundi"	1503	1442	0	41	225	188	0	13	4755	0.14		
"Saint Helena"	1462	1450	0		37	217	0	6	7699	0.31		
"Area Nes"	1366	-252299	0	-58	-53							
"Madagascar"	1318	-3870	0	-10	34	138	0.02	2	7339	0.08		
"Macao, China"	1264	-4846	0	-37	-15	81	0.09	15		0.17		
"Chad"	1247	1074	0	33	-45	184	0	13	6931	0.16		
"Liberia"	1196	-4721	0	17	39	87	0.07	17	11608	0.19		
"Somalia"	1120	926	0	145	74	150	0.01	9	5305	0.16		
"Gambia"	995	982	0	30	147	167	0	7	8260	0.14		
"Seychelles"	962	843	0	-13	-7	187	0	-7	6627	0.06		
"Guyana"	950	-1088	0	26	145	144	0.02	13	11175	0.21		
"Mauritania"	946	823	0	-37	-1	146	0.02	1	5817	0.07		
"Botswana"	938	913	0	-40	20	124	0.03	2	2968	0.52		
"Djibouti"	914	250	0	13	379	130	0.02	5	6387	0.22		
"Niger"	893	310	0	10	-42	162	0	13	5715	0.09		
"Suriname"	879	-509	0	2	-71	173	0	1	9050	0.14		
"Bhutan"	852	733	0	140	269	178	0	15	1733	0.63		
"Greenland"	798	611	0	2	-6	180	0	6	3482	0.44		
"Jamaica"	779	-467	0	-6	127	137	0.02	-2	6759	0.22		
"Gibraltar"	618	-26	0	-64	214	114	0.03	-5	2572	0.09		
"Belize"	551	19	0	-22	157	179	0	1	5006	0.18		
"Fiji"	442	295	0	83	-65	157	0.01	-7	7384	0.12		
"Samoa"	427	374	0	24	-40	197	0	-1	6816	0.13		
"Lao People's Democratic Republic"	415	-42165	0	-71	-64	129	0.02	-1	2572	0.28		
"Bahamas"	392	282	0	7	-26	115	0.03	-8	6248	0.19		
"Micronesia, Federated States of"	373	371	0			208	0	-8	7109	0.19		
"Curaçao"	335	335	0	-9	4	163	0	-12		0.24		
"Cabo Verde"	314	307	0	-10	391	181	0	4	5196	0.21		
"Barbados"	306	-902	0	13	80	161	0	0	4992	0.21		
"Dominica"	300	-253	0	107	-42	185	0	8	4908	0.65		
"Sint Maarten (Dutch part)"	295	294	0	21	-69	213	0	-7		0.43		
"Aruba"	195	188	0	19	150	175	0	-3	4917	0.3		
"Timor-Leste"	192	165	0	11		183	0	12	3988	0.22		
"South Sudan"	180	26	0	-6	-69	194	0	12		0.25		
"Haiti"	176	8	0	-11	41	140	0.02	0	6340	0.18		
"Cayman Islands"	173	94	0	3	184	123	0.03	5	7522	0.35		
"French Southern and Antarctic Territories"	161	-39	0	-38	-82	214	0	14		0.12		
"Antigua and Barbuda"	159	-248	0	17	960	174	0	1	6334	0.27		
"Sierra Leone"	113	-2522	0	-17	-28	170	0	10	8820	0.13		
"Bermuda"	102	27	0	41	76	169	0	-3	8006	0.28		
"Central African Republic"	78	-10	0	126	-84	199	0	7	6606	0.08		
"Equatorial Guinea"	56	18	0	31	-98	182	0	2	6008	0.11		
"Turks and Caicos Islands"	43	29	0	-50		193	0	-3	3491	0.74		
"Eswatini"	39	-469	0	-26	-95	160	0	1	1597	0.74		
"Vanuatu"	34	33	0		-80	198	0	-2	6248	0.13		
"Grenada"	25	-356	0	-23	-31	191	0	-1	4157	0.2		
"Saint Lucia"	20	-53	0	8	-29	171	0	-10	5321	0.23		
"United States Minor Outlying Islands"	18	-8	0	67	-86	177	0	0		0.21		
"Comoros"	17	-77	0		-92	192	0	18	5731	0.22		
"Marshall Islands"	10	-27	0	-17		91	0.06	-1	7455	0.18		
"Saint Vincent and the Grenadines"	9	-43	0	23	-94	196	0	3	6798	0.14		
"Guinea-Bissau"	4	2	0	24	-69	195	0	2	5802	0.16		
"Anguilla"	3	-86	0	-55	-96	212	0	-5	4397	0.58		
"Sao Tome and Principe"	2	-55	0	-49	0	210	0	-3	6155	0.31		
"Saint Kitts and Nevis"	2	-1229	0	-25	-94	201	0	-12	5440	0.41		
"Montserrat"	1	-7	0			224	0	-7		0.49		
"Wallis and Futuna Islands"		-5				218	0	7	10103	0.24		
"Norfolk Island"		-6				222	0	1	5454	0.24		
"Palau"		-9				209	0	1	6232	0.16		
"Solomon Islands"		-16				190	0	0	6301	0.17		
"Cocos (Keeling) Islands"		-24				225	0	8		0.74		
"Christmas Island"		-29				220	0	3		0.69		
"Saint Pierre and Miquelon"		-30				215	0	10	3489	0.45		
"Tokelau"		-58				226	0	-33	11566	0.22		
"British Indian Ocean Territory"		-59				219	0	-9		0.67		
"Eritrea"		-60				203	0	-8	6303	0.14		
"Tuvalu"		-63				204	0	17	6386	0.21		
"Cook Islands"		-89				206	0	-4	9417	0.22		
"Lesotho"		-117				164	0	-2	1590	0.78		
"Korea, Democratic People's Republic of"		-205				200	0	-49	1470	0.87		
"Niue"		-234				223	0	7	11410	0.48		
"Nauru"		-332				211	0	18	6014	0.27		
"Falkland Islands (Malvinas)"		-4053				207	0	2	12325	0.46		
"Pitcairn"		-4579				227	0	-5		0.23		
"Free Zones"						186	0	-34		0.92		
"Bonaire, Sint Eustatius and Saba"						189	0	20		0.19		
"Tonga"						202	0	4	5771	0.16		
"Kiribati"						205	0	10	5936	0.13		
"Northern Mariana Islands"						216	0	-19	3811	0.2		
"Western Sahara"						221	0	-16	12469	0.9		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
