Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Albania's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Albania (%)	
"India"	30613	-25895	0.9	-14	581	10	2.6	2	5793	0.05		
"Switzerland"	27869	-43521	0.8	15	40	20	1.5	4	3384	0.07		
"Austria"	23962	-47397	0.7	15	87	27	1	3	1514	0.18		
"Croatia"	23157	-83436	0.7	33	82	63	0.2	6	1362	0.07		
"Hungary"	22731	-93507	0.7	-5	19	33	0.6	6	2180	0.09		
"Korea, Republic of"	21067	-12932	0.6	41	354	9	2.8	4	5699	0.09		
"Saudi Arabia"	19709	13671	0.6	80	338	32	0.7	3	5816	0.07		
"Netherlands"	18250	-82066	0.6	17	59	8	2.8	5	3706	0.07		
"Russian Federation"	16864	-115679	0.5	0	4	21	1.3	5	4187	0.09		
"Estonia"	13728	12415	0.4	20	9	73	0.1	6	2314	0.06		
"Canada"	10216	-48819	0.3	-1	35	14	2.2	1	5042	0.26		
"Belgium"	9498	-61057	0.3	31	121	12	2.4	3	2709	0.08		
"Malta"	9030	8974	0.3	5	0	120	0.03	1	3249	0.08		
"United Kingdom"	8708	-21620	0.3	17	-32	7	3.2	1	3930	0.06		
"Ukraine"	6807	-32961	0.2	11	-5	48	0.3	7	3255	0.06		
"Senegal"	6728	6586	0.2	7	-22	110	0.04	4	6632	0.05		
"Mexico"	6411	6411	0.2	2	13	13	2.3	2	7039	0.24		
"Slovenia"	6373	-65714	0.2	-6	-25	55	0.2	10	2404	0.07		
"Norway"	6269	2171	0.2	23	62	39	0.5	3	3470	0.06		
"Indonesia"	5297	-2572	0.2	87	4231	30	0.9	2	5872	0.11		
"South Africa"	4063	3394	0.1	39	273	41	0.4	-1	9230	0.07		
"Brazil"	3648	-55848	0.1	22	237	26	1	6	10879	0.09		
"Australia"	3594	2200	0.1	0	46	24	1.1	1	10262	0.1		
"Finland"	3421	-217	0.1	19	154	44	0.4	3	2842	0.07		
"Israel"	3362	-51605	0.1	25	70	42	0.4	4	5483	0.07		
"Malaysia"	3103	-440	0.1	131	-74	25	1.1	3	5172	0.09		
"Ethiopia"	3034	3034	0.1	592	48	90	0.07	1	6305	0.11		
"Thailand"	2842	-3357	0.1	53	142	23	1.2	2	4905	0.09		
"Portugal"	2632	-9292	0.1	59	237	40	0.4	2	2788	0.14		
"Hong Kong, China"	2361	-4714	0.1	18	424	5	3.3	3	2841	0.22		
"Lithuania"	2180	-3182	0.1	15	46	59	0.2	7	1630	0.07		
"Latvia"	2058	-108	0.1	37	165	77	0.1	7	1575	0.08		
"Denmark"	1814	-20537	0.1	-1	-23	35	0.6	5	2182	0.08		
"Cyprus"	1636	-809	0	139	185	105	0.05	-1	3118	0.09		
"Armenia"	1595	1595	0	30	35	131	0.02	6	3323	0.15		
"Ireland"	1466	-9261	0	39	157	36	0.5	4	3265	0.1		
"Taipei, Chinese"	1429	-5078	0	-12	4	17	1.7	8	5007	0.1		
"Singapore"	1364	-306	0	11	54	16	1.9	3	5773	0.07		
"Argentina"	1093	-5867	0	36	176	50	0.3	-5	10631	0.1		
"Morocco"	1084	-1752	0	1	-61	52	0.3	4	4316	0.07		
"Belarus"	1061	689	0	-7	72	61	0.2	2	2268	0.23		
"Egypt"	985	-14606	0	-49	35	46	0.3	-1	5219	0.05		
"Moldova, Republic of"	839	-17	0	8	43	118	0.03	8	2317	0.08		
"Tunisia"	818	-15761	0	23	-42	78	0.10	-1	3411	0.06		
"Peru"	803	198	0	4	87	54	0.2	3	10420	0.13		
"Tanzania, United Republic of"	787	759	0	267	3481	102	0.05	7	6633	0.1		
"Luxembourg"	714	-1141	0	-21	37	71	0.1	3	1488	0.14		
"Dominican Republic"	688	681	0	-2	15	67	0.1	5	6446	0.22		
"Azerbaijan"	658	-3635	0	5	70	98	0.05	5	3712	0.09		
"Mauritius"	574	448	0	8	39	133	0.02	-2	7320	0.08		
"Philippines"	524	432	0	-23	206	34	0.6	2	4354	0.09		
"Georgia"	510	492	0	23	176	113	0.04	-2	2513	0.09		
"Chile"	475	16	0	2	-67	43	0.4	6	11582	0.13		
"Macao, China"	285	285	0	-16	-8	81	0.09	15		0.17		
"Colombia"	272	-10339	0	-7	44	51	0.3	4	8915	0.13		
"Iceland"	269	269	0	14	43	112	0.04	-1	4251	0.05		
"New Zealand"	263	255	0	-10	-16	56	0.2	3	11141	0.09		
"Pakistan"	227	-5014	0	7	135	47	0.3	2	4850	0.11		
"Madagascar"	216	205	0	17	12758	138	0.02	2	7339	0.08		
"Angola"	215	215	0		-60	100	0.05	-11	7692	0.06		
"Nigeria"	213	147	0	41	40	53	0.2	17	7792	0.1		
"Congo"	209	209	0	185	224	154	0.01	-18	6851	0.07		
"Ecuador"	150	-24679	0	-32	-6	69	0.1	3	9174	0.12		
"Burkina Faso"	100	100	0	19	132	136	0.02	5	6109	0.05		
"Mozambique"	96	96	0	-3	106	108	0.04	8	6196	0.1		
"Uzbekistan"	55	-2587	0	65	218	74	0.1	16	3412	0.12		
"Bolivia, Plurinational State of"	35	35	0	-15	44	106	0.04	-3	7978	0.11		
"Paraguay"	31	-696	0		107	92	0.06	0	7311	0.15		
"Benin"	21	-25	0	-38	250	149	0.01	-2	6481	0.07		
"Honduras"	13	-3	0	-43		99	0.05	4	6104	0.16		
"Kenya"	12	-311	0	-2	173	80	0.09	2	6680	0.08		
"Togo"	11	11	0	-10	40	153	0.01	10	7318	0.08		
"Cambodia"	7	5	0			66	0.1	16	2651	0.18		
"Mauritania"	6	6	0	8	-85	146	0.02	1	5817	0.07		
"Kyrgyzstan"	6	-167	0	35	-40	127	0.03	1	2892	0.2		
"Nicaragua"	4	-9	0	-62	-55	104	0.05	4	5888	0.1		
"El Salvador"	3	3	0	177	31	88	0.07	9	4914	0.15		
"Guatemala"	3	-2	0		6	68	0.1	7	5828	0.15		
"Zambia"	2	2	0		-89	119	0.03	-9	5447	0.14		
"Brunei Darussalam"	1	1	0	-32		109	0.04	26	5185	0.11		
"Guyana"	1	1	0			144	0.02	13	11175	0.21		
"Maldives"	1	1	0			151	0.01	-3	4478	0.08		
"Barbados"		-8				161	0	0	4992	0.21		
"Viet Nam"						19	1.5	8	3535	0.19		
"United Arab Emirates"						29	0.9	-2	5715	0.08		
"Bangladesh"						49	0.3	6	4172	0.15		
"Kazakhstan"						58	0.2	6	3017	0.25		
"Panama"						60	0.2	1	8657	0.12		
"Iraq"						62	0.2	3	4107	0.18		
"Algeria"						64	0.2	-8	4584	0.07		
"Qatar"						70	0.1	0	5745	0.06		
"Iran, Islamic Republic of"						72	0.1	-18	5612	0.13		
"Ship stores and bunkers"						75	0.1	-11		0.16		
"Kuwait"						76	0.1	-3	5837	0.07		
"Myanmar"						79	0.10	-1	2536	0.25		
"Ghana"						82	0.08	8	8888	0.18		
"Oman"						83	0.08	-6	5977	0.08		
"Jordan"						84	0.08	0	5167	0.07		
"Sri Lanka"						85	0.08	-3	4351	0.16		
"Costa Rica"						86	0.08	3	6987	0.22		
"Liberia"						87	0.07	17	11608	0.19		
"Libya, State of"						89	0.07	12	3475	0.08		
"Marshall Islands"						91	0.06	-1	7455	0.18		
"Côte d'Ivoire"						93	0.06	9	6793	0.08		
"Uruguay"						95	0.06	0	9836	0.11		
"Nepal"						96	0.06	8	1856	0.56		
"Lebanon"						97	0.06	-12	3592	0.06		
"Bahrain"						101	0.05	1	6359	0.08		
"Macedonia, North"						103	0.05	8	1348	0.09		
"Yemen"						107	0.04	11	5706	0.11		
"Congo, Democratic Republic of the"						111	0.04	13	6479	0.14		
"Gibraltar"						114	0.03	-5	2572	0.09		
"Bahamas"						115	0.03	-8	6248	0.19		
"Cameroon"						116	0.03	8	7279	0.14		
"Venezuela, Bolivarian Republic of"						117	0.03	-11	8121	0.16		
"Sudan"						122	0.03	-2		0.13		
"Cayman Islands"						123	0.03	5	7522	0.35		
"Botswana"						124	0.03	2	2968	0.52		
"Mongolia"						125	0.03	8	3267	0.22		
"Namibia"						126	0.03	-1	3757	0.37		
"Trinidad and Tobago"						128	0.03	-1	6663	0.26		
"Lao People's Democratic Republic"						129	0.02	-1	2572	0.28		
"Djibouti"						130	0.02	5	6387	0.22		
"Uganda"						132	0.02	11	5788	0.09		
"Zimbabwe"						134	0.02	7	3754	0.39		
"Guinea"						135	0.02	7	9140	0.19		
"Jamaica"						137	0.02	-2	6759	0.22		
"Syrian Arab Republic"						139	0.02	-3	2496	0.27		
"Haiti"						140	0.02	0	6340	0.18		
"Mali"						141	0.02	9	5008	0.1		
"Tajikistan"						142	0.02	9	2803	0.17		
"Papua New Guinea"						143	0.02	-1	4973	0.17		
"Cuba"						145	0.02	-13	7148	0.09		
"Afghanistan"						147	0.02	-8	2990	0.12		
"Turkmenistan"						148	0.02	4	3495	0.15		
"Somalia"						150	0.01	9	5305	0.16		
"New Caledonia"						155	0.01	-1	11471	0.2		
"British Virgin Islands"						156	0.01	8	7242	0.27		
"Fiji"						157	0.01	-7	7384	0.12		
"Gabon"						158	0.01	-2	7114	0.11		
"Rwanda"						159	0.01	17	5437	0.08		
"Eswatini"						160	0	1	1597	0.74		
"Niger"						162	0	13	5715	0.09		
"Curaçao"						163	0	-12		0.24		
"Lesotho"						164	0	-2	1590	0.78		
"French Polynesia"						165	0	1	13300	0.24		
"Andorra"						166	0	2	610	0.52		
"Gambia"						167	0	7	8260	0.14		
"Malawi"						168	0	0	5169	0.15		
"Bermuda"						169	0	-3	8006	0.28		
"Sierra Leone"						170	0	10	8820	0.13		
"Saint Lucia"						171	0	-10	5321	0.23		
"Faroe Islands"						172	0	7	1404	0.27		
"Suriname"						173	0	1	9050	0.14		
"Antigua and Barbuda"						174	0	1	6334	0.27		
"Aruba"						175	0	-3	4917	0.3		
"Palestine, State of"						176	0	8	3026	0.1		
"United States Minor Outlying Islands"						177	0	0		0.21		
"Bhutan"						178	0	15	1733	0.63		
"Belize"						179	0	1	5006	0.18		
"Greenland"						180	0	6	3482	0.44		
"Cabo Verde"						181	0	4	5196	0.21		
"Equatorial Guinea"						182	0	2	6008	0.11		
"Timor-Leste"						183	0	12	3988	0.22		
"Chad"						184	0	13	6931	0.16		
"Dominica"						185	0	8	4908	0.65		
"Free Zones"						186	0	-34		0.92		
"Seychelles"						187	0	-7	6627	0.06		
"Burundi"						188	0	13	4755	0.14		
"Bonaire, Sint Eustatius and Saba"						189	0	20		0.19		
"Solomon Islands"						190	0	0	6301	0.17		
"Grenada"						191	0	-1	4157	0.2		
"Comoros"						192	0	18	5731	0.22		
"Turks and Caicos Islands"						193	0	-3	3491	0.74		
"South Sudan"						194	0	12		0.25		
"Guinea-Bissau"						195	0	2	5802	0.16		
"Saint Vincent and the Grenadines"						196	0	3	6798	0.14		
"Samoa"						197	0	-1	6816	0.13		
"Vanuatu"						198	0	-2	6248	0.13		
"Central African Republic"						199	0	7	6606	0.08		
"Korea, Democratic People's Republic of"						200	0	-49	1470	0.87		
"Saint Kitts and Nevis"						201	0	-12	5440	0.41		
"Tonga"						202	0	4	5771	0.16		
"Eritrea"						203	0	-8	6303	0.14		
"Tuvalu"						204	0	17	6386	0.21		
"Kiribati"						205	0	10	5936	0.13		
"Cook Islands"						206	0	-4	9417	0.22		
"Falkland Islands (Malvinas)"						207	0	2	12325	0.46		
"Micronesia, Federated States of"						208	0	-8	7109	0.19		
"Palau"						209	0	1	6232	0.16		
"Sao Tome and Principe"						210	0	-3	6155	0.31		
"Nauru"						211	0	18	6014	0.27		
"Anguilla"						212	0	-5	4397	0.58		
"Sint Maarten (Dutch part)"						213	0	-7		0.43		
"French Southern and Antarctic Territories"						214	0	14		0.12		
"Saint Pierre and Miquelon"						215	0	10	3489	0.45		
"Northern Mariana Islands"						216	0	-19	3811	0.2		
"Saint Helena"						217	0	6	7699	0.31		
"Wallis and Futuna Islands"						218	0	7	10103	0.24		
"British Indian Ocean Territory"						219	0	-9		0.67		
"Christmas Island"						220	0	3		0.69		
"Western Sahara"						221	0	-16	12469	0.9		
"Norfolk Island"						222	0	1	5454	0.24		
"Niue"						223	0	7	11410	0.48		
"Montserrat"						224	0	-7		0.49		
"Cocos (Keeling) Islands"						225	0	8		0.74		
"Tokelau"						226	0	-33	11566	0.22		
"Pitcairn"						227	0	-5		0.23		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
