Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Togo's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Togo (%)	
"Brazil"	38	-37306	0	35	738	26	1	6	10879	0.09		
"Hong Kong, China"	35	-8578	0	-45	21	5	3.3	3	2841	0.22		
"Tunisia"	19	-9607	0	-60	23	78	0.10	-1	3411	0.06		
"Somalia"	17	17	0	-45		150	0.01	9	5305	0.16		
"Panama"	17	12	0	-16	-91	60	0.2	1	8657	0.12		
"Poland"	16	-17516	0			18	1.5	8	3121	0.08		
"Estonia"	12	-8	0			73	0.1	6	2314	0.06		
"Hungary"	7	-1027	0		-56	33	0.6	6	2180	0.09		
"Kuwait"	6	-12936	0		43	76	0.1	-3	5837	0.07		
"Uruguay"	5	-30	0			95	0.06	0	9836	0.11		
"Malta"	5	-80	0	52	-97	120	0.03	1	3249	0.08		
"Austria"	4	-788	0		46	27	1	3	1514	0.18		
"Lithuania"	4	-1530	0			59	0.2	7	1630	0.07		
"Romania"	2	-1001	0	157		37	0.5	6	1891	0.07		
"Finland"	2	-4934	0			44	0.4	3	2842	0.07		
"Czech Republic"	1	-1011	0			28	1	4	2987	0.1		
"Costa Rica"		-1				86	0.08	3	6987	0.22		
"Turks and Caicos Islands"		-2				193	0	-3	3491	0.74		
"Cayman Islands"		-3				123	0.03	5	7522	0.35		
"Palestine, State of"		-3				176	0	8	3026	0.1		
"Saint Vincent and the Grenadines"		-4				196	0	3	6798	0.14		
"Syrian Arab Republic"		-7				139	0.02	-3	2496	0.27		
"Dominican Republic"		-8				67	0.1	5	6446	0.22		
"Bosnia and Herzegovina"		-8				94	0.06	3	2228	0.07		
"Macao, China"		-11				81	0.09	15		0.17		
"Ethiopia"		-11				90	0.07	1	6305	0.11		
"Albania"		-11				121	0.03	6	1886	0.13		
"Myanmar"		-16				79	0.10	-1	2536	0.25		
"Malawi"		-18				168	0	0	5169	0.15		
"Cyprus"		-38				105	0.05	-1	3118	0.09		
"Jamaica"		-47				137	0.02	-2	6759	0.22		
"Seychelles"		-51				187	0	-7	6627	0.06		
"Iran, Islamic Republic of"		-52				72	0.1	-18	5612	0.13		
"Nicaragua"		-67				104	0.05	4	5888	0.1		
"Cambodia"		-94				66	0.1	16	2651	0.18		
"Serbia"		-96				65	0.2	9	2497	0.06		
"Guatemala"		-97				68	0.1	7	5828	0.15		
"Peru"		-122				54	0.2	3	10420	0.13		
"Slovenia"		-123				55	0.2	10	2404	0.07		
"Jordan"		-137				84	0.08	0	5167	0.07		
"Faroe Islands"		-138				172	0	7	1404	0.27		
"Macedonia, North"		-254				103	0.05	8	1348	0.09		
"Croatia"		-326				63	0.2	6	1362	0.07		
"Belarus"		-583				61	0.2	2	2268	0.23		
"Latvia"		-698				77	0.1	7	1575	0.08		
"Moldova, Republic of"		-832				118	0.03	8	2317	0.08		
"Eswatini"		-843				160	0	1	1597	0.74		
"Chile"		-846				43	0.4	6	11582	0.13		
"Slovakia"		-868				38	0.5	4	2664	0.07		
"Ecuador"		-937				69	0.1	3	9174	0.12		
"Luxembourg"		-1031				71	0.1	3	1488	0.14		
"Norway"		-1449				39	0.5	3	3470	0.06		
"Argentina"		-1809				50	0.3	-5	10631	0.1		
"Mexico"		-2005				13	2.3	2	7039	0.24		
"Cuba"		-2012				145	0.02	-13	7148	0.09		
"Israel"		-2563				42	0.4	4	5483	0.07		
"Colombia"		-3691				51	0.3	4	8915	0.13		
"Korea, Democratic People's Republic of"		-5391				200	0	-49	1470	0.87		
"Oman"		-6045				83	0.08	-6	5977	0.08		
"Qatar"		-7450				70	0.1	0	5745	0.06		
"Ireland"		-14415				36	0.5	4	3265	0.1		
"Taipei, Chinese"		-15894				17	1.7	8	5007	0.1		
"Russian Federation"		-40723				21	1.3	5	4187	0.09		
"Saudi Arabia"		-57796				32	0.7	3	5816	0.07		
"Kazakhstan"						58	0.2	6	3017	0.25		
"Iraq"						62	0.2	3	4107	0.18		
"Uzbekistan"						74	0.1	16	3412	0.12		
"Ship stores and bunkers"						75	0.1	-11		0.16		
"El Salvador"						88	0.07	9	4914	0.15		
"Paraguay"						92	0.06	0	7311	0.15		
"Nepal"						96	0.06	8	1856	0.56		
"Azerbaijan"						98	0.05	5	3712	0.09		
"Honduras"						99	0.05	4	6104	0.16		
"Bahrain"						101	0.05	1	6359	0.08		
"Bolivia, Plurinational State of"						106	0.04	-3	7978	0.11		
"Yemen"						107	0.04	11	5706	0.11		
"Brunei Darussalam"						109	0.04	26	5185	0.11		
"Georgia"						113	0.04	-2	2513	0.09		
"Gibraltar"						114	0.03	-5	2572	0.09		
"Bahamas"						115	0.03	-8	6248	0.19		
"Venezuela, Bolivarian Republic of"						117	0.03	-11	8121	0.16		
"Botswana"						124	0.03	2	2968	0.52		
"Mongolia"						125	0.03	8	3267	0.22		
"Kyrgyzstan"						127	0.03	1	2892	0.2		
"Trinidad and Tobago"						128	0.03	-1	6663	0.26		
"Lao People's Democratic Republic"						129	0.02	-1	2572	0.28		
"Armenia"						131	0.02	6	3323	0.15		
"Zimbabwe"						134	0.02	7	3754	0.39		
"Tajikistan"						142	0.02	9	2803	0.17		
"Papua New Guinea"						143	0.02	-1	4973	0.17		
"Guyana"						144	0.02	13	11175	0.21		
"Afghanistan"						147	0.02	-8	2990	0.12		
"Turkmenistan"						148	0.02	4	3495	0.15		
"Maldives"						151	0.01	-3	4478	0.08		
"Montenegro"						152	0.01	0	2382	0.08		
"New Caledonia"						155	0.01	-1	11471	0.2		
"British Virgin Islands"						156	0.01	8	7242	0.27		
"Fiji"						157	0.01	-7	7384	0.12		
"Barbados"						161	0	0	4992	0.21		
"Curaçao"						163	0	-12		0.24		
"Lesotho"						164	0	-2	1590	0.78		
"French Polynesia"						165	0	1	13300	0.24		
"Andorra"						166	0	2	610	0.52		
"Bermuda"						169	0	-3	8006	0.28		
"Saint Lucia"						171	0	-10	5321	0.23		
"Antigua and Barbuda"						174	0	1	6334	0.27		
"Aruba"						175	0	-3	4917	0.3		
"United States Minor Outlying Islands"						177	0	0		0.21		
"Bhutan"						178	0	15	1733	0.63		
"Belize"						179	0	1	5006	0.18		
"Greenland"						180	0	6	3482	0.44		
"Cabo Verde"						181	0	4	5196	0.21		
"Timor-Leste"						183	0	12	3988	0.22		
"Dominica"						185	0	8	4908	0.65		
"Free Zones"						186	0	-34		0.92		
"Burundi"						188	0	13	4755	0.14		
"Bonaire, Sint Eustatius and Saba"						189	0	20		0.19		
"Solomon Islands"						190	0	0	6301	0.17		
"Grenada"						191	0	-1	4157	0.2		
"Comoros"						192	0	18	5731	0.22		
"South Sudan"						194	0	12		0.25		
"Samoa"						197	0	-1	6816	0.13		
"Vanuatu"						198	0	-2	6248	0.13		
"Saint Kitts and Nevis"						201	0	-12	5440	0.41		
"Tonga"						202	0	4	5771	0.16		
"Eritrea"						203	0	-8	6303	0.14		
"Tuvalu"						204	0	17	6386	0.21		
"Kiribati"						205	0	10	5936	0.13		
"Cook Islands"						206	0	-4	9417	0.22		
"Falkland Islands (Malvinas)"						207	0	2	12325	0.46		
"Micronesia, Federated States of"						208	0	-8	7109	0.19		
"Palau"						209	0	1	6232	0.16		
"Nauru"						211	0	18	6014	0.27		
"Anguilla"						212	0	-5	4397	0.58		
"Sint Maarten (Dutch part)"						213	0	-7		0.43		
"French Southern and Antarctic Territories"						214	0	14		0.12		
"Saint Pierre and Miquelon"						215	0	10	3489	0.45		
"Northern Mariana Islands"						216	0	-19	3811	0.2		
"Saint Helena"						217	0	6	7699	0.31		
"Wallis and Futuna Islands"						218	0	7	10103	0.24		
"British Indian Ocean Territory"						219	0	-9		0.67		
"Christmas Island"						220	0	3		0.69		
"Western Sahara"						221	0	-16	12469	0.9		
"Norfolk Island"						222	0	1	5454	0.24		
"Niue"						223	0	7	11410	0.48		
"Montserrat"						224	0	-7		0.49		
"Cocos (Keeling) Islands"						225	0	8		0.74		
"Tokelau"						226	0	-33	11566	0.22		
"Pitcairn"						227	0	-5		0.23		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
