Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Switzerland's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Switzerland (%)	
"Sri Lanka"	104319	-143931	0	-14	-10	85	0.08	-3	4351	0.16		
"Macao, China"	100589	89390	0	11	177	81	0.09	15		0.17		
"Uzbekistan"	92552	-2298746	0	-9	34	74	0.1	16	3412	0.12		
"Macedonia, North"	92200	-6366	0	18	14	103	0.05	8	1348	0.09		
"British Virgin Islands"	84621	82003	0	-8	62	156	0.01	8	7242	0.27		
"Iceland"	84047	46005	0	14	27	112	0.04	-1	4251	0.05		
"Azerbaijan"	72317	-140864	0	-5	51	98	0.05	5	3712	0.09		
"Albania"	71390	43521	0	12	32	121	0.03	6	1886	0.13		
"Botswana"	70539	70476	0	215	-39	124	0.03	2	2968	0.52		
"Georgia"	59310	-18074	0	2	42	113	0.04	-2	2513	0.09		
"Palestine, State of"	56160	55161	0	18	25	176	0	8	3026	0.1		
"Côte d'Ivoire"	51177	-847912	0	-9	-4	93	0.06	9	6793	0.08		
"Nepal"	50572	41361	0	-25	99	96	0.06	8	1856	0.56		
"Guatemala"	50026	-9938	0	11	64	68	0.1	7	5828	0.15		
"Dominican Republic"	49724	-885942	0	10	36	67	0.1	5	6446	0.22		
"Moldova, Republic of"	49664	17760	0	22	49	118	0.03	8	2317	0.08		
"Ethiopia"	43293	-20651	0	8	-32	90	0.07	1	6305	0.11		
"Tanzania, United Republic of"	42163	-526567	0	20	16	102	0.05	7	6633	0.1		
"Mauritius"	35289	-8330	0	-4	12	133	0.02	-2	7320	0.08		
"Ghana"	33554	-2417914	0	0	9	82	0.08	8	8888	0.18		
"Uganda"	33355	10220	0	21	1	132	0.02	11	5788	0.09		
"Curaçao"	33210	32830	0	-3	46	163	0	-12		0.24		
"Venezuela, Bolivarian Republic of"	33181	30964	0	-21	25	117	0.03	-11	8121	0.16		
"Montenegro"	32177	27035	0	20	1	152	0.01	0	2382	0.08		
"Sudan"	31203	30390	0	-20	-53	122	0.03	-2		0.13		
"Seychelles"	29246	28580	0	-12	172	187	0	-7	6627	0.06		
"Senegal"	26723	-697777	0	7	2	110	0.04	4	6632	0.05		
"Armenia"	24669	11457	0	-37	24	131	0.02	6	3323	0.15		
"Bolivia, Plurinational State of"	24616	18540	0	-7	76	106	0.04	-3	7978	0.11		
"Bahamas"	20764	20322	0	-29	95	115	0.03	-8	6248	0.19		
"Paraguay"	20683	-681	0	-1	24	92	0.06	0	7311	0.15		
"Honduras"	20011	-23756	0	5	36	99	0.05	4	6104	0.16		
"Haiti"	18409	15486	0	47	688	140	0.02	0	6340	0.18		
"Myanmar"	17810	-147178	0	-5	-19	79	0.10	-1	2536	0.25		
"El Salvador"	17102	13925	0	3	34	88	0.07	9	4914	0.15		
"Yemen"	16764	16363	0	1	8	107	0.04	11	5706	0.11		
"Mongolia"	16510	-1041265	0	21	57	125	0.03	8	3267	0.22		
"Aruba"	14179	13441	0	-6	218	175	0	-3	4917	0.3		
"Togo"	13934	12725	0	-2	-19	153	0.01	10	7318	0.08		
"Congo, Democratic Republic of the"	13927	12373	0	30	-29	111	0.04	13	6479	0.14		
"Cayman Islands"	13614	13094	0	-14	47	123	0.03	5	7522	0.35		
"Cameroon"	13609	10504	0	-4	-6	116	0.03	8	7279	0.14		
"Jamaica"	12916	7926	0	-1	30	137	0.02	-2	6759	0.22		
"Niger"	10277	9996	0	-3	16	162	0	13	5715	0.09		
"Maldives"	9908	-1048	0	8	58	151	0.01	-3	4478	0.08		
"Kyrgyzstan"	9812	-1197345	0	-10	7	127	0.03	1	2892	0.2		
"Cuba"	9424	-37044	0	-24	114	145	0.02	-13	7148	0.09		
"Rwanda"	9110	8613	0	22	8	159	0.01	17	5437	0.08		
"Mali"	8941	-1347657	0	26	-36	141	0.02	9	5008	0.1		
"Benin"	8677	7673	0	9	87	149	0.01	-2	6481	0.07		
"United States Minor Outlying Islands"	8220	8099	0	-18	48	177	0	0		0.21		
"Trinidad and Tobago"	7450	6799	0	-4	-19	128	0.03	-1	6663	0.26		
"Gibraltar"	7431	5728	0	-6	23	114	0.03	-5	2572	0.09		
"Angola"	6687	6589	0	-6	-68	100	0.05	-11	7692	0.06		
"Turkmenistan"	6389	6275	0	-20	-16	148	0.02	4	3495	0.15		
"Turks and Caicos Islands"	6365	6192	0	7	257	193	0	-3	3491	0.74		
"Lao People's Democratic Republic"	6339	-132067	0	11	-16	129	0.02	-1	2572	0.28		
"Madagascar"	6110	-36842	0	-3	-15	138	0.02	2	7339	0.08		
"Tajikistan"	5890	-180523	0	6	-25	142	0.02	9	2803	0.17		
"Mauritania"	5832	5585	0	1	51	146	0.02	1	5817	0.07		
"Nicaragua"	5818	-237525	0	0	-22	104	0.05	4	5888	0.1		
"Guinea"	5782	-234723	0	1	-1	135	0.02	7	9140	0.19		
"Afghanistan"	5687	1502	0	25	-17	147	0.02	-8	2990	0.12		
"Zimbabwe"	4976	-493	0	-24	28	134	0.02	7	3754	0.39		
"Syrian Arab Republic"	4969	4827	0	-30	-83	139	0.02	-3	2496	0.27		
"Barbados"	4968	4468	0	-42	26	161	0	0	4992	0.21		
"New Caledonia"	4250	3802	0	0	12	155	0.01	-1	11471	0.2		
"Mozambique"	3930	-44500	0	-2	-66	108	0.04	8	6196	0.1		
"Bermuda"	3660	-855	0	-9	61	169	0	-3	8006	0.28		
"Burkina Faso"	3615	-3377303	0	0	-44	136	0.02	5	6109	0.05		
"Djibouti"	3610	3577	0	41	670	130	0.02	5	6387	0.22		
"Congo"	3393	-706	0	-11	42	154	0.01	-18	6851	0.07		
"Belize"	3355	3070	0	-33	197	179	0	1	5006	0.18		
"Eswatini"	3288	-1819	0	-7	50	160	0	1	1597	0.74		
"Andorra"	3220	2358	0	-27	32	166	0	2	610	0.52		
"Zambia"	3218	-5807	0	-18	8	119	0.03	-9	5447	0.14		
"Sierra Leone"	3125	1285	0	-5	35	170	0	10	8820	0.13		
"Namibia"	3005	-1172	0	13	-22	126	0.03	-1	3757	0.37		
"Saint Vincent and the Grenadines"	2655	-1746	0	-46	1961	196	0	3	6798	0.14		
"Gambia"	2475	2464	0	-4	1	167	0	7	8260	0.14		
"Chad"	2273	2241	0	-1	29	184	0	13	6931	0.16		
"Saint Lucia"	1790	1747	0	-18	173	171	0	-10	5321	0.23		
"Papua New Guinea"	1761	-1059	0	11	-47	143	0.02	-1	4973	0.17		
"Guyana"	1672	-5623	0	-5	2	144	0.02	13	11175	0.21		
"Liberia"	1579	-341049	0	-48	79	87	0.07	17	11608	0.19		
"Gabon"	1565	1371	0	-15	-9	158	0.01	-2	7114	0.11		
"Suriname"	1557	-1090775	0	-17	12	173	0	1	9050	0.14		
"Cabo Verde"	1457	1443	0	-8	27	181	0	4	5196	0.21		
"Antigua and Barbuda"	1407	1345	0	-10	33	174	0	1	6334	0.27		
"Brunei Darussalam"	1262	1215	0	-26	25	109	0.04	26	5185	0.11		
"Saint Kitts and Nevis"	1254	812	0	-20	60	201	0	-12	5440	0.41		
"Malawi"	1234	-1597	0	4	-33	168	0	0	5169	0.15		
"Somalia"	1191	1163	0	33	474	150	0.01	9	5305	0.16		
"Faroe Islands"	1023	-6193	0	5	95	172	0	7	1404	0.27		
"Samoa"	969	926	0	440	4	197	0	-1	6816	0.13		
"Bhutan"	725	682	0	7	-68	178	0	15	1733	0.63		
"Dominica"	638	638	0	-39	92	185	0	8	4908	0.65		
"Burundi"	505	442	0	-14	-22	188	0	13	4755	0.14		
"Fiji"	473	345	0	-30	-62	157	0.01	-7	7384	0.12		
"Eritrea"	465	344	0	2	137	203	0	-8	6303	0.14		
"Sao Tome and Principe"	382	-1948	0	-5	71	210	0	-3	6155	0.31		
"Timor-Leste"	321	321	0	-1	55	183	0	12	3988	0.22		
"Central African Republic"	313	110	0	-23	-30	199	0	7	6606	0.08		
"Marshall Islands"	261	261	0	-21	-99	91	0.06	-1	7455	0.18		
"Equatorial Guinea"	226	226	0	5	-77	182	0	2	6008	0.11		
"Northern Mariana Islands"	208	208	0	-34	209	216	0	-19	3811	0.2		
"Grenada"	184	-90	0	-14	-61	191	0	-1	4157	0.2		
"Guinea-Bissau"	182	182	0	-5	3	195	0	2	5802	0.16		
"Comoros"	178	-520	0	9	111	192	0	18	5731	0.22		
"Falkland Islands (Malvinas)"	125	91	0	6	-47	207	0	2	12325	0.46		
"Lesotho"	108	-30753	0	-36	68	164	0	-2	1590	0.78		
"Vanuatu"	100	100	0	7	31	198	0	-2	6248	0.13		
"Saint Pierre and Miquelon"	44	44	0	88		215	0	10	3489	0.45		
"Greenland"	43	-1159	0	-22	-17	180	0	6	3482	0.44		
"Solomon Islands"	40	-13495	0	-41	67	190	0	0	6301	0.17		
"Nauru"	35	35	0	-47		211	0	18	6014	0.27		
"Cocos (Keeling) Islands"	30	30	0	22		225	0	8		0.74		
"Micronesia, Federated States of"	29	29	0	62	-88	208	0	-8	7109	0.19		
"British Indian Ocean Territory"	22	22	0		275	219	0	-9		0.67		
"Kiribati"	14	14	0	-53		205	0	10	5936	0.13		
"Cook Islands"	14	14	0	59	-32	206	0	-4	9417	0.22		
"Palau"	10	10	0	-35	-95	209	0	1	6232	0.16		
"French Southern and Antarctic Territories"	9	9	0	-32	671	214	0	14		0.12		
"Niue"	8	8	0	-15		223	0	7	11410	0.48		
"Western Sahara"	1	1	0	-69		221	0	-16	12469	0.9		
"Montserrat"		-20				224	0	-7		0.49		
"Saint Helena"		-23				217	0	6	7699	0.31		
"Ship stores and bunkers"						75	0.1	-11		0.16		
"French Polynesia"						165	0	1	13300	0.24		
"Free Zones"						186	0	-34		0.92		
"Bonaire, Sint Eustatius and Saba"						189	0	20		0.19		
"South Sudan"						194	0	12		0.25		
"Korea, Democratic People's Republic of"						200	0	-49	1470	0.87		
"Tonga"						202	0	4	5771	0.16		
"Tuvalu"						204	0	17	6386	0.21		
"Anguilla"						212	0	-5	4397	0.58		
"Sint Maarten (Dutch part)"						213	0	-7		0.43		
"Wallis and Futuna Islands"						218	0	7	10103	0.24		
"Christmas Island"						220	0	3		0.69		
"Norfolk Island"						222	0	1	5454	0.24		
"Tokelau"						226	0	-33	11566	0.22		
"Pitcairn"						227	0	-5		0.23		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
