Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Latvia's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Latvia (%)	
"Qatar"	6078	6041	0	28	55	70	0.1	0	5745	0.06		
"Bosnia and Herzegovina"	5432	4276	0	12	28	94	0.06	3	2228	0.07		
"Ecuador"	5094	3991	0	14	-14	69	0.1	3	9174	0.12		
"Benin"	4843	4843	0	78	321	149	0.01	-2	6481	0.07		
"Macedonia, North"	4278	905	0	20	25	103	0.05	8	1348	0.09		
"Kuwait"	4137	3407	0	-11	91	76	0.1	-3	5837	0.07		
"Turkmenistan"	3114	3070	0	-27	-3	148	0.02	4	3495	0.15		
"Ethiopia"	2764	2551	0	74	699	90	0.07	1	6305	0.11		
"Madagascar"	2641	2414	0	94	-70	138	0.02	2	7339	0.08		
"Senegal"	2604	2398	0	21	97	110	0.04	4	6632	0.05		
"Panama"	2558	2408	0	12	111	60	0.2	1	8657	0.12		
"Iraq"	2520	2515	0	3	2	62	0.2	3	4107	0.18		
"Jordan"	2172	1650	0	-16	16	84	0.08	0	5167	0.07		
"Albania"	2166	108	0	7	-10	121	0.03	6	1886	0.13		
"Cambodia"	2156	2008	0	52	352	66	0.1	16	2651	0.18		
"Libya, State of"	1983	1983	0	-28	-82	89	0.07	12	3475	0.08		
"Costa Rica"	1942	1627	0	22	87	86	0.08	3	6987	0.22		
"Guatemala"	1905	1457	0	14	37	68	0.1	7	5828	0.15		
"Djibouti"	1695	1695	0	87	547	130	0.02	5	6387	0.22		
"Philippines"	1529	-993	0	-20	46	34	0.6	2	4354	0.09		
"Uruguay"	1475	1355	0	13	77	95	0.06	0	9836	0.11		
"Bahrain"	1461	1396	0	30	106	101	0.05	1	6359	0.08		
"Lebanon"	1450	1208	0	-28	-14	97	0.06	-12	3592	0.06		
"Dominican Republic"	1449	-1262	0	-3	-12	67	0.1	5	6446	0.22		
"Honduras"	1432	1173	0	11	58	99	0.05	4	6104	0.16		
"Sri Lanka"	1339	-6698	0	17	12	85	0.08	-3	4351	0.16		
"Oman"	1329	1322	0	-6	-19	83	0.08	-6	5977	0.08		
"Bolivia, Plurinational State of"	1239	1228	0	-2	-2	106	0.04	-3	7978	0.11		
"Burkina Faso"	1140	648	0	-41	551	136	0.02	5	6109	0.05		
"Sierra Leone"	1118	1118	0	-12	-60	170	0	10	8820	0.13		
"Côte d'Ivoire"	999	837	0	42	-43	93	0.06	9	6793	0.08		
"Togo"	980	980	0	0	134	153	0.01	10	7318	0.08		
"Uganda"	941	886	0	54	-56	132	0.02	11	5788	0.09		
"Guinea"	879	879	0	93	-81	135	0.02	7	9140	0.19		
"Gambia"	870	870	0	27	110	167	0	7	8260	0.14		
"Curaçao"	857	848	0	34	186	163	0	-12		0.24		
"Gibraltar"	787	780	0	146	-44	114	0.03	-5	2572	0.09		
"Trinidad and Tobago"	754	754	0	78	6	128	0.03	-1	6663	0.26		
"Angola"	746	746	0	-34	-93	100	0.05	-11	7692	0.06		
"Palestine, State of"	738	738	0	63	82	176	0	8	3026	0.1		
"Bangladesh"	722	-2655	0	-32	-80	49	0.3	6	4172	0.15		
"Equatorial Guinea"	625	625	0	-3	-2	182	0	2	6008	0.11		
"Tanzania, United Republic of"	606	487	0	8	11	102	0.05	7	6633	0.1		
"Nepal"	574	509	0	29	33	96	0.06	8	1856	0.56		
"El Salvador"	534	460	0	7	35	88	0.07	9	4914	0.15		
"Iran, Islamic Republic of"	510	-346	0	-53	264	72	0.1	-18	5612	0.13		
"Afghanistan"	505	108	0	-27	-68	147	0.02	-8	2990	0.12		
"Macao, China"	470	468	0	19	132	81	0.09	15		0.17		
"Montenegro"	426	424	0	-2	46	152	0.01	0	2382	0.08		
"Maldives"	394	394	0	0	174	151	0.01	-3	4478	0.08		
"Nicaragua"	380	160	0	9	104	104	0.05	4	5888	0.1		
"New Caledonia"	372	372	0	44	-16	155	0.01	-1	11471	0.2		
"Cameroon"	370	370	0	-9	-45	116	0.03	8	7279	0.14		
"Lao People's Democratic Republic"	302	297	0	5	14	129	0.02	-1	2572	0.28		
"Yemen"	272	272	0	34	101	107	0.04	11	5706	0.11		
"Bahamas"	266	266	0	-9	-28	115	0.03	-8	6248	0.19		
"Congo, Democratic Republic of the"	250	250	0	159	-92	111	0.04	13	6479	0.14		
"Chad"	246	246	0	38	-96	184	0	13	6931	0.16		
"Greenland"	245	245	0	5	581	180	0	6	3482	0.44		
"Venezuela, Bolivarian Republic of"	232	232	0	-11	582	117	0.03	-11	8121	0.16		
"Mauritius"	228	77	0	12	-22	133	0.02	-2	7320	0.08		
"Mali"	221	205	0	-10	-62	141	0.02	9	5008	0.1		
"Zimbabwe"	195	195	0	-2	86	134	0.02	7	3754	0.39		
"Liberia"	179	179	0	0	20	87	0.07	17	11608	0.19		
"Antigua and Barbuda"	177	177	0	2	77	174	0	1	6334	0.27		
"Gabon"	171	171	0	-4	-25	158	0.01	-2	7114	0.11		
"Cayman Islands"	142	141	0	30	154	123	0.03	5	7522	0.35		
"Niger"	136	136	0	-8	1260	162	0	13	5715	0.09		
"Mozambique"	122	122	0	7	-99	108	0.04	8	6196	0.1		
"British Virgin Islands"	121	121	0	-20	-51	156	0.01	8	7242	0.27		
"Rwanda"	114	114	0	-51	2	159	0.01	17	5437	0.08		
"Congo"	113	113	0	-15	-93	154	0.01	-18	6851	0.07		
"Papua New Guinea"	109	45	0	26	581	143	0.02	-1	4973	0.17		
"French Polynesia"	105	105	0	13	36	165	0	1	13300	0.24		
"Marshall Islands"	101	101	0	-32	-48	91	0.06	-1	7455	0.18		
"Guyana"	87	85	0	8	-61	144	0.02	13	11175	0.21		
"Zambia"	82	81	0	-5	-80	119	0.03	-9	5447	0.14		
"Namibia"	65	64	0	47	261	126	0.03	-1	3757	0.37		
"Seychelles"	64	-1804	0	-30	-38	187	0	-7	6627	0.06		
"Bermuda"	62	56	0	-4	-23	169	0	-3	8006	0.28		
"Sudan"	58	58	0	-63	-82	122	0.03	-2		0.13		
"Barbados"	55	49	0	8	67	161	0	0	4992	0.21		
"Somalia"	52	52	0	-52	767	150	0.01	9	5305	0.16		
"Sint Maarten (Dutch part)"	51	51	0	-28	11	213	0	-7		0.43		
"Vanuatu"	45	45	0	48	221	198	0	-2	6248	0.13		
"Haiti"	41	39	0	-29	356	140	0.02	0	6340	0.18		
"Syrian Arab Republic"	37	37	0	-50	-66	139	0.02	-3	2496	0.27		
"Suriname"	35	18	0	-9	-5	173	0	1	9050	0.14		
"Botswana"	32	32	0	-27	220	124	0.03	2	2968	0.52		
"United States Minor Outlying Islands"	28	26	0	-6	87	177	0	0		0.21		
"Andorra"	27	27	0	-37	-37	166	0	2	610	0.52		
"Myanmar"	27	-301	0	-54	-57	79	0.10	-1	2536	0.25		
"South Sudan"	24	24	0	28	-41	194	0	12		0.25		
"Fiji"	20	20	0	47	122	157	0.01	-7	7384	0.12		
"Jamaica"	18	-20	0	-51	-44	137	0.02	-2	6759	0.22		
"Belize"	15	15	0	-9	-96	179	0	1	5006	0.18		
"Dominica"	15	15	0	-35	25	185	0	8	4908	0.65		
"Saint Kitts and Nevis"	14	14	0	-33	-68	201	0	-12	5440	0.41		
"Burundi"	13	13	0	-27	-55	188	0	13	4755	0.14		
"Grenada"	13	13	0	59	160	191	0	-1	4157	0.2		
"Central African Republic"	12	12	0		-45	199	0	7	6606	0.08		
"Anguilla"	11	10	0	-52		212	0	-5	4397	0.58		
"Brunei Darussalam"	10	10	0	43	100	109	0.04	26	5185	0.11		
"Palau"	8	8	0	-42	-43	209	0	1	6232	0.16		
"Malawi"	5	5	0	-69	-96	168	0	0	5169	0.15		
"Cabo Verde"	4	4	0			181	0	4	5196	0.21		
"Bonaire, Sint Eustatius and Saba"	3	3	0			189	0	20		0.19		
"Cook Islands"	1	1	0	-25		206	0	-4	9417	0.22		
"French Southern and Antarctic Territories"	1	1	0	-46		214	0	14		0.12		
"Eswatini"		-4				160	0	1	1597	0.74		
"Cuba"		-33				145	0.02	-13	7148	0.09		
"Comoros"		-188				192	0	18	5731	0.22		
"Lesotho"						164	0	-2	1590	0.78		
"Saint Lucia"						171	0	-10	5321	0.23		
"Aruba"						175	0	-3	4917	0.3		
"Bhutan"						178	0	15	1733	0.63		
"Timor-Leste"						183	0	12	3988	0.22		
"Free Zones"						186	0	-34		0.92		
"Solomon Islands"						190	0	0	6301	0.17		
"Turks and Caicos Islands"						193	0	-3	3491	0.74		
"Guinea-Bissau"						195	0	2	5802	0.16		
"Saint Vincent and the Grenadines"						196	0	3	6798	0.14		
"Samoa"						197	0	-1	6816	0.13		
"Korea, Democratic People's Republic of"						200	0	-49	1470	0.87		
"Tonga"						202	0	4	5771	0.16		
"Eritrea"						203	0	-8	6303	0.14		
"Tuvalu"						204	0	17	6386	0.21		
"Kiribati"						205	0	10	5936	0.13		
"Falkland Islands (Malvinas)"						207	0	2	12325	0.46		
"Micronesia, Federated States of"						208	0	-8	7109	0.19		
"Sao Tome and Principe"						210	0	-3	6155	0.31		
"Nauru"						211	0	18	6014	0.27		
"Saint Pierre and Miquelon"						215	0	10	3489	0.45		
"Northern Mariana Islands"						216	0	-19	3811	0.2		
"Saint Helena"						217	0	6	7699	0.31		
"Wallis and Futuna Islands"						218	0	7	10103	0.24		
"British Indian Ocean Territory"						219	0	-9		0.67		
"Christmas Island"						220	0	3		0.69		
"Western Sahara"						221	0	-16	12469	0.9		
"Norfolk Island"						222	0	1	5454	0.24		
"Niue"						223	0	7	11410	0.48		
"Montserrat"						224	0	-7		0.49		
"Cocos (Keeling) Islands"						225	0	8		0.74		
"Tokelau"						226	0	-33	11566	0.22		
"Pitcairn"						227	0	-5		0.23		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
