Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in France's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by France (%)	
"Australia"	3458653	2316949	0.6	3	13	24	1.1	1	10262	0.1		
"Saudi Arabia"	3239851	-675390	0.6	-13	23	32	0.7	3	5816	0.07		
"Luxembourg"	3126893	1024702	0.5	1	44	71	0.1	3	1488	0.14		
"Greece"	3112274	1135751	0.5	7	12	45	0.3	4	2847	0.05		
"Taipei, Chinese"	2202907	-2217034	0.4	-9	13	17	1.7	8	5007	0.1		
"Egypt"	2200019	1195949	0.4	3	-6	46	0.3	-1	5219	0.05		
"Finland"	2076664	-1151889	0.4	-3	9	44	0.4	3	2842	0.07		
"Israel"	1970961	485373	0.3	2	26	42	0.4	4	5483	0.07		
"South Africa"	1873371	625024	0.3	-4	25	41	0.4	-1	9230	0.07		
"Norway"	1847207	-1538510	0.3	-1	-2	39	0.5	3	3470	0.06		
"Thailand"	1639417	-2091414	0.3	-14	34	23	1.2	2	4905	0.09		
"Côte d'Ivoire"	1635271	631898	0.3	4	27	93	0.06	9	6793	0.08		
"Viet Nam"	1473209	-5042237	0.3	-7	34	19	1.5	8	3535	0.19		
"Slovenia"	1458122	-509515	0.3	6	21	55	0.2	10	2404	0.07		
"Ukraine"	1434673	388365	0.3	10	25	48	0.3	7	3255	0.06		
"Chile"	1419648	152536	0.2	1	64	43	0.4	6	11582	0.13		
"Area Nes"	1313489	-10053352	0.2	-13	68							
"Bulgaria"	1164123	-233343	0.2	4	23	57	0.2	6	2237	0.05		
"Qatar"	1116017	381274	0.2	-19	-35	70	0.1	0	5745	0.06		
"Indonesia"	1056490	-1226426	0.2	-14	-9	30	0.9	2	5872	0.11		
"Lithuania"	976084	69146	0.2	6	32	59	0.2	7	1630	0.07		
"Senegal"	963022	872441	0.2	2	5	110	0.04	4	6632	0.05		
"Argentina"	913127	319274	0.2	-6	30	50	0.3	-5	10631	0.1		
"Malaysia"	887336	-2660812	0.2	-24	2	25	1.1	3	5172	0.09		
"New Caledonia"	884966	821458	0.2	1	-4	155	0.01	-1	11471	0.2		
"Philippines"	877577	-245034	0.2	-8	55	34	0.6	2	4354	0.09		
"Serbia"	815837	119436	0.1	12	17	65	0.2	9	2497	0.06		
"Colombia"	801972	324586	0.1	3	52	51	0.3	4	8915	0.13		
"Croatia"	738962	368038	0.1	6	24	63	0.2	6	1362	0.07		
"French Polynesia"	732258	708416	0.1	3	11	165	0	1	13300	0.24		
"Nigeria"	724031	-2724889	0.1	-12	20	53	0.2	17	7792	0.1		
"New Zealand"	677583	189085	0.1	5	63	56	0.2	3	11141	0.09		
"Kuwait"	642971	176578	0.1	10	-34	76	0.1	-3	5837	0.07		
"Cameroon"	633306	325901	0.1	1	7	116	0.03	8	7279	0.14		
"Panama"	590740	565784	0.1	7	44	60	0.2	1	8657	0.12		
"Kazakhstan"	550980	-1873970	0.1	15	-19	58	0.2	6	3017	0.25		
"Malta"	506421	220114	0.1	-6	22	120	0.03	1	3249	0.08		
"Pakistan"	486908	-830402	0.1	-7	33	47	0.3	2	4850	0.11		
"Mali"	481574	472284	0.1	6	14	141	0.02	9	5008	0.1		
"Ethiopia"	478270	401366	0.1	-15	-9	90	0.07	1	6305	0.11		
"Gabon"	475912	285936	0.1	-2	5	158	0.01	-2	7114	0.11		
"Latvia"	472626	158178	0.1	5	31	77	0.1	7	1575	0.08		
"Estonia"	470816	27624	0.1	4	40	73	0.1	6	2314	0.06		
"Macao, China"	445111	435008	0.1	24	88	81	0.09	15		0.17		
"Madagascar"	411764	-204770	0.1	-1	15	138	0.02	2	7339	0.08		
"Mauritius"	387471	139451	0.1	-12	4	133	0.02	-2	7320	0.08		
"Lebanon"	368385	308405	0.1	-21	-15	97	0.06	-12	3592	0.06		
"Burkina Faso"	355848	331453	0.1	6	-3	136	0.02	5	6109	0.05		
"Iraq"	353045	-665929	0.1	0	-7	62	0.2	3	4107	0.18		
"Congo"	297518	230397	0.1	-6	2	154	0.01	-18	6851	0.07		
"Angola"	285516	53217	0.1	-7	28	100	0.05	-11	7692	0.06		
"Benin"	267322	254802	0	3	32	149	0.01	-2	6481	0.07		
"Iran, Islamic Republic of"	265549	210968	0	-39	-8	72	0.1	-18	5612	0.13		
"Cyprus"	261788	187811	0	1	11	105	0.05	-1	3118	0.09		
"Jordan"	257926	219003	0	-5	26	84	0.08	0	5167	0.07		
"Cambodia"	256776	-893615	0	19	96	66	0.1	16	2651	0.18		
"Andorra"	250450	221380	0	-5	30	166	0	2	610	0.52		
"Peru"	247238	-470391	0	-4	19	54	0.2	3	10420	0.13		
"Ghana"	239937	-84512	0	-1	-4	82	0.08	8	8888	0.18		
"Georgia"	233854	174460	0	0	39	113	0.04	-2	2513	0.09		
"Togo"	229380	196349	0	-11	10	153	0.01	10	7318	0.08		
"Bangladesh"	225794	-3405603	0	-3	-17	49	0.3	6	4172	0.15		
"Uruguay"	225139	100229	0	2	36	95	0.06	0	9836	0.11		
"Belarus"	217123	109386	0	6	26	61	0.2	2	2268	0.23		
"Mauritania"	210053	157215	0	3	-23	146	0.02	1	5817	0.07		
"Libya, State of"	208178	-1951009	0	-1	22	89	0.07	12	3475	0.08		
"Uzbekistan"	197872	81857	0	23	-19	74	0.1	16	3412	0.12		
"Dominican Republic"	193059	1719	0	1	70	67	0.1	5	6446	0.22		
"Kenya"	184564	25410	0	-2	8	80	0.09	2	6680	0.08		
"Oman"	177717	-9539	0	-15	-39	83	0.08	-6	5977	0.08		
"France"	176950	-6119143	0	11	30	6	3.2	1	3195	0.06		
"Guinea"	176782	126295	0	-3	4	135	0.02	7	9140	0.19		
"Congo, Democratic Republic of the"	175597	29956	0	7	8	111	0.04	13	6479	0.14		
"Cuba"	160680	132662	0	-9	24	145	0.02	-13	7148	0.09		
"Ecuador"	146258	-419361	0	1	19	69	0.1	3	9174	0.12		
"Bahrain"	134173	5155	0	-21	-6	101	0.05	1	6359	0.08		
"Yemen"	132870	130741	0	19	-6	107	0.04	11	5706	0.11		
"Mozambique"	128634	52193	0	29	421	108	0.04	8	6196	0.1		
"Niger"	128425	-68495	0	-5	-5	162	0	13	5715	0.09		
"Uganda"	126867	106128	0	32	-12	132	0.02	11	5788	0.09		
"Azerbaijan"	126022	31261	0	1	-1	98	0.05	5	3712	0.09		
"Macedonia, North"	104458	-40659	0	6	6	103	0.05	8	1348	0.09		
"Iceland"	104366	-331649	0	-26	1	112	0.04	-1	4251	0.05		
"Sri Lanka"	103574	-368510	0	-18	47	85	0.08	-3	4351	0.16		
"Bosnia and Herzegovina"	95081	-104946	0	-5	22	94	0.06	3	2228	0.07		
"Moldova, Republic of"	91168	28558	0	16	25	118	0.03	8	2317	0.08		
"Liberia"	89173	-99011	0	58	615	87	0.07	17	11608	0.19		
"Chad"	82628	-117267	0	-2	-18	184	0	13	6931	0.16		
"Djibouti"	82182	80803	0	-2	-1	130	0.02	5	6387	0.22		
"Costa Rica"	72572	-262181	0	2	0	86	0.08	3	6987	0.22		
"Paraguay"	66278	43475	0	-2	16	92	0.06	0	7311	0.15		
"Guatemala"	64941	6747	0	-2	24	68	0.1	7	5828	0.15		
"British Virgin Islands"	63184	57025	0	-5	78	156	0.01	8	7242	0.27		
"Sudan"	60345	10307	0	-10	-29	122	0.03	-2		0.13		
"Curaçao"	59801	18722	0	4	35	163	0	-12		0.24		
"Armenia"	58241	41253	0	0	7	131	0.02	6	3323	0.15		
"Tanzania, United Republic of"	57354	20622	0	-8	-24	102	0.05	7	6633	0.1		
"Albania"	56042	-16553	0	-2	13	121	0.03	6	1886	0.13		
"Comoros"	55326	47758	0	10	29	192	0	18	5731	0.22		
"Seychelles"	52623	-100061	0	-8	-31	187	0	-7	6627	0.06		
"Haiti"	49534	35083	0	-5	-3	140	0.02	0	6340	0.18		
"Ship stores and bunkers"	49111	47755	0	97	-60	75	0.1	-11		0.16		
"Trinidad and Tobago"	48991	-265771	0	7	28	128	0.03	-1	6663	0.26		
"Myanmar"	46421	-357108	0	-25	-28	79	0.10	-1	2536	0.25		
"Saint Pierre and Miquelon"	42978	42049	0	11	-24	215	0	10	3489	0.45		
"El Salvador"	41671	24958	0	-8	1	88	0.07	9	4914	0.15		
"Central African Republic"	40633	33166	0	8	-14	199	0	7	6606	0.08		
"Montenegro"	38612	26924	0	5	-3	152	0.01	0	2382	0.08		
"Bolivia, Plurinational State of"	37418	-41833	0	-19	11	106	0.04	-3	7978	0.11		
"Mongolia"	37291	29831	0	4	99	125	0.03	8	3267	0.22		
"Turkmenistan"	36635	28007	0	-15	-57	148	0.02	4	3495	0.15		
"Honduras"	35568	-110523	0	5	106	99	0.05	4	6104	0.16		
"Botswana"	33323	24635	0	26	-22	124	0.03	2	2968	0.52		
"Kyrgyzstan"	32705	30273	0	8	54	127	0.03	1	2892	0.2		
"Bahamas"	32581	-8969	0	-17	15	115	0.03	-8	6248	0.19		
"United States Minor Outlying Islands"	30951	18422	0	1	33	177	0	0		0.21		
"Zambia"	30803	18777	0	1	14	119	0.03	-9	5447	0.14		
"Rwanda"	29803	23971	0	8	29	159	0.01	17	5437	0.08		
"Afghanistan"	28925	20134	0	5	36	147	0.02	-8	2990	0.12		
"Zimbabwe"	27367	-32417	0	-1	14	134	0.02	7	3754	0.39		
"Syrian Arab Republic"	27106	21012	0	-24	-2	139	0.02	-3	2496	0.27		
"Jamaica"	27050	11156	0	-11	-37	137	0.02	-2	6759	0.22		
"Maldives"	26745	8657	0	-11	103	151	0.01	-3	4478	0.08		
"Cayman Islands"	25141	21286	0	-11	48	123	0.03	5	7522	0.35		
"Venezuela, Bolivarian Republic of"	24683	-53278	0	-21	28	117	0.03	-11	8121	0.16		
"Namibia"	23028	-98027	0	19	42	126	0.03	-1	3757	0.37		
"Cabo Verde"	22605	21691	0	-6	11	181	0	4	5196	0.21		
"Nepal"	22564	5795	0	-24	77	96	0.06	8	1856	0.56		
"Gambia"	22538	22441	0	31	12	167	0	7	8260	0.14		
"Saint Vincent and the Grenadines"	22209	21833	0	37	648	196	0	3	6798	0.14		
"Wallis and Futuna Islands"	21181	21138	0	7	23	218	0	7	10103	0.24		
"Equatorial Guinea"	20703	-105088	0	-16	-19	182	0	2	6008	0.11		
"Suriname"	19068	-3192	0	13	-17	173	0	1	9050	0.14		
"Fiji"	18895	15187	0	9	195	157	0.01	-7	7384	0.12		
"Palestine, State of"	18443	11950	0	0	53	176	0	8	3026	0.1		
"French Southern and Antarctic Territories"	15324	6010	0	3	126	214	0	14		0.12		
"Lao People's Democratic Republic"	14358	-35636	0	8	31	129	0.02	-1	2572	0.28		
"Sierra Leone"	13798	-15353	0	-8	-36	170	0	10	8820	0.13		
"Somalia"	13246	628	0	-23	-8	150	0.01	9	5305	0.16		
"Barbados"	12394	-2855	0	-9	-19	161	0	0	4992	0.21		
"Marshall Islands"	12294	7686	0	64	-22	91	0.06	-1	7455	0.18		
"Saint Lucia"	11537	7106	0	0	71	171	0	-10	5321	0.23		
"Bermuda"	10769	10575	0	12	-67	169	0	-3	8006	0.28		
"Nicaragua"	10556	-31021	0	-3	10	104	0.05	4	5888	0.1		
"Tajikistan"	10523	-50783	0	3	123	142	0.02	9	2803	0.17		
"Burundi"	10139	7804	0	-6	21	188	0	13	4755	0.14		
"Guyana"	9285	-6431	0	26	59	144	0.02	13	11175	0.21		
"Brunei Darussalam"	8466	7502	0	-27	-9	109	0.04	26	5185	0.11		
"Aruba"	8446	6234	0	-6	46	175	0	-3	4917	0.3		
"Antigua and Barbuda"	6267	-10942	0	-13	-38	174	0	1	6334	0.27		
"Vanuatu"	5760	5677	0	-8	6	198	0	-2	6248	0.13		
"Greenland"	5303	-3889	0	6	21	180	0	6	3482	0.44		
"Malawi"	4876	-3557	0	-19	-63	168	0	0	5169	0.15		
"Turks and Caicos Islands"	4811	4142	0	-9	212	193	0	-3	3491	0.74		
"Guinea-Bissau"	4590	4255	0	5	6	195	0	2	5802	0.16		
"Eswatini"	4393	-7815	0	-1	97	160	0	1	1597	0.74		
"Saint Kitts and Nevis"	3801	3376	0	25	-47	201	0	-12	5440	0.41		
"Samoa"	3700	3600	0	5	1767	197	0	-1	6816	0.13		
"Belize"	3389	-378	0	-1	403	179	0	1	5006	0.18		
"Papua New Guinea"	3083	-32026	0	-48	1	143	0.02	-1	4973	0.17		
"Palau"	2965	2926	0	278	5084	209	0	1	6232	0.16		
"Eritrea"	2518	1585	0	-9	-21	203	0	-8	6303	0.14		
"Grenada"	2181	-262	0	-9	-53	191	0	-1	4157	0.2		
"Dominica"	1901	-708	0	-23	-26	185	0	8	4908	0.65		
"Faroe Islands"	1735	-49392	0	5	-98	172	0	7	1404	0.27		
"Tokelau"	1657	-3723	0	145	542	226	0	-33	11566	0.22		
"Anguilla"	1639	-230	0	-38	55	212	0	-5	4397	0.58		
"Sao Tome and Principe"	1632	-3108	0	-12	-47	210	0	-3	6155	0.31		
"Bhutan"	723	347	0	71	-99	178	0	15	1733	0.63		
"Saint Helena"	518	99	0	600	-69	217	0	6	7699	0.31		
"Solomon Islands"	395	52	0	0	80	190	0	0	6301	0.17		
"Lesotho"	389	274	0	13	-86	164	0	-2	1590	0.78		
"Micronesia, Federated States of"	216	180	0	-17	2759	208	0	-8	7109	0.19		
"Timor-Leste"	198	186	0	-37	-65	183	0	12	3988	0.22		
"Kiribati"	179	-42	0	233	-66	205	0	10	5936	0.13		
"Tonga"	109	79	0	-46	-97	202	0	4	5771	0.16		
"Nauru"	55	-4714	0	-41		211	0	18	6014	0.27		
"Montserrat"	53	-1303	0	11	-54	224	0	-7		0.49		
"Cook Islands"	53	-5661	0	-54	-28	206	0	-4	9417	0.22		
"Tuvalu"	48	-149	0		-52	204	0	17	6386	0.21		
"British Indian Ocean Territory"	20	-27	0	34		219	0	-9		0.67		
"Northern Mariana Islands"	16	-54	0	-76	-98	216	0	-19	3811	0.2		
"Cocos (Keeling) Islands"	13	-496	0			225	0	8		0.74		
"Norfolk Island"	6	4	0			222	0	1	5454	0.24		
"Falkland Islands (Malvinas)"	3	-119	0	-65	-90	207	0	2	12325	0.46		
"Western Sahara"		-26				221	0	-16	12469	0.9		
"Pitcairn"		-73				227	0	-5		0.23		
"Niue"		-89				223	0	7	11410	0.48		
"Christmas Island"		-539				220	0	3		0.69		
"Gibraltar"						114	0.03	-5	2572	0.09		
"Free Zones"						186	0	-34		0.92		
"Bonaire, Sint Eustatius and Saba"						189	0	20		0.19		
"South Sudan"						194	0	12		0.25		
"Korea, Democratic People's Republic of"						200	0	-49	1470	0.87		
"Sint Maarten (Dutch part)"						213	0	-7		0.43		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
