Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Bulgaria's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Bulgaria (%)	
"Angola"	1429	1429	0	10	59	100	0.05	-11	7692	0.06		
"Tajikistan"	1397	1395	0	13	120	142	0.02	9	2803	0.17		
"Nicaragua"	1248	-2996	0	23	-6	104	0.05	4	5888	0.1		
"Sint Maarten (Dutch part)"	1196	1193	0	-15	18	213	0	-7		0.43		
"Zimbabwe"	1160	41	0	-16	70	134	0.02	7	3754	0.39		
"Malawi"	1066	949	0	5	-4	168	0	0	5169	0.15		
"Bolivia, Plurinational State of"	894	728	0	-11	41	106	0.04	-3	7978	0.11		
"Togo"	871	-20680	0	19	-46	153	0.01	10	7318	0.08		
"Belize"	767	746	0	3	96	179	0	1	5006	0.18		
"Guinea"	763	338	0	-23	13	135	0.02	7	9140	0.19		
"Congo, Democratic Republic of the"	751	115	0	48	-29	111	0.04	13	6479	0.14		
"Cayman Islands"	714	712	0	51	282	123	0.03	5	7522	0.35		
"Maldives"	651	650	0	19	91	151	0.01	-3	4478	0.08		
"Bhutan"	648	648	0	245	9184	178	0	15	1733	0.63		
"Congo"	600	26	0	-30	25	154	0.01	-18	6851	0.07		
"Madagascar"	559	478	0	8	-9	138	0.02	2	7339	0.08		
"Nepal"	517	452	0	1	-79	96	0.06	8	1856	0.56		
"Central African Republic"	506	463	0	15	78	199	0	7	6606	0.08		
"Macao, China"	490	436	0	58	-5	81	0.09	15		0.17		
"Saint Kitts and Nevis"	482	482	0	71	85	201	0	-12	5440	0.41		
"Trinidad and Tobago"	474	473	0	7	113	128	0.03	-1	6663	0.26		
"New Caledonia"	462	462	0	54	19	155	0.01	-1	11471	0.2		
"Jamaica"	455	421	0	-14	-13	137	0.02	-2	6759	0.22		
"British Indian Ocean Territory"	392	392	0			219	0	-9		0.67		
"Gabon"	336	312	0	-8	67	158	0.01	-2	7114	0.11		
"Somalia"	298	-10826	0	46	17	150	0.01	9	5305	0.16		
"Mozambique"	289	-4392	0	-12	9	108	0.04	8	6196	0.1		
"Burkina Faso"	245	245	0	-37	-63	136	0.02	5	6109	0.05		
"Seychelles"	242	222	0	-46	-41	187	0	-7	6627	0.06		
"Venezuela, Bolivarian Republic of"	238	227	0	-10	86	117	0.03	-11	8121	0.16		
"Papua New Guinea"	202	-81718	0	41	-66	143	0.02	-1	4973	0.17		
"Cuba"	187	-2711	0	-45	-79	145	0.02	-13	7148	0.09		
"United States Minor Outlying Islands"	183	183	0	6	47	177	0	0		0.21		
"Burundi"	156	156	0	-29	246	188	0	13	4755	0.14		
"Marshall Islands"	149	100	0	-1	-85	91	0.06	-1	7455	0.18		
"French Polynesia"	146	146	0	100	140	165	0	1	13300	0.24		
"Sierra Leone"	133	133	0	11	-93	170	0	10	8820	0.13		
"Suriname"	127	124	0	-61	-10	173	0	1	9050	0.14		
"Zambia"	126	-180	0	-18	-47	119	0.03	-9	5447	0.14		
"Haiti"	125	125	0	4	318	140	0.02	0	6340	0.18		
"South Sudan"	120	120	0	286	36	194	0	12		0.25		
"Barbados"	115	88	0	21	35	161	0	0	4992	0.21		
"Fiji"	97	97	0	-2	96	157	0.01	-7	7384	0.12		
"Equatorial Guinea"	90	89	0	-18	91	182	0	2	6008	0.11		
"Chad"	88	30	0	5	-74	184	0	13	6931	0.16		
"Djibouti"	84	-166	0	-58	-64	130	0.02	5	6387	0.22		
"Cabo Verde"	68	68	0	-23	47	181	0	4	5196	0.21		
"Palau"	65	65	0		453	209	0	1	6232	0.16		
"Saint Vincent and the Grenadines"	60	60	0	70	-81	196	0	3	6798	0.14		
"Eritrea"	56	56	0	5	114	203	0	-8	6303	0.14		
"Bahamas"	54	54	0	-73	-59	115	0.03	-8	6248	0.19		
"Andorra"	54	10	0	-12	-34	166	0	2	610	0.52		
"Bonaire, Sint Eustatius and Saba"	53	53	0		0	189	0	20		0.19		
"Guyana"	52	52	0	-15	-52	144	0.02	13	11175	0.21		
"Antigua and Barbuda"	46	46	0	-13	-83	174	0	1	6334	0.27		
"Curaçao"	43	-54	0	-35	-67	163	0	-12		0.24		
"Vanuatu"	39	39	0	18	-49	198	0	-2	6248	0.13		
"Timor-Leste"	35	35	0	26	89	183	0	12	3988	0.22		
"Eswatini"	34	34	0	87	315	160	0	1	1597	0.74		
"Comoros"	31	31	0	-5	-75	192	0	18	5731	0.22		
"Gambia"	29	29	0	14	-90	167	0	7	8260	0.14		
"Saint Lucia"	29	29	0	-44	-22	171	0	-10	5321	0.23		
"Greenland"	21	-47	0		286	180	0	6	3482	0.44		
"Faroe Islands"	21	-173	0	33	-65	172	0	7	1404	0.27		
"Aruba"	16	-85	0	-47	-99	175	0	-3	4917	0.3		
"Bermuda"	13	9	0	78	857	169	0	-3	8006	0.28		
"Cook Islands"	12	12	0	43	-90	206	0	-4	9417	0.22		
"Lao People's Democratic Republic"	10	10	0	-51	150	129	0.02	-1	2572	0.28		
"Tuvalu"	6	6	0		406	204	0	17	6386	0.21		
"Dominica"	6	-37	0	-54	124	185	0	8	4908	0.65		
"Lesotho"	5	-3	0	11	-85	164	0	-2	1590	0.78		
"Northern Mariana Islands"	4	4	0		-80	216	0	-19	3811	0.2		
"Brunei Darussalam"	2	2	0	-42	-99	109	0.04	26	5185	0.11		
"British Virgin Islands"	1	1	0	-82		156	0.01	8	7242	0.27		
"Korea, Democratic People's Republic of"		-4				200	0	-49	1470	0.87		
"French Southern and Antarctic Territories"		-6				214	0	14		0.12		
"Samoa"		-7				197	0	-1	6816	0.13		
"Cocos (Keeling) Islands"		-10				225	0	8		0.74		
"Falkland Islands (Malvinas)"		-2305				207	0	2	12325	0.46		
"Free Zones"						186	0	-34		0.92		
"Solomon Islands"						190	0	0	6301	0.17		
"Grenada"						191	0	-1	4157	0.2		
"Turks and Caicos Islands"						193	0	-3	3491	0.74		
"Guinea-Bissau"						195	0	2	5802	0.16		
"Tonga"						202	0	4	5771	0.16		
"Kiribati"						205	0	10	5936	0.13		
"Micronesia, Federated States of"						208	0	-8	7109	0.19		
"Sao Tome and Principe"						210	0	-3	6155	0.31		
"Nauru"						211	0	18	6014	0.27		
"Anguilla"						212	0	-5	4397	0.58		
"Saint Pierre and Miquelon"						215	0	10	3489	0.45		
"Saint Helena"						217	0	6	7699	0.31		
"Wallis and Futuna Islands"						218	0	7	10103	0.24		
"Christmas Island"						220	0	3		0.69		
"Western Sahara"						221	0	-16	12469	0.9		
"Norfolk Island"						222	0	1	5454	0.24		
"Niue"						223	0	7	11410	0.48		
"Montserrat"						224	0	-7		0.49		
"Tokelau"						226	0	-33	11566	0.22		
"Pitcairn"						227	0	-5		0.23		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
