Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Iceland's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Iceland (%)	
"Taipei, Chinese"	28959	-4254	0.5	3	331	17	1.7	8	5007	0.1		
"Switzerland"	22398	-53207	0.4	-14	44	20	1.5	4	3384	0.07		
"Australia"	19696	-84683	0.3	-7	44	24	1.1	1	10262	0.1		
"Egypt"	19605	11914	0.3	11	175	46	0.3	-1	5219	0.05		
"Greenland"	18085	-1008	0.3	-7	16	180	0	6	3482	0.44		
"Korea, Republic of"	17622	-65817	0.3	-8	61	9	2.8	4	5699	0.09		
"Thailand"	17002	-14845	0.3	-3	573	23	1.2	2	4905	0.09		
"Finland"	16643	-53630	0.3	21	168	44	0.4	3	2842	0.07		
"Turkey"	14299	-45837	0.2	-10	0	22	1.2	3	4285	0.05		
"Brazil"	13168	-372432	0.2	-1	166	26	1	6	10879	0.09		
"Slovakia"	10006	-33272	0.2	2	34	38	0.5	4	2664	0.07		
"India"	9387	-25260	0.2	41	340	10	2.6	2	5793	0.05		
"Indonesia"	8769	-23795	0.1	63	256	30	0.9	2	5872	0.11		
"Latvia"	8204	-64177	0.1	26	-37	77	0.1	7	1575	0.08		
"Greece"	7479	1140	0.1	4	31	45	0.3	4	2847	0.05		
"Chile"	7146	-22	0.1	6	70	43	0.4	6	11582	0.13		
"Hong Kong, China"	7024	-10146	0.1	-14	-64	5	3.3	3	2841	0.22		
"Kazakhstan"	5977	5959	0.1	26	456	58	0.2	6	3017	0.25		
"Georgia"	5054	4822	0.1	9	26	113	0.04	-2	2513	0.09		
"Cyprus"	4843	3243	0.1	16	19	105	0.05	-1	3118	0.09		
"Czech Republic"	2715	-117160	0	-31	-15	28	1	4	2987	0.1		
"New Zealand"	2536	-1543	0	38	20	56	0.2	3	11141	0.09		
"Estonia"	2452	-61109	0	49	-72	73	0.1	6	2314	0.06		
"Bulgaria"	2342	-10109	0	4	12	57	0.2	6	2237	0.05		
"Austria"	2298	-45429	0	-4	-32	27	1	3	1514	0.18		
"Bahamas"	2229	2198	0	-50	22498	115	0.03	-8	6248	0.19		
"Mexico"	1769	-19807	0	-19	59	13	2.3	2	7039	0.24		
"Argentina"	1438	-3499	0	-4	228	50	0.3	-5	10631	0.1		
"Israel"	1414	-3926	0	23	8	42	0.4	4	5483	0.07		
"Romania"	1257	-14489	0	-12	-27	37	0.5	6	1891	0.07		
"Singapore"	1167	-35452	0	16	31	16	1.9	3	5773	0.07		
"Azerbaijan"	1151	1139	0	-15	49	98	0.05	5	3712	0.09		
"Antigua and Barbuda"	1025	1025	0	-33	-48	174	0	1	6334	0.27		
"United Arab Emirates"	900	465	0	-25	2	29	0.9	-2	5715	0.08		
"Paraguay"	838	794	0	202	2176	92	0.06	0	7311	0.15		
"Viet Nam"	811	-58655	0	-53	-45	19	1.5	8	3535	0.19		
"Malaysia"	786	-73290	0	21	34	25	1.1	3	5172	0.09		
"Malta"	760	-2411	0	-18	-22	120	0.03	1	3249	0.08		
"Gibraltar"	745	731	0	-27	170	114	0.03	-5	2572	0.09		
"Moldova, Republic of"	743	403	0	39	231	118	0.03	8	2317	0.08		
"South Africa"	743	-9478	0	-57	51	41	0.4	-1	9230	0.07		
"Luxembourg"	692	-7128	0	-19	0	71	0.1	3	1488	0.14		
"Saudi Arabia"	632	503	0	-25	110	32	0.7	3	5816	0.07		
"Serbia"	632	-4932	0	50	80	65	0.2	9	2497	0.06		
"Venezuela, Bolivarian Republic of"	580	564	0	124	16	117	0.03	-11	8121	0.16		
"Barbados"	566	553	0	37	-22	161	0	0	4992	0.21		
"Slovenia"	498	-11675	0	13	301	55	0.2	10	2404	0.07		
"Morocco"	483	-9263	0	-45	10	52	0.3	4	4316	0.07		
"Oman"	445	428	0	618	30	83	0.08	-6	5977	0.08		
"British Virgin Islands"	415	385	0	36		156	0.01	8	7242	0.27		
"Bermuda"	412	410	0	-45	26302	169	0	-3	8006	0.28		
"Wallis and Futuna Islands"	411	411	0		74	218	0	7	10103	0.24		
"Ghana"	380	-89	0	10	-63	82	0.08	8	8888	0.18		
"Colombia"	372	-6732	0	-5	-52	51	0.3	4	8915	0.13		
"Kuwait"	372	-10032	0	-7	-42	76	0.1	-3	5837	0.07		
"Armenia"	371	361	0	89	62	131	0.02	6	3323	0.15		
"Cayman Islands"	309	309	0	68	305	123	0.03	5	7522	0.35		
"Marshall Islands"	276	275	0	17	111	91	0.06	-1	7455	0.18		
"Cuba"	252	86	0	46	233	145	0.02	-13	7148	0.09		
"Tokelau"	232	231	0			226	0	-33	11566	0.22		
"Panama"	226	125	0	-18	36	60	0.2	1	8657	0.12		
"Bangladesh"	226	-19531	0	5	-43	49	0.3	6	4172	0.15		
"Gabon"	220	217	0	15	387	158	0.01	-2	7114	0.11		
"Peru"	215	-29002	0	-22	852	54	0.2	3	10420	0.13		
"Ecuador"	178	-6455	0	-4	424	69	0.1	3	9174	0.12		
"Namibia"	169	46	0	-41	46	126	0.03	-1	3757	0.37		
"Kenya"	134	-1194	0	30	-45	80	0.09	2	6680	0.08		
"Pakistan"	125	-7073	0	37	323	47	0.3	2	4850	0.11		
"Philippines"	109	-3424	0	-48	-25	34	0.6	2	4354	0.09		
"Liberia"	92	89	0	-21	472	87	0.07	17	11608	0.19		
"Côte d'Ivoire"	92	-2613	0	64	118	93	0.06	9	6793	0.08		
"Iran, Islamic Republic of"	91	-584	0	-10	-88	72	0.1	-18	5612	0.13		
"Montserrat"	85	85	0	92		224	0	-7		0.49		
"Uruguay"	76	-26	0	-23	183	95	0.06	0	9836	0.11		
"Qatar"	75	64	0	19	-1	70	0.1	0	5745	0.06		
"Macedonia, North"	71	-687	0	57	-27	103	0.05	8	1348	0.09		
"Costa Rica"	60	-1863	0	-14	-46	86	0.08	3	6987	0.22		
"Benin"	58	58	0	-64	486	149	0.01	-2	6481	0.07		
"Honduras"	57	-547	0	37		99	0.05	4	6104	0.16		
"El Salvador"	50	-121	0	-32		88	0.07	9	4914	0.15		
"Cambodia"	46	-7096	0		34	66	0.1	16	2651	0.18		
"Seychelles"	43	-222	0	-61		187	0	-7	6627	0.06		
"Maldives"	36	5	0	11		151	0.01	-3	4478	0.08		
"Croatia"	36	-3882	0	-68	22	63	0.2	6	1362	0.07		
"Sri Lanka"	32	-5216	0	334	-36	85	0.08	-3	4351	0.16		
"Montenegro"	28	23	0			152	0.01	0	2382	0.08		
"Macao, China"	20	-329	0	-31	1134	81	0.09	15		0.17		
"Mauritius"	16	-818	0	11	-43	133	0.02	-2	7320	0.08		
"Uganda"	14	-93	0			132	0.02	11	5788	0.09		
"Tunisia"	14	-9397	0	-14	9	78	0.10	-1	3411	0.06		
"Lebanon"	10	-87	0	5		97	0.06	-12	3592	0.06		
"Guatemala"	10	-353	0		256	68	0.1	7	5828	0.15		
"Djibouti"	8	8	0	71	-97	130	0.02	5	6387	0.22		
"Bahrain"	8	-28	0	-46	-90	101	0.05	1	6359	0.08		
"Trinidad and Tobago"	4	-10	0	94	143	128	0.03	-1	6663	0.26		
"Jordan"	4	-406	0		-73	84	0.08	0	5167	0.07		
"Bosnia and Herzegovina"	4	-1707	0			94	0.06	3	2228	0.07		
"United States Minor Outlying Islands"	3	-15	0	-23		177	0	0		0.21		
"Falkland Islands (Malvinas)"	2	2	0	-46		207	0	2	12325	0.46		
"Lao People's Democratic Republic"	2	-783	0		-70	129	0.02	-1	2572	0.28		
"Zambia"	1	-38	0			119	0.03	-9	5447	0.14		
"Timor-Leste"	1	-281	0			183	0	12	3988	0.22		
"Jamaica"	1	-38968	0			137	0.02	-2	6759	0.22		
"Iraq"		-1				62	0.2	3	4107	0.18		
"Brunei Darussalam"		-1				109	0.04	26	5185	0.11		
"Guyana"		-1				144	0.02	13	11175	0.21		
"Burundi"		-1				188	0	13	4755	0.14		
"Saint Vincent and the Grenadines"		-1				196	0	3	6798	0.14		
"Nauru"		-1				211	0	18	6014	0.27		
"Mozambique"		-2				108	0.04	8	6196	0.1		
"Togo"		-2				153	0.01	10	7318	0.08		
"Eswatini"		-2				160	0	1	1597	0.74		
"Andorra"		-3				166	0	2	610	0.52		
"Kiribati"		-3				205	0	10	5936	0.13		
"Rwanda"		-4				159	0.01	17	5437	0.08		
"Malawi"		-5				168	0	0	5169	0.15		
"Mongolia"		-6				125	0.03	8	3267	0.22		
"Gambia"		-6				167	0	7	8260	0.14		
"Solomon Islands"		-6				190	0	0	6301	0.17		
"Sierra Leone"		-7				170	0	10	8820	0.13		
"Kyrgyzstan"		-9				127	0.03	1	2892	0.2		
"Papua New Guinea"		-14				143	0.02	-1	4973	0.17		
"Mauritania"		-15				146	0.02	1	5817	0.07		
"Mali"		-17				141	0.02	9	5008	0.1		
"Suriname"		-18				173	0	1	9050	0.14		
"Fiji"		-19				157	0.01	-7	7384	0.12		
"Cabo Verde"		-21				181	0	4	5196	0.21		
"Niue"		-23				223	0	7	11410	0.48		
"Syrian Arab Republic"		-24				139	0.02	-3	2496	0.27		
"Congo"		-26				154	0.01	-18	6851	0.07		
"Algeria"		-31				64	0.2	-8	4584	0.07		
"Belize"		-33				179	0	1	5006	0.18		
"Tanzania, United Republic of"		-35				102	0.05	7	6633	0.1		
"Haiti"		-46				140	0.02	0	6340	0.18		
"Cameroon"		-52				116	0.03	8	7279	0.14		
"Senegal"		-65				110	0.04	4	6632	0.05		
"Afghanistan"		-72				147	0.02	-8	2990	0.12		
"Uzbekistan"		-86				74	0.1	16	3412	0.12		
"Sudan"		-94				122	0.03	-2		0.13		
"Burkina Faso"		-134				136	0.02	5	6109	0.05		
"Zimbabwe"		-224				134	0.02	7	3754	0.39		
"Madagascar"		-224				138	0.02	2	7339	0.08		
"Albania"		-269				121	0.03	6	1886	0.13		
"Bolivia, Plurinational State of"		-392				106	0.04	-3	7978	0.11		
"Ethiopia"		-432				90	0.07	1	6305	0.11		
"Dominican Republic"		-499				67	0.1	5	6446	0.22		
"Northern Mariana Islands"		-867				216	0	-19	3811	0.2		
"Nicaragua"		-1001				104	0.05	4	5888	0.1		
"Nepal"		-1168				96	0.06	8	1856	0.56		
"Myanmar"		-2844				79	0.10	-1	2536	0.25		
"Ship stores and bunkers"						75	0.1	-11		0.16		
"Libya, State of"						89	0.07	12	3475	0.08		
"Angola"						100	0.05	-11	7692	0.06		
"Yemen"						107	0.04	11	5706	0.11		
"Congo, Democratic Republic of the"						111	0.04	13	6479	0.14		
"Botswana"						124	0.03	2	2968	0.52		
"Guinea"						135	0.02	7	9140	0.19		
"Tajikistan"						142	0.02	9	2803	0.17		
"Turkmenistan"						148	0.02	4	3495	0.15		
"Somalia"						150	0.01	9	5305	0.16		
"New Caledonia"						155	0.01	-1	11471	0.2		
"Niger"						162	0	13	5715	0.09		
"Curaçao"						163	0	-12		0.24		
"Lesotho"						164	0	-2	1590	0.78		
"French Polynesia"						165	0	1	13300	0.24		
"Saint Lucia"						171	0	-10	5321	0.23		
"Aruba"						175	0	-3	4917	0.3		
"Palestine, State of"						176	0	8	3026	0.1		
"Bhutan"						178	0	15	1733	0.63		
"Equatorial Guinea"						182	0	2	6008	0.11		
"Chad"						184	0	13	6931	0.16		
"Dominica"						185	0	8	4908	0.65		
"Free Zones"						186	0	-34		0.92		
"Bonaire, Sint Eustatius and Saba"						189	0	20		0.19		
"Grenada"						191	0	-1	4157	0.2		
"Comoros"						192	0	18	5731	0.22		
"Turks and Caicos Islands"						193	0	-3	3491	0.74		
"South Sudan"						194	0	12		0.25		
"Guinea-Bissau"						195	0	2	5802	0.16		
"Samoa"						197	0	-1	6816	0.13		
"Vanuatu"						198	0	-2	6248	0.13		
"Central African Republic"						199	0	7	6606	0.08		
"Korea, Democratic People's Republic of"						200	0	-49	1470	0.87		
"Saint Kitts and Nevis"						201	0	-12	5440	0.41		
"Tonga"						202	0	4	5771	0.16		
"Eritrea"						203	0	-8	6303	0.14		
"Tuvalu"						204	0	17	6386	0.21		
"Cook Islands"						206	0	-4	9417	0.22		
"Micronesia, Federated States of"						208	0	-8	7109	0.19		
"Palau"						209	0	1	6232	0.16		
"Sao Tome and Principe"						210	0	-3	6155	0.31		
"Anguilla"						212	0	-5	4397	0.58		
"Sint Maarten (Dutch part)"						213	0	-7		0.43		
"French Southern and Antarctic Territories"						214	0	14		0.12		
"Saint Pierre and Miquelon"						215	0	10	3489	0.45		
"Saint Helena"						217	0	6	7699	0.31		
"British Indian Ocean Territory"						219	0	-9		0.67		
"Christmas Island"						220	0	3		0.69		
"Western Sahara"						221	0	-16	12469	0.9		
"Norfolk Island"						222	0	1	5454	0.24		
"Cocos (Keeling) Islands"						225	0	8		0.74		
"Pitcairn"						227	0	-5		0.23		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
