Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in South Africa's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by South Africa (%)	
"Suriname"	7490	7301	0	-15	23	173	0	1	9050	0.14		
"Costa Rica"	7116	-18738	0	8	12	86	0.08	3	6987	0.22		
"Gambia"	6907	6903	0	-5	83	167	0	7	8260	0.14		
"Georgia"	6890	3545	0	-26	19	113	0.04	-2	2513	0.09		
"Iceland"	6834	5094	0	-6	139	112	0.04	-1	4251	0.05		
"Niger"	6824	6557	0	22	15	162	0	13	5715	0.09		
"Burundi"	5641	5117	0	15	-33	188	0	13	4755	0.14		
"Tunisia"	5411	-55111	0	-16	2	78	0.10	-1	3411	0.06		
"Belarus"	5130	-34	0	52	196	61	0.2	2	2268	0.23		
"Iran, Islamic Republic of"	4873	-826	0	-62	89	72	0.1	-18	5612	0.13		
"Luxembourg"	4792	-35488	0	-37	56	71	0.1	3	1488	0.14		
"Jamaica"	4690	4371	0	-7	23	137	0.02	-2	6759	0.22		
"Honduras"	4603	1181	0	-4	114	99	0.05	4	6104	0.16		
"Trinidad and Tobago"	4237	-28920	0	-20	-8	128	0.03	-1	6663	0.26		
"Comoros"	4095	3542	0	1	2	192	0	18	5731	0.22		
"Marshall Islands"	3615	3557	0	-47	-35	91	0.06	-1	7455	0.18		
"Curaçao"	3563	3547	0	-3	130	163	0	-12		0.24		
"Central African Republic"	3323	3311	0	28	251	199	0	7	6606	0.08		
"Malta"	3091	-3862	0	-38	-29	120	0.03	1	3249	0.08		
"French Southern and Antarctic Territories"	2988	2984	0	-6	146	214	0	14		0.12		
"El Salvador"	2767	-705	0	18	111	88	0.07	9	4914	0.15		
"Slovakia"	2518	-259705	0	24	70	38	0.5	4	2664	0.07		
"Paraguay"	2204	141	0	-42	125	92	0.06	0	7311	0.15		
"Nicaragua"	2163	-722	0	18	65	104	0.05	4	5888	0.1		
"Libya, State of"	2145	2128	0	26	-38	89	0.07	12	3475	0.08		
"Venezuela, Bolivarian Republic of"	1956	1536	0	-30	60	117	0.03	-11	8121	0.16		
"Mongolia"	1885	1846	0	30	9	125	0.03	8	3267	0.22		
"Fiji"	1863	1817	0	-1	-18	157	0.01	-7	7384	0.12		
"Greenland"	1858	1858	0	271		180	0	6	3482	0.44		
"Serbia"	1842	-24483	0	-7	33	65	0.2	9	2497	0.06		
"Antigua and Barbuda"	1749	1249	0	-29	9	174	0	1	6334	0.27		
"Barbados"	1723	542	0	3	4	161	0	0	4992	0.21		
"Equatorial Guinea"	1602	150	0	-4	-56	182	0	2	6008	0.11		
"New Caledonia"	1422	-22912	0	-11	35	155	0.01	-1	11471	0.2		
"Chad"	1229	1158	0	-22	-16	184	0	13	6931	0.16		
"Myanmar"	1228	-4922	0	-34	-80	79	0.10	-1	2536	0.25		
"Syrian Arab Republic"	1205	1093	0	-40	40	139	0.02	-3	2496	0.27		
"Grenada"	1185	1094	0	40	-6	191	0	-1	4157	0.2		
"Guinea-Bissau"	1045	1045	0	6	83	195	0	2	5802	0.16		
"Aruba"	1036	1006	0	26	-25	175	0	-3	4917	0.3		
"Bolivia, Plurinational State of"	989	-321	0	-12	44	106	0.04	-3	7978	0.11		
"Afghanistan"	946	872	0	-18	43	147	0.02	-8	2990	0.12		
"Haiti"	886	827	0	-14	-28	140	0.02	0	6340	0.18		
"Nepal"	849	538	0	-56	25	96	0.06	8	1856	0.56		
"Samoa"	784	783	0	76	340	197	0	-1	6816	0.13		
"Armenia"	769	583	0	-10	16	131	0.02	6	3323	0.15		
"Kyrgyzstan"	741	674	0	26	18	127	0.03	1	2892	0.2		
"Azerbaijan"	734	734	0	-29	-52	98	0.05	5	3712	0.09		
"Belize"	716	421	0	-46	400	179	0	1	5006	0.18		
"Cuba"	702	-872	0	-24	-89	145	0.02	-13	7148	0.09		
"Albania"	669	-3394	0	-20	-52	121	0.03	6	1886	0.13		
"United States Minor Outlying Islands"	562	53	0	3	-58	177	0	0		0.21		
"Montenegro"	550	508	0	-9	15	152	0.01	0	2382	0.08		
"Solomon Islands"	503	488	0	65	-88	190	0	0	6301	0.17		
"Brunei Darussalam"	491	419	0	-20	-44	109	0.04	26	5185	0.11		
"Dominica"	483	471	0	50	81	185	0	8	4908	0.65		
"French Polynesia"	419	416	0	-10	-91	165	0	1	13300	0.24		
"Macedonia, North"	369	-5479	0	44	-77	103	0.05	8	1348	0.09		
"Moldova, Republic of"	367	-1144	0	-14	328	118	0.03	8	2317	0.08		
"Andorra"	366	76	0	57	18	166	0	2	610	0.52		
"Bosnia and Herzegovina"	362	-5270	0	-65	111	94	0.06	3	2228	0.07		
"Bhutan"	267	263	0	8	40	178	0	15	1733	0.63		
"Saint Vincent and the Grenadines"	247	221	0	-47	766	196	0	3	6798	0.14		
"Bermuda"	244	207	0	-45	-54	169	0	-3	8006	0.28		
"Cayman Islands"	212	197	0	-54	-68	123	0.03	5	7522	0.35		
"Tonga"	178	-2458	0	1	770	202	0	4	5771	0.16		
"Lao People's Democratic Republic"	168	-1082	0	-25	170	129	0.02	-1	2572	0.28		
"Cook Islands"	162	100	0	-36	4	206	0	-4	9417	0.22		
"Falkland Islands (Malvinas)"	130	-4233	0	-10	79	207	0	2	12325	0.46		
"Vanuatu"	124	121	0	25	-80	198	0	-2	6248	0.13		
"Saint Lucia"	105	104	0	-8	-67	171	0	-10	5321	0.23		
"Uzbekistan"	100	-728	0	-33	-96	74	0.1	16	3412	0.12		
"Kiribati"	80	69	0	-33	902	205	0	10	5936	0.13		
"Palau"	70	70	0	-3		209	0	1	6232	0.16		
"Korea, Democratic People's Republic of"	59	-40	0	-56	-87	200	0	-49	1470	0.87		
"Macao, China"	54	-333	0	-46	-80	81	0.09	15		0.17		
"Micronesia, Federated States of"	35	-6	0	-2		208	0	-8	7109	0.19		
"Norfolk Island"	32	-77	0	-27	-91	222	0	1	5454	0.24		
"Timor-Leste"	31	-1091	0	-30	-15	183	0	12	3988	0.22		
"Turks and Caicos Islands"	27	25	0	26	25	193	0	-3	3491	0.74		
"Sao Tome and Principe"	19	-41	0	-58	-89	210	0	-3	6155	0.31		
"Saint Kitts and Nevis"	15	-16	0	4	-69	201	0	-12	5440	0.41		
"Tuvalu"	7	-3	0	-72	-96	204	0	17	6386	0.21		
"Wallis and Futuna Islands"	4	3	0	-24	-98	218	0	7	10103	0.24		
"Tajikistan"	2	-5	0	-40	-94	142	0.02	9	2803	0.17		
"Northern Mariana Islands"	2	-19	0	-48	-98	216	0	-19	3811	0.2		
"British Indian Ocean Territory"		-1				219	0	-9		0.67		
"Christmas Island"		-1				220	0	3		0.69		
"Pitcairn"		-2				227	0	-5		0.23		
"Faroe Islands"		-3				172	0	7	1404	0.27		
"Montserrat"		-4				224	0	-7		0.49		
"Anguilla"		-7				212	0	-5	4397	0.58		
"Turkmenistan"		-16				148	0.02	4	3495	0.15		
"Palestine, State of"		-69				176	0	8	3026	0.1		
"Niue"		-100				223	0	7	11410	0.48		
"Nauru"		-104				211	0	18	6014	0.27		
"Cocos (Keeling) Islands"		-442				225	0	8		0.74		
"Tokelau"		-683				226	0	-33	11566	0.22		
"South Africa"		-584830				41	0.4	-1	9230	0.07		
"Free Zones"						186	0	-34		0.92		
"Bonaire, Sint Eustatius and Saba"						189	0	20		0.19		
"South Sudan"						194	0	12		0.25		
"Sint Maarten (Dutch part)"						213	0	-7		0.43		
"Saint Pierre and Miquelon"						215	0	10	3489	0.45		
"Western Sahara"						221	0	-16	12469	0.9		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
