Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Moldova, Republic of's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Moldova, Republic of (%)	
"Georgia"	19485	15428	0.6	2	-15	113	0.04	-2	2513	0.09		
"Slovakia"	16392	-23207	0.5	4	63	38	0.5	4	2664	0.07		
"Portugal"	16304	-10756	0.5	23	76	40	0.4	2	2788	0.14		
"United Arab Emirates"	14404	9468	0.5	7	2031	29	0.9	-2	5715	0.08		
"Kazakhstan"	13978	-1852	0.4	-5	1	58	0.2	6	3017	0.25		
"Cyprus"	13608	12478	0.4	11	34	105	0.05	-1	3118	0.09		
"Israel"	12716	645	0.4	28	150	42	0.4	4	5483	0.07		
"China"	12444	-824051	0.4	-12	0	2	11.1	5	6416	0.04		
"Lithuania"	8436	-6902	0.3	-3	10	59	0.2	7	1630	0.07		
"Canada"	7826	234	0.2	12	41	14	2.2	1	5042	0.26		
"Indonesia"	7602	-822	0.2	3	47	30	0.9	2	5872	0.11		
"Uzbekistan"	7511	-5091	0.2	9	55	74	0.1	16	3412	0.12		
"Latvia"	7214	-8774	0.2	4	-3	77	0.1	7	1575	0.08		
"Iraq"	5704	5698	0.2	-20	-13	62	0.2	3	4107	0.18		
"Syrian Arab Republic"	5200	4217	0.2	0	38	139	0.02	-3	2496	0.27		
"Estonia"	5014	-837	0.2	14	-14	73	0.1	6	2314	0.06		
"Saudi Arabia"	4782	929	0.2	-1	23	32	0.7	3	5816	0.07		
"Egypt"	4436	-5066	0.1	10	1164	46	0.3	-1	5219	0.05		
"Azerbaijan"	4334	2884	0.1	-13	41	98	0.05	5	3712	0.09		
"Malaysia"	4044	-10542	0.1	-23	56	25	1.1	3	5172	0.09		
"Macedonia, North"	3683	-2458	0.1	-8	125	103	0.05	8	1348	0.09		
"Bangladesh"	3355	-9123	0.1	34	975	49	0.3	6	4172	0.15		
"Japan"	3205	-64240	0.1	30	43	4	3.5	1	6256	0.09		
"Tunisia"	2591	-1082	0.1	140	634	78	0.10	-1	3411	0.06		
"Nigeria"	2255	2222	0.1	18	64	53	0.2	17	7792	0.1		
"Libya, State of"	2147	1567	0.1	21	7303	89	0.07	12	3475	0.08		
"Croatia"	2138	-5676	0.1	33	-9	63	0.2	6	1362	0.07		
"Korea, Republic of"	1770	-56674	0.1	40	133	9	2.8	4	5699	0.09		
"Kyrgyzstan"	1740	773	0.1	1	143	127	0.03	1	2892	0.2		
"Finland"	1732	-13477	0.1	65	36	44	0.4	3	2842	0.07		
"Bosnia and Herzegovina"	1525	-1551	0	-3	-26	94	0.06	3	2228	0.07		
"Denmark"	1421	-15768	0	-6	48	35	0.6	5	2182	0.08		
"Myanmar"	1389	309	0	-36	222	79	0.10	-1	2536	0.25		
"Hong Kong, China"	1225	-853	0	18	-17	5	3.3	3	2841	0.22		
"Mongolia"	1223	1218	0	24	147	125	0.03	8	3267	0.22		
"Ghana"	1178	1164	0	8	120	82	0.08	8	8888	0.18		
"Jordan"	1147	-93	0	30	-64	84	0.08	0	5167	0.07		
"Chile"	1144	-2922	0	224	1056	43	0.4	6	11582	0.13		
"Armenia"	1106	48	0	-8	-14	131	0.02	6	3323	0.15		
"Sweden"	1096	-25021	0	-4	146	31	0.9	3	2128	0.07		
"Burkina Faso"	1062	1052	0	142	56	136	0.02	5	6109	0.05		
"Taipei, Chinese"	1047	-22396	0	-8	-9	17	1.7	8	5007	0.1		
"Norway"	924	-12226	0	26	282	39	0.5	3	3470	0.06		
"Australia"	916	-1247	0	29	14	24	1.1	1	10262	0.1		
"Philippines"	902	-2838	0	86	-25	34	0.6	2	4354	0.09		
"Eswatini"	889	879	0	13	25	160	0	1	1597	0.74		
"Ireland"	876	-7067	0	12	70	36	0.5	4	3265	0.1		
"Oman"	871	93	0	-5	221	83	0.08	-6	5977	0.08		
"Qatar"	867	337	0	-20	490	70	0.1	0	5745	0.06		
"Albania"	856	17	0	50	27	121	0.03	6	1886	0.13		
"Afghanistan"	810	691	0	-3	523	147	0.02	-8	2990	0.12		
"South Africa"	774	-3874	0	30	-59	41	0.4	-1	9230	0.07		
"Viet Nam"	744	-52141	0	-25	-39	19	1.5	8	3535	0.19		
"Mali"	724	722	0	69	31	141	0.02	9	5008	0.1		
"Slovenia"	664	-29944	0	67	190	55	0.2	10	2404	0.07		
"Nepal"	663	635	0		969	96	0.06	8	1856	0.56		
"Argentina"	657	-16038	0	114	5375	50	0.3	-5	10631	0.1		
"Bahrain"	650	649	0		-46	101	0.05	1	6359	0.08		
"Cameroon"	624	317	0	193	571	116	0.03	8	7279	0.14		
"Turkmenistan"	624	-6642	0	2	-11	148	0.02	4	3495	0.15		
"Côte d'Ivoire"	606	-349	0	-5	61	93	0.06	9	6793	0.08		
"Brazil"	524	-9695	0	266	89	26	1	6	10879	0.09		
"Mexico"	476	-7792	0	39	1883	13	2.3	2	7039	0.24		
"Uruguay"	372	109	0	26	213	95	0.06	0	9836	0.11		
"Senegal"	363	341	0	5	-4	110	0.04	4	6632	0.05		
"Singapore"	343	-1902	0	4	4	16	1.9	3	5773	0.07		
"Liberia"	332	332	0		48	87	0.07	17	11608	0.19		
"Tajikistan"	270	255	0	-10	-8	142	0.02	9	2803	0.17		
"Yemen"	211	211	0	3	43	107	0.04	11	5706	0.11		
"India"	201	-46304	0	-37	128	10	2.6	2	5793	0.05		
"Togo"	192	192	0		1029	153	0.01	10	7318	0.08		
"Turks and Caicos Islands"	190	189	0			193	0	-3	3491	0.74		
"Madagascar"	173	152	0			138	0.02	2	7339	0.08		
"Palestine, State of"	165	164	0		8150	176	0	8	3026	0.1		
"Pakistan"	151	-11151	0	-31	-46	47	0.3	2	4850	0.11		
"Kenya"	130	-667	0	18	1	80	0.09	2	6680	0.08		
"Morocco"	118	-6198	0	-37	-90	52	0.3	4	4316	0.07		
"Iceland"	105	-4413	0	11	357	112	0.04	-1	4251	0.05		
"Montenegro"	99	97	0	-19	38	152	0.01	0	2382	0.08		
"Malta"	92	6	0	-15	1214	120	0.03	1	3249	0.08		
"Angola"	85	62	0	60	215	100	0.05	-11	7692	0.06		
"Kuwait"	79	49	0	-5	-8	76	0.1	-3	5837	0.07		
"Rwanda"	67	66	0	29		159	0.01	17	5437	0.08		
"Colombia"	62	-627	0		138	51	0.3	4	8915	0.13		
"Sierra Leone"	61	50	0	25	-44	170	0	10	8820	0.13		
"Bolivia, Plurinational State of"	58	14	0			106	0.04	-3	7978	0.11		
"Ecuador"	56	-22090	0		195	69	0.1	3	9174	0.12		
"Thailand"	55	-13929	0	-49	-86	23	1.2	2	4905	0.09		
"New Zealand"	50	-405	0		-59	56	0.2	3	11141	0.09		
"Congo"	47	47	0	13	96	154	0.01	-18	6851	0.07		
"Seychelles"	42	42	0	-10	121	187	0	-7	6627	0.06		
"Gambia"	39	39	0			167	0	7	8260	0.14		
"Somalia"	36	36	0	-14	33	150	0.01	9	5305	0.16		
"Equatorial Guinea"	33	33	0			182	0	2	6008	0.11		
"Tanzania, United Republic of"	33	-524	0	36	43	102	0.05	7	6633	0.1		
"Panama"	32	23	0	-78		60	0.2	1	8657	0.12		
"Peru"	30	-1859	0	72		54	0.2	3	10420	0.13		
"Gibraltar"	29	29	0	-68		114	0.03	-5	2572	0.09		
"Gabon"	29	29	0	-1	12	158	0.01	-2	7114	0.11		
"Paraguay"	28	-9	0		87	92	0.06	0	7311	0.15		
"Djibouti"	27	27	0		125	130	0.02	5	6387	0.22		
"Jamaica"	25	20	0			137	0.02	-2	6759	0.22		
"Iran, Islamic Republic of"	18	-4722	0	-25	-74	72	0.1	-18	5612	0.13		
"Mauritania"	15	-17	0			146	0.02	1	5817	0.07		
"Benin"	14	14	0	-11		149	0.01	-2	6481	0.07		
"Lao People's Democratic Republic"	13	-97	0		-66	129	0.02	-1	2572	0.28		
"Dominican Republic"	11	-158	0	0	267	67	0.1	5	6446	0.22		
"Anguilla"	10	10	0			212	0	-5	4397	0.58		
"Luxembourg"	10	-2471	0	-31	-69	71	0.1	3	1488	0.14		
"French Polynesia"	7	7	0			165	0	1	13300	0.24		
"Greenland"	7	-40	0		0	180	0	6	3482	0.44		
"Antigua and Barbuda"	7	-98	0			174	0	1	6334	0.27		
"Grenada"	6	1	0			191	0	-1	4157	0.2		
"Sao Tome and Principe"	3	3	0			210	0	-3	6155	0.31		
"Brunei Darussalam"	2	-3	0	44	-93	109	0.04	26	5185	0.11		
"Suriname"	1	1	0			173	0	1	9050	0.14		
"Macao, China"	1	0	0	0		81	0.09	15		0.17		
"Zimbabwe"	1	-193	0			134	0.02	7	3754	0.39		
"Nauru"		-1				211	0	18	6014	0.27		
"Niger"		-2				162	0	13	5715	0.09		
"Vanuatu"		-3				198	0	-2	6248	0.13		
"Bahamas"		-4				115	0.03	-8	6248	0.19		
"Sudan"		-4				122	0.03	-2		0.13		
"Guyana"		-4				144	0.02	13	11175	0.21		
"Lesotho"		-5				164	0	-2	1590	0.78		
"Burundi"		-5				188	0	13	4755	0.14		
"New Caledonia"		-7				155	0.01	-1	11471	0.2		
"Mozambique"		-9				108	0.04	8	6196	0.1		
"Comoros"		-10				192	0	18	5731	0.22		
"Tokelau"		-13				226	0	-33	11566	0.22		
"Tonga"		-15				202	0	4	5771	0.16		
"Dominica"		-17				185	0	8	4908	0.65		
"El Salvador"		-20				88	0.07	9	4914	0.15		
"Venezuela, Bolivarian Republic of"		-20				117	0.03	-11	8121	0.16		
"United States Minor Outlying Islands"		-27				177	0	0		0.21		
"Papua New Guinea"		-39				143	0.02	-1	4973	0.17		
"Namibia"		-48				126	0.03	-1	3757	0.37		
"Honduras"		-51				99	0.05	4	6104	0.16		
"Barbados"		-62				161	0	0	4992	0.21		
"Guatemala"		-73				68	0.1	7	5828	0.15		
"Trinidad and Tobago"		-75				128	0.03	-1	6663	0.26		
"Malawi"		-78				168	0	0	5169	0.15		
"Uganda"		-89				132	0.02	11	5788	0.09		
"Falkland Islands (Malvinas)"		-93				207	0	2	12325	0.46		
"Mauritius"		-96				133	0.02	-2	7320	0.08		
"Andorra"		-100				166	0	2	610	0.52		
"Nicaragua"		-114				104	0.05	4	5888	0.1		
"Cuba"		-164				145	0.02	-13	7148	0.09		
"Belize"		-224				179	0	1	5006	0.18		
"Algeria"		-316				64	0.2	-8	4584	0.07		
"Korea, Democratic People's Republic of"		-353				200	0	-49	1470	0.87		
"Ethiopia"		-652				90	0.07	1	6305	0.11		
"Cambodia"		-1497				66	0.1	16	2651	0.18		
"Sri Lanka"		-1585				85	0.08	-3	4351	0.16		
"Faroe Islands"		-2339				172	0	7	1404	0.27		
"Costa Rica"		-3077				86	0.08	3	6987	0.22		
"Ship stores and bunkers"						75	0.1	-11		0.16		
"Marshall Islands"						91	0.06	-1	7455	0.18		
"Congo, Democratic Republic of the"						111	0.04	13	6479	0.14		
"Zambia"						119	0.03	-9	5447	0.14		
"Cayman Islands"						123	0.03	5	7522	0.35		
"Botswana"						124	0.03	2	2968	0.52		
"Guinea"						135	0.02	7	9140	0.19		
"Haiti"						140	0.02	0	6340	0.18		
"Maldives"						151	0.01	-3	4478	0.08		
"British Virgin Islands"						156	0.01	8	7242	0.27		
"Fiji"						157	0.01	-7	7384	0.12		
"Curaçao"						163	0	-12		0.24		
"Bermuda"						169	0	-3	8006	0.28		
"Saint Lucia"						171	0	-10	5321	0.23		
"Aruba"						175	0	-3	4917	0.3		
"Bhutan"						178	0	15	1733	0.63		
"Cabo Verde"						181	0	4	5196	0.21		
"Timor-Leste"						183	0	12	3988	0.22		
"Chad"						184	0	13	6931	0.16		
"Free Zones"						186	0	-34		0.92		
"Bonaire, Sint Eustatius and Saba"						189	0	20		0.19		
"Solomon Islands"						190	0	0	6301	0.17		
"South Sudan"						194	0	12		0.25		
"Guinea-Bissau"						195	0	2	5802	0.16		
"Saint Vincent and the Grenadines"						196	0	3	6798	0.14		
"Samoa"						197	0	-1	6816	0.13		
"Central African Republic"						199	0	7	6606	0.08		
"Saint Kitts and Nevis"						201	0	-12	5440	0.41		
"Eritrea"						203	0	-8	6303	0.14		
"Tuvalu"						204	0	17	6386	0.21		
"Kiribati"						205	0	10	5936	0.13		
"Cook Islands"						206	0	-4	9417	0.22		
"Micronesia, Federated States of"						208	0	-8	7109	0.19		
"Palau"						209	0	1	6232	0.16		
"Sint Maarten (Dutch part)"						213	0	-7		0.43		
"French Southern and Antarctic Territories"						214	0	14		0.12		
"Saint Pierre and Miquelon"						215	0	10	3489	0.45		
"Northern Mariana Islands"						216	0	-19	3811	0.2		
"Saint Helena"						217	0	6	7699	0.31		
"Wallis and Futuna Islands"						218	0	7	10103	0.24		
"British Indian Ocean Territory"						219	0	-9		0.67		
"Christmas Island"						220	0	3		0.69		
"Western Sahara"						221	0	-16	12469	0.9		
"Norfolk Island"						222	0	1	5454	0.24		
"Niue"						223	0	7	11410	0.48		
"Montserrat"						224	0	-7		0.49		
"Cocos (Keeling) Islands"						225	0	8		0.74		
"Pitcairn"						227	0	-5		0.23		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
