Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Bolivia, Plurinational State of's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Bolivia, Plurinational State of (%)	
"Saudi Arabia"	1821	-4643	0	168	32	32	0.7	3	5816	0.07		
"Guatemala"	1777	-1161	0	9	81	68	0.1	7	5828	0.15		
"Sweden"	1722	-84219	0	12	91	31	0.9	3	2128	0.07		
"Portugal"	1666	-5916	0	4	167	40	0.4	2	2788	0.14		
"South Africa"	1168	-5090	0	7	-3	41	0.4	-1	9230	0.07		
"Greece"	1144	104	0	33	-35	45	0.3	4	2847	0.05		
"Guyana"	1110	1103	0		1362	144	0.02	13	11175	0.21		
"Lithuania"	1042	278	0	-8	38	59	0.2	7	1630	0.07		
"Poland"	1008	-7099	0	-20	-36	18	1.5	8	3121	0.08		
"Honduras"	997	743	0	44	319	99	0.05	4	6104	0.16		
"Thailand"	832	-72357	0	-19	-9	23	1.2	2	4905	0.09		
"Free Zones"	816	504	0	18	-22	186	0	-34		0.92		
"Cuba"	756	-789	0	27	-85	145	0.02	-13	7148	0.09		
"Kuwait"	754	680	0	157	30	76	0.1	-3	5837	0.07		
"Norway"	644	-2059	0	-14	-1	39	0.5	3	3470	0.06		
"Ukraine"	578	-10397	0	40	101	48	0.3	7	3255	0.06		
"El Salvador"	574	-378	0	21	-66	88	0.07	9	4914	0.15		
"Slovenia"	546	-1254	0	31	-30	55	0.2	10	2404	0.07		
"Nepal"	519	517	0			96	0.06	8	1856	0.56		
"Congo"	423	423	0		78	154	0.01	-18	6851	0.07		
"Pakistan"	414	-2313	0		262	47	0.3	2	4850	0.11		
"Congo, Democratic Republic of the"	410	410	0			111	0.04	13	6479	0.14		
"Trinidad and Tobago"	365	308	0	519	269	128	0.03	-1	6663	0.26		
"Lebanon"	353	313	0	9	84	97	0.06	-12	3592	0.06		
"Mozambique"	351	-429	0	15	69	108	0.04	8	6196	0.1		
"Philippines"	296	-4227	0	143	21	34	0.6	2	4354	0.09		
"Latvia"	240	-141	0	139	323	77	0.1	7	1575	0.08		
"Jamaica"	221	221	0		153	137	0.02	-2	6759	0.22		
"Qatar"	203	-199	0		-11	70	0.1	0	5745	0.06		
"Nigeria"	193	-1263	0	40	2177	53	0.2	17	7792	0.1		
"Belarus"	180	36	0		-77	61	0.2	2	2268	0.23		
"Togo"	148	148	0			153	0.01	10	7318	0.08		
"Czech Republic"	128	-12632	0	-6	-52	28	1	4	2987	0.1		
"Bulgaria"	122	-1809	0	-19	-49	57	0.2	6	2237	0.05		
"Bahrain"	118	-49238	0	7	160	101	0.05	1	6359	0.08		
"Ireland"	107	-5125	0	-37	471	36	0.5	4	3265	0.1		
"Côte d'Ivoire"	101	101	0		94	93	0.06	9	6793	0.08		
"New Caledonia"	65	65	0	-36		155	0.01	-1	11471	0.2		
"Senegal"	64	64	0		3100	110	0.04	4	6632	0.05		
"Mauritius"	63	35	0	-6	3	133	0.02	-2	7320	0.08		
"Egypt"	60	-2102	0		42	46	0.3	-1	5219	0.05		
"Gabon"	58	58	0		32	158	0.01	-2	7114	0.11		
"Haiti"	49	45	0		-26	140	0.02	0	6340	0.18		
"Tunisia"	45	-300	0		-76	78	0.10	-1	3411	0.06		
"Suriname"	42	42	0	61	60	173	0	1	9050	0.14		
"Tanzania, United Republic of"	41	41	0			102	0.05	7	6633	0.1		
"Malta"	41	-46	0		99	120	0.03	1	3249	0.08		
"Dominica"	26	25	0			185	0	8	4908	0.65		
"Croatia"	26	-190	0	-36	-93	63	0.2	6	1362	0.07		
"Hungary"	25	-27667	0	52	-57	33	0.6	6	2180	0.09		
"Algeria"	24	-607	0		-84	64	0.2	-8	4584	0.07		
"Bangladesh"	21	-5295	0	-69		49	0.3	6	4172	0.15		
"Cambodia"	16	-1484	0			66	0.1	16	2651	0.18		
"Belize"	12	1	0	29		179	0	1	5006	0.18		
"Brunei Darussalam"	11	11	0		167	109	0.04	26	5185	0.11		
"Romania"	11	-3048	0	-31	-91	37	0.5	6	1891	0.07		
"Cabo Verde"	10	9	0			181	0	4	5196	0.21		
"Macao, China"	10	3	0	-23		81	0.09	15		0.17		
"Oman"	9	-3093	0		621	83	0.08	-6	5977	0.08		
"Bahamas"	8	8	0	-39	-77	115	0.03	-8	6248	0.19		
"Azerbaijan"	7	7	0		388	98	0.05	5	3712	0.09		
"Zambia"	1	1	0			119	0.03	-9	5447	0.14		
"Moldova, Republic of"	1	-4	0			118	0.03	8	2317	0.08		
"Iraq"		-1				62	0.2	3	4107	0.18		
"Papua New Guinea"		-1				143	0.02	-1	4973	0.17		
"Benin"		-1				149	0.01	-2	6481	0.07		
"Curaçao"		-1				163	0	-12		0.24		
"Andorra"		-1				166	0	2	610	0.52		
"Bhutan"		-1				178	0	15	1733	0.63		
"Greenland"		-1				180	0	6	3482	0.44		
"Seychelles"		-1				187	0	-7	6627	0.06		
"Eritrea"		-1				203	0	-8	6303	0.14		
"Cook Islands"		-1				206	0	-4	9417	0.22		
"Montserrat"		-1				224	0	-7		0.49		
"British Antarctic Territory"		-1				229	0			1		
"Liberia"		-2				87	0.07	17	11608	0.19		
"Barbados"		-2				161	0	0	4992	0.21		
"United States Minor Outlying Islands"		-2				177	0	0		0.21		
"Chad"		-2				184	0	13	6931	0.16		
"Grenada"		-2				191	0	-1	4157	0.2		
"Central African Republic"		-2				199	0	7	6606	0.08		
"Tonga"		-2				202	0	4	5771	0.16		
"Falkland Islands (Malvinas)"		-2				207	0	2	12325	0.46		
"Micronesia, Federated States of"		-2				208	0	-8	7109	0.19		
"Sao Tome and Principe"		-2				210	0	-3	6155	0.31		
"Djibouti"		-3				130	0.02	5	6387	0.22		
"Mali"		-3				141	0.02	9	5008	0.1		
"Montenegro"		-3				152	0.01	0	2382	0.08		
"Burundi"		-3				188	0	13	4755	0.14		
"Niue"		-3				223	0	7	11410	0.48		
"Niger"		-4				162	0	13	5715	0.09		
"Ethiopia"		-6				90	0.07	1	6305	0.11		
"Syrian Arab Republic"		-6				139	0.02	-3	2496	0.27		
"Kenya"		-10				80	0.09	2	6680	0.08		
"Palestine, State of"		-12				176	0	8	3026	0.1		
"Saint Vincent and the Grenadines"		-12				196	0	3	6798	0.14		
"Macedonia, North"		-16				103	0.05	8	1348	0.09		
"Eswatini"		-16				160	0	1	1597	0.74		
"Timor-Leste"		-16				183	0	12	3988	0.22		
"Armenia"		-19				131	0.02	6	3323	0.15		
"Lesotho"		-19				164	0	-2	1590	0.78		
"Sierra Leone"		-19				170	0	10	8820	0.13		
"Korea, Democratic People's Republic of"		-21				200	0	-49	1470	0.87		
"Albania"		-35				121	0.03	6	1886	0.13		
"Madagascar"		-39				138	0.02	2	7339	0.08		
"Afghanistan"		-41				147	0.02	-8	2990	0.12		
"Saint Kitts and Nevis"		-43				201	0	-12	5440	0.41		
"Iceland"		-46				112	0.04	-1	4251	0.05		
"Pitcairn"		-53				227	0	-5		0.23		
"Uzbekistan"		-58				74	0.1	16	3412	0.12		
"Tokelau"		-59				226	0	-33	11566	0.22		
"Gibraltar"		-71				114	0.03	-5	2572	0.09		
"Lao People's Democratic Republic"		-71				129	0.02	-1	2572	0.28		
"Bosnia and Herzegovina"		-104				94	0.06	3	2228	0.07		
"Iran, Islamic Republic of"		-114				72	0.1	-18	5612	0.13		
"Cyprus"		-159				105	0.05	-1	3118	0.09		
"Area Nes"		-173										
"Nauru"		-191				211	0	18	6014	0.27		
"Luxembourg"		-208				71	0.1	3	1488	0.14		
"Jordan"		-249				84	0.08	0	5167	0.07		
"Turkmenistan"		-327				148	0.02	4	3495	0.15		
"Serbia"		-834				65	0.2	9	2497	0.06		
"Estonia"		-1125				73	0.1	6	2314	0.06		
"Slovakia"		-1548				38	0.5	4	2664	0.07		
"Sri Lanka"		-2466				85	0.08	-3	4351	0.16		
"Morocco"						52	0.3	4	4316	0.07		
"Ship stores and bunkers"						75	0.1	-11		0.16		
"Libya, State of"						89	0.07	12	3475	0.08		
"Marshall Islands"						91	0.06	-1	7455	0.18		
"Yemen"						107	0.04	11	5706	0.11		
"Sudan"						122	0.03	-2		0.13		
"Cayman Islands"						123	0.03	5	7522	0.35		
"Botswana"						124	0.03	2	2968	0.52		
"Mongolia"						125	0.03	8	3267	0.22		
"Namibia"						126	0.03	-1	3757	0.37		
"Kyrgyzstan"						127	0.03	1	2892	0.2		
"Uganda"						132	0.02	11	5788	0.09		
"Zimbabwe"						134	0.02	7	3754	0.39		
"Guinea"						135	0.02	7	9140	0.19		
"Burkina Faso"						136	0.02	5	6109	0.05		
"Tajikistan"						142	0.02	9	2803	0.17		
"Mauritania"						146	0.02	1	5817	0.07		
"Somalia"						150	0.01	9	5305	0.16		
"Maldives"						151	0.01	-3	4478	0.08		
"British Virgin Islands"						156	0.01	8	7242	0.27		
"Fiji"						157	0.01	-7	7384	0.12		
"Rwanda"						159	0.01	17	5437	0.08		
"French Polynesia"						165	0	1	13300	0.24		
"Gambia"						167	0	7	8260	0.14		
"Malawi"						168	0	0	5169	0.15		
"Bermuda"						169	0	-3	8006	0.28		
"Saint Lucia"						171	0	-10	5321	0.23		
"Faroe Islands"						172	0	7	1404	0.27		
"Antigua and Barbuda"						174	0	1	6334	0.27		
"Aruba"						175	0	-3	4917	0.3		
"Equatorial Guinea"						182	0	2	6008	0.11		
"Bonaire, Sint Eustatius and Saba"						189	0	20		0.19		
"Solomon Islands"						190	0	0	6301	0.17		
"Comoros"						192	0	18	5731	0.22		
"Turks and Caicos Islands"						193	0	-3	3491	0.74		
"South Sudan"						194	0	12		0.25		
"Guinea-Bissau"						195	0	2	5802	0.16		
"Samoa"						197	0	-1	6816	0.13		
"Vanuatu"						198	0	-2	6248	0.13		
"Tuvalu"						204	0	17	6386	0.21		
"Kiribati"						205	0	10	5936	0.13		
"Palau"						209	0	1	6232	0.16		
"Anguilla"						212	0	-5	4397	0.58		
"Sint Maarten (Dutch part)"						213	0	-7		0.43		
"French Southern and Antarctic Territories"						214	0	14		0.12		
"Saint Pierre and Miquelon"						215	0	10	3489	0.45		
"Northern Mariana Islands"						216	0	-19	3811	0.2		
"Saint Helena"						217	0	6	7699	0.31		
"Wallis and Futuna Islands"						218	0	7	10103	0.24		
"British Indian Ocean Territory"						219	0	-9		0.67		
"Christmas Island"						220	0	3		0.69		
"Western Sahara"						221	0	-16	12469	0.9		
"Norfolk Island"						222	0	1	5454	0.24		
"Cocos (Keeling) Islands"						225	0	8		0.74		
"West Asia not elsewhere specified"						228	0			1		
