Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in New Zealand's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by New Zealand (%)	
"Senegal"	7002	6965	0	-10	10	110	0.04	4	6632	0.05		
"Slovenia"	6402	-19633	0	33	34	55	0.2	10	2404	0.07		
"Somalia"	5905	5834	0	16	-18	150	0.01	9	5305	0.16		
"Kiribati"	5900	5892	0	-13	35	205	0	10	5936	0.13		
"Ecuador"	5815	-53435	0	8	57	69	0.1	3	9174	0.12		
"Wallis and Futuna Islands"	5558	5556	0	9	35	218	0	7	10103	0.24		
"Cyprus"	5449	1177	0	-19	-8	105	0.05	-1	3118	0.09		
"Cayman Islands"	5336	5304	0	-4	432	123	0.03	5	7522	0.35		
"Romania"	5104	-54679	0	3	13	37	0.5	6	1891	0.07		
"Macao, China"	5040	4883	0	-22	36	81	0.09	15		0.17		
"Costa Rica"	4939	-15193	0	-11	-45	86	0.08	3	6987	0.22		
"Estonia"	4452	-8895	0	6	21	73	0.1	6	2314	0.06		
"Kenya"	4437	1162	0	-15	11	80	0.09	2	6680	0.08		
"Brunei Darussalam"	3983	-75101	0	0	15	109	0.04	26	5185	0.11		
"Marshall Islands"	3923	3913	0	2	-3	91	0.06	-1	7455	0.18		
"Norfolk Island"	3910	3910	0	-8	8	222	0	1	5454	0.24		
"Djibouti"	3492	2976	0	37	83	130	0.02	5	6387	0.22		
"Slovakia"	3402	-98908	0	-19	95	38	0.5	4	2664	0.07		
"Yemen"	3344	3339	0	-33	-73	107	0.04	11	5706	0.11		
"Benin"	3318	3318	0	33	359	149	0.01	-2	6481	0.07		
"Mozambique"	3283	3137	0	-19	77	108	0.04	8	6196	0.1		
"Madagascar"	3222	1072	0	13	-13	138	0.02	2	7339	0.08		
"Lebanon"	3161	2270	0	-33	30	97	0.06	-12	3592	0.06		
"Grenada"	3068	3067	0	5	8	191	0	-1	4157	0.2		
"Northern Mariana Islands"	3048	3048	0	-1	-6	216	0	-19	3811	0.2		
"Angola"	2869	2857	0	-39	48	100	0.05	-11	7692	0.06		
"Tanzania, United Republic of"	2846	1811	0	-12	18	102	0.05	7	6633	0.1		
"Congo"	2785	2431	0	0	-13	154	0.01	-18	6851	0.07		
"Tuvalu"	2615	2601	0	-3	117	204	0	17	6386	0.21		
"Congo, Democratic Republic of the"	2568	2166	0	-19	63	111	0.04	13	6479	0.14		
"Togo"	2469	-23960	0	13	449	153	0.01	10	7318	0.08		
"Faroe Islands"	2379	2285	0	-5	-27	172	0	7	1404	0.27		
"Bermuda"	2373	2356	0	-31	-6	169	0	-3	8006	0.28		
"Iran, Islamic Republic of"	2315	527	0	-66	-19	72	0.1	-18	5612	0.13		
"Tunisia"	2128	-8380	0	-18	14	78	0.10	-1	3411	0.06		
"Hungary"	2127	-111532	0	-19	78	33	0.6	6	2180	0.09		
"Saint Lucia"	2105	2098	0	-13	-4	171	0	-10	5321	0.23		
"Anguilla"	2079	2013	0	415	24335	212	0	-5	4397	0.58		
"Micronesia, Federated States of"	1999	1993	0	-12	4	208	0	-8	7109	0.19		
"Paraguay"	1768	1174	0	29	-59	92	0.06	0	7311	0.15		
"Malta"	1739	-2736	0	-16	-30	120	0.03	1	3249	0.08		
"Serbia"	1595	-6271	0	8	-6	65	0.2	9	2497	0.06		
"Pitcairn"	1573	1526	0	18	28	227	0	-5		0.23		
"Sierra Leone"	1509	641	0	-21	-34	170	0	10	8820	0.13		
"Iceland"	1498	-1591	0	-8	37	112	0.04	-1	4251	0.05		
"Zimbabwe"	1454	772	0	-16	640	134	0.02	7	3754	0.39		
"Kazakhstan"	1437	1418	0	-4	192	58	0.2	6	3017	0.25		
"Antigua and Barbuda"	1385	-33	0	3	22	174	0	1	6334	0.27		
"Liberia"	1376	1374	0	33	133	87	0.07	17	11608	0.19		
"Honduras"	1319	-4265	0	10	-25	99	0.05	4	6104	0.16		
"Bahamas"	1260	1250	0	-10	6	115	0.03	-8	6248	0.19		
"Seychelles"	1197	1160	0	-29	20	187	0	-7	6627	0.06		
"Timor-Leste"	1150	739	0	-11	109	183	0	12	3988	0.22		
"Curaçao"	1130	1127	0	-5	-17	163	0	-12		0.24		
"British Virgin Islands"	1115	1114	0	-9	6094	156	0.01	8	7242	0.27		
"Nauru"	1069	1068	0	-9	68	211	0	18	6014	0.27		
"Croatia"	892	-4021	0	-9	-60	63	0.2	6	1362	0.07		
"Equatorial Guinea"	889	889	0	29	34	182	0	2	6008	0.11		
"Aruba"	883	863	0	0	12	175	0	-3	4917	0.3		
"Belarus"	835	-11248	0	11	-48	61	0.2	2	2268	0.23		
"Namibia"	782	715	0	-17	78	126	0.03	-1	3757	0.37		
"Belize"	781	429	0	4	191	179	0	1	5006	0.18		
"Guinea"	725	463	0	-16	52	135	0.02	7	9140	0.19		
"Lao People's Democratic Republic"	664	-1682	0	7	-11	129	0.02	-1	2572	0.28		
"Palau"	640	597	0	-8	1	209	0	1	6232	0.16		
"Ethiopia"	631	-4250	0	-23	-45	90	0.07	1	6305	0.11		
"Bolivia, Plurinational State of"	589	-4057	0	-20	212	106	0.04	-3	7978	0.11		
"Uganda"	585	142	0	10	-32	132	0.02	11	5788	0.09		
"Botswana"	566	559	0	92	743	124	0.03	2	2968	0.52		
"Saint Vincent and the Grenadines"	553	551	0	1	-47	196	0	3	6798	0.14		
"Gibraltar"	470	449	0	-8	-31	114	0.03	-5	2572	0.09		
"Burkina Faso"	457	452	0	-1	-82	136	0.02	5	6109	0.05		
"Gambia"	450	430	0	26	-57	167	0	7	8260	0.14		
"Falkland Islands (Malvinas)"	427	405	0	14	139	207	0	2	12325	0.46		
"Mali"	385	60	0	-61	135	141	0.02	9	5008	0.1		
"Macedonia, North"	361	-202	0	44	888	103	0.05	8	1348	0.09		
"Mauritania"	348	338	0	2	-53	146	0.02	1	5817	0.07		
"Saint Kitts and Nevis"	324	308	0	26		201	0	-12	5440	0.41		
"Comoros"	276	274	0	27	-52	192	0	18	5731	0.22		
"Venezuela, Bolivarian Republic of"	270	-61	0	-3	44	117	0.03	-11	8121	0.16		
"Zambia"	250	122	0	-33	-29	119	0.03	-9	5447	0.14		
"Luxembourg"	241	-8470	0	-25	-74	71	0.1	3	1488	0.14		
"French Southern and Antarctic Territories"	206	135	0	-3	255	214	0	14		0.12		
"Bhutan"	191	191	0	-36	-6	178	0	15	1733	0.63		
"Gabon"	184	-1055	0	-40	-66	158	0.01	-2	7114	0.11		
"Montenegro"	183	-31	0	128	-27	152	0.01	0	2382	0.08		
"Haiti"	165	-658	0	-8	-73	140	0.02	0	6340	0.18		
"Bosnia and Herzegovina"	144	-2782	0	-15	510	94	0.06	3	2228	0.07		
"Christmas Island"	110	-3291	0	-34	-32	220	0	3		0.69		
"Turks and Caicos Islands"	105	104	0	-8	-3	193	0	-3	3491	0.74		
"Moldova, Republic of"	95	-352	0	-13	95	118	0.03	8	2317	0.08		
"Greenland"	86	-7	0			180	0	6	3482	0.44		
"Armenia"	72	-201	0	-74	-32	131	0.02	6	3323	0.15		
"Dominica"	71	69	0	11		185	0	8	4908	0.65		
"Kyrgyzstan"	51	48	0	1	69	127	0.03	1	2892	0.2		
"British Indian Ocean Territory"	49	48	0			219	0	-9		0.67		
"Afghanistan"	41	-76	0	-57	317	147	0.02	-8	2990	0.12		
"Chad"	39	34	0	-24		184	0	13	6931	0.16		
"Nicaragua"	37	-3140	0	-74	-100	104	0.05	4	5888	0.1		
"Tokelau"	33	-329	0	17	-99	226	0	-33	11566	0.22		
"Central African Republic"	28	24	0		-82	199	0	7	6606	0.08		
"Rwanda"	26	-65	0	-35	-86	159	0.01	17	5437	0.08		
"Eswatini"	10	-111	0	-10	765	160	0	1	1597	0.74		
"Palestine, State of"	8	7	0	-11	-38	176	0	8	3026	0.1		
"Albania"	8	-255	0	-40	-95	121	0.03	6	1886	0.13		
"Eritrea"	3	-67	0	9	-42	203	0	-8	6303	0.14		
"Saint Helena"	3	-121	0		-98	217	0	6	7699	0.31		
"Andorra"	2	-9	0		-55	166	0	2	610	0.52		
"Uzbekistan"	2	-72	0	-81	-99	74	0.1	16	3412	0.12		
"Suriname"	2	-538	0	-33	-98	173	0	1	9050	0.14		
"Guinea-Bissau"		-1				195	0	2	5802	0.16		
"Turkmenistan"		-4				148	0.02	4	3495	0.15		
"Tajikistan"		-5				142	0.02	9	2803	0.17		
"Montserrat"		-5				224	0	-7		0.49		
"Malawi"		-9				168	0	0	5169	0.15		
"Cabo Verde"		-14				181	0	4	5196	0.21		
"Burundi"		-30				188	0	13	4755	0.14		
"Lesotho"		-49				164	0	-2	1590	0.78		
"Niger"		-56				162	0	13	5715	0.09		
"Saint Pierre and Miquelon"		-84				215	0	10	3489	0.45		
"Cocos (Keeling) Islands"		-126				225	0	8		0.74		
"Sao Tome and Principe"		-732				210	0	-3	6155	0.31		
"New Zealand"		-123206				56	0.2	3	11141	0.09		
"Free Zones"						186	0	-34		0.92		
"Bonaire, Sint Eustatius and Saba"						189	0	20		0.19		
"South Sudan"						194	0	12		0.25		
"Korea, Democratic People's Republic of"						200	0	-49	1470	0.87		
"Sint Maarten (Dutch part)"						213	0	-7		0.43		
"Western Sahara"						221	0	-16	12469	0.9		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
