Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Estonia's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Estonia (%)	
"Andorra"	91	84	0	69	176	166	0	2	610	0.52		
"Mauritius"	90	-310	0	-26	-83	133	0.02	-2	7320	0.08		
"Somalia"	84	-22	0			150	0.01	9	5305	0.16		
"Montenegro"	80	-424	0	-20	-57	152	0.01	0	2382	0.08		
"Mali"	79	76	0	34	-98	141	0.02	9	5008	0.1		
"Nepal"	62	10	0	26	82	96	0.06	8	1856	0.56		
"Dominica"	60	13	0	-31	50	185	0	8	4908	0.65		
"Haiti"	46	39	0	10	-78	140	0.02	0	6340	0.18		
"Burundi"	45	45	0		-99	188	0	13	4755	0.14		
"Zimbabwe"	42	-132	0	-17	-39	134	0.02	7	3754	0.39		
"Congo, Democratic Republic of the"	40	39	0			111	0.04	13	6479	0.14		
"Equatorial Guinea"	38	-75	0		58	182	0	2	6008	0.11		
"Djibouti"	36	36	0	50	-59	130	0.02	5	6387	0.22		
"Europe Othr. Nes"	34	-1663505	0		-58							
"Bahamas"	31	14	0	-52	-98	115	0.03	-8	6248	0.19		
"Guinea"	31	-59	0	-25	-100	135	0.02	7	9140	0.19		
"Madagascar"	30	-1090	0	-5	0	138	0.02	2	7339	0.08		
"Botswana"	27	10	0	57	80	124	0.03	2	2968	0.52		
"Lao People's Democratic Republic"	26	-342	0	-52		129	0.02	-1	2572	0.28		
"Seychelles"	26	-2003	0	-27	-38	187	0	-7	6627	0.06		
"Cabo Verde"	24	22	0		26	181	0	4	5196	0.21		
"Africa not elsewhere specified"	21	-5	0	-56	-59							
"Gabon"	17	-9787	0	84	21	158	0.01	-2	7114	0.11		
"Niger"	15	-22	0	14	-75	162	0	13	5715	0.09		
"French Polynesia"	13	13	0		-94	165	0	1	13300	0.24		
"South Sudan"	13	13	0			194	0	12		0.25		
"Comoros"	12	12	0			192	0	18	5731	0.22		
"Fiji"	8	-5	0		-53	157	0.01	-7	7384	0.12		
"Guinea-Bissau"	7	7	0	46	-79	195	0	2	5802	0.16		
"Guyana"	6	-54	0	-43	-14	144	0.02	13	11175	0.21		
"Barbados"	5	-82	0	-38		161	0	0	4992	0.21		
"Cayman Islands"	3	3	0	-35	50	123	0.03	5	7522	0.35		
"Saint Lucia"	1	1	0			171	0	-10	5321	0.23		
"Belize"	1	-7	0	-68		179	0	1	5006	0.18		
"Antigua and Barbuda"	1	-100	0	-46		174	0	1	6334	0.27		
"Eritrea"		-1				203	0	-8	6303	0.14		
"Falkland Islands (Malvinas)"		-1				207	0	2	12325	0.46		
"Central African Republic"		-4				199	0	7	6606	0.08		
"Niue"		-5				223	0	7	11410	0.48		
"Samoa"		-7				197	0	-1	6816	0.13		
"Saint Kitts and Nevis"		-7				201	0	-12	5440	0.41		
"Chad"		-13				184	0	13	6931	0.16		
"United States Minor Outlying Islands"		-15				177	0	0		0.21		
"Korea, Democratic People's Republic of"		-16				200	0	-49	1470	0.87		
"British Virgin Islands"		-17				156	0.01	8	7242	0.27		
"Lesotho"		-23				164	0	-2	1590	0.78		
"Tokelau"		-46				226	0	-33	11566	0.22		
"Papua New Guinea"		-54				143	0.02	-1	4973	0.17		
"Grenada"		-151				191	0	-1	4157	0.2		
"Estonia"		-94438				73	0.1	6	2314	0.06		
"Marshall Islands"						91	0.06	-1	7455	0.18		
"Bermuda"						169	0	-3	8006	0.28		
"Palestine, State of"						176	0	8	3026	0.1		
"Bhutan"						178	0	15	1733	0.63		
"Timor-Leste"						183	0	12	3988	0.22		
"Free Zones"						186	0	-34		0.92		
"Solomon Islands"						190	0	0	6301	0.17		
"Turks and Caicos Islands"						193	0	-3	3491	0.74		
"Saint Vincent and the Grenadines"						196	0	3	6798	0.14		
"Vanuatu"						198	0	-2	6248	0.13		
"Tonga"						202	0	4	5771	0.16		
"Tuvalu"						204	0	17	6386	0.21		
"Kiribati"						205	0	10	5936	0.13		
"Cook Islands"						206	0	-4	9417	0.22		
"Micronesia, Federated States of"						208	0	-8	7109	0.19		
"Palau"						209	0	1	6232	0.16		
"Sao Tome and Principe"						210	0	-3	6155	0.31		
"Nauru"						211	0	18	6014	0.27		
"Anguilla"						212	0	-5	4397	0.58		
"Saint Pierre and Miquelon"						215	0	10	3489	0.45		
"Northern Mariana Islands"						216	0	-19	3811	0.2		
"Saint Helena"						217	0	6	7699	0.31		
"Wallis and Futuna Islands"						218	0	7	10103	0.24		
"British Indian Ocean Territory"						219	0	-9		0.67		
"Christmas Island"						220	0	3		0.69		
"Western Sahara"						221	0	-16	12469	0.9		
"Norfolk Island"						222	0	1	5454	0.24		
"Montserrat"						224	0	-7		0.49		
"Cocos (Keeling) Islands"						225	0	8		0.74		
"Pitcairn"						227	0	-5		0.23		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
