Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Paraguay's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Paraguay (%)	
"Georgia"	6088	5755	0.1		0	113	0.04	-2	2513	0.09		
"Canada"	5981	-45973	0.1	11	37	14	2.2	1	5042	0.26		
"Guatemala"	5890	4520	0.1	46	-51	68	0.1	7	5828	0.15		
"Turkey"	5399	-90268	0.1	-66	33	22	1.2	3	4285	0.05		
"Greece"	4700	571	0	-47	23	45	0.3	4	2847	0.05		
"Costa Rica"	4225	1506	0	14	-32	86	0.08	3	6987	0.22		
"Angola"	3769	3769	0	-26	2	100	0.05	-11	7692	0.06		
"Congo"	3394	3394	0	17	49	154	0.01	-18	6851	0.07		
"Qatar"	3305	-10042	0	20	118	70	0.1	0	5745	0.06		
"Jordan"	3287	3264	0	85	-2	84	0.08	0	5167	0.07		
"Dominican Republic"	3033	1365	0	10	127	67	0.1	5	6446	0.22		
"Sierra Leone"	2925	2925	0	12	-56	170	0	10	8820	0.13		
"Australia"	2635	972	0	1	83	24	1.1	1	10262	0.1		
"Iraq"	2602	2588	0	-36	-39	62	0.2	3	4107	0.18		
"Senegal"	2410	2410	0	-6	-51	110	0.04	4	6632	0.05		
"Serbia"	2345	2077	0	31	27	65	0.2	9	2497	0.06		
"South Africa"	2084	-655	0	-5	-1	41	0.4	-1	9230	0.07		
"El Salvador"	1886	1327	0	-1	-68	88	0.07	9	4914	0.15		
"Gambia"	1841	1835	0	-22	-42	167	0	7	8260	0.14		
"Nigeria"	1594	1489	0	315		53	0.2	17	7792	0.1		
"Curaçao"	1560	1271	0	-5	-30	163	0	-12		0.24		
"Lithuania"	1486	-2347	0		496	59	0.2	7	1630	0.07		
"Bahrain"	1485	-169	0	-24	120	101	0.05	1	6359	0.08		
"Liberia"	1470	1470	0	93	60	87	0.07	17	11608	0.19		
"Austria"	1381	-34738	0	-27	3	27	1	3	1514	0.18		
"Venezuela, Bolivarian Republic of"	1365	1286	0	-18	-86	117	0.03	-11	8121	0.16		
"Honduras"	1275	1196	0	1	22	99	0.05	4	6104	0.16		
"Ghana"	1235	1235	0	28	36	82	0.08	8	8888	0.18		
"Côte d'Ivoire"	1179	1179	0	74	45	93	0.06	9	6793	0.08		
"Bulgaria"	1090	-1860	0	36	47	57	0.2	6	2237	0.05		
"Equatorial Guinea"	886	886	0	45	149	182	0	2	6008	0.11		
"Kazakhstan"	748	748	0	-51	224	58	0.2	6	3017	0.25		
"Marshall Islands"	735	350	0			91	0.06	-1	7455	0.18		
"Cuba"	733	663	0	-16	37	145	0.02	-13	7148	0.09		
"Albania"	727	696	0	8	-59	121	0.03	6	1886	0.13		
"Macedonia, North"	664	596	0		43	103	0.05	8	1348	0.09		
"Benin"	480	480	0	79	53	149	0.01	-2	6481	0.07		
"New Zealand"	471	-3421	0	13	38	56	0.2	3	11141	0.09		
"Slovenia"	470	-2946	0	-11	45	55	0.2	10	2404	0.07		
"Montenegro"	445	445	0	-17		152	0.01	0	2382	0.08		
"Congo, Democratic Republic of the"	429	429	0	-19	535	111	0.04	13	6479	0.14		
"Seychelles"	418	418	0	160	0	187	0	-7	6627	0.06		
"Bahamas"	392	350	0		213	115	0.03	-8	6248	0.19		
"Belize"	358	250	0	24	-22	179	0	1	5006	0.18		
"Croatia"	345	-485	0		-44	63	0.2	6	1362	0.07		
"Bosnia and Herzegovina"	275	261	0	-2	858	94	0.06	3	2228	0.07		
"Azerbaijan"	229	229	0	16	-56	98	0.05	5	3712	0.09		
"Cyprus"	228	-1371	0	-9	47	105	0.05	-1	3118	0.09		
"Maldives"	201	201	0		524	151	0.01	-3	4478	0.08		
"Romania"	196	-1664	0	-21	-37	37	0.5	6	1891	0.07		
"Czech Republic"	184	-7039	0	-9	-14	28	1	4	2987	0.1		
"Norway"	181	-1109	0	-17	-11	39	0.5	3	3470	0.06		
"Zimbabwe"	178	178	0	-10	166	134	0.02	7	3754	0.39		
"Morocco"	162	-19034	0	-34	-29	52	0.3	4	4316	0.07		
"Nicaragua"	161	79	0	-46	-66	104	0.05	4	5888	0.1		
"Haiti"	159	121	0	5	-68	140	0.02	0	6340	0.18		
"British Virgin Islands"	151	-405	0		0	156	0.01	8	7242	0.27		
"Ukraine"	139	48	0	78	-34	48	0.3	7	3255	0.06		
"Oman"	114	-22676	0	-51	-98	83	0.08	-6	5977	0.08		
"French Polynesia"	109	86	0			165	0	1	13300	0.24		
"Sri Lanka"	107	-474	0	-10		85	0.08	-3	4351	0.16		
"Tanzania, United Republic of"	101	101	0		229	102	0.05	7	6633	0.1		
"Armenia"	93	93	0	-19		131	0.02	6	3323	0.15		
"Cabo Verde"	74	74	0		-18	181	0	4	5196	0.21		
"Latvia"	65	-22425	0	168	0	77	0.1	7	1575	0.08		
"Guinea"	64	64	0		46	135	0.02	7	9140	0.19		
"Sweden"	62	-18388	0	-65	-99	31	0.9	3	2128	0.07		
"Turkmenistan"	52	52	0	-2		148	0.02	4	3495	0.15		
"Andorra"	37	36	0	66	-18	166	0	2	610	0.52		
"Estonia"	35	-3899	0		14	73	0.1	6	2314	0.06		
"Malta"	31	31	0	-16	44	120	0.03	1	3249	0.08		
"Syrian Arab Republic"	29	29	0	-23	-80	139	0.02	-3	2496	0.27		
"Algeria"	28	-1495	0	-78	-100	64	0.2	-8	4584	0.07		
"Hungary"	28	-4194	0		41	33	0.6	6	2180	0.09		
"Barbados"	22	-35	0			161	0	0	4992	0.21		
"Cambodia"	19	-972	0			66	0.1	16	2651	0.18		
"Trinidad and Tobago"	16	-30	0	-24	-100	128	0.03	-1	6663	0.26		
"Uzbekistan"	16	-388	0			74	0.1	16	3412	0.12		
"Lao People's Democratic Republic"	14	14	0			129	0.02	-1	2572	0.28		
"Finland"	11	-18886	0	-2	-67	44	0.4	3	2842	0.07		
"Madagascar"	5	5	0	5	-100	138	0.02	2	7339	0.08		
"Dominica"	5	-75	0	11	-93	185	0	8	4908	0.65		
"Mongolia"	2	2	0			125	0.03	8	3267	0.22		
"Free Zones"	1	-44387	0	-85		186	0	-34		0.92		
"Northern Mariana Islands"		-1				216	0	-19	3811	0.2		
"Mali"		-2				141	0.02	9	5008	0.1		
"Greenland"		-2				180	0	6	3482	0.44		
"Kenya"		-3				80	0.09	2	6680	0.08		
"Guyana"		-3				144	0.02	13	11175	0.21		
"Kiribati"		-3				205	0	10	5936	0.13		
"Jamaica"		-4				137	0.02	-2	6759	0.22		
"Moldova, Republic of"		-18				118	0.03	8	2317	0.08		
"Samoa"		-49				197	0	-1	6816	0.13		
"Ethiopia"		-56				90	0.07	1	6305	0.11		
"Falkland Islands (Malvinas)"		-86				207	0	2	12325	0.46		
"Gibraltar"		-157				114	0.03	-5	2572	0.09		
"Philippines"		-1627				34	0.6	2	4354	0.09		
"Malawi"		-1637				168	0	0	5169	0.15		
"Iceland"		-1856				112	0.04	-1	4251	0.05		
"Belarus"		-1956				61	0.2	2	2268	0.23		
"Slovakia"		-2806				38	0.5	4	2664	0.07		
"Ship stores and bunkers"						75	0.1	-11		0.16		
"Macao, China"						81	0.09	15		0.17		
"Nepal"						96	0.06	8	1856	0.56		
"Yemen"						107	0.04	11	5706	0.11		
"Brunei Darussalam"						109	0.04	26	5185	0.11		
"Cameroon"						116	0.03	8	7279	0.14		
"Zambia"						119	0.03	-9	5447	0.14		
"Sudan"						122	0.03	-2		0.13		
"Cayman Islands"						123	0.03	5	7522	0.35		
"Botswana"						124	0.03	2	2968	0.52		
"Namibia"						126	0.03	-1	3757	0.37		
"Kyrgyzstan"						127	0.03	1	2892	0.2		
"Djibouti"						130	0.02	5	6387	0.22		
"Uganda"						132	0.02	11	5788	0.09		
"Burkina Faso"						136	0.02	5	6109	0.05		
"Tajikistan"						142	0.02	9	2803	0.17		
"Papua New Guinea"						143	0.02	-1	4973	0.17		
"Mauritania"						146	0.02	1	5817	0.07		
"Afghanistan"						147	0.02	-8	2990	0.12		
"Somalia"						150	0.01	9	5305	0.16		
"Togo"						153	0.01	10	7318	0.08		
"New Caledonia"						155	0.01	-1	11471	0.2		
"Fiji"						157	0.01	-7	7384	0.12		
"Rwanda"						159	0.01	17	5437	0.08		
"Eswatini"						160	0	1	1597	0.74		
"Niger"						162	0	13	5715	0.09		
"Lesotho"						164	0	-2	1590	0.78		
"Bermuda"						169	0	-3	8006	0.28		
"Saint Lucia"						171	0	-10	5321	0.23		
"Faroe Islands"						172	0	7	1404	0.27		
"Antigua and Barbuda"						174	0	1	6334	0.27		
"United States Minor Outlying Islands"						177	0	0		0.21		
"Bhutan"						178	0	15	1733	0.63		
"Timor-Leste"						183	0	12	3988	0.22		
"Chad"						184	0	13	6931	0.16		
"Burundi"						188	0	13	4755	0.14		
"Bonaire, Sint Eustatius and Saba"						189	0	20		0.19		
"Solomon Islands"						190	0	0	6301	0.17		
"Grenada"						191	0	-1	4157	0.2		
"Comoros"						192	0	18	5731	0.22		
"Turks and Caicos Islands"						193	0	-3	3491	0.74		
"South Sudan"						194	0	12		0.25		
"Guinea-Bissau"						195	0	2	5802	0.16		
"Saint Vincent and the Grenadines"						196	0	3	6798	0.14		
"Vanuatu"						198	0	-2	6248	0.13		
"Central African Republic"						199	0	7	6606	0.08		
"Korea, Democratic People's Republic of"						200	0	-49	1470	0.87		
"Saint Kitts and Nevis"						201	0	-12	5440	0.41		
"Tonga"						202	0	4	5771	0.16		
"Eritrea"						203	0	-8	6303	0.14		
"Tuvalu"						204	0	17	6386	0.21		
"Cook Islands"						206	0	-4	9417	0.22		
"Micronesia, Federated States of"						208	0	-8	7109	0.19		
"Palau"						209	0	1	6232	0.16		
"Sao Tome and Principe"						210	0	-3	6155	0.31		
"Nauru"						211	0	18	6014	0.27		
"Anguilla"						212	0	-5	4397	0.58		
"Sint Maarten (Dutch part)"						213	0	-7		0.43		
"French Southern and Antarctic Territories"						214	0	14		0.12		
"Saint Pierre and Miquelon"						215	0	10	3489	0.45		
"Saint Helena"						217	0	6	7699	0.31		
"Wallis and Futuna Islands"						218	0	7	10103	0.24		
"British Indian Ocean Territory"						219	0	-9		0.67		
"Christmas Island"						220	0	3		0.69		
"Western Sahara"						221	0	-16	12469	0.9		
"Norfolk Island"						222	0	1	5454	0.24		
"Niue"						223	0	7	11410	0.48		
"Montserrat"						224	0	-7		0.49		
"Cocos (Keeling) Islands"						225	0	8		0.74		
"Tokelau"						226	0	-33	11566	0.22		
"Pitcairn"						227	0	-5		0.23		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
