Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Italy's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Italy (%)	
"Nigeria"	1222794	-660503	0.2	18	34	53	0.2	17	7792	0.1		
"Argentina"	1220850	151039	0.2	-8	42	50	0.3	-5	10631	0.1		
"Indonesia"	1219638	-1641821	0.2	-3	0	30	0.9	2	5872	0.11		
"Gibraltar"	1184716	1179852	0.2	-7	90	114	0.03	-5	2572	0.09		
"Cyprus"	1025985	913587	0.2	3	24	105	0.05	-1	3118	0.09		
"Bosnia and Herzegovina"	972816	-292844	0.2	3	34	94	0.06	3	2228	0.07		
"Pakistan"	892449	-11190	0.1	-4	54	47	0.3	2	4850	0.11		
"Colombia"	845804	-279469	0.1	2	52	51	0.3	4	8915	0.13		
"New Zealand"	807118	602449	0.1	5	30	56	0.2	3	11141	0.09		
"Philippines"	803420	426103	0.1	-1	24	34	0.6	2	4354	0.09		
"Iraq"	776465	-3199500	0.1	4	27	62	0.2	3	4107	0.18		
"Luxembourg"	757736	-104074	0.1	4	6	71	0.1	3	1488	0.14		
"Latvia"	722602	469519	0.1	6	15	77	0.1	7	1575	0.08		
"Estonia"	686477	491283	0.1	5	35	73	0.1	6	2314	0.06		
"Peru"	618691	-72952	0.1	-6	33	54	0.2	3	10420	0.13		
"Bangladesh"	611001	-912247	0.1	-12	34	49	0.3	6	4172	0.15		
"Kazakhstan"	590843	-809848	0.1	-10	-8	58	0.2	6	3017	0.25		
"Jordan"	588546	533617	0.1	-8	24	84	0.08	0	5167	0.07		
"Lebanon"	577957	515443	0.1	-27	-4	97	0.06	-12	3592	0.06		
"Cayman Islands"	561143	535500	0.1	25	59	123	0.03	5	7522	0.35		
"Iran, Islamic Republic of"	533137	321359	0.1	-31	-17	72	0.1	-18	5612	0.13		
"Dominican Republic"	525007	431800	0.1	8	57	67	0.1	5	6446	0.22		
"Turkmenistan"	487719	416273	0.1	35	856	148	0.02	4	3495	0.15		
"Belarus"	480869	359963	0.1	2	23	61	0.2	2	2268	0.23		
"Oman"	469475	332166	0.1	-12	-17	83	0.08	-6	5977	0.08		
"Uzbekistan"	433032	385910	0.1	17	25	74	0.1	16	3412	0.12		
"Macao, China"	432853	425302	0.1	17	50	81	0.09	15		0.17		
"Bahrain"	376686	106989	0.1	10	-22	101	0.05	1	6359	0.08		
"Macedonia, North"	353685	109554	0.1	2	25	103	0.05	8	1348	0.09		
"Moldova, Republic of"	347282	76289	0.1	5	26	118	0.03	8	2317	0.08		
"Angola"	330395	189712	0.1	0	53	100	0.05	-11	7692	0.06		
"Ecuador"	317620	-238260	0.1	0	65	69	0.1	3	9174	0.12		
"Azerbaijan"	311049	-7299062	0.1	1	0	98	0.05	5	3712	0.09		
"Senegal"	303835	192570	0	3	10	110	0.04	4	6632	0.05		
"Sri Lanka"	294870	-265090	0	-2	21	85	0.08	-3	4351	0.16		
"Georgia"	291706	232104	0	5	64	113	0.04	-2	2513	0.09		
"Côte d'Ivoire"	287606	-1365	0	8	33	93	0.06	9	6793	0.08		
"Panama"	285965	241324	0	-3	54	60	0.2	1	8657	0.12		
"Ghana"	283334	-56943	0	0	18	82	0.08	8	8888	0.18		
"Marshall Islands"	252907	243474	0	57	264	91	0.06	-1	7455	0.18		
"Uruguay"	244931	-149935	0	-3	7	95	0.06	0	9836	0.11		
"Ethiopia"	209036	140362	0	-10	-5	90	0.07	1	6305	0.11		
"Cameroon"	204654	-146976	0	2	52	116	0.03	8	7279	0.14		
"Kenya"	191360	139720	0	2	-47	80	0.09	2	6680	0.08		
"Cuba"	189674	164010	0	-14	-11	145	0.02	-13	7148	0.09		
"Guatemala"	178321	-146452	0	4	30	68	0.1	7	5828	0.15		
"Costa Rica"	177011	-79715	0	0	20	86	0.08	3	6987	0.22		
"Montenegro"	169445	102336	0	-3	26	152	0.01	0	2382	0.08		
"Armenia"	164162	102219	0	4	5	131	0.02	6	3323	0.15		
"British Virgin Islands"	159031	138011	0	4	-49	156	0.01	8	7242	0.27		
"Iceland"	152718	136496	0	0	28	112	0.04	-1	4251	0.05		
"Aruba"	150134	149909	0	103	823	175	0	-3	4917	0.3		
"Cambodia"	122614	-247374	0	8	45	66	0.1	16	2651	0.18		
"Honduras"	122574	-6422	0	12	129	99	0.05	4	6104	0.16		
"Italy"	120912	120885	0	6	121	11	2.5	2	2891	0.06		
"Tanzania, United Republic of"	116536	74943	0	13	-31	102	0.05	7	6633	0.1		
"Congo"	111474	-249777	0	1	20	154	0.01	-18	6851	0.07		
"Venezuela, Bolivarian Republic of"	105916	-38895	0	-7	-34	117	0.03	-11	8121	0.16		
"Mauritius"	99953	9260	0	0	20	133	0.02	-2	7320	0.08		
"Togo"	99100	82755	0	19	-20	153	0.01	10	7318	0.08		
"Sudan"	98397	-104006	0	-11	4	122	0.03	-2		0.13		
"Paraguay"	93823	27736	0	-3	26	92	0.06	0	7311	0.15		
"Mozambique"	91441	-385433	0	17	3	108	0.04	8	6196	0.1		
"Guinea"	88534	82882	0	8	6	135	0.02	7	9140	0.19		
"Yemen"	84549	70175	0	10	-2	107	0.04	11	5706	0.11		
"El Salvador"	79082	43815	0	15	-48	88	0.07	9	4914	0.15		
"Bolivia, Plurinational State of"	77348	-190033	0	-15	59	106	0.04	-3	7978	0.11		
"Burkina Faso"	77170	37730	0	7	-5	136	0.02	5	6109	0.05		
"Mali"	76255	74781	0	-4	26	141	0.02	9	5008	0.1		
"Uganda"	73223	-124797	0	2	2	132	0.02	11	5788	0.09		
"Trinidad and Tobago"	72402	12131	0	0	-1	128	0.03	-1	6663	0.26		
"Syrian Arab Republic"	69849	63288	0	-13	2	139	0.02	-3	2496	0.27		
"Benin"	62039	59213	0	9	31	149	0.01	-2	6481	0.07		
"Guyana"	58219	37792	0	78	116	144	0.02	13	11175	0.21		
"Gabon"	48482	-121766	0	-2	15	158	0.01	-2	7114	0.11		
"Mongolia"	44771	5264	0	-3	45	125	0.03	8	3267	0.22		
"Myanmar"	44700	-245255	0	-19	-35	79	0.10	-1	2536	0.25		
"Palestine, State of"	44172	41711	0	12	39	176	0	8	3026	0.1		
"Congo, Democratic Republic of the"	43057	-443668	0	-4	0	111	0.04	13	6479	0.14		
"New Caledonia"	41966	41701	0	2	-23	155	0.01	-1	11471	0.2		
"Jamaica"	38309	32632	0	-10	47	137	0.02	-2	6759	0.22		
"Somalia"	37673	36517	0	-3	25	150	0.01	9	5305	0.16		
"French Polynesia"	37489	37020	0	10	10	165	0	1	13300	0.24		
"Maldives"	36849	28667	0	-7	52	151	0.01	-3	4478	0.08		
"Seychelles"	36542	-8876	0	8	7	187	0	-7	6627	0.06		
"Mauritania"	36332	-169367	0	-2	49	146	0.02	1	5817	0.07		
"Liberia"	34794	31451	0	-10	354	87	0.07	17	11608	0.19		
"Zambia"	33189	-34472	0	11	40	119	0.03	-9	5447	0.14		
"Madagascar"	32892	-2523	0	1	-24	138	0.02	2	7339	0.08		
"Belize"	32813	6890	0	29	198	179	0	1	5006	0.18		
"Andorra"	30744	30269	0	-1	39	166	0	2	610	0.52		
"Kyrgyzstan"	26868	24151	0	-1	31	127	0.03	1	2892	0.2		
"Papua New Guinea"	26320	-98503	0	2	-15	143	0.02	-1	4973	0.17		
"Equatorial Guinea"	25273	-96640	0	-8	10	182	0	2	6008	0.11		
"Niger"	25087	24745	0	2	85	162	0	13	5715	0.09		
"Cook Islands"	23077	23022	0	-20	25161	206	0	-4	9417	0.22		
"Cabo Verde"	23022	15294	0	-10	-30	181	0	4	5196	0.21		
"Nicaragua"	21559	-32246	0	-12	52	104	0.05	4	5888	0.1		
"Tajikistan"	21521	-59316	0	7	-40	142	0.02	9	2803	0.17		
"Nepal"	19331	11762	0	-7	33	96	0.06	8	1856	0.56		
"Brunei Darussalam"	19288	18691	0	0	-13	109	0.04	26	5185	0.11		
"Rwanda"	18899	11149	0	3	103	159	0.01	17	5437	0.08		
"Djibouti"	18743	18547	0	-8	-2	130	0.02	5	6387	0.22		
"Zimbabwe"	18210	-107034	0	-5	17	134	0.02	7	3754	0.39		
"Namibia"	15288	-83968	0	-33	60	126	0.03	-1	3757	0.37		
"Bahamas"	15103	14199	0	-41	-40	115	0.03	-8	6248	0.19		
"Gambia"	14911	11549	0	25	226	167	0	7	8260	0.14		
"Haiti"	12932	11330	0	-15	-50	140	0.02	0	6340	0.18		
"Lao People's Democratic Republic"	12798	-4705	0	-9	34	129	0.02	-1	2572	0.28		
"United States Minor Outlying Islands"	12278	10451	0	0	0	177	0	0		0.21		
"Barbados"	12242	-11031	0	5	74	161	0	0	4992	0.21		
"Dominica"	11985	11832	0	37	34	185	0	8	4908	0.65		
"Eritrea"	11804	9797	0	-15	-61	203	0	-8	6303	0.14		
"Afghanistan"	11696	-47327	0	0	-64	147	0.02	-8	2990	0.12		
"Antigua and Barbuda"	11645	11434	0	1	66	174	0	1	6334	0.27		
"Fiji"	11076	-5177	0	4	109	157	0.01	-7	7384	0.12		
"Malawi"	10276	3390	0	-11	5	168	0	0	5169	0.15		
"Chad"	9549	9461	0	2	59	184	0	13	6931	0.16		
"Bermuda"	8583	8421	0	-16	23	169	0	-3	8006	0.28		
"Suriname"	7725	2616	0	-13	-20	173	0	1	9050	0.14		
"Sierra Leone"	7547	7000	0	-6	41	170	0	10	8820	0.13		
"Central African Republic"	7447	-9743	0	-10	2	199	0	7	6606	0.08		
"Botswana"	6194	5461	0	-9	-2	124	0.03	2	2968	0.52		
"Turks and Caicos Islands"	5649	5615	0	14	44	193	0	-3	3491	0.74		
"Saint Vincent and the Grenadines"	4451	4370	0	-33	53	196	0	3	6798	0.14		
"Eswatini"	4427	2704	0	-38	902	160	0	1	1597	0.74		
"Burundi"	4104	2695	0	2	18	188	0	13	4755	0.14		
"Saint Lucia"	3743	3723	0	0	-20	171	0	-10	5321	0.23		
"Faroe Islands"	3719	3645	0	-4	-16	172	0	7	1404	0.27		
"Bhutan"	2738	-3425	0	8	40	178	0	15	1733	0.63		
"Guinea-Bissau"	1901	1798	0	-9	-8	195	0	2	5802	0.16		
"Curaçao"	1666	1666	0	-25	-74	163	0	-12		0.24		
"Grenada"	1595	1075	0	-17	-49	191	0	-1	4157	0.2		
"Comoros"	1035	979	0	-19	-61	192	0	18	5731	0.22		
"Lesotho"	1018	1013	0	2	-39	164	0	-2	1590	0.78		
"Sint Maarten (Dutch part)"	888	888	0	-45	-89	213	0	-7		0.43		
"Saint Kitts and Nevis"	840	-10995	0	-35	16	201	0	-12	5440	0.41		
"Sao Tome and Principe"	721	629	0	17	-32	210	0	-3	6155	0.31		
"Vanuatu"	711	659	0	-17	6	198	0	-2	6248	0.13		
"Anguilla"	467	464	0	-10	93	212	0	-5	4397	0.58		
"Saint Pierre and Miquelon"	381	376	0	15	70	215	0	10	3489	0.45		
"Montserrat"	334	306	0	18	119	224	0	-7		0.49		
"Tokelau"	319	267	0	12	688	226	0	-33	11566	0.22		
"Saint Helena"	290	-62	0	54	532	217	0	6	7699	0.31		
"Samoa"	279	258	0	-33	18	197	0	-1	6816	0.13		
"Greenland"	230	228	0	-71	9	180	0	6	3482	0.44		
"Micronesia, Federated States of"	162	140	0	59		208	0	-8	7109	0.19		
"Timor-Leste"	131	89	0	-42	494	183	0	12	3988	0.22		
"Pitcairn"	116	116	0	-18		227	0	-5		0.23		
"Tonga"	84	65	0	25	-65	202	0	4	5771	0.16		
"Kiribati"	69	-156	0	33	707	205	0	10	5936	0.13		
"Nauru"	49	15	0	130	59	211	0	18	6014	0.27		
"Korea, Democratic People's Republic of"	39	33	0	-36	-77	200	0	-49	1470	0.87		
"Solomon Islands"	37	-41343	0	-29	-74	190	0	0	6301	0.17		
"French Southern and Antarctic Territories"	13	10	0	-30	-77	214	0	14		0.12		
"Wallis and Futuna Islands"	9	9	0	-47	-87	218	0	7	10103	0.24		
"Falkland Islands (Malvinas)"	8	-620	0	-32	-37	207	0	2	12325	0.46		
"Northern Mariana Islands"	5	-1	0	-77	-98	216	0	-19	3811	0.2		
"Tuvalu"	3	3	0	-51	-97	204	0	17	6386	0.21		
"Niue"	3	-1	0	-25		223	0	7	11410	0.48		
"Christmas Island"	2	-3	0			220	0	3		0.69		
"Palau"	2	-621	0	-43	-100	209	0	1	6232	0.16		
"Cocos (Keeling) Islands"		-178				225	0	8		0.74		
"South Sudan"		-88715				194	0	12		0.25		
"Free Zones"						186	0	-34		0.92		
"Bonaire, Sint Eustatius and Saba"						189	0	20		0.19		
"British Indian Ocean Territory"						219	0	-9		0.67		
"Western Sahara"						221	0	-16	12469	0.9		
"Norfolk Island"						222	0	1	5454	0.24		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
