Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Lebanon's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Lebanon (%)	
"Denmark"	4338	-142612	0.2	10	135	35	0.6	5	2182	0.08		
"Pakistan"	4307	-7273	0.2	-3	39	47	0.3	2	4850	0.11		
"Romania"	4034	-164559	0.2	3	95	37	0.5	6	1891	0.07		
"Zambia"	4001	3867	0.2	-10	523	119	0.03	-9	5447	0.14		
"Tanzania, United Republic of"	3505	2282	0.2	-1	13	102	0.05	7	6633	0.1		
"Austria"	3385	-23803	0.2	-5	13	27	1	3	1514	0.18		
"Taipei, Chinese"	3119	-26499	0.1	-10	2	17	1.7	8	5007	0.1		
"Czech Republic"	3075	-24248	0.1	15	44	28	1	4	2987	0.1		
"Ireland"	2157	-31762	0.1	4	139	36	0.5	4	3265	0.1		
"Mozambique"	2151	1876	0.1	-31	88	108	0.04	8	6196	0.1		
"South Africa"	1967	-5769	0.1	-12	24	41	0.4	-1	9230	0.07		
"Georgia"	1766	678	0.1	32	373	113	0.04	-2	2513	0.09		
"Indonesia"	1663	-50473	0.1	-17	-13	30	0.9	2	5872	0.11		
"Dominican Republic"	1594	1500	0.1	38	4903	67	0.1	5	6446	0.22		
"Azerbaijan"	1585	-32396	0.1	0	448	98	0.05	5	3712	0.09		
"Slovenia"	1504	-27079	0.1	-10	206	55	0.2	10	2404	0.07		
"Singapore"	1410	-14867	0.1	15	-58	16	1.9	3	5773	0.07		
"Hungary"	1370	-21631	0.1	23	528	33	0.6	6	2180	0.09		
"Mauritius"	1203	1099	0.1	57	481	133	0.02	-2	7320	0.08		
"Finland"	1114	-11110	0.1	0	46	44	0.4	3	2842	0.07		
"Ethiopia"	1102	-303	0	-19	73	90	0.07	1	6305	0.11		
"New Zealand"	891	-2270	0	-8	-25	56	0.2	3	11141	0.09		
"Mexico"	866	-435	0	-4	-33	13	2.3	2	7039	0.24		
"Armenia"	861	-895	0	-4	12	131	0.02	6	3323	0.15		
"Thailand"	852	-101323	0	-31	-63	23	1.2	2	4905	0.09		
"Uzbekistan"	823	21	0	638	396	74	0.1	16	3412	0.12		
"Maldives"	815	815	0	-12	-6	151	0.01	-3	4478	0.08		
"Colombia"	774	-33422	0	-4	311	51	0.3	4	8915	0.13		
"Malta"	767	-378	0	-25	51	120	0.03	1	3249	0.08		
"Paraguay"	724	-9772	0	-9	63	92	0.06	0	7311	0.15		
"Madagascar"	675	657	0	144	130	138	0.02	2	7339	0.08		
"Chile"	536	-2064	0	48	104	43	0.4	6	11582	0.13		
"Argentina"	516	-89689	0	2	119	50	0.3	-5	10631	0.1		
"Mauritania"	451	451	0	25	-77	146	0.02	1	5817	0.07		
"Serbia"	399	-8856	0	-33	57	65	0.2	9	2497	0.06		
"Grenada"	347	347	0			191	0	-1	4157	0.2		
"Philippines"	311	-876	0	12	148	34	0.6	2	4354	0.09		
"Brunei Darussalam"	272	272	0	-3	262	109	0.04	26	5185	0.11		
"Latvia"	242	-1208	0	1	-49	77	0.1	7	1575	0.08		
"Moldova, Republic of"	211	-24620	0	-23	-15	118	0.03	8	2317	0.08		
"Luxembourg"	207	-426	0	26	-22	71	0.1	3	1488	0.14		
"Ecuador"	133	-548	0	7	-61	69	0.1	3	9174	0.12		
"Slovakia"	122	-10318	0	-67	213	38	0.5	4	2664	0.07		
"Lithuania"	117	-4229	0	1	-37	59	0.2	7	1630	0.07		
"Bosnia and Herzegovina"	104	-82	0	30	80	94	0.06	3	2228	0.07		
"Iceland"	97	87	0	17	132	112	0.04	-1	4251	0.05		
"Macao, China"	96	96	0	44	146	81	0.09	15		0.17		
"Nicaragua"	71	-1144	0	91	194	104	0.05	4	5888	0.1		
"Montenegro"	61	-667	0	11	-64	152	0.01	0	2382	0.08		
"Fiji"	53	50	0	-37	226	157	0.01	-7	7384	0.12		
"Bolivia, Plurinational State of"	40	-313	0	138	-45	106	0.04	-3	7978	0.11		
"Peru"	40	-1147	0	-46	-94	54	0.2	3	10420	0.13		
"Honduras"	37	-125	0	-8	-56	99	0.05	4	6104	0.16		
"Estonia"	35	-955	0	-24	6	73	0.1	6	2314	0.06		
"Guatemala"	34	-2612	0	148	-46	68	0.1	7	5828	0.15		
"Kyrgyzstan"	32	32	0	62	437	127	0.03	1	2892	0.2		
"Croatia"	17	-16855	0	-47	-90	63	0.2	6	1362	0.07		
"Belize"	12	9	0	-28	31	179	0	1	5006	0.18		
"Comoros"	3	3	0	-53		192	0	18	5731	0.22		
"Cambodia"	1	-945	0	-37		66	0.1	16	2651	0.18		
"Lao People's Democratic Republic"		-2				129	0.02	-1	2572	0.28		
"Guyana"		-13				144	0.02	13	11175	0.21		
"Barbados"		-45				161	0	0	4992	0.21		
"Viet Nam"						19	1.5	8	3535	0.19		
"United Arab Emirates"						29	0.9	-2	5715	0.08		
"Israel"						42	0.4	4	5483	0.07		
"Bangladesh"						49	0.3	6	4172	0.15		
"Kazakhstan"						58	0.2	6	3017	0.25		
"Panama"						60	0.2	1	8657	0.12		
"Iraq"						62	0.2	3	4107	0.18		
"Algeria"						64	0.2	-8	4584	0.07		
"Qatar"						70	0.1	0	5745	0.06		
"Iran, Islamic Republic of"						72	0.1	-18	5612	0.13		
"Ship stores and bunkers"						75	0.1	-11		0.16		
"Kuwait"						76	0.1	-3	5837	0.07		
"Myanmar"						79	0.10	-1	2536	0.25		
"Ghana"						82	0.08	8	8888	0.18		
"Oman"						83	0.08	-6	5977	0.08		
"Jordan"						84	0.08	0	5167	0.07		
"Sri Lanka"						85	0.08	-3	4351	0.16		
"Costa Rica"						86	0.08	3	6987	0.22		
"Liberia"						87	0.07	17	11608	0.19		
"El Salvador"						88	0.07	9	4914	0.15		
"Libya, State of"						89	0.07	12	3475	0.08		
"Marshall Islands"						91	0.06	-1	7455	0.18		
"Côte d'Ivoire"						93	0.06	9	6793	0.08		
"Uruguay"						95	0.06	0	9836	0.11		
"Nepal"						96	0.06	8	1856	0.56		
"Bahrain"						101	0.05	1	6359	0.08		
"Macedonia, North"						103	0.05	8	1348	0.09		
"Yemen"						107	0.04	11	5706	0.11		
"Congo, Democratic Republic of the"						111	0.04	13	6479	0.14		
"Gibraltar"						114	0.03	-5	2572	0.09		
"Bahamas"						115	0.03	-8	6248	0.19		
"Cameroon"						116	0.03	8	7279	0.14		
"Venezuela, Bolivarian Republic of"						117	0.03	-11	8121	0.16		
"Albania"						121	0.03	6	1886	0.13		
"Sudan"						122	0.03	-2		0.13		
"Cayman Islands"						123	0.03	5	7522	0.35		
"Botswana"						124	0.03	2	2968	0.52		
"Mongolia"						125	0.03	8	3267	0.22		
"Namibia"						126	0.03	-1	3757	0.37		
"Trinidad and Tobago"						128	0.03	-1	6663	0.26		
"Djibouti"						130	0.02	5	6387	0.22		
"Uganda"						132	0.02	11	5788	0.09		
"Zimbabwe"						134	0.02	7	3754	0.39		
"Guinea"						135	0.02	7	9140	0.19		
"Jamaica"						137	0.02	-2	6759	0.22		
"Syrian Arab Republic"						139	0.02	-3	2496	0.27		
"Haiti"						140	0.02	0	6340	0.18		
"Mali"						141	0.02	9	5008	0.1		
"Tajikistan"						142	0.02	9	2803	0.17		
"Papua New Guinea"						143	0.02	-1	4973	0.17		
"Cuba"						145	0.02	-13	7148	0.09		
"Afghanistan"						147	0.02	-8	2990	0.12		
"Turkmenistan"						148	0.02	4	3495	0.15		
"Somalia"						150	0.01	9	5305	0.16		
"New Caledonia"						155	0.01	-1	11471	0.2		
"British Virgin Islands"						156	0.01	8	7242	0.27		
"Gabon"						158	0.01	-2	7114	0.11		
"Rwanda"						159	0.01	17	5437	0.08		
"Eswatini"						160	0	1	1597	0.74		
"Niger"						162	0	13	5715	0.09		
"Curaçao"						163	0	-12		0.24		
"Lesotho"						164	0	-2	1590	0.78		
"French Polynesia"						165	0	1	13300	0.24		
"Andorra"						166	0	2	610	0.52		
"Gambia"						167	0	7	8260	0.14		
"Malawi"						168	0	0	5169	0.15		
"Bermuda"						169	0	-3	8006	0.28		
"Sierra Leone"						170	0	10	8820	0.13		
"Saint Lucia"						171	0	-10	5321	0.23		
"Faroe Islands"						172	0	7	1404	0.27		
"Suriname"						173	0	1	9050	0.14		
"Antigua and Barbuda"						174	0	1	6334	0.27		
"Aruba"						175	0	-3	4917	0.3		
"Palestine, State of"						176	0	8	3026	0.1		
"United States Minor Outlying Islands"						177	0	0		0.21		
"Bhutan"						178	0	15	1733	0.63		
"Greenland"						180	0	6	3482	0.44		
"Cabo Verde"						181	0	4	5196	0.21		
"Equatorial Guinea"						182	0	2	6008	0.11		
"Timor-Leste"						183	0	12	3988	0.22		
"Chad"						184	0	13	6931	0.16		
"Dominica"						185	0	8	4908	0.65		
"Free Zones"						186	0	-34		0.92		
"Seychelles"						187	0	-7	6627	0.06		
"Burundi"						188	0	13	4755	0.14		
"Bonaire, Sint Eustatius and Saba"						189	0	20		0.19		
"Solomon Islands"						190	0	0	6301	0.17		
"Turks and Caicos Islands"						193	0	-3	3491	0.74		
"South Sudan"						194	0	12		0.25		
"Guinea-Bissau"						195	0	2	5802	0.16		
"Saint Vincent and the Grenadines"						196	0	3	6798	0.14		
"Samoa"						197	0	-1	6816	0.13		
"Vanuatu"						198	0	-2	6248	0.13		
"Central African Republic"						199	0	7	6606	0.08		
"Korea, Democratic People's Republic of"						200	0	-49	1470	0.87		
"Saint Kitts and Nevis"						201	0	-12	5440	0.41		
"Tonga"						202	0	4	5771	0.16		
"Eritrea"						203	0	-8	6303	0.14		
"Tuvalu"						204	0	17	6386	0.21		
"Kiribati"						205	0	10	5936	0.13		
"Cook Islands"						206	0	-4	9417	0.22		
"Falkland Islands (Malvinas)"						207	0	2	12325	0.46		
"Micronesia, Federated States of"						208	0	-8	7109	0.19		
"Palau"						209	0	1	6232	0.16		
"Sao Tome and Principe"						210	0	-3	6155	0.31		
"Nauru"						211	0	18	6014	0.27		
"Anguilla"						212	0	-5	4397	0.58		
"Sint Maarten (Dutch part)"						213	0	-7		0.43		
"French Southern and Antarctic Territories"						214	0	14		0.12		
"Saint Pierre and Miquelon"						215	0	10	3489	0.45		
"Northern Mariana Islands"						216	0	-19	3811	0.2		
"Saint Helena"						217	0	6	7699	0.31		
"Wallis and Futuna Islands"						218	0	7	10103	0.24		
"British Indian Ocean Territory"						219	0	-9		0.67		
"Christmas Island"						220	0	3		0.69		
"Western Sahara"						221	0	-16	12469	0.9		
"Norfolk Island"						222	0	1	5454	0.24		
"Niue"						223	0	7	11410	0.48		
"Montserrat"						224	0	-7		0.49		
"Cocos (Keeling) Islands"						225	0	8		0.74		
"Tokelau"						226	0	-33	11566	0.22		
"Pitcairn"						227	0	-5		0.23		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
