Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Belarus's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Belarus (%)	
"Mauritius"	91	-790	0	-37	-30	133	0.02	-2	7320	0.08		
"Bolivia, Plurinational State of"	90	-1144	0	12		106	0.04	-3	7978	0.11		
"El Salvador"	88	36	0	-27		88	0.07	9	4914	0.15		
"Zambia"	76	70	0	-48	138	119	0.03	-9	5447	0.14		
"Bahamas"	74	74	0	183	37	115	0.03	-8	6248	0.19		
"Paraguay"	71	37	0	-68	-93	92	0.06	0	7311	0.15		
"Uruguay"	65	-2356	0	-65	-100	95	0.06	0	9836	0.11		
"Burundi"	64	-38	0		14	188	0	13	4755	0.14		
"Malta"	64	-832	0	-48	64	120	0.03	1	3249	0.08		
"Gambia"	61	-329	0	-29		167	0	7	8260	0.14		
"Maldives"	58	50	0	96		151	0.01	-3	4478	0.08		
"Rwanda"	42	-154	0		-49	159	0.01	17	5437	0.08		
"Niger"	32	31	0	23	-88	162	0	13	5715	0.09		
"Gabon"	28	-13	0	-45	-84	158	0.01	-2	7114	0.11		
"Faroe Islands"	28	-25841	0			172	0	7	1404	0.27		
"Madagascar"	27	-47	0	-45	-86	138	0.02	2	7339	0.08		
"Lao People's Democratic Republic"	23	-64	0		229	129	0.02	-1	2572	0.28		
"Trinidad and Tobago"	18	-100	0	-17	-77	128	0.03	-1	6663	0.26		
"Mozambique"	13	-43	0	-51	-92	108	0.04	8	6196	0.1		
"Somalia"	6	6	0		-98	150	0.01	9	5305	0.16		
"Botswana"	1	1	0			124	0.03	2	2968	0.52		
"Chad"	1	1	0	-68		184	0	13	6931	0.16		
"Samoa"	1	1	0	-59		197	0	-1	6816	0.13		
"Papua New Guinea"	1	0	0	-84		143	0.02	-1	4973	0.17		
"Antigua and Barbuda"	1	-12	0			174	0	1	6334	0.27		
"New Caledonia"		-1				155	0.01	-1	11471	0.2		
"Belize"		-1				179	0	1	5006	0.18		
"Cabo Verde"		-1				181	0	4	5196	0.21		
"Seychelles"		-1				187	0	-7	6627	0.06		
"Eritrea"		-1				203	0	-8	6303	0.14		
"Tuvalu"		-1				204	0	17	6386	0.21		
"Niue"		-1				223	0	7	11410	0.48		
"Macao, China"		-2				81	0.09	15		0.17		
"Dominica"		-2				185	0	8	4908	0.65		
"Guinea-Bissau"		-2				195	0	2	5802	0.16		
"Saint Kitts and Nevis"		-2				201	0	-12	5440	0.41		
"Suriname"		-3				173	0	1	9050	0.14		
"Grenada"		-3				191	0	-1	4157	0.2		
"Saint Helena"		-3				217	0	6	7699	0.31		
"Korea, Democratic People's Republic of"		-4				200	0	-49	1470	0.87		
"Nauru"		-5				211	0	18	6014	0.27		
"Tokelau"		-8				226	0	-33	11566	0.22		
"Guyana"		-11				144	0.02	13	11175	0.21		
"Haiti"		-12				140	0.02	0	6340	0.18		
"Cayman Islands"		-22				123	0.03	5	7522	0.35		
"Jamaica"		-45				137	0.02	-2	6759	0.22		
"Pitcairn"		-49				227	0	-5		0.23		
"Namibia"		-64				126	0.03	-1	3757	0.37		
"Eswatini"		-106				160	0	1	1597	0.74		
"Barbados"		-164				161	0	0	4992	0.21		
"Greenland"		-2371				180	0	6	3482	0.44		
"Europe Othr. Nes"		-20582										
"Ship stores and bunkers"						75	0.1	-11		0.16		
"Marshall Islands"						91	0.06	-1	7455	0.18		
"Gibraltar"						114	0.03	-5	2572	0.09		
"British Virgin Islands"						156	0.01	8	7242	0.27		
"Fiji"						157	0.01	-7	7384	0.12		
"Curaçao"						163	0	-12		0.24		
"Lesotho"						164	0	-2	1590	0.78		
"French Polynesia"						165	0	1	13300	0.24		
"Bermuda"						169	0	-3	8006	0.28		
"Saint Lucia"						171	0	-10	5321	0.23		
"Aruba"						175	0	-3	4917	0.3		
"United States Minor Outlying Islands"						177	0	0		0.21		
"Bhutan"						178	0	15	1733	0.63		
"Timor-Leste"						183	0	12	3988	0.22		
"Free Zones"						186	0	-34		0.92		
"Bonaire, Sint Eustatius and Saba"						189	0	20		0.19		
"Solomon Islands"						190	0	0	6301	0.17		
"Comoros"						192	0	18	5731	0.22		
"Turks and Caicos Islands"						193	0	-3	3491	0.74		
"South Sudan"						194	0	12		0.25		
"Saint Vincent and the Grenadines"						196	0	3	6798	0.14		
"Vanuatu"						198	0	-2	6248	0.13		
"Central African Republic"						199	0	7	6606	0.08		
"Tonga"						202	0	4	5771	0.16		
"Kiribati"						205	0	10	5936	0.13		
"Cook Islands"						206	0	-4	9417	0.22		
"Falkland Islands (Malvinas)"						207	0	2	12325	0.46		
"Micronesia, Federated States of"						208	0	-8	7109	0.19		
"Palau"						209	0	1	6232	0.16		
"Sao Tome and Principe"						210	0	-3	6155	0.31		
"Anguilla"						212	0	-5	4397	0.58		
"Sint Maarten (Dutch part)"						213	0	-7		0.43		
"French Southern and Antarctic Territories"						214	0	14		0.12		
"Saint Pierre and Miquelon"						215	0	10	3489	0.45		
"Northern Mariana Islands"						216	0	-19	3811	0.2		
"Wallis and Futuna Islands"						218	0	7	10103	0.24		
"British Indian Ocean Territory"						219	0	-9		0.67		
"Christmas Island"						220	0	3		0.69		
"Western Sahara"						221	0	-16	12469	0.9		
"Norfolk Island"						222	0	1	5454	0.24		
"Montserrat"						224	0	-7		0.49		
"Cocos (Keeling) Islands"						225	0	8		0.74		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
