Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Cambodia's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Cambodia (%)	
"Dominican Republic"	2524	2121	0	123	1448	67	0.1	5	6446	0.22		
"El Salvador"	2387	2334	0	67	40	88	0.07	9	4914	0.15		
"Pakistan"	2188	-37385	0	59	-10	47	0.3	2	4850	0.11		
"Jordan"	2045	1568	0	-9	69	84	0.08	0	5167	0.07		
"Croatia"	1926	812	0	-37	-14	63	0.2	6	1362	0.07		
"Paraguay"	1687	1162	0	4	111	92	0.06	0	7311	0.15		
"Ghana"	1676	1456	0	6	-27	82	0.08	8	8888	0.18		
"Eswatini"	1322	1220	0	33	114	160	0	1	1597	0.74		
"Costa Rica"	1123	1110	0	36	15	86	0.08	3	6987	0.22		
"Lithuania"	1096	66	0	8	-5	59	0.2	7	1630	0.07		
"Ecuador"	1027	1011	0	1	264	69	0.1	3	9174	0.12		
"Lebanon"	946	945	0	-18	261	97	0.06	-12	3592	0.06		
"Bulgaria"	897	-2740	0	-45	5	57	0.2	6	2237	0.05		
"Macao, China"	837	807	0	-11	10	81	0.09	15		0.17		
"Georgia"	768	713	0			113	0.04	-2	2513	0.09		
"Togo"	559	558	0	33	-31	153	0.01	10	7318	0.08		
"Cyprus"	503	-319	0	7	-17	105	0.05	-1	3118	0.09		
"Tunisia"	498	-134	0	60	372	78	0.10	-1	3411	0.06		
"Egypt"	487	-995	0	-14	-36	46	0.3	-1	5219	0.05		
"Korea, Democratic People's Republic of"	453	392	0		873	200	0	-49	1470	0.87		
"Madagascar"	415	-1645	0	39	-75	138	0.02	2	7339	0.08		
"Papua New Guinea"	385	378	0	-8	-68	143	0.02	-1	4973	0.17		
"Qatar"	324	-2117	0	70	-42	70	0.1	0	5745	0.06		
"Bolivia, Plurinational State of"	304	304	0	-5	56	106	0.04	-3	7978	0.11		
"Kuwait"	304	234	0	-14	13	76	0.1	-3	5837	0.07		
"French Polynesia"	273	273	0	69	121	165	0	1	13300	0.24		
"Latvia"	259	-2184	0	-40	8	77	0.1	7	1575	0.08		
"Trinidad and Tobago"	251	251	0	142	81	128	0.03	-1	6663	0.26		
"Kenya"	248	200	0	-11	13	80	0.09	2	6680	0.08		
"Tanzania, United Republic of"	237	-92	0	-52		102	0.05	7	6633	0.1		
"Curaçao"	219	214	0	160	986	163	0	-12		0.24		
"Haiti"	203	113	0	-8	456	140	0.02	0	6340	0.18		
"Senegal"	184	184	0	57	-72	110	0.04	4	6632	0.05		
"Oman"	179	-1925	0	73	4369	83	0.08	-6	5977	0.08		
"Nigeria"	153	-204	0	-6	-67	53	0.2	17	7792	0.1		
"Guatemala"	135	-68	0	-19	282	68	0.1	7	5828	0.15		
"Uganda"	130	129	0	117	200	132	0.02	11	5788	0.09		
"Bosnia and Herzegovina"	122	113	0	-18	-72	94	0.06	3	2228	0.07		
"Libya, State of"	112	112	0	-36	-69	89	0.07	12	3475	0.08		
"Benin"	103	103	0	-54		149	0.01	-2	6481	0.07		
"Fiji"	100	-334	0	52	669	157	0.01	-7	7384	0.12		
"Moldova, Republic of"	94	89	0			118	0.03	8	2317	0.08		
"Mali"	86	65	0	7	-18	141	0.02	9	5008	0.1		
"Congo"	76	76	0	28	-87	154	0.01	-18	6851	0.07		
"Venezuela, Bolivarian Republic of"	73	-1887	0	-42		117	0.03	-11	8121	0.16		
"Namibia"	72	65	0	-8	-5	126	0.03	-1	3757	0.37		
"Liberia"	67	67	0		672	87	0.07	17	11608	0.19		
"Malawi"	54	-1193	0	98		168	0	0	5169	0.15		
"Honduras"	46	-343	0	-2	199	99	0.05	4	6104	0.16		
"Algeria"	45	-19	0		39	64	0.2	-8	4584	0.07		
"Mongolia"	41	34	0	71	-80	125	0.03	8	3267	0.22		
"Cuba"	40	-263	0		153	145	0.02	-13	7148	0.09		
"Guyana"	36	36	0			144	0.02	13	11175	0.21		
"Greenland"	36	36	0	-24		180	0	6	3482	0.44		
"Cameroon"	35	25	0	-6	-55	116	0.03	8	7279	0.14		
"Antigua and Barbuda"	30	30	0	-5		174	0	1	6334	0.27		
"Iraq"	29	27	0	-50	-79	62	0.2	3	4107	0.18		
"Iceland"	26	26	0	-29		112	0.04	-1	4251	0.05		
"Rwanda"	24	14	0	49		159	0.01	17	5437	0.08		
"Equatorial Guinea"	22	22	0			182	0	2	6008	0.11		
"Belize"	21	21	0	0	-88	179	0	1	5006	0.18		
"Palau"	21	21	0		-38	209	0	1	6232	0.16		
"Bahrain"	21	19	0	29	-80	101	0.05	1	6359	0.08		
"Kyrgyzstan"	17	17	0	82	-97	127	0.03	1	2892	0.2		
"Dominica"	17	15	0	17	16	185	0	8	4908	0.65		
"Kazakhstan"	17	-119	0		-95	58	0.2	6	3017	0.25		
"Mozambique"	16	-196	0	-27		108	0.04	8	6196	0.1		
"Angola"	15	11	0	24		100	0.05	-11	7692	0.06		
"Sudan"	15	-52	0	-44		122	0.03	-2		0.13		
"Armenia"	12	12	0		-99	131	0.02	6	3323	0.15		
"Tokelau"	12	11	0		-59	226	0	-33	11566	0.22		
"Maldives"	11	-3	0	-21	94	151	0.01	-3	4478	0.08		
"Guinea"	9	9	0	-13	-99	135	0.02	7	9140	0.19		
"Azerbaijan"	7	7	0	156	-97	98	0.05	5	3712	0.09		
"Vanuatu"	7	7	0			198	0	-2	6248	0.13		
"Central African Republic"	6	6	0	89	-92	199	0	7	6606	0.08		
"Mauritania"	5	5	0	-43	140	146	0.02	1	5817	0.07		
"New Caledonia"	5	5	0	-53		155	0.01	-1	11471	0.2		
"United States Minor Outlying Islands"	4	-72	0	-45	-88	177	0	0		0.21		
"Ethiopia"	4	-696	0	-55	-93	90	0.07	1	6305	0.11		
"Nepal"	3	-120	0	-3	-93	96	0.06	8	1856	0.56		
"Albania"	2	-5	0	-66		121	0.03	6	1886	0.13		
"Saint Pierre and Miquelon"	1	1	0			215	0	10	3489	0.45		
"Niger"		-1				162	0	13	5715	0.09		
"Cabo Verde"		-1				181	0	4	5196	0.21		
"Saint Lucia"		-4				171	0	-10	5321	0.23		
"Iran, Islamic Republic of"		-6				72	0.1	-18	5612	0.13		
"Turks and Caicos Islands"		-11				193	0	-3	3491	0.74		
"Marshall Islands"		-12				91	0.06	-1	7455	0.18		
"Yemen"		-18				107	0.04	11	5706	0.11		
"Turkmenistan"		-35				148	0.02	4	3495	0.15		
"Macedonia, North"		-36				103	0.05	8	1348	0.09		
"Norfolk Island"		-329				222	0	1	5454	0.24		
"Nicaragua"		-495				104	0.05	4	5888	0.1		
"Uzbekistan"		-822				74	0.1	16	3412	0.12		
"Zimbabwe"		-863				134	0.02	7	3754	0.39		
"Area Nes"		-1601										
"Belarus"		-4037				61	0.2	2	2268	0.23		
"Botswana"		-12981				124	0.03	2	2968	0.52		
"Ship stores and bunkers"						75	0.1	-11		0.16		
"Congo, Democratic Republic of the"						111	0.04	13	6479	0.14		
"Gibraltar"						114	0.03	-5	2572	0.09		
"Bahamas"						115	0.03	-8	6248	0.19		
"Zambia"						119	0.03	-9	5447	0.14		
"Cayman Islands"						123	0.03	5	7522	0.35		
"Djibouti"						130	0.02	5	6387	0.22		
"Burkina Faso"						136	0.02	5	6109	0.05		
"Jamaica"						137	0.02	-2	6759	0.22		
"Syrian Arab Republic"						139	0.02	-3	2496	0.27		
"Tajikistan"						142	0.02	9	2803	0.17		
"Afghanistan"						147	0.02	-8	2990	0.12		
"Somalia"						150	0.01	9	5305	0.16		
"Montenegro"						152	0.01	0	2382	0.08		
"British Virgin Islands"						156	0.01	8	7242	0.27		
"Barbados"						161	0	0	4992	0.21		
"Lesotho"						164	0	-2	1590	0.78		
"Andorra"						166	0	2	610	0.52		
"Gambia"						167	0	7	8260	0.14		
"Bermuda"						169	0	-3	8006	0.28		
"Sierra Leone"						170	0	10	8820	0.13		
"Faroe Islands"						172	0	7	1404	0.27		
"Suriname"						173	0	1	9050	0.14		
"Aruba"						175	0	-3	4917	0.3		
"Palestine, State of"						176	0	8	3026	0.1		
"Bhutan"						178	0	15	1733	0.63		
"Timor-Leste"						183	0	12	3988	0.22		
"Chad"						184	0	13	6931	0.16		
"Free Zones"						186	0	-34		0.92		
"Seychelles"						187	0	-7	6627	0.06		
"Burundi"						188	0	13	4755	0.14		
"Bonaire, Sint Eustatius and Saba"						189	0	20		0.19		
"Solomon Islands"						190	0	0	6301	0.17		
"Grenada"						191	0	-1	4157	0.2		
"Comoros"						192	0	18	5731	0.22		
"South Sudan"						194	0	12		0.25		
"Guinea-Bissau"						195	0	2	5802	0.16		
"Saint Vincent and the Grenadines"						196	0	3	6798	0.14		
"Samoa"						197	0	-1	6816	0.13		
"Saint Kitts and Nevis"						201	0	-12	5440	0.41		
"Tonga"						202	0	4	5771	0.16		
"Eritrea"						203	0	-8	6303	0.14		
"Tuvalu"						204	0	17	6386	0.21		
"Kiribati"						205	0	10	5936	0.13		
"Cook Islands"						206	0	-4	9417	0.22		
"Falkland Islands (Malvinas)"						207	0	2	12325	0.46		
"Micronesia, Federated States of"						208	0	-8	7109	0.19		
"Sao Tome and Principe"						210	0	-3	6155	0.31		
"Nauru"						211	0	18	6014	0.27		
"Anguilla"						212	0	-5	4397	0.58		
"Sint Maarten (Dutch part)"						213	0	-7		0.43		
"French Southern and Antarctic Territories"						214	0	14		0.12		
"Northern Mariana Islands"						216	0	-19	3811	0.2		
"Saint Helena"						217	0	6	7699	0.31		
"Wallis and Futuna Islands"						218	0	7	10103	0.24		
"British Indian Ocean Territory"						219	0	-9		0.67		
"Christmas Island"						220	0	3		0.69		
"Western Sahara"						221	0	-16	12469	0.9		
"Niue"						223	0	7	11410	0.48		
"Montserrat"						224	0	-7		0.49		
"Cocos (Keeling) Islands"						225	0	8		0.74		
"Pitcairn"						227	0	-5		0.23		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
