Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Japan's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Japan (%)	
"Morocco"	434038	239622	0.1	-4	49	52	0.3	4	4316	0.07		
"Romania"	423907	2105	0.1	0	25	37	0.5	6	1891	0.07		
"Guatemala"	373141	238011	0	6	51	68	0.1	7	5828	0.15		
"Slovenia"	368697	273916	0	5	26	55	0.2	10	2404	0.07		
"Dominican Republic"	364363	316788	0	-4	23	67	0.1	5	6446	0.22		
"Ethiopia"	358289	252117	0	-12	-30	90	0.07	1	6305	0.11		
"Estonia"	351824	213378	0	6	22	73	0.1	6	2314	0.06		
"Brunei Darussalam"	331733	-1916998	0	23	97	109	0.04	26	5185	0.11		
"Nigeria"	301003	-86197	0	8	-51	53	0.2	17	7792	0.1		
"Azerbaijan"	259022	243202	0	2	33	98	0.05	5	3712	0.09		
"Zambia"	250883	248890	0	10	117	119	0.03	-9	5447	0.14		
"Bulgaria"	248796	184104	0	17	43	57	0.2	6	2237	0.05		
"Mozambique"	230299	138597	0	10	43	108	0.04	8	6196	0.1		
"Serbia"	207449	90253	0	13	40	65	0.2	9	2497	0.06		
"Honduras"	206235	166077	0	3	72	99	0.05	4	6104	0.16		
"El Salvador"	199485	186534	0	1	64	88	0.07	9	4914	0.15		
"Greece"	198935	-94295	0	-4	20	45	0.3	4	2847	0.05		
"Bolivia, Plurinational State of"	185613	-730484	0	-16	0	106	0.04	-3	7978	0.11		
"Tunisia"	175238	127437	0	-10	3	78	0.10	-1	3411	0.06		
"Lao People's Democratic Republic"	164088	92018	0	5	-7	129	0.02	-1	2572	0.28		
"Uzbekistan"	156217	149067	0	-10	-21	74	0.1	16	3412	0.12		
"Nicaragua"	146809	127491	0	-4	68	104	0.05	4	5888	0.1		
"Senegal"	145958	130323	0	1	33	110	0.04	4	6632	0.05		
"Angola"	139213	48772	0	8	49	100	0.05	-11	7692	0.06		
"Burkina Faso"	130489	125836	0	3	0	136	0.02	5	6109	0.05		
"Belarus"	126856	117799	0	3	-21	61	0.2	2	2268	0.23		
"Mauritania"	125325	-99987	0	3	114	146	0.02	1	5817	0.07		
"Mauritius"	125250	110915	0	-8	0	133	0.02	-2	7320	0.08		
"Iceland"	123600	21591	0	-9	21	112	0.04	-1	4251	0.05		
"Cyprus"	110433	108860	0	8	14	105	0.05	-1	3118	0.09		
"Madagascar"	108832	-130967	0	9	179	138	0.02	2	7339	0.08		
"Togo"	108550	108409	0	7	16	153	0.01	10	7318	0.08		
"Guyana"	107011	105209	0	19	51	144	0.02	13	11175	0.21		
"Lithuania"	103775	11457	0	23	33	59	0.2	7	1630	0.07		
"Paraguay"	102227	58983	0	-5	13	92	0.06	0	7311	0.15		
"Tajikistan"	86757	84722	0	21	85	142	0.02	9	2803	0.17		
"Malta"	86264	-90021	0	2	52	120	0.03	1	3249	0.08		
"Moldova, Republic of"	67445	64240	0	13	20	118	0.03	8	2317	0.08		
"Bosnia and Herzegovina"	67103	66891	0	-1	32	94	0.06	3	2228	0.07		
"Fiji"	65590	33054	0	-14	15	157	0.01	-7	7384	0.12		
"Armenia"	53729	52056	0	1	19	131	0.02	6	3323	0.15		
"Maldives"	41726	36277	0	11	125	151	0.01	-3	4478	0.08		
"Croatia"	40164	-4894	0	3	14	63	0.2	6	1362	0.07		
"Barbados"	36787	36785	0	-3	-21	161	0	0	4992	0.21		
"Latvia"	28951	-59330	0	1	17	77	0.1	7	1575	0.08		
"Kyrgyzstan"	18278	17790	0	-19	-17	127	0.03	1	2892	0.2		
"Montenegro"	16049	15874	0	-20	-6	152	0.01	0	2382	0.08		
"Georgia"	14778	-2046	0	-1	-8	113	0.04	-2	2513	0.09		
"Samoa"	13359	12310	0	-2	-16	197	0	-1	6816	0.13		
"Benin"	7965	7887	0	0	11	149	0.01	-2	6481	0.07		
"Comoros"	7654	7654	0	-1	221	192	0	18	5731	0.22		
"Grenada"	7469	7449	0	-11	-6	191	0	-1	4157	0.2		
"Belize"	3509	1820	0	-13	4	179	0	1	5006	0.18		
"Congo"	1450	-4726	0	5	-83	154	0.01	-18	6851	0.07		
"Viet Nam"						19	1.5	8	3535	0.19		
"United Arab Emirates"						29	0.9	-2	5715	0.08		
"Bangladesh"						49	0.3	6	4172	0.15		
"Kazakhstan"						58	0.2	6	3017	0.25		
"Panama"						60	0.2	1	8657	0.12		
"Iraq"						62	0.2	3	4107	0.18		
"Algeria"						64	0.2	-8	4584	0.07		
"Qatar"						70	0.1	0	5745	0.06		
"Iran, Islamic Republic of"						72	0.1	-18	5612	0.13		
"Ship stores and bunkers"						75	0.1	-11		0.16		
"Kuwait"						76	0.1	-3	5837	0.07		
"Myanmar"						79	0.10	-1	2536	0.25		
"Ghana"						82	0.08	8	8888	0.18		
"Oman"						83	0.08	-6	5977	0.08		
"Jordan"						84	0.08	0	5167	0.07		
"Sri Lanka"						85	0.08	-3	4351	0.16		
"Costa Rica"						86	0.08	3	6987	0.22		
"Liberia"						87	0.07	17	11608	0.19		
