Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Mauritius's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Mauritius (%)	
"Ukraine"	106	-3175	0	-12	200	48	0.3	7	3255	0.06		
"Lebanon"	104	-1099	0	-22	203	97	0.06	-12	3592	0.06		
"Slovenia"	102	-3320	0	8	-29	55	0.2	10	2404	0.07		
"Philippines"	90	-2230	0	-52	-3	34	0.6	2	4354	0.09		
"Serbia"	74	-3081	0	77	664	65	0.2	9	2497	0.06		
"Benin"	68	62	0	50	611	149	0.01	-2	6481	0.07		
"Macao, China"	67	-185	0	89	129	81	0.09	15		0.17		
"Area Nes"	66	66	0									
"Morocco"	37	-6224	0	-50	561	52	0.3	4	4316	0.07		
"Macedonia, North"	34	-38	0	-60	332	103	0.05	8	1348	0.09		
"Jordan"	33	-318	0	-41		84	0.08	0	5167	0.07		
"Mauritania"	31	21	0	67		146	0.02	1	5817	0.07		
"Bosnia and Herzegovina"	29	-299	0	-28	-53	94	0.06	3	2228	0.07		
"French Polynesia"	28	26	0	88	-27	165	0	1	13300	0.24		
"Costa Rica"	26	-99	0	105		86	0.08	3	6987	0.22		
"Venezuela, Bolivarian Republic of"	24	19	0			117	0.03	-11	8121	0.16		
"Nepal"	23	16	0	-30		96	0.06	8	1856	0.56		
"New Caledonia"	21	20	0	-14	-51	155	0.01	-1	11471	0.2		
"Togo"	20	-703	0	-65	1093	153	0.01	10	7318	0.08		
"Zambia"	16	-3695	0	-66	-95	119	0.03	-9	5447	0.14		
"Vanuatu"	14	14	0	196	29	198	0	-2	6248	0.13		
"Gabon"	13	-24	0	-49	-78	158	0.01	-2	7114	0.11		
"Estonia"	10	-157	0		304	73	0.1	6	2314	0.06		
"Luxembourg"	8	-223	0	-10	-23	71	0.1	3	1488	0.14		
"Cabo Verde"	7	7	0		226	181	0	4	5196	0.21		
"Guinea-Bissau"	7	3	0			195	0	2	5802	0.16		
"Ethiopia"	5	-75	0	-61	-89	90	0.07	1	6305	0.11		
"Dominican Republic"	5	-160	0			67	0.1	5	6446	0.22		
"Tunisia"	5	-7612	0	-51	-98	78	0.10	-1	3411	0.06		
"Iraq"	3	3	0			62	0.2	3	4107	0.18		
"Azerbaijan"	3	3	0	28		98	0.05	5	3712	0.09		
"Marshall Islands"	3	-117	0	5		91	0.06	-1	7455	0.18		
"Cambodia"	3	-4397	0	-28	-94	66	0.1	16	2651	0.18		
"British Virgin Islands"	1	1	0			156	0.01	8	7242	0.27		
"Senegal"	1	-11	0	-75		110	0.04	4	6632	0.05		
"Mali"	1	-1238	0	-34		141	0.02	9	5008	0.1		
"Equatorial Guinea"		-1				182	0	2	6008	0.11		
"Saint Kitts and Nevis"		-1				201	0	-12	5440	0.41		
"Nicaragua"		-2				104	0.05	4	5888	0.1		
"Mongolia"		-2				125	0.03	8	3267	0.22		
"Armenia"		-2				131	0.02	6	3323	0.15		
"Nauru"		-2				211	0	18	6014	0.27		
"Saint Lucia"		-4				171	0	-10	5321	0.23		
"Trinidad and Tobago"		-6				128	0.03	-1	6663	0.26		
"El Salvador"		-8				88	0.07	9	4914	0.15		
"Micronesia, Federated States of"		-12				208	0	-8	7109	0.19		
"Belize"		-13				179	0	1	5006	0.18		
"United States Minor Outlying Islands"		-14				177	0	0		0.21		
"Dominica"		-18				185	0	8	4908	0.65		
"Syrian Arab Republic"		-19				139	0.02	-3	2496	0.27		
"Moldova, Republic of"		-22				118	0.03	8	2317	0.08		
"Jamaica"		-25				137	0.02	-2	6759	0.22		
"Georgia"		-33				113	0.04	-2	2513	0.09		
"Cook Islands"		-35				206	0	-4	9417	0.22		
"Haiti"		-37				140	0.02	0	6340	0.18		
"Honduras"		-39				99	0.05	4	6104	0.16		
"Iceland"		-48				112	0.04	-1	4251	0.05		
"Colombia"		-52				51	0.3	4	8915	0.13		
"Papua New Guinea"		-55				143	0.02	-1	4973	0.17		
"Tokelau"		-59				226	0	-33	11566	0.22		
"Guinea"		-72				135	0.02	7	9140	0.19		
"Fiji"		-72				157	0.01	-7	7384	0.12		
"Guatemala"		-74				68	0.1	7	5828	0.15		
"Ecuador"		-76				69	0.1	3	9174	0.12		
"Sierra Leone"		-88				170	0	10	8820	0.13		
"Bolivia, Plurinational State of"		-99				106	0.04	-3	7978	0.11		
"Kazakhstan"		-100				58	0.2	6	3017	0.25		
"Solomon Islands"		-131				190	0	0	6301	0.17		
"Lao People's Democratic Republic"		-140				129	0.02	-1	2572	0.28		
"Cuba"		-152				145	0.02	-13	7148	0.09		
"Algeria"		-153				64	0.2	-8	4584	0.07		
"Suriname"		-613				173	0	1	9050	0.14		
"Chad"		-753				184	0	13	6931	0.16		
"Myanmar"		-906				79	0.10	-1	2536	0.25		
"Burkina Faso"		-1390				136	0.02	5	6109	0.05		
"Paraguay"		-9554				92	0.06	0	7311	0.15		
"Uruguay"		-9848				95	0.06	0	9836	0.11		
"Uzbekistan"						74	0.1	16	3412	0.12		
"Ship stores and bunkers"						75	0.1	-11		0.16		
"Libya, State of"						89	0.07	12	3475	0.08		
"Yemen"						107	0.04	11	5706	0.11		
"Brunei Darussalam"						109	0.04	26	5185	0.11		
"Congo, Democratic Republic of the"						111	0.04	13	6479	0.14		
"Gibraltar"						114	0.03	-5	2572	0.09		
"Bahamas"						115	0.03	-8	6248	0.19		
"Cayman Islands"						123	0.03	5	7522	0.35		
"Kyrgyzstan"						127	0.03	1	2892	0.2		
"Tajikistan"						142	0.02	9	2803	0.17		
"Afghanistan"						147	0.02	-8	2990	0.12		
"Turkmenistan"						148	0.02	4	3495	0.15		
"Montenegro"						152	0.01	0	2382	0.08		
"Barbados"						161	0	0	4992	0.21		
"Niger"						162	0	13	5715	0.09		
"Curaçao"						163	0	-12		0.24		
"Andorra"						166	0	2	610	0.52		
"Gambia"						167	0	7	8260	0.14		
"Bermuda"						169	0	-3	8006	0.28		
"Faroe Islands"						172	0	7	1404	0.27		
"Antigua and Barbuda"						174	0	1	6334	0.27		
"Aruba"						175	0	-3	4917	0.3		
"Palestine, State of"						176	0	8	3026	0.1		
"Bhutan"						178	0	15	1733	0.63		
"Greenland"						180	0	6	3482	0.44		
"Timor-Leste"						183	0	12	3988	0.22		
"Free Zones"						186	0	-34		0.92		
"Bonaire, Sint Eustatius and Saba"						189	0	20		0.19		
"Grenada"						191	0	-1	4157	0.2		
"Turks and Caicos Islands"						193	0	-3	3491	0.74		
"South Sudan"						194	0	12		0.25		
"Saint Vincent and the Grenadines"						196	0	3	6798	0.14		
"Central African Republic"						199	0	7	6606	0.08		
"Korea, Democratic People's Republic of"						200	0	-49	1470	0.87		
"Tonga"						202	0	4	5771	0.16		
"Eritrea"						203	0	-8	6303	0.14		
"Tuvalu"						204	0	17	6386	0.21		
"Kiribati"						205	0	10	5936	0.13		
"Falkland Islands (Malvinas)"						207	0	2	12325	0.46		
"Palau"						209	0	1	6232	0.16		
"Sao Tome and Principe"						210	0	-3	6155	0.31		
"Anguilla"						212	0	-5	4397	0.58		
"Sint Maarten (Dutch part)"						213	0	-7		0.43		
"Saint Pierre and Miquelon"						215	0	10	3489	0.45		
"Northern Mariana Islands"						216	0	-19	3811	0.2		
"Saint Helena"						217	0	6	7699	0.31		
"Wallis and Futuna Islands"						218	0	7	10103	0.24		
"British Indian Ocean Territory"						219	0	-9		0.67		
"Christmas Island"						220	0	3		0.69		
"Western Sahara"						221	0	-16	12469	0.9		
"Norfolk Island"						222	0	1	5454	0.24		
"Niue"						223	0	7	11410	0.48		
"Montserrat"						224	0	-7		0.49		
"Cocos (Keeling) Islands"						225	0	8		0.74		
"Pitcairn"						227	0	-5		0.23		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
