Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in El Salvador's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by El Salvador (%)	
"Bahamas"	471	471	0	44	65	115	0.03	-8	6248	0.19		
"Niger"	436	433	0			162	0	13	5715	0.09		
"Russian Federation"	423	-118204	0	27	-34	21	1.3	5	4187	0.09		
"Barbados"	407	-156	0	42	-78	161	0	0	4992	0.21		
"Argentina"	328	-61998	0	0	-82	50	0.3	-5	10631	0.1		
"Andorra"	300	-7170	0		5203	166	0	2	610	0.52		
"Slovakia"	267	-976	0	-48		38	0.5	4	2664	0.07		
"Czech Republic"	263	-5606	0	-25	-66	28	1	4	2987	0.1		
"Algeria"	235	159	0	12	-68	64	0.2	-8	4584	0.07		
"Poland"	224	-6045	0	-7	162	18	1.5	8	3121	0.08		
"Sweden"	199	-32000	0	-28	-91	31	0.9	3	2128	0.07		
"Jordan"	189	94	0	-25	-9	84	0.08	0	5167	0.07		
"Pakistan"	187	-4482	0	57	-8	47	0.3	2	4850	0.11		
"Aruba"	185	184	0	0	-12	175	0	-3	4917	0.3		
"Sri Lanka"	157	-4668	0	-31	602	85	0.08	-3	4351	0.16		
"New Zealand"	153	-18785	0	-48	25	56	0.2	3	11141	0.09		
"Congo, Democratic Republic of the"	152	152	0		421	111	0.04	13	6479	0.14		
"Kuwait"	152	138	0	113	46	76	0.1	-3	5837	0.07		
"Antigua and Barbuda"	148	147	0	193	265	174	0	1	6334	0.27		
"Uruguay"	143	-55430	0	8	-48	95	0.06	0	9836	0.11		
"Cambodia"	133	-681	0	-12	26	66	0.1	16	2651	0.18		
"Grenada"	105	105	0	144	341	191	0	-1	4157	0.2		
"Qatar"	81	-1583	0	96	-55	70	0.1	0	5745	0.06		
"Myanmar"	79	-10	0	-25	17	79	0.10	-1	2536	0.25		
"Saint Vincent and the Grenadines"	75	75	0	-24	1897	196	0	3	6798	0.14		
"United States Minor Outlying Islands"	69	-64	0	-1	46	177	0	0		0.21		
"Latvia"	60	-702	0	-47		77	0.1	7	1575	0.08		
"Dominica"	42	42	0	-12	-17	185	0	8	4908	0.65		
"Ethiopia"	41	-1774	0	7	3743	90	0.07	1	6305	0.11		
"British Virgin Islands"	39	-193	0	119	-60	156	0.01	8	7242	0.27		
"Afghanistan"	38	-8	0			147	0.02	-8	2990	0.12		
"Indonesia"	37	-39381	0	-72	-87	30	0.9	2	5872	0.11		
"Philippines"	32	-744	0	-9	57	34	0.6	2	4354	0.09		
"Estonia"	30	-1343	0	29	24	73	0.1	6	2314	0.06		
"Area Nes"	28	-731	0									
"Kenya"	26	21	0	-35	197	80	0.09	2	6680	0.08		
"Morocco"	19	-635	0	-20	27	52	0.3	4	4316	0.07		
"Saint Kitts and Nevis"	18	18	0	92	301	201	0	-12	5440	0.41		
"Cayman Islands"	14	13	0	-52		123	0.03	5	7522	0.35		
"Bulgaria"	14	-2082	0	58	51	57	0.2	6	2237	0.05		
"Bahrain"	13	-2214	0	78	144	101	0.05	1	6359	0.08		
"Zambia"	8	8	0			119	0.03	-9	5447	0.14		
"Slovenia"	6	-438	0	-9	-7	55	0.2	10	2404	0.07		
"Lithuania"	6	-1031	0	-13		59	0.2	7	1630	0.07		
"Mongolia"	5	5	0		-43	125	0.03	8	3267	0.22		
"Bermuda"	4	4	0		-24	169	0	-3	8006	0.28		
"Liberia"	2	2	0			87	0.07	17	11608	0.19		
"Pitcairn"	2	-64	0			227	0	-5		0.23		
"Maldives"	1	1	0			151	0.01	-3	4478	0.08		
"Mauritius"	1	-1	0	-31		133	0.02	-2	7320	0.08		
"Ghana"	1	-3	0	-69		82	0.08	8	8888	0.18		
"Romania"	1	-301	0	-88		37	0.5	6	1891	0.07		
"Egypt"	1	-5959	0	-44		46	0.3	-1	5219	0.05		
"Serbia"		-1				65	0.2	9	2497	0.06		
"Macao, China"		-1				81	0.09	15		0.17		
"Moldova, Republic of"		-1				118	0.03	8	2317	0.08		
"Malta"		-2				120	0.03	1	3249	0.08		
"Sudan"		-2				122	0.03	-2		0.13		
"Montserrat"		-2				224	0	-7		0.49		
"Tokelau"		-2				226	0	-33	11566	0.22		
"Albania"		-3				121	0.03	6	1886	0.13		
"Lao People's Democratic Republic"		-3				129	0.02	-1	2572	0.28		
"Madagascar"		-3				138	0.02	2	7339	0.08		
"Gambia"		-3				167	0	7	8260	0.14		
"Iraq"		-6				62	0.2	3	4107	0.18		
"Uganda"		-7				132	0.02	11	5788	0.09		
"Guinea"		-9				135	0.02	7	9140	0.19		
"Sierra Leone"		-10				170	0	10	8820	0.13		
"Guinea-Bissau"		-12				195	0	2	5802	0.16		
"Georgia"		-14				113	0.04	-2	2513	0.09		
"Cameroon"		-25				116	0.03	8	7279	0.14		
"Turks and Caicos Islands"		-26				193	0	-3	3491	0.74		
"Belarus"		-33				61	0.2	2	2268	0.23		
"Gabon"		-52				158	0.01	-2	7114	0.11		
"Cabo Verde"		-66				181	0	4	5196	0.21		
"Iceland"		-84				112	0.04	-1	4251	0.05		
"Vanuatu"		-93				198	0	-2	6248	0.13		
"Macedonia, North"		-102				103	0.05	8	1348	0.09		
"Tanzania, United Republic of"		-212				102	0.05	7	6633	0.1		
"Luxembourg"		-280				71	0.1	3	1488	0.14		
"Senegal"		-735				110	0.04	4	6632	0.05		
"Korea, Democratic People's Republic of"		-817				200	0	-49	1470	0.87		
"Nigeria"		-1024				53	0.2	17	7792	0.1		
"El Salvador"		-1105				88	0.07	9	4914	0.15		
"Hungary"		-1124				33	0.6	6	2180	0.09		
"Cyprus"		-1198				105	0.05	-1	3118	0.09		
"Croatia"		-2255				63	0.2	6	1362	0.07		
"Eswatini"		-2320				160	0	1	1597	0.74		
"Oman"		-5875				83	0.08	-6	5977	0.08		
"Kazakhstan"						58	0.2	6	3017	0.25		
"Iran, Islamic Republic of"						72	0.1	-18	5612	0.13		
"Uzbekistan"						74	0.1	16	3412	0.12		
"Ship stores and bunkers"						75	0.1	-11		0.16		
"Libya, State of"						89	0.07	12	3475	0.08		
"Marshall Islands"						91	0.06	-1	7455	0.18		
"Côte d'Ivoire"						93	0.06	9	6793	0.08		
"Bosnia and Herzegovina"						94	0.06	3	2228	0.07		
"Nepal"						96	0.06	8	1856	0.56		
"Lebanon"						97	0.06	-12	3592	0.06		
"Azerbaijan"						98	0.05	5	3712	0.09		
"Angola"						100	0.05	-11	7692	0.06		
"Yemen"						107	0.04	11	5706	0.11		
"Mozambique"						108	0.04	8	6196	0.1		
"Brunei Darussalam"						109	0.04	26	5185	0.11		
"Gibraltar"						114	0.03	-5	2572	0.09		
"Botswana"						124	0.03	2	2968	0.52		
"Namibia"						126	0.03	-1	3757	0.37		
"Kyrgyzstan"						127	0.03	1	2892	0.2		
"Djibouti"						130	0.02	5	6387	0.22		
"Armenia"						131	0.02	6	3323	0.15		
"Zimbabwe"						134	0.02	7	3754	0.39		
"Burkina Faso"						136	0.02	5	6109	0.05		
"Syrian Arab Republic"						139	0.02	-3	2496	0.27		
"Tajikistan"						142	0.02	9	2803	0.17		
"Papua New Guinea"						143	0.02	-1	4973	0.17		
"Mauritania"						146	0.02	1	5817	0.07		
"Turkmenistan"						148	0.02	4	3495	0.15		
"Benin"						149	0.01	-2	6481	0.07		
"Somalia"						150	0.01	9	5305	0.16		
"Montenegro"						152	0.01	0	2382	0.08		
"Togo"						153	0.01	10	7318	0.08		
"Congo"						154	0.01	-18	6851	0.07		
"New Caledonia"						155	0.01	-1	11471	0.2		
"Fiji"						157	0.01	-7	7384	0.12		
"Rwanda"						159	0.01	17	5437	0.08		
"Lesotho"						164	0	-2	1590	0.78		
"French Polynesia"						165	0	1	13300	0.24		
"Malawi"						168	0	0	5169	0.15		
"Faroe Islands"						172	0	7	1404	0.27		
"Palestine, State of"						176	0	8	3026	0.1		
"Bhutan"						178	0	15	1733	0.63		
"Greenland"						180	0	6	3482	0.44		
"Equatorial Guinea"						182	0	2	6008	0.11		
"Timor-Leste"						183	0	12	3988	0.22		
"Chad"						184	0	13	6931	0.16		
"Free Zones"						186	0	-34		0.92		
"Seychelles"						187	0	-7	6627	0.06		
"Burundi"						188	0	13	4755	0.14		
"Bonaire, Sint Eustatius and Saba"						189	0	20		0.19		
"Solomon Islands"						190	0	0	6301	0.17		
"Comoros"						192	0	18	5731	0.22		
"South Sudan"						194	0	12		0.25		
"Samoa"						197	0	-1	6816	0.13		
"Central African Republic"						199	0	7	6606	0.08		
"Tonga"						202	0	4	5771	0.16		
"Eritrea"						203	0	-8	6303	0.14		
"Tuvalu"						204	0	17	6386	0.21		
"Kiribati"						205	0	10	5936	0.13		
"Cook Islands"						206	0	-4	9417	0.22		
"Falkland Islands (Malvinas)"						207	0	2	12325	0.46		
"Micronesia, Federated States of"						208	0	-8	7109	0.19		
"Palau"						209	0	1	6232	0.16		
"Sao Tome and Principe"						210	0	-3	6155	0.31		
"Nauru"						211	0	18	6014	0.27		
"Anguilla"						212	0	-5	4397	0.58		
"Sint Maarten (Dutch part)"						213	0	-7		0.43		
"French Southern and Antarctic Territories"						214	0	14		0.12		
"Saint Pierre and Miquelon"						215	0	10	3489	0.45		
"Northern Mariana Islands"						216	0	-19	3811	0.2		
"Saint Helena"						217	0	6	7699	0.31		
"Wallis and Futuna Islands"						218	0	7	10103	0.24		
"British Indian Ocean Territory"						219	0	-9		0.67		
"Christmas Island"						220	0	3		0.69		
"Western Sahara"						221	0	-16	12469	0.9		
"Norfolk Island"						222	0	1	5454	0.24		
"Niue"						223	0	7	11410	0.48		
"Cocos (Keeling) Islands"						225	0	8		0.74		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
