Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Finland's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Finland (%)	
"United Arab Emirates"	201958	184463	0.2	-13	-6	29	0.9	-2	5715	0.08		
"Slovakia"	194960	-195764	0.2	10	3	38	0.5	4	2664	0.07		
"Ship stores and bunkers"	184532	184532	0.2	-20	1	75	0.1	-11		0.16		
"Hong Kong, China"	153009	80913	0.2	-9	44	5	3.3	3	2841	0.22		
"Malaysia"	150628	-420420	0.2	5	-15	25	1.1	3	5172	0.09		
"Algeria"	143336	137015	0.2	-3	16	64	0.2	-8	4584	0.07		
"Colombia"	137917	85557	0.2	-3	139	51	0.3	4	8915	0.13		
"Morocco"	129640	84623	0.2	-17	-19	52	0.3	4	4316	0.07		
"Pakistan"	125795	54053	0.2	7	146	47	0.3	2	4850	0.11		
"Kazakhstan"	120181	110597	0.1	-1	34	58	0.2	6	3017	0.25		
"Cambodia"	118098	63118	0.1	21	293	66	0.1	16	2651	0.18		
"Bulgaria"	116223	12210	0.1	9	24	57	0.2	6	2237	0.05		
"British Virgin Islands"	102806	102802	0.1	10	685273	156	0.01	8	7242	0.27		
"Belarus"	99562	72001	0.1	9	23	61	0.2	2	2268	0.23		
"Argentina"	92275	75470	0.1	-8	11	50	0.3	-5	10631	0.1		
"Slovenia"	91070	-86478	0.1	3	46	55	0.2	10	2404	0.07		
"New Zealand"	88756	51938	0.1	-2	23	56	0.2	3	11141	0.09		
"Serbia"	86961	25435	0.1	29	34	65	0.2	9	2497	0.06		
"Peru"	80321	-81887	0.1	-5	-4	54	0.2	3	10420	0.13		
"Ecuador"	65961	-175136	0.1	17	57	69	0.1	3	9174	0.12		
"Kenya"	65002	43119	0.1	35	39	80	0.09	2	6680	0.08		
"Tunisia"	64766	49641	0.1	2	72	78	0.10	-1	3411	0.06		
"Gibraltar"	62549	62538	0.1	35	50	114	0.03	-5	2572	0.09		
"Uzbekistan"	59856	56147	0.1	18	32	74	0.1	16	3412	0.12		
"Iceland"	58157	34897	0.1	-1	8	112	0.04	-1	4251	0.05		
"Ghana"	51055	49892	0.1	-8	27	82	0.08	8	8888	0.18		
"Namibia"	47950	47411	0.1	154	83	126	0.03	-1	3757	0.37		
"Croatia"	47430	887	0.1	9	23	63	0.2	6	1362	0.07		
"Luxembourg"	42493	-61719	0.1	13	37	71	0.1	3	1488	0.14		
"Bangladesh"	42220	-177519	0.1	-30	-29	49	0.3	6	4172	0.15		
"Jordan"	38283	35365	0	-5	9	84	0.08	0	5167	0.07		
"Malta"	34129	22425	0	-20	197	120	0.03	1	3249	0.08		
"Bahamas"	31837	31496	0	3	23	115	0.03	-8	6248	0.19		
"Tanzania, United Republic of"	31743	-7299	0	-13	50	102	0.05	7	6633	0.1		
"Nigeria"	28497	27762	0	-6	-49	53	0.2	17	7792	0.1		
"Qatar"	28399	334	0	0	-16	70	0.1	0	5745	0.06		
"Senegal"	24803	24496	0	35	-26	110	0.04	4	6632	0.05		
"Cyprus"	23566	7087	0	-55	28	105	0.05	-1	3118	0.09		
"Mongolia"	22555	22511	0	16	93	125	0.03	8	3267	0.22		
"Guatemala"	21706	10808	0	24	62	68	0.1	7	5828	0.15		
"Dominican Republic"	20762	13352	0	2	54	67	0.1	5	6446	0.22		
"Oman"	19590	19238	0	-10	-10	83	0.08	-6	5977	0.08		
"Georgia"	19163	16400	0	7	44	113	0.04	-2	2513	0.09		
"Kuwait"	18781	18576	0	-8	-10	76	0.1	-3	5837	0.07		
"Armenia"	16354	16104	0	0	-20	131	0.02	6	3323	0.15		
"Congo, Democratic Republic of the"	16125	15848	0	33	91	111	0.04	13	6479	0.14		
"Azerbaijan"	15313	14593	0	-1	-31	98	0.05	5	3712	0.09		
"Zambia"	12941	11144	0	-20	-12	119	0.03	-9	5447	0.14		
"El Salvador"	12692	10917	0	35	-82	88	0.07	9	4914	0.15		
"Lebanon"	12224	11110	0	-26	-7	97	0.06	-12	3592	0.06		
"Panama"	11564	-17858	0	-11	14	60	0.2	1	8657	0.12		
"Zimbabwe"	11431	4899	0	10	480	134	0.02	7	3754	0.39		
"Sri Lanka"	11172	-21134	0	14	80	85	0.08	-3	4351	0.16		
"Costa Rica"	10809	-42428	0	0	14	86	0.08	3	6987	0.22		
"Côte d'Ivoire"	10514	9590	0	-2	-7	93	0.06	9	6793	0.08		
"Moldova, Republic of"	10460	6160	0	-1	33	118	0.03	8	2317	0.08		
"Congo"	10201	7448	0	89	198	154	0.01	-18	6851	0.07		
"Bahrain"	9035	5332	0	-6	8	101	0.05	1	6359	0.08		
"Cameroon"	9016	8838	0	-8	-2	116	0.03	8	7279	0.14		
"Mauritania"	7882	7870	0	46	-74	146	0.02	1	5817	0.07		
"Mali"	7254	6330	0	-4	-62	141	0.02	9	5008	0.1		
"Mozambique"	6996	-3709	0	-13	247	108	0.04	8	6196	0.1		
"Iraq"	6948	6918	0	-5	-56	62	0.2	3	4107	0.18		
"Bolivia, Plurinational State of"	6820	6388	0	0	93	106	0.04	-3	7978	0.11		
"Saint Vincent and the Grenadines"	6067	6064	0	100	43236	196	0	3	6798	0.14		
"Bosnia and Herzegovina"	5862	-7614	0	22	-45	94	0.06	3	2228	0.07		
"Saint Kitts and Nevis"	5121	5120	0	249	1433	201	0	-12	5440	0.41		
"Faroe Islands"	4816	1329	0	-24	123	172	0	7	1404	0.27		
"Grenada"	4778	4775	0	398	68157	191	0	-1	4157	0.2		
"Uganda"	4513	-927	0	0	114	132	0.02	11	5788	0.09		
"Chad"	4403	4400	0	22	7491	184	0	13	6931	0.16		
"Paraguay"	4183	3866	0	-22	-59	92	0.06	0	7311	0.15		
"New Caledonia"	4126	4124	0	27	63	155	0.01	-1	11471	0.2		
"Sudan"	3915	3914	0	-10	-50	122	0.03	-2		0.13		
"Togo"	3850	3838	0	13	39	153	0.01	10	7318	0.08		
"Kyrgyzstan"	3743	3647	0	17	12	127	0.03	1	2892	0.2		
"Syrian Arab Republic"	3659	3618	0	-20	9	139	0.02	-3	2496	0.27		
"Albania"	3638	217	0	0	21	121	0.03	6	1886	0.13		
"Greenland"	3489	3174	0	12	-68	180	0	6	3482	0.44		
"Yemen"	3226	3218	0	28	-74	107	0.04	11	5706	0.11		
"Guyana"	3178	2730	0	126	-87	144	0.02	13	11175	0.21		
"Seychelles"	3118	759	0	25	122	187	0	-7	6627	0.06		
"Honduras"	3016	-25407	0	16	-26	99	0.05	4	6104	0.16		
"Macedonia, North"	2792	-32423	0	-20	-27	103	0.05	8	1348	0.09		
"Antigua and Barbuda"	2759	2752	0	71	2867	174	0	1	6334	0.27		
"Myanmar"	2703	-34180	0	10	-91	79	0.10	-1	2536	0.25		
"Iran, Islamic Republic of"	2554	-311	0	-67	-59	72	0.1	-18	5612	0.13		
"Madagascar"	2493	-2209	0	23	325	138	0.02	2	7339	0.08		
"Montenegro"	2442	2332	0	-12	125	152	0.01	0	2382	0.08		
"Cuba"	2395	2046	0	-6	-36	145	0.02	-13	7148	0.09		
"Jamaica"	2390	577	0	-2	129	137	0.02	-2	6759	0.22		
"Sint Maarten (Dutch part)"	2366	2349	0	43	3540	213	0	-7		0.43		
"Ethiopia"	2264	-5050	0	-39	-15	90	0.07	1	6305	0.11		
"Sierra Leone"	2102	959	0	61	1609	170	0	10	8820	0.13		
"Macao, China"	2101	1922	0	-6	117	81	0.09	15		0.17		
"Maldives"	1908	1737	0	-31	87	151	0.01	-3	4478	0.08		
"Angola"	1856	1639	0	-40	103	100	0.05	-11	7692	0.06		
"Malawi"	1804	1244	0	0	-29	168	0	0	5169	0.15		
"Gambia"	1745	1741	0	-10	-6	167	0	7	8260	0.14		
"Libya, State of"	1731	1731	0	-21	181	89	0.07	12	3475	0.08		
"Benin"	1712	1694	0	-12	118	149	0.01	-2	6481	0.07		
"French Polynesia"	1529	1529	0	-2	559	165	0	1	13300	0.24		
"Liberia"	1491	1491	0	-20	99	87	0.07	17	11608	0.19		
"Burkina Faso"	1489	1087	0	-30	-86	136	0.02	5	6109	0.05		
"Gabon"	1473	1305	0	49	85	158	0.01	-2	7114	0.11		
"Venezuela, Bolivarian Republic of"	1461	1409	0	-38	64	117	0.03	-11	8121	0.16		
"Turkmenistan"	1368	1368	0	-37	-73	148	0.02	4	3495	0.15		
"Marshall Islands"	1365	1365	0	17	144	91	0.06	-1	7455	0.18		
"Papua New Guinea"	1264	-24687	0	-43	179	143	0.02	-1	4973	0.17		
"Haiti"	1255	1099	0	20	929	140	0.02	0	6340	0.18		
"Lao People's Democratic Republic"	1246	-946	0	-32	-73	129	0.02	-1	2572	0.28		
"Nepal"	1244	615	0	5	163	96	0.06	8	1856	0.56		
"Mauritius"	1231	-10813	0	-36	-24	133	0.02	-2	7320	0.08		
"Palestine, State of"	1191	1097	0	9	-3	176	0	8	3026	0.1		
"Nicaragua"	1172	-4038	0	9	42	104	0.05	4	5888	0.1		
"Trinidad and Tobago"	1161	1001	0	-6	-30	128	0.03	-1	6663	0.26		
"Aruba"	1103	1073	0	80	-84	175	0	-3	4917	0.3		
"Tajikistan"	927	924	0	2	-52	142	0.02	9	2803	0.17		
"Afghanistan"	906	11	0	18	-24	147	0.02	-8	2990	0.12		
"Djibouti"	894	893	0	33	63	130	0.02	5	6387	0.22		
"Suriname"	889	776	0	-25	-47	173	0	1	9050	0.14		
"Rwanda"	840	-2545	0	9	-1	159	0.01	17	5437	0.08		
"Special categories"	829	-81386	0		257							
"Belize"	812	810	0	-19	1300	179	0	1	5006	0.18		
"Curaçao"	752	751	0	-45	269	163	0	-12		0.24		
"Andorra"	724	-61	0	10	60	166	0	2	610	0.52		
"Botswana"	596	596	0	88	-62	124	0.03	2	2968	0.52		
"United States Minor Outlying Islands"	554	527	0	51	326	177	0	0		0.21		
"Cabo Verde"	501	501	0	-11	66	181	0	4	5196	0.21		
"Niger"	440	83	0	8	34	162	0	13	5715	0.09		
"Eswatini"	407	327	0	13	74	160	0	1	1597	0.74		
"Bermuda"	390	382	0	-4	152	169	0	-3	8006	0.28		
"Anguilla"	379	379	0		9375	212	0	-5	4397	0.58		
"Guinea"	351	350	0	-62	-17	135	0.02	7	9140	0.19		
"Central African Republic"	303	275	0	145	270	199	0	7	6606	0.08		
"Barbados"	271	-572	0	28	-99	161	0	0	4992	0.21		
"French Southern and Antarctic Territories"	226	223	0	52	15	214	0	14		0.12		
"Eritrea"	200	198	0	-40	-4	203	0	-8	6303	0.14		
"Brunei Darussalam"	199	198	0	-17	-61	109	0.04	26	5185	0.11		
"Turks and Caicos Islands"	101	101	0	-62	573	193	0	-3	3491	0.74		
"Solomon Islands"	89	88	0	-3	1383	190	0	0	6301	0.17		
"Fiji"	84	72	0	-48	-66	157	0.01	-7	7384	0.12		
"Cayman Islands"	70	67	0	7	-35	123	0.03	5	7522	0.35		
"Somalia"	59	59	0	-41	-82	150	0.01	9	5305	0.16		
"Africa not elsewhere specified"	52	52	0	19	333							
"Burundi"	45	-1515	0	-18		188	0	13	4755	0.14		
"Palau"	36	36	0	9	-20	209	0	1	6232	0.16		
"Tuvalu"	27	27	0	10	-48	204	0	17	6386	0.21		
"Kiribati"	27	26	0	-19	-48	205	0	10	5936	0.13		
"Bhutan"	16	16	0	-45	-50	178	0	15	1733	0.63		
"Tonga"	16	16	0		-36	202	0	4	5771	0.16		
"Comoros"	16	-8	0	78	-36	192	0	18	5731	0.22		
"Pitcairn"	14	13	0			227	0	-5		0.23		
"Saint Lucia"	10	5	0	-55	-80	171	0	-10	5321	0.23		
"Vanuatu"	8	8	0	-34	33	198	0	-2	6248	0.13		
"Equatorial Guinea"	8	4	0	-50	-75	182	0	2	6008	0.11		
"South Sudan"	6	5	0	45	-92	194	0	12		0.25		
"Bonaire, Sint Eustatius and Saba"	5	5	0	16	-72	189	0	20		0.19		
"Lesotho"	3	3	0	-27	-63	164	0	-2	1590	0.78		
"Saint Pierre and Miquelon"	3	3	0			215	0	10	3489	0.45		
"Dominica"	3	-193	0	-75		185	0	8	4908	0.65		
"Falkland Islands (Malvinas)"	2	-12	0	12	-33	207	0	2	12325	0.46		
"Micronesia, Federated States of"		-1				208	0	-8	7109	0.19		
"Saint Helena"		-1				217	0	6	7699	0.31		
"Wallis and Futuna Islands"		-2				218	0	7	10103	0.24		
"Christmas Island"		-3				220	0	3		0.69		
"British Indian Ocean Territory"		-4				219	0	-9		0.67		
"Nauru"		-26				211	0	18	6014	0.27		
"Korea, Democratic People's Republic of"		-33				200	0	-49	1470	0.87		
"Sao Tome and Principe"		-38				210	0	-3	6155	0.31		
"Tokelau"		-73				226	0	-33	11566	0.22		
"Samoa"		-91				197	0	-1	6816	0.13		
"Europe Othr. Nes"		-481										
"Timor-Leste"						183	0	12	3988	0.22		
"Free Zones"						186	0	-34		0.92		
"Guinea-Bissau"						195	0	2	5802	0.16		
"Cook Islands"						206	0	-4	9417	0.22		
"Northern Mariana Islands"						216	0	-19	3811	0.2		
"Western Sahara"						221	0	-16	12469	0.9		
"Norfolk Island"						222	0	1	5454	0.24		
"Niue"						223	0	7	11410	0.48		
"Montserrat"						224	0	-7		0.49		
"Cocos (Keeling) Islands"						225	0	8		0.74		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
