Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Argentina's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Argentina (%)	
"Suriname"	3499	3498	0	-17	105	173	0	1	9050	0.14		
"Benin"	3432	3406	0	12	120	149	0.01	-2	6481	0.07		
"Sri Lanka"	3346	-12338	0	-16	-24	85	0.08	-3	4351	0.16		
"Moldova, Republic of"	3134	3025	0	-4	47	118	0.03	8	2317	0.08		
"Bahrain"	2931	-86621	0	-18	-19	101	0.05	1	6359	0.08		
"Malta"	2737	1511	0	-75	111	120	0.03	1	3249	0.08		
"Azerbaijan"	2719	1712	0	4	52	98	0.05	5	3712	0.09		
"Palestine, State of"	2540	2426	0	-3	78	176	0	8	3026	0.1		
"Sierra Leone"	2535	2500	0	41	171	170	0	10	8820	0.13		
"Zimbabwe"	2311	1877	0	59	2631	134	0.02	7	3754	0.39		
"Sudan"	1981	1755	0	-39	-33	122	0.03	-2		0.13		
"Burundi"	1958	1954	0	107	-57	188	0	13	4755	0.14		
"Estonia"	1658	-6618	0	3	1	73	0.1	6	2314	0.06		
"Sint Maarten (Dutch part)"	1643	1643	0		43	213	0	-7		0.43		
"Zambia"	1566	1390	0	46	518	119	0.03	-9	5447	0.14		
"Aruba"	1414	1414	0	-29	-5	175	0	-3	4917	0.3		
"Bahamas"	1381	1378	0	-43	-95	115	0.03	-8	6248	0.19		
"Montenegro"	1368	1367	0	7	-61	152	0.01	0	2382	0.08		
"Djibouti"	1347	1347	0	36	-49	130	0.02	5	6387	0.22		
"Belize"	1292	1286	0	5	23	179	0	1	5006	0.18		
"Burkina Faso"	1089	1068	0	-33	455	136	0.02	5	6109	0.05		
"Namibia"	926	920	0	-43	396	126	0.03	-1	3757	0.37		
"Barbados"	771	750	0	1	29	161	0	0	4992	0.21		
"Saint Lucia"	662	662	0	-5	-99	171	0	-10	5321	0.23		
"Fiji"	632	631	0	-34		157	0.01	-7	7384	0.12		
"Maldives"	623	622	0	5	15	151	0.01	-3	4478	0.08		
"Lao People's Democratic Republic"	594	132	0	33	104	129	0.02	-1	2572	0.28		
"Uzbekistan"	471	97	0	13	-64	74	0.1	16	3412	0.12		
"Somalia"	456	-1053	0	104	-25	150	0.01	9	5305	0.16		
"Grenada"	428	-327	0	7	1	191	0	-1	4157	0.2		
"Antigua and Barbuda"	390	390	0	20	-38	174	0	1	6334	0.27		
"Malawi"	369	251	0	9	167	168	0	0	5169	0.15		
"Dominica"	331	322	0	14	37	185	0	8	4908	0.65		
"Comoros"	302	273	0	-41	-46	192	0	18	5731	0.22		
"Saint Kitts and Nevis"	244	144	0	119	37	201	0	-12	5440	0.41		
"Seychelles"	191	146	0	-31		187	0	-7	6627	0.06		
"Armenia"	175	125	0	-55	-85	131	0.02	6	3323	0.15		
"Luxembourg"	173	-12767	0	-21	9	71	0.1	3	1488	0.14		
"Kyrgyzstan"	139	130	0	11		127	0.03	1	2892	0.2		
"Ethiopia"	70	-450	0	-30	-100	90	0.07	1	6305	0.11		
"Macao, China"	58	-1572	0			81	0.09	15		0.17		
"Afghanistan"		-1				147	0.02	-8	2990	0.12		
"Samoa"		-1				197	0	-1	6816	0.13		
"Sao Tome and Principe"		-1				210	0	-3	6155	0.31		
"Andorra"		-5				166	0	2	610	0.52		
"Bhutan"		-6				178	0	15	1733	0.63		
"Eswatini"		-11				160	0	1	1597	0.74		
"Papua New Guinea"		-40				143	0.02	-1	4973	0.17		
"Lesotho"		-43				164	0	-2	1590	0.78		
"Europe Othr. Nes"		-101										
"Turkmenistan"		-1326				148	0.02	4	3495	0.15		
"Argentina"		-123583				50	0.3	-5	10631	0.1		
"Ship stores and bunkers"						75	0.1	-11		0.16		
"Marshall Islands"						91	0.06	-1	7455	0.18		
"Gibraltar"						114	0.03	-5	2572	0.09		
"Cayman Islands"						123	0.03	5	7522	0.35		
"Botswana"						124	0.03	2	2968	0.52		
"Tajikistan"						142	0.02	9	2803	0.17		
"New Caledonia"						155	0.01	-1	11471	0.2		
"British Virgin Islands"						156	0.01	8	7242	0.27		
"French Polynesia"						165	0	1	13300	0.24		
"Bermuda"						169	0	-3	8006	0.28		
"Faroe Islands"						172	0	7	1404	0.27		
"United States Minor Outlying Islands"						177	0	0		0.21		
"Greenland"						180	0	6	3482	0.44		
"Timor-Leste"						183	0	12	3988	0.22		
"Chad"						184	0	13	6931	0.16		
"Free Zones"						186	0	-34		0.92		
"Solomon Islands"						190	0	0	6301	0.17		
"Turks and Caicos Islands"						193	0	-3	3491	0.74		
"South Sudan"						194	0	12		0.25		
"Guinea-Bissau"						195	0	2	5802	0.16		
"Saint Vincent and the Grenadines"						196	0	3	6798	0.14		
"Vanuatu"						198	0	-2	6248	0.13		
"Central African Republic"						199	0	7	6606	0.08		
"Korea, Democratic People's Republic of"						200	0	-49	1470	0.87		
"Tonga"						202	0	4	5771	0.16		
"Eritrea"						203	0	-8	6303	0.14		
"Tuvalu"						204	0	17	6386	0.21		
"Kiribati"						205	0	10	5936	0.13		
"Cook Islands"						206	0	-4	9417	0.22		
"Falkland Islands (Malvinas)"						207	0	2	12325	0.46		
"Micronesia, Federated States of"						208	0	-8	7109	0.19		
"Palau"						209	0	1	6232	0.16		
"Nauru"						211	0	18	6014	0.27		
"Anguilla"						212	0	-5	4397	0.58		
"French Southern and Antarctic Territories"						214	0	14		0.12		
"Saint Pierre and Miquelon"						215	0	10	3489	0.45		
"Northern Mariana Islands"						216	0	-19	3811	0.2		
"Saint Helena"						217	0	6	7699	0.31		
"Wallis and Futuna Islands"						218	0	7	10103	0.24		
"British Indian Ocean Territory"						219	0	-9		0.67		
"Christmas Island"						220	0	3		0.69		
"Western Sahara"						221	0	-16	12469	0.9		
"Norfolk Island"						222	0	1	5454	0.24		
"Niue"						223	0	7	11410	0.48		
"Montserrat"						224	0	-7		0.49		
"Cocos (Keeling) Islands"						225	0	8		0.74		
"Tokelau"						226	0	-33	11566	0.22		
"Pitcairn"						227	0	-5		0.23		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
