Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Lithuania's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Lithuania (%)	
"Algeria"	69508	69504	0.2	-18	-38	64	0.2	-8	4584	0.07		
"Morocco"	67430	11927	0.2	29	116	52	0.3	4	4316	0.07		
"Iceland"	66904	50417	0.2	9	41	112	0.04	-1	4251	0.05		
"Libya, State of"	62504	62504	0.2	25	109	89	0.07	12	3475	0.08		
"Argentina"	60959	21350	0.1	0	1222	50	0.3	-5	10631	0.1		
"Slovenia"	57381	-100445	0.1	7	19	55	0.2	10	2404	0.07		
"Hong Kong, China"	55787	33785	0.1	9	21	5	3.3	3	2841	0.22		
"Luxembourg"	50884	-27007	0.1	24	289	71	0.1	3	1488	0.14		
"Georgia"	50037	2963	0.1	10	32	113	0.04	-2	2513	0.09		
"Egypt"	45279	-1306	0.1	13	-43	46	0.3	-1	5219	0.05		
"Viet Nam"	44363	-22952	0.1	19	100	19	1.5	8	3535	0.19		
"Azerbaijan"	40982	21825	0.1	5	-1	98	0.05	5	3712	0.09		
"Tajikistan"	39696	38390	0.1	1	6	142	0.02	9	2803	0.17		
"Chile"	38712	28087	0.1	37	76	43	0.4	6	11582	0.13		
"Malaysia"	36759	8001	0.1	39	51	25	1.1	3	5172	0.09		
"Kyrgyzstan"	36313	-13820	0.1	-8	-4	127	0.03	1	2892	0.2		
"Tunisia"	35395	34824	0.1	71	761	78	0.10	-1	3411	0.06		
"Kenya"	34483	32968	0.1	70	241	80	0.09	2	6680	0.08		
"Moldova, Republic of"	33671	25200	0.1	-7	21	118	0.03	8	2317	0.08		
"Serbia"	32888	-12901	0.1	18	-11	65	0.2	9	2497	0.06		
"Taipei, Chinese"	25752	-79986	0.1	12	19	17	1.7	8	5007	0.1		
"Ghana"	22368	21523	0.1	54	121	82	0.08	8	8888	0.18		
"Côte d'Ivoire"	21796	20947	0.1	59	114	93	0.06	9	6793	0.08		
"Turkmenistan"	21134	20276	0.1	22	0	148	0.02	4	3495	0.15		
"Armenia"	20228	-1505	0	-18	31	131	0.02	6	3323	0.15		
"Faroe Islands"	18698	17695	0	31	-6	172	0	7	1404	0.27		
"Sudan"	18500	18445	0	72	-64	122	0.03	-2		0.13		
"New Zealand"	17454	3850	0	7	14	56	0.2	3	11141	0.09		
"Cyprus"	16676	98	0	7	43	105	0.05	-1	3118	0.09		
"Thailand"	16022	-13973	0	9	4	23	1.2	2	4905	0.09		
"Angola"	15196	15179	0	-21	115	100	0.05	-11	7692	0.06		
"Pakistan"	14831	-9168	0	28	6	47	0.3	2	4850	0.11		
"Indonesia"	14307	-4672	0	12	11	30	0.9	2	5872	0.11		
"Mongolia"	13403	13384	0	-6	72	125	0.03	8	3267	0.22		
"Jordan"	11715	11491	0	24	-1	84	0.08	0	5167	0.07		
"Senegal"	9845	8631	0	39	216	110	0.04	4	6632	0.05		
"Haiti"	9657	9639	0	112	3207	140	0.02	0	6340	0.18		
"Rwanda"	9063	8997	0	87	784	159	0.01	17	5437	0.08		
"Bosnia and Herzegovina"	8964	-18913	0	16	47	94	0.06	3	2228	0.07		
"Kuwait"	8895	8267	0	17	28	76	0.1	-3	5837	0.07		
"Uruguay"	8830	7849	0	-4	455	95	0.06	0	9836	0.11		
"Mozambique"	8451	7465	0	-18	73	108	0.04	8	6196	0.1		
"Philippines"	7679	-2282	0	18	31	34	0.6	2	4354	0.09		
"Colombia"	7220	6287	0	28	91	51	0.3	4	8915	0.13		
"Malta"	6291	3396	0	5	-12	120	0.03	1	3249	0.08		
"Macedonia, North"	6070	2897	0	-1	48	103	0.05	8	1348	0.09		
"Nepal"	5781	5538	0	50	75	96	0.06	8	1856	0.56		
"Cameroon"	5584	3726	0	21	-49	116	0.03	8	7279	0.14		
"Albania"	5362	3182	0	11	48	121	0.03	6	1886	0.13		
"Bangladesh"	5341	1475	0	-10	-13	49	0.3	6	4172	0.15		
"Sri Lanka"	5085	-591	0	-3	471	85	0.08	-3	4351	0.16		
"Guatemala"	5080	4691	0	75	-20	68	0.1	7	5828	0.15		
"Congo"	4984	4836	0	42	5438	154	0.01	-18	6851	0.07		
"Oman"	4898	3145	0	46	-56	83	0.08	-6	5977	0.08		
"Uganda"	4763	4327	0	107	-14	132	0.02	11	5788	0.09		
"Afghanistan"	4512	2868	0	-17	-36	147	0.02	-8	2990	0.12		
"Qatar"	4409	-5983	0	15	-31	70	0.1	0	5745	0.06		
"Lebanon"	4346	4229	0	-10	19	97	0.06	-12	3592	0.06		
"Peru"	4322	-2230	0	27	-58	54	0.2	3	10420	0.13		
"Ecuador"	4057	-15434	0	38	7	69	0.1	3	9174	0.12		
"Benin"	4002	4002	0	-2	22	149	0.01	-2	6481	0.07		
"Iraq"	3514	3489	0	-18	-21	62	0.2	3	4107	0.18		
"Bolivia, Plurinational State of"	3495	2677	0	42	264	106	0.04	-3	7978	0.11		
"Costa Rica"	3031	2168	0	24	52	86	0.08	3	6987	0.22		
"Palestine, State of"	2990	2990	0	36	19	176	0	8	3026	0.1		
"Namibia"	2930	2927	0	25	364	126	0.03	-1	3757	0.37		
"Togo"	2621	2536	0	-11	-36	153	0.01	10	7318	0.08		
"Paraguay"	2572	1446	0	21	89	92	0.06	0	7311	0.15		
"Iran, Islamic Republic of"	2562	-4797	0	-26	-21	72	0.1	-18	5612	0.13		
"Dominican Republic"	2262	2084	0	9	-81	67	0.1	5	6446	0.22		
"Burkina Faso"	2145	2145	0	75	63	136	0.02	5	6109	0.05		
"Zambia"	2092	2054	0	-2	63	119	0.03	-9	5447	0.14		
"Mali"	2002	2002	0	-7	28	141	0.02	9	5008	0.1		
"Trinidad and Tobago"	1967	-80316	0	17	188	128	0.03	-1	6663	0.26		
"Andorra"	1835	1823	0	42	177	166	0	2	610	0.52		
"Mauritania"	1794	1792	0	21	16	146	0.02	1	5817	0.07		
"New Caledonia"	1557	1557	0	58	9	155	0.01	-1	11471	0.2		
"Venezuela, Bolivarian Republic of"	1462	1446	0	98	221	117	0.03	-11	8121	0.16		
"Guinea"	1433	1427	0	76	-86	135	0.02	7	9140	0.19		
"Yemen"	1401	1401	0	30	-4	107	0.04	11	5706	0.11		
"Montenegro"	1367	1365	0	6	-7	152	0.01	0	2382	0.08		
"Malawi"	1286	-74	0	-31	6	168	0	0	5169	0.15		
"Gambia"	1200	1192	0	44	59	167	0	7	8260	0.14		
"Tanzania, United Republic of"	1144	740	0	3	-94	102	0.05	7	6633	0.1		
"Cambodia"	1100	-210	0	11	-53	66	0.1	16	2651	0.18		
"French Polynesia"	1064	1044	0	100	67	165	0	1	13300	0.24		
"Mauritius"	1025	478	0	-5	-19	133	0.02	-2	7320	0.08		
"Congo, Democratic Republic of the"	985	940	0	-21	67	111	0.04	13	6479	0.14		
"Bahrain"	943	757	0	-7	13	101	0.05	1	6359	0.08		
"Gabon"	887	862	0	74	-17	158	0.01	-2	7114	0.11		
"Nicaragua"	832	19	0	0	302	104	0.05	4	5888	0.1		
"Zimbabwe"	808	803	0	25	41	134	0.02	7	3754	0.39		
"Sierra Leone"	800	795	0	21	-48	170	0	10	8820	0.13		
"El Salvador"	780	649	0	136	107	88	0.07	9	4914	0.15		
"Papua New Guinea"	730	705	0	139	51	143	0.02	-1	4973	0.17		
"Cuba"	710	707	0	-59	193	145	0.02	-13	7148	0.09		
"Bermuda"	562	562	0	126	726	169	0	-3	8006	0.28		
"Jamaica"	556	548	0	-7	-43	137	0.02	-2	6759	0.22		
"Maldives"	552	552	0	-12	86	151	0.01	-3	4478	0.08		
"Honduras"	535	517	0	34	-54	99	0.05	4	6104	0.16		
"Equatorial Guinea"	496	-77299	0	151	129	182	0	2	6008	0.11		
"Guyana"	486	401	0	22	43	144	0.02	13	11175	0.21		
"Suriname"	455	455	0	83	-75	173	0	1	9050	0.14		
"Ethiopia"	392	-507	0	-7	-70	90	0.07	1	6305	0.11		
"Panama"	391	232	0	-66	-24	60	0.2	1	8657	0.12		
"Guinea-Bissau"	362	362	0	34	15	195	0	2	5802	0.16		
"Greenland"	357	83	0	9	-16	180	0	6	3482	0.44		
"Macao, China"	345	329	0	-29	81	81	0.09	15		0.17		
"Fiji"	332	321	0	25	117	157	0.01	-7	7384	0.12		
"Brunei Darussalam"	330	328	0	46	61	109	0.04	26	5185	0.11		
"Niger"	299	295	0	189	-58	162	0	13	5715	0.09		
"Chad"	289	289	0	34	-68	184	0	13	6931	0.16		
"Aruba"	285	285	0	126	352	175	0	-3	4917	0.3		
"Burundi"	272	266	0	250	-26	188	0	13	4755	0.14		
"Barbados"	255	245	0	32	-9	161	0	0	4992	0.21		
"Dominica"	240	235	0	-11	-18	185	0	8	4908	0.65		
"Bahamas"	239	239	0	26	-99	115	0.03	-8	6248	0.19		
"Somalia"	239	10	0	185	-6	150	0.01	9	5305	0.16		
"Botswana"	220	220	0	70	17	124	0.03	2	2968	0.52		
"Myanmar"	207	-5956	0	-15	-81	79	0.10	-1	2536	0.25		
"Liberia"	185	185	0	-5	-47	87	0.07	17	11608	0.19		
"Madagascar"	185	170	0	-23	-45	138	0.02	2	7339	0.08		
"United States Minor Outlying Islands"	182	182	0			177	0	0		0.21		
"Seychelles"	171	171	0	90	-25	187	0	-7	6627	0.06		
"Djibouti"	169	167	0	35	43	130	0.02	5	6387	0.22		
"Syrian Arab Republic"	163	163	0	-39	-51	139	0.02	-3	2496	0.27		
"Saint Vincent and the Grenadines"	162	162	0	40	100	196	0	3	6798	0.14		
"Antigua and Barbuda"	144	142	0	50	58	174	0	1	6334	0.27		
"Saint Lucia"	143	143	0	20	333	171	0	-10	5321	0.23		
"Curaçao"	122	122	0	71	91	163	0	-12		0.24		
"Central African Republic"	84	80	0	5	-51	199	0	7	6606	0.08		
"Samoa"	75	75	0			197	0	-1	6816	0.13		
"Grenada"	66	66	0	-24	-32	191	0	-1	4157	0.2		
"Saint Kitts and Nevis"	33	33	0	34	0	201	0	-12	5440	0.41		
"Cayman Islands"	21	20	0	156	-81	123	0.03	5	7522	0.35		
"Bhutan"	21	19	0		17	178	0	15	1733	0.63		
"Vanuatu"	19	19	0	-30	73	198	0	-2	6248	0.13		
"Gibraltar"	13	10	0	-76	-95	114	0.03	-5	2572	0.09		
"Anguilla"	12	12	0			212	0	-5	4397	0.58		
"Lao People's Democratic Republic"	11	6	0		38	129	0.02	-1	2572	0.28		
"South Sudan"	8	4	0	-21	300	194	0	12		0.25		
"Marshall Islands"	6	6	0	9	-87	91	0.06	-1	7455	0.18		
"Micronesia, Federated States of"	2	2	0			208	0	-8	7109	0.19		
"Sint Maarten (Dutch part)"	2	2	0	-59	-100	213	0	-7		0.43		
"Comoros"		-1				192	0	18	5731	0.22		
"Sao Tome and Principe"		-1				210	0	-3	6155	0.31		
"Africa not elsewhere specified"		-21										
"Eswatini"		-27				160	0	1	1597	0.74		
"Belize"		-54				179	0	1	5006	0.18		
"Area Nes"		-180										
"Special categories"		-167792										
"British Virgin Islands"						156	0.01	8	7242	0.27		
"Lesotho"						164	0	-2	1590	0.78		
"Cabo Verde"						181	0	4	5196	0.21		
"Timor-Leste"						183	0	12	3988	0.22		
"Free Zones"						186	0	-34		0.92		
"Bonaire, Sint Eustatius and Saba"						189	0	20		0.19		
"Solomon Islands"						190	0	0	6301	0.17		
"Turks and Caicos Islands"						193	0	-3	3491	0.74		
"Korea, Democratic People's Republic of"						200	0	-49	1470	0.87		
"Tonga"						202	0	4	5771	0.16		
"Eritrea"						203	0	-8	6303	0.14		
"Tuvalu"						204	0	17	6386	0.21		
"Kiribati"						205	0	10	5936	0.13		
"Cook Islands"						206	0	-4	9417	0.22		
"Falkland Islands (Malvinas)"						207	0	2	12325	0.46		
"Palau"						209	0	1	6232	0.16		
"Nauru"						211	0	18	6014	0.27		
"French Southern and Antarctic Territories"						214	0	14		0.12		
"Saint Pierre and Miquelon"						215	0	10	3489	0.45		
"Northern Mariana Islands"						216	0	-19	3811	0.2		
"Saint Helena"						217	0	6	7699	0.31		
"Wallis and Futuna Islands"						218	0	7	10103	0.24		
"British Indian Ocean Territory"						219	0	-9		0.67		
"Christmas Island"						220	0	3		0.69		
"Western Sahara"						221	0	-16	12469	0.9		
"Norfolk Island"						222	0	1	5454	0.24		
"Niue"						223	0	7	11410	0.48		
"Montserrat"						224	0	-7		0.49		
"Cocos (Keeling) Islands"						225	0	8		0.74		
"Tokelau"						226	0	-33	11566	0.22		
"Pitcairn"						227	0	-5		0.23		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
