Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Barbados's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Barbados (%)	
"Zimbabwe"	6	-15	0	131		134	0.02	7	3754	0.39		
"Ecuador"	5	-864	0			69	0.1	3	9174	0.12		
"Kenya"	4	0	0	185	-94	80	0.09	2	6680	0.08		
"Poland"	4	-1629	0	-48		18	1.5	8	3121	0.08		
"Norway"	3	-753	0	-65		39	0.5	3	3470	0.06		
"Guatemala"	3	-2365	0	-68	-80	68	0.1	7	5828	0.15		
"Fiji"	2	2	0	8		157	0.01	-7	7384	0.12		
"Nigeria"	2	-1	0	-9		53	0.2	17	7792	0.1		
"Bahrain"	2	-11	0	95	-74	101	0.05	1	6359	0.08		
"Marshall Islands"	2	-34	0			91	0.06	-1	7455	0.18		
"Georgia"	2	-63	0	-36		113	0.04	-2	2513	0.09		
"Argentina"	2	-848	0	-69		50	0.3	-5	10631	0.1		
"Peru"	2	-1925	0	376	-99	54	0.2	3	10420	0.13		
"Japan"	2	-36785	0	-64		4	3.5	1	6256	0.09		
"French Southern and Antarctic Territories"	1	1	0			214	0	14		0.12		
"Bulgaria"	1	-135	0	8		57	0.2	6	2237	0.05		
"Greece"	1	-213	0	-66		45	0.3	4	2847	0.05		
"Belarus"		-1				61	0.2	2	2268	0.23		
"Zambia"		-1				119	0.03	-9	5447	0.14		
"Saint Helena"		-1				217	0	6	7699	0.31		
"Qatar"		-2				70	0.1	0	5745	0.06		
"Iceland"		-2				112	0.04	-1	4251	0.05		
"Liberia"		-3				87	0.07	17	11608	0.19		
"Kazakhstan"		-4				58	0.2	6	3017	0.25		
"Tanzania, United Republic of"		-4				102	0.05	7	6633	0.1		
"Estonia"		-6				73	0.1	6	2314	0.06		
"Macao, China"		-7				81	0.09	15		0.17		
"Nepal"		-7				96	0.06	8	1856	0.56		
"Eswatini"		-10				160	0	1	1597	0.74		
"Tokelau"		-11				226	0	-33	11566	0.22		
"Oman"		-14				83	0.08	-6	5977	0.08		
"Luxembourg"		-17				71	0.1	3	1488	0.14		
"Palau"		-19				209	0	1	6232	0.16		
"Togo"		-22				153	0.01	10	7318	0.08		
"Slovenia"		-24				55	0.2	10	2404	0.07		
"Cocos (Keeling) Islands"		-24				225	0	8		0.74		
"Russian Federation"		-29				21	1.3	5	4187	0.09		
"Gibraltar"		-30				114	0.03	-5	2572	0.09		
"Cambodia"		-31				66	0.1	16	2651	0.18		
"Seychelles"		-34				187	0	-7	6627	0.06		
"Lithuania"		-37				59	0.2	7	1630	0.07		
"Sri Lanka"		-41				85	0.08	-3	4351	0.16		
"Uganda"		-45				132	0.02	11	5788	0.09		
"Sierra Leone"		-47				170	0	10	8820	0.13		
"Philippines"		-49				34	0.6	2	4354	0.09		
"Tunisia"		-51				78	0.10	-1	3411	0.06		
"Bangladesh"		-56				49	0.3	6	4172	0.15		
"Madagascar"		-66				138	0.02	2	7339	0.08		
"Mauritius"		-80				133	0.02	-2	7320	0.08		
"Central African Republic"		-101				199	0	7	6606	0.08		
"Czech Republic"		-140				28	1	4	2987	0.1		
"Egypt"		-206				46	0.3	-1	5219	0.05		
"Ukraine"		-259				48	0.3	7	3255	0.06		
"Malta"		-305				120	0.03	1	3249	0.08		
"Hungary"		-394				33	0.6	6	2180	0.09		
"Israel"		-961				42	0.4	4	5483	0.07		
"Indonesia"		-1254				30	0.9	2	5872	0.11		
"Malaysia"		-1730				25	1.1	3	5172	0.09		
"Chile"		-2250				43	0.4	6	11582	0.13		
"Uruguay"		-3534				95	0.06	0	9836	0.11		
"Romania"						37	0.5	6	1891	0.07		
"Croatia"						63	0.2	6	1362	0.07		
"Algeria"						64	0.2	-8	4584	0.07		
"Iran, Islamic Republic of"						72	0.1	-18	5612	0.13		
"Uzbekistan"						74	0.1	16	3412	0.12		
"Kuwait"						76	0.1	-3	5837	0.07		
"Myanmar"						79	0.10	-1	2536	0.25		
"Jordan"						84	0.08	0	5167	0.07		
"Libya, State of"						89	0.07	12	3475	0.08		
"Ethiopia"						90	0.07	1	6305	0.11		
"Côte d'Ivoire"						93	0.06	9	6793	0.08		
"Azerbaijan"						98	0.05	5	3712	0.09		
"Angola"						100	0.05	-11	7692	0.06		
"Macedonia, North"						103	0.05	8	1348	0.09		
"Bolivia, Plurinational State of"						106	0.04	-3	7978	0.11		
"Yemen"						107	0.04	11	5706	0.11		
"Mozambique"						108	0.04	8	6196	0.1		
"Brunei Darussalam"						109	0.04	26	5185	0.11		
"Senegal"						110	0.04	4	6632	0.05		
"Congo, Democratic Republic of the"						111	0.04	13	6479	0.14		
"Cameroon"						116	0.03	8	7279	0.14		
"Moldova, Republic of"						118	0.03	8	2317	0.08		
"Sudan"						122	0.03	-2		0.13		
"Botswana"						124	0.03	2	2968	0.52		
"Mongolia"						125	0.03	8	3267	0.22		
"Namibia"						126	0.03	-1	3757	0.37		
"Kyrgyzstan"						127	0.03	1	2892	0.2		
"Lao People's Democratic Republic"						129	0.02	-1	2572	0.28		
"Djibouti"						130	0.02	5	6387	0.22		
"Guinea"						135	0.02	7	9140	0.19		
"Burkina Faso"						136	0.02	5	6109	0.05		
"Syrian Arab Republic"						139	0.02	-3	2496	0.27		
"Mali"						141	0.02	9	5008	0.1		
"Tajikistan"						142	0.02	9	2803	0.17		
"Papua New Guinea"						143	0.02	-1	4973	0.17		
"Mauritania"						146	0.02	1	5817	0.07		
"Afghanistan"						147	0.02	-8	2990	0.12		
"Turkmenistan"						148	0.02	4	3495	0.15		
"Benin"						149	0.01	-2	6481	0.07		
"Somalia"						150	0.01	9	5305	0.16		
"Maldives"						151	0.01	-3	4478	0.08		
"Montenegro"						152	0.01	0	2382	0.08		
"Congo"						154	0.01	-18	6851	0.07		
"New Caledonia"						155	0.01	-1	11471	0.2		
"Gabon"						158	0.01	-2	7114	0.11		
"Rwanda"						159	0.01	17	5437	0.08		
"Niger"						162	0	13	5715	0.09		
"Lesotho"						164	0	-2	1590	0.78		
"French Polynesia"						165	0	1	13300	0.24		
"Andorra"						166	0	2	610	0.52		
"Gambia"						167	0	7	8260	0.14		
"Malawi"						168	0	0	5169	0.15		
"Faroe Islands"						172	0	7	1404	0.27		
"Palestine, State of"						176	0	8	3026	0.1		
"Bhutan"						178	0	15	1733	0.63		
"Greenland"						180	0	6	3482	0.44		
"Cabo Verde"						181	0	4	5196	0.21		
"Equatorial Guinea"						182	0	2	6008	0.11		
"Timor-Leste"						183	0	12	3988	0.22		
"Chad"						184	0	13	6931	0.16		
"Free Zones"						186	0	-34		0.92		
"Burundi"						188	0	13	4755	0.14		
"Bonaire, Sint Eustatius and Saba"						189	0	20		0.19		
"Solomon Islands"						190	0	0	6301	0.17		
"Comoros"						192	0	18	5731	0.22		
"South Sudan"						194	0	12		0.25		
"Guinea-Bissau"						195	0	2	5802	0.16		
"Samoa"						197	0	-1	6816	0.13		
"Vanuatu"						198	0	-2	6248	0.13		
"Tonga"						202	0	4	5771	0.16		
"Eritrea"						203	0	-8	6303	0.14		
"Tuvalu"						204	0	17	6386	0.21		
"Kiribati"						205	0	10	5936	0.13		
"Cook Islands"						206	0	-4	9417	0.22		
"Falkland Islands (Malvinas)"						207	0	2	12325	0.46		
"Micronesia, Federated States of"						208	0	-8	7109	0.19		
"Sao Tome and Principe"						210	0	-3	6155	0.31		
"Nauru"						211	0	18	6014	0.27		
"Sint Maarten (Dutch part)"						213	0	-7		0.43		
"Saint Pierre and Miquelon"						215	0	10	3489	0.45		
"Northern Mariana Islands"						216	0	-19	3811	0.2		
"Wallis and Futuna Islands"						218	0	7	10103	0.24		
"British Indian Ocean Territory"						219	0	-9		0.67		
"Christmas Island"						220	0	3		0.69		
"Western Sahara"						221	0	-16	12469	0.9		
"Norfolk Island"						222	0	1	5454	0.24		
"Niue"						223	0	7	11410	0.48		
"Pitcairn"						227	0	-5		0.23		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
