Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Mauritania's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Mauritania (%)	
"Tunisia"	596	-16383	0	-23	36	78	0.10	-1	3411	0.06		
"Thailand"	583	-32840	0	-7	68	23	1.2	2	4905	0.09		
"Belarus"	564	538	0	-23	-50	61	0.2	2	2268	0.23		
"Gabon"	557	205	0	-13	144	158	0.01	-2	7114	0.11		
"Sierra Leone"	526	253	0		1048	170	0	10	8820	0.13		
"Egypt"	471	-33872	0	-11	-73	46	0.3	-1	5219	0.05		
"Belize"	463	383	0			179	0	1	5006	0.18		
"Indonesia"	299	-66069	0	-16	-87	30	0.9	2	5872	0.11		
"Namibia"	221	-597	0	-20	914	126	0.03	-1	3757	0.37		
"Saudi Arabia"	194	-17255	0	93	-50	32	0.7	3	5816	0.07		
"United Arab Emirates"	177	-539544	0	-58	-95	29	0.9	-2	5715	0.08		
"Angola"	171	171	0	1	-97	100	0.05	-11	7692	0.06		
"Bangladesh"	152	78	0	234	-51	49	0.3	6	4172	0.15		
"Algeria"	140	-78238	0	32	-70	64	0.2	-8	4584	0.07		
"Central African Republic"	137	102	0	112	-47	199	0	7	6606	0.08		
"Cyprus"	112	112	0	40	-67	105	0.05	-1	3118	0.09		
"Guinea-Bissau"	103	103	0			195	0	2	5802	0.16		
"Sweden"	95	-1984	0		-69	31	0.9	3	2128	0.07		
"Niger"	88	85	0	79	-35	162	0	13	5715	0.09		
"Taipei, Chinese"	79	-23	0	-43	-64	17	1.7	8	5007	0.1		
"Libya, State of"	72	-315	0	-28	52	89	0.07	12	3475	0.08		
"Ecuador"	62	-1037	0			69	0.1	3	9174	0.12		
"Ireland"	50	-4253	0	132		36	0.5	4	3265	0.1		
"Cuba"	43	43	0			145	0.02	-13	7148	0.09		
"Chile"	43	-10554	0	33	-81	43	0.4	6	11582	0.13		
"Singapore"	43	-35954	0	214		16	1.9	3	5773	0.07		
"Jordan"	32	-419	0	-27	43	84	0.08	0	5167	0.07		
"Ethiopia"	30	-17	0		-2	90	0.07	1	6305	0.11		
"Malaysia"	25	-75628	0	2	-94	25	1.1	3	5172	0.09		
"Colombia"	23	4	0			51	0.3	4	8915	0.13		
"Switzerland"	19	-35225	0	-85	-100	20	1.5	4	3384	0.07		
"Macedonia, North"	18	14	0	163		103	0.05	8	1348	0.09		
"Israel"	13	-247	0	3		42	0.4	4	5483	0.07		
"Sudan"	12	4	0	15		122	0.03	-2		0.13		
"Hungary"	9	-522	0			33	0.6	6	2180	0.09		
"Chad"	6	6	0		-82	184	0	13	6931	0.16		
"Eswatini"	6	-5618	0	78		160	0	1	1597	0.74		
"Finland"	6	-13446	0		22	44	0.4	3	2842	0.07		
"Hong Kong, China"	4	-2990	0	-40	-91	5	3.3	3	2841	0.22		
"Botswana"	3	3	0			124	0.03	2	2968	0.52		
"Yemen"	3	-4	0			107	0.04	11	5706	0.11		
"Rwanda"	2	2	0			159	0.01	17	5437	0.08		
"Somalia"	1	1	0			150	0.01	9	5305	0.16		
"Iran, Islamic Republic of"	1	0	0	71		72	0.1	-18	5612	0.13		
"Peru"	1	-185	0	-41		54	0.2	3	10420	0.13		
"New Zealand"	1	-862	0	240		56	0.2	3	11141	0.09		
"Slovakia"		-1				38	0.5	4	2664	0.07		
"Palestine, State of"		-1				176	0	8	3026	0.1		
"Cabo Verde"		-1				181	0	4	5196	0.21		
"Madagascar"		-2				138	0.02	2	7339	0.08		
"Kyrgyzstan"		-3				127	0.03	1	2892	0.2		
"French Southern and Antarctic Territories"		-4				214	0	14		0.12		
"Haiti"		-5				140	0.02	0	6340	0.18		
"Afghanistan"		-5				147	0.02	-8	2990	0.12		
"Nicaragua"		-6				104	0.05	4	5888	0.1		
"Albania"		-6				121	0.03	6	1886	0.13		
"Lao People's Democratic Republic"		-6				129	0.02	-1	2572	0.28		
"Montserrat"		-6				224	0	-7		0.49		
"Mozambique"		-8				108	0.04	8	6196	0.1		
"Moldova, Republic of"		-9				118	0.03	8	2317	0.08		
"Curaçao"		-9				163	0	-12		0.24		
"Georgia"		-11				113	0.04	-2	2513	0.09		
"Wallis and Futuna Islands"		-11				218	0	7	10103	0.24		
"Uganda"		-15				132	0.02	11	5788	0.09		
"Marshall Islands"		-17				91	0.06	-1	7455	0.18		
"Montenegro"		-27				152	0.01	0	2382	0.08		
"United States Minor Outlying Islands"		-31				177	0	0		0.21		
"Macao, China"		-38				81	0.09	15		0.17		
"Kuwait"		-48				76	0.1	-3	5837	0.07		
"Iraq"		-52				62	0.2	3	4107	0.18		
"Malawi"		-58				168	0	0	5169	0.15		
"Korea, Democratic People's Republic of"		-65				200	0	-49	1470	0.87		
"Croatia"		-69				63	0.2	6	1362	0.07		
"Romania"		-109				37	0.5	6	1891	0.07		
"Bahamas"		-128				115	0.03	-8	6248	0.19		
"Andorra"		-144				166	0	2	610	0.52		
"Luxembourg"		-157				71	0.1	3	1488	0.14		
"Syrian Arab Republic"		-164				139	0.02	-3	2496	0.27		
"Bahrain"		-166				101	0.05	1	6359	0.08		
"Tanzania, United Republic of"		-172				102	0.05	7	6633	0.1		
"Kenya"		-215				80	0.09	2	6680	0.08		
"Sri Lanka"		-219				85	0.08	-3	4351	0.16		
"Tokelau"		-226				226	0	-33	11566	0.22		
"Czech Republic"		-229				28	1	4	2987	0.1		
"Iceland"		-243				112	0.04	-1	4251	0.05		
"Bulgaria"		-369				57	0.2	6	2237	0.05		
"Slovenia"		-420				55	0.2	10	2404	0.07		
"Lebanon"		-451				97	0.06	-12	3592	0.06		
"Mauritius"		-467				133	0.02	-2	7320	0.08		
"Philippines"		-472				34	0.6	2	4354	0.09		
"Bosnia and Herzegovina"		-497				94	0.06	3	2228	0.07		
"Qatar"		-605				70	0.1	0	5745	0.06		
"Turks and Caicos Islands"		-809				193	0	-3	3491	0.74		
"Oman"		-1597				83	0.08	-6	5977	0.08		
"Mexico"		-1619				13	2.3	2	7039	0.24		
"Lithuania"		-1931				59	0.2	7	1630	0.07		
"Austria"		-1943				27	1	3	1514	0.18		
"Mauritania"		-2194				146	0.02	1	5817	0.07		
"Pakistan"		-5403				47	0.3	2	4850	0.11		
"Serbia"		-7075				65	0.2	9	2497	0.06		
"Estonia"		-7681				73	0.1	6	2314	0.06		
"Uruguay"		-10576				95	0.06	0	9836	0.11		
"Latvia"		-20595				77	0.1	7	1575	0.08		
"Guatemala"		-33048				68	0.1	7	5828	0.15		
"Argentina"		-47464				50	0.3	-5	10631	0.1		
"Brazil"		-88349				26	1	6	10879	0.09		
"Kazakhstan"						58	0.2	6	3017	0.25		
"Cambodia"						66	0.1	16	2651	0.18		
"Dominican Republic"						67	0.1	5	6446	0.22		
"Uzbekistan"						74	0.1	16	3412	0.12		
"Ship stores and bunkers"						75	0.1	-11		0.16		
"Myanmar"						79	0.10	-1	2536	0.25		
"Costa Rica"						86	0.08	3	6987	0.22		
"El Salvador"						88	0.07	9	4914	0.15		
"Paraguay"						92	0.06	0	7311	0.15		
"Nepal"						96	0.06	8	1856	0.56		
"Azerbaijan"						98	0.05	5	3712	0.09		
"Honduras"						99	0.05	4	6104	0.16		
"Bolivia, Plurinational State of"						106	0.04	-3	7978	0.11		
"Brunei Darussalam"						109	0.04	26	5185	0.11		
"Gibraltar"						114	0.03	-5	2572	0.09		
"Venezuela, Bolivarian Republic of"						117	0.03	-11	8121	0.16		
"Cayman Islands"						123	0.03	5	7522	0.35		
"Mongolia"						125	0.03	8	3267	0.22		
"Trinidad and Tobago"						128	0.03	-1	6663	0.26		
"Djibouti"						130	0.02	5	6387	0.22		
"Armenia"						131	0.02	6	3323	0.15		
"Zimbabwe"						134	0.02	7	3754	0.39		
"Jamaica"						137	0.02	-2	6759	0.22		
"Tajikistan"						142	0.02	9	2803	0.17		
"Papua New Guinea"						143	0.02	-1	4973	0.17		
"Guyana"						144	0.02	13	11175	0.21		
"Turkmenistan"						148	0.02	4	3495	0.15		
"Maldives"						151	0.01	-3	4478	0.08		
"New Caledonia"						155	0.01	-1	11471	0.2		
"British Virgin Islands"						156	0.01	8	7242	0.27		
"Fiji"						157	0.01	-7	7384	0.12		
"Barbados"						161	0	0	4992	0.21		
"Lesotho"						164	0	-2	1590	0.78		
"French Polynesia"						165	0	1	13300	0.24		
"Bermuda"						169	0	-3	8006	0.28		
"Saint Lucia"						171	0	-10	5321	0.23		
"Faroe Islands"						172	0	7	1404	0.27		
"Suriname"						173	0	1	9050	0.14		
"Antigua and Barbuda"						174	0	1	6334	0.27		
"Aruba"						175	0	-3	4917	0.3		
"Bhutan"						178	0	15	1733	0.63		
"Greenland"						180	0	6	3482	0.44		
"Timor-Leste"						183	0	12	3988	0.22		
"Dominica"						185	0	8	4908	0.65		
"Free Zones"						186	0	-34		0.92		
"Seychelles"						187	0	-7	6627	0.06		
"Burundi"						188	0	13	4755	0.14		
"Bonaire, Sint Eustatius and Saba"						189	0	20		0.19		
"Solomon Islands"						190	0	0	6301	0.17		
"Grenada"						191	0	-1	4157	0.2		
"Comoros"						192	0	18	5731	0.22		
"South Sudan"						194	0	12		0.25		
"Saint Vincent and the Grenadines"						196	0	3	6798	0.14		
"Samoa"						197	0	-1	6816	0.13		
"Vanuatu"						198	0	-2	6248	0.13		
"Saint Kitts and Nevis"						201	0	-12	5440	0.41		
"Tonga"						202	0	4	5771	0.16		
"Eritrea"						203	0	-8	6303	0.14		
"Tuvalu"						204	0	17	6386	0.21		
"Kiribati"						205	0	10	5936	0.13		
"Cook Islands"						206	0	-4	9417	0.22		
"Falkland Islands (Malvinas)"						207	0	2	12325	0.46		
"Micronesia, Federated States of"						208	0	-8	7109	0.19		
"Palau"						209	0	1	6232	0.16		
"Sao Tome and Principe"						210	0	-3	6155	0.31		
"Nauru"						211	0	18	6014	0.27		
"Anguilla"						212	0	-5	4397	0.58		
"Sint Maarten (Dutch part)"						213	0	-7		0.43		
"Saint Pierre and Miquelon"						215	0	10	3489	0.45		
"Northern Mariana Islands"						216	0	-19	3811	0.2		
"Saint Helena"						217	0	6	7699	0.31		
"British Indian Ocean Territory"						219	0	-9		0.67		
"Christmas Island"						220	0	3		0.69		
"Western Sahara"						221	0	-16	12469	0.9		
"Norfolk Island"						222	0	1	5454	0.24		
"Niue"						223	0	7	11410	0.48		
"Cocos (Keeling) Islands"						225	0	8		0.74		
"Pitcairn"						227	0	-5		0.23		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
