Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Israel's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Israel (%)	
"Bahrain"	3781	316	0		5151	101	0.05	1	6359	0.08		
"Gabon"	3334	2635	0	51	178	158	0.01	-2	7114	0.11		
"Nicaragua"	3209	2008	0	-16	7	104	0.05	4	5888	0.1		
"Bolivia, Plurinational State of"	3009	255	0	3	-18	106	0.04	-3	7978	0.11		
"Iceland"	2913	-914	0	-10	40	112	0.04	-1	4251	0.05		
"Zimbabwe"	2752	2064	0	6	80	134	0.02	7	3754	0.39		
"Myanmar"	2737	-16193	0	-48	-10	79	0.10	-1	2536	0.25		
"Macedonia, North"	2608	-5141	0	-10	-39	103	0.05	8	1348	0.09		
"Bosnia and Herzegovina"	2294	-8220	0	1	10	94	0.06	3	2228	0.07		
"Botswana"	2050	1996	0	-52	24	124	0.03	2	2968	0.52		
"Nepal"	1854	1393	0	-22	-14	96	0.06	8	1856	0.56		
"Cambodia"	1578	-76524	0	77	-59	66	0.1	16	2651	0.18		
"Congo"	1514	1120	0	-14	95	154	0.01	-18	6851	0.07		
"Eswatini"	1239	1165	0	97	-5	160	0	1	1597	0.74		
"Barbados"	1164	901	0	-2	159	161	0	0	4992	0.21		
"Trinidad and Tobago"	1092	971	0	-5	-87	128	0.03	-1	6663	0.26		
"Venezuela, Bolivarian Republic of"	837	-527	0	-40	-1	117	0.03	-11	8121	0.16		
"Angola"	806	745	0	-28	-85	100	0.05	-11	7692	0.06		
"Papua New Guinea"	730	337	0	-33	-43	143	0.02	-1	4973	0.17		
"Haiti"	598	534	0	-25	71	140	0.02	0	6340	0.18		
"Fiji"	531	530	0	-38	44	157	0.01	-7	7384	0.12		
"Montenegro"	343	97	0	90	-32	152	0.01	0	2382	0.08		
"Gibraltar"	239	190	0	-65	-98	114	0.03	-5	2572	0.09		
"Mozambique"	232	18	0	-1	-90	108	0.04	8	6196	0.1		
"Bahamas"	192	188	0	-4	85	115	0.03	-8	6248	0.19		
"Qatar"	124	124	0			70	0.1	0	5745	0.06		
"Togo"	84	-88	0	-45	-98	153	0.01	10	7318	0.08		
"Somalia"	56	-50	0	202	-97	150	0.01	9	5305	0.16		
"Guinea"	54	12	0	26	-89	135	0.02	7	9140	0.19		
"Benin"	46	46	0	-14	-97	149	0.01	-2	6481	0.07		
"Congo, Democratic Republic of the"	43	-193	0	1	-93	111	0.04	13	6479	0.14		
"Kyrgyzstan"	38	-414	0	-20	-95	127	0.03	1	2892	0.2		
"Bangladesh"	26	-201376	0	-7	-57	49	0.3	6	4172	0.15		
"Maldives"	17	7	0	-28	-81	151	0.01	-3	4478	0.08		
"Mali"	16	-70	0	-65	-100	141	0.02	9	5008	0.1		
"Iraq"	12	12	0			62	0.2	3	4107	0.18		
"Sint Maarten (Dutch part)"	9	9	0			213	0	-7		0.43		
"Saudi Arabia"	5	5	0			32	0.7	3	5816	0.07		
"Curaçao"	4	1	0	-41	-99	163	0	-12		0.24		
"Burkina Faso"	4	-714	0	-38	-100	136	0.02	5	6109	0.05		
"United States Minor Outlying Islands"	3	-281	0	-41	-95	177	0	0		0.21		
"Chad"	2	-260	0	-16	-100	184	0	13	6931	0.16		
"Lao People's Democratic Republic"	2	-2065	0	-11	-100	129	0.02	-1	2572	0.28		
"Macao, China"	2	-4126	0	-49	-100	81	0.09	15		0.17		
"Niger"	1	-182	0	-51		162	0	13	5715	0.09		
"Timor-Leste"		-1				183	0	12	3988	0.22		
"Saint Lucia"		-2				171	0	-10	5321	0.23		
"Tonga"		-2				202	0	4	5771	0.16		
"Saint Helena"		-2				217	0	6	7699	0.31		
"Saint Vincent and the Grenadines"		-3				196	0	3	6798	0.14		
"Central African Republic"		-3				199	0	7	6606	0.08		
"Guyana"		-6				144	0.02	13	11175	0.21		
"French Polynesia"		-6				165	0	1	13300	0.24		
"Cayman Islands"		-11				123	0.03	5	7522	0.35		
"Sao Tome and Principe"		-12				210	0	-3	6155	0.31		
"Afghanistan"		-17				147	0.02	-8	2990	0.12		
"Equatorial Guinea"		-17				182	0	2	6008	0.11		
"Palau"		-20				209	0	1	6232	0.16		
"New Caledonia"		-21				155	0.01	-1	11471	0.2		
"Cabo Verde"		-28				181	0	4	5196	0.21		
"Bermuda"		-34				169	0	-3	8006	0.28		
"Turks and Caicos Islands"		-40				193	0	-3	3491	0.74		
"Wallis and Futuna Islands"		-69				218	0	7	10103	0.24		
"Eritrea"		-72				203	0	-8	6303	0.14		
"Falkland Islands (Malvinas)"		-74				207	0	2	12325	0.46		
"Grenada"		-96				191	0	-1	4157	0.2		
"Brunei Darussalam"		-102				109	0.04	26	5185	0.11		
"Sudan"		-103				122	0.03	-2		0.13		
"Mongolia"		-104				125	0.03	8	3267	0.22		
"Cook Islands"		-106				206	0	-4	9417	0.22		
"Mauritania"		-107				146	0.02	1	5817	0.07		
"Antigua and Barbuda"		-134				174	0	1	6334	0.27		
"Suriname"		-146				173	0	1	9050	0.14		
"Nauru"		-204				211	0	18	6014	0.27		
"Burundi"		-211				188	0	13	4755	0.14		
"Norfolk Island"		-287				222	0	1	5454	0.24		
"Samoa"		-302				197	0	-1	6816	0.13		
"Tajikistan"		-354				142	0.02	9	2803	0.17		
"Andorra"		-417				166	0	2	610	0.52		
"Sierra Leone"		-426				170	0	10	8820	0.13		
"Gambia"		-456				167	0	7	8260	0.14		
"Lesotho"		-595				164	0	-2	1590	0.78		
"Belize"		-635				179	0	1	5006	0.18		
"Liberia"		-642				87	0.07	17	11608	0.19		
"Malawi"		-713				168	0	0	5169	0.15		
"Marshall Islands"		-776				91	0.06	-1	7455	0.18		
"Djibouti"		-861				130	0.02	5	6387	0.22		
"Madagascar"		-1192				138	0.02	2	7339	0.08		
"Dominica"		-1284				185	0	8	4908	0.65		
"Seychelles"		-2653				187	0	-7	6627	0.06		
"Algeria"		-14942				64	0.2	-8	4584	0.07		
"Tunisia"		-28577				78	0.10	-1	3411	0.06		
"Pakistan"		-41337				47	0.3	2	4850	0.11		
"Iran, Islamic Republic of"						72	0.1	-18	5612	0.13		
"Ship stores and bunkers"						75	0.1	-11		0.16		
"Oman"						83	0.08	-6	5977	0.08		
"Libya, State of"						89	0.07	12	3475	0.08		
"Lebanon"						97	0.06	-12	3592	0.06		
"Yemen"						107	0.04	11	5706	0.11		
"Syrian Arab Republic"						139	0.02	-3	2496	0.27		
"British Virgin Islands"						156	0.01	8	7242	0.27		
"Faroe Islands"						172	0	7	1404	0.27		
"Aruba"						175	0	-3	4917	0.3		
"Palestine, State of"						176	0	8	3026	0.1		
"Bhutan"						178	0	15	1733	0.63		
"Greenland"						180	0	6	3482	0.44		
"Free Zones"						186	0	-34		0.92		
"Bonaire, Sint Eustatius and Saba"						189	0	20		0.19		
"Solomon Islands"						190	0	0	6301	0.17		
"Comoros"						192	0	18	5731	0.22		
"South Sudan"						194	0	12		0.25		
"Guinea-Bissau"						195	0	2	5802	0.16		
"Vanuatu"						198	0	-2	6248	0.13		
"Korea, Democratic People's Republic of"						200	0	-49	1470	0.87		
"Saint Kitts and Nevis"						201	0	-12	5440	0.41		
"Tuvalu"						204	0	17	6386	0.21		
"Kiribati"						205	0	10	5936	0.13		
"Micronesia, Federated States of"						208	0	-8	7109	0.19		
"Anguilla"						212	0	-5	4397	0.58		
"French Southern and Antarctic Territories"						214	0	14		0.12		
"Saint Pierre and Miquelon"						215	0	10	3489	0.45		
"Northern Mariana Islands"						216	0	-19	3811	0.2		
"British Indian Ocean Territory"						219	0	-9		0.67		
"Christmas Island"						220	0	3		0.69		
"Western Sahara"						221	0	-16	12469	0.9		
"Niue"						223	0	7	11410	0.48		
"Montserrat"						224	0	-7		0.49		
"Cocos (Keeling) Islands"						225	0	8		0.74		
"Tokelau"						226	0	-33	11566	0.22		
"Pitcairn"						227	0	-5		0.23		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
