Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in United States of America's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by United States of America (%)	
"Ecuador"	5019483	-3628054	0.3	-3	21	69	0.1	3	9174	0.12		
"El Salvador"	4127491	1500470	0.2	3	60	88	0.07	9	4914	0.15		
"Austria"	3954692	-11644661	0.2	-2	15	27	1	3	1514	0.18		
"Nigeria"	3865856	290436	0.2	13	38	53	0.2	17	7792	0.1		
"Norway"	3781155	-3216879	0.2	-13	36	39	0.5	3	3470	0.06		
"New Zealand"	3725082	-1434079	0.2	-3	17	56	0.2	3	11141	0.09		
"Czech Republic"	3658352	-2957149	0.2	10	23	28	1	4	2987	0.1		
"Denmark"	3615978	-8737713	0.2	12	23	35	0.6	5	2182	0.08		
"Pakistan"	3546021	-2132249	0.2	5	22	47	0.3	2	4850	0.11		
"Kuwait"	3061619	1974091	0.2	-12	38	76	0.1	-3	5837	0.07		
"Bahamas"	2911507	2442305	0.2	-2	4	115	0.03	-8	6248	0.19		
"Hungary"	2909692	-4305386	0.2	11	38	33	0.6	6	2180	0.09		
"Morocco"	2759885	1422392	0.2	2	20	52	0.3	4	4316	0.07		
"Trinidad and Tobago"	2741773	-1689150	0.2	10	14	128	0.03	-1	6663	0.26		
"Qatar"	2587600	681966	0.1	-6	-24	70	0.1	0	5745	0.06		
"Ukraine"	2528336	540274	0.1	4	33	48	0.3	7	3255	0.06		
"Bangladesh"	2337369	-6458518	0.1	8	26	49	0.3	6	4172	0.15		
"Portugal"	2318213	-2849999	0.1	15	40	40	0.4	2	2788	0.14		
"Nicaragua"	2102935	-2692718	0.1	4	48	104	0.05	4	5888	0.1		
"Paraguay"	2079665	1876818	0.1	-10	64	92	0.06	0	7311	0.15		
"Jamaica"	1961736	1439934	0.1	-6	18	137	0.02	-2	6759	0.22		
"Uruguay"	1797365	1127410	0.1	1	48	95	0.06	0	9836	0.11		
"Finland"	1712411	-5313844	0.1	1	9	44	0.4	3	2842	0.07		
"Venezuela, Bolivarian Republic of"	1652713	1325758	0.1	-30	46	117	0.03	-11	8121	0.16		
"Greece"	1591436	-237533	0.1	13	16	45	0.3	4	2847	0.05		
"Luxembourg"	1533321	919586	0.1	10	13	71	0.1	3	1488	0.14		
"Romania"	1414926	-1629026	0.1	6	53	37	0.5	6	1891	0.07		
"Oman"	1399490	-589317	0.1	-14	24	83	0.08	-6	5977	0.08		
"Haiti"	1351745	207557	0.1	-1	-3	140	0.02	0	6340	0.18		
"Lithuania"	1237909	-938183	0.1	20	21	59	0.2	7	1630	0.07		
"Jordan"	1233932	-1593291	0.1	-10	-6	84	0.08	0	5167	0.07		
"Cayman Islands"	1210293	1165990	0.1	4	61	123	0.03	5	7522	0.35		
"Guyana"	990853	-1300503	0.1	24	51	144	0.02	13	11175	0.21		
"Ghana"	983215	-795868	0.1	4	19	82	0.08	8	8888	0.18		
"Bahrain"	936197	-302127	0.1	-7	6	101	0.05	1	6359	0.08		
"Kazakhstan"	807367	-987946	0	4	59	58	0.2	6	3017	0.25		
"Iraq"	805818	-3079579	0	-13	5	62	0.2	3	4107	0.18		
"Algeria"	783625	-1123674	0	-11	8	64	0.2	-8	4584	0.07		
"Gibraltar"	772065	768205	0	-12	-7	114	0.03	-5	2572	0.09		
"Croatia"	757966	-79294	0	4	140	63	0.2	6	1362	0.07		
"Curaçao"	722579	629577	0	-17	6	163	0	-12		0.24		
"Barbados"	715840	669807	0	5	42	161	0	0	4992	0.21		
"Georgia"	671911	469953	0	11	54	113	0.04	-2	2513	0.09		
"Lebanon"	665849	467512	0	-17	-2	97	0.06	-12	3592	0.06		
"Iceland"	628875	10255	0	1	115	112	0.04	-1	4251	0.05		
"Ethiopia"	585433	-37887	0	-11	-36	90	0.07	1	6305	0.11		
"Antigua and Barbuda"	556322	526497	0	0	91	174	0	1	6334	0.27		
"Bermuda"	551458	540608	0	-7	20	169	0	-3	8006	0.28		
"Kenya"	551026	-158939	0	4	48	80	0.09	2	6680	0.08		
"Saint Lucia"	545889	534604	0	0	-12	171	0	-10	5321	0.23		
"Aruba"	537091	508100	0	-17	74	175	0	-3	4917	0.3		
"Bolivia, Plurinational State of"	527819	23091	0	-5	18	106	0.04	-3	7978	0.11		
"Dominica"	522811	520208	0	20	419	185	0	8	4908	0.65		
"Tunisia"	454093	-294972	0	-7	6	78	0.10	-1	3411	0.06		
"Angola"	449395	-639855	0	-12	-4	100	0.05	-11	7692	0.06		
"Estonia"	444940	-1508199	0	10	29	73	0.1	6	2314	0.06		
"Belize"	440861	370644	0	8	12	179	0	1	5006	0.18		
"Latvia"	414564	-297474	0	-3	35	77	0.1	7	1575	0.08		
"Cambodia"	413670	-8957575	0	-2	20	66	0.1	16	2651	0.18		
"Uzbekistan"	401627	212482	0	18	122	74	0.1	16	3412	0.12		
"Sri Lanka"	391227	-2649430	0	3	9	85	0.08	-3	4351	0.16		
"Senegal"	384346	229635	0	13	37	110	0.04	4	6632	0.05		
"Turks and Caicos Islands"	379422	374017	0	-3	46	193	0	-3	3491	0.74		
"Bulgaria"	339375	-864600	0	-2	-10	57	0.2	6	2237	0.05		
"Slovakia"	336053	-4812767	0	-4	1	38	0.5	4	2664	0.07		
"Cuba"	323457	320555	0	-2	83	145	0.02	-13	7148	0.09		
"Benin"	319063	310602	0	2	62	149	0.01	-2	6481	0.07		
"Côte d'Ivoire"	318746	-954774	0	-4	46	93	0.06	9	6793	0.08		
"Suriname"	300580	229130	0	-7	12	173	0	1	9050	0.14		
"Libya, State of"	295866	-1924196	0	19	2	89	0.07	12	3475	0.08		
"Tanzania, United Republic of"	280415	178939	0	11	15	102	0.05	7	6633	0.1		
"British Virgin Islands"	275711	270862	0	-17	-3	156	0.01	8	7242	0.27		
"Yemen"	271803	261008	0	12	-17	107	0.04	11	5706	0.11		
"Afghanistan"	247405	224633	0	-28	-63	147	0.02	-8	2990	0.12		
"Slovenia"	243016	-1371736	0	-9	-19	55	0.2	10	2404	0.07		
"Marshall Islands"	240079	221986	0	-23	100	91	0.06	-1	7455	0.18		
"Congo, Democratic Republic of the"	225133	-46541	0	33	47	111	0.04	13	6479	0.14		
"Cyprus"	224227	157029	0	19	118	105	0.05	-1	3118	0.09		
"Togo"	221387	201776	0	-20	-29	153	0.01	10	7318	0.08		
"Macao, China"	219495	65829	0	-25	20	81	0.09	15		0.17		
"Belarus"	216476	-288377	0	23	78	61	0.2	2	2268	0.23		
"Myanmar"	215028	-782330	0	3	-37	79	0.10	-1	2536	0.25		
"Serbia"	212562	-466693	0	9	21	65	0.2	9	2497	0.06		
"Niger"	201537	104782	0	47	39	162	0	13	5715	0.09		
"Sudan"	201018	181716	0	19	72	122	0.03	-2		0.13		
"Nepal"	197272	79554	0	28	111	96	0.06	8	1856	0.56		
"Djibouti"	194140	161299	0	10	3	130	0.02	5	6387	0.22		
"Mozambique"	189879	30053	0	-2	49	108	0.04	8	6196	0.1		
"Fiji"	180706	-122551	0	11	357	157	0.01	-7	7384	0.12		
"Uganda"	167617	70799	0	10	77	132	0.02	11	5788	0.09		
"Cameroon"	152607	-66092	0	-1	-19	116	0.03	8	7279	0.14		
"Guinea"	151834	140696	0	9	12	135	0.02	7	9140	0.19		
"Saint Kitts and Nevis"	146954	105789	0	-13	8	201	0	-12	5440	0.41		
"Liberia"	143417	62896	0	-7	54	87	0.07	17	11608	0.19		
"Mauritania"	138392	133800	0	5	8	146	0.02	1	5817	0.07		
"Mongolia"	137926	119087	0	11	17	125	0.03	8	3267	0.22		
"Azerbaijan"	133838	24550	0	-23	-17	98	0.05	5	3712	0.09		
"Grenada"	131658	114664	0	3	33	191	0	-1	4157	0.2		
"Malta"	130184	-123130	0	-18	-6	120	0.03	1	3249	0.08		
"French Polynesia"	129104	43543	0	-7	2	165	0	1	13300	0.24		
"Sierra Leone"	114843	97320	0	8	56	170	0	10	8820	0.13		
"Congo"	112186	57818	0	-1	13	154	0.01	-18	6851	0.07		
"Saint Vincent and the Grenadines"	102324	96150	0	4	32	196	0	3	6798	0.14		
"Brunei Darussalam"	99281	79087	0	-11	-17	109	0.04	26	5185	0.11		
"Albania"	97558	26935	0	9	71	121	0.03	6	1886	0.13		
"Burkina Faso"	97207	93357	0	12	35	136	0.02	5	6109	0.05		
"Mali"	96659	93189	0	12	-2	141	0.02	9	5008	0.1		
"Gabon"	95169	-29348	0	-1	3	158	0.01	-2	7114	0.11		
"Zambia"	94143	-84507	0	-8	31	119	0.03	-9	5447	0.14		
"Namibia"	93232	-60204	0	-15	55	126	0.03	-1	3757	0.37		
"Anguilla"	80977	80277	0	-3	72	212	0	-5	4397	0.58		
"Turkmenistan"	79023	53962	0	-22	140	148	0.02	4	3495	0.15		
"Mauritius"	78458	-190748	0	-4	58	133	0.02	-2	7320	0.08		
"New Caledonia"	72685	27290	0	4	20	155	0.01	-1	11471	0.2		
"Madagascar"	56843	-633652	0	-10	58	138	0.02	2	7339	0.08		
"Gambia"	54248	52960	0	7	31	167	0	7	8260	0.14		
"Botswana"	52880	-204952	0	-15	9	124	0.03	2	2968	0.52		
"Somalia"	52611	51416	0	-4	-7	150	0.01	9	5305	0.16		
"Bosnia and Herzegovina"	51667	-120346	0	6	139	94	0.06	3	2228	0.07		
"Equatorial Guinea"	51424	-230549	0	-18	-45	182	0	2	6008	0.11		
"Rwanda"	49878	17474	0	-5	82	159	0.01	17	5437	0.08		
"Micronesia, Federated States of"	49296	46683	0	4	-15	208	0	-8	7109	0.19		
"Macedonia, North"	45676	-132312	0	3	4	103	0.05	8	1348	0.09		
"Zimbabwe"	44544	299	0	6	-4	134	0.02	7	3754	0.39		
"Armenia"	44460	-46607	0	-9	59	131	0.02	6	3323	0.15		
"Papua New Guinea"	44314	-36301	0	-19	-29	143	0.02	-1	4973	0.17		
"Chad"	41919	37682	0	5	-9	184	0	13	6931	0.16		
"Maldives"	41302	24896	0	-1	67	151	0.01	-3	4478	0.08		
"Iran, Islamic Republic of"	39365	38071	0	-39	8	72	0.1	-18	5612	0.13		
"Moldova, Republic of"	38000	-35903	0	33	-24	118	0.03	8	2317	0.08		
"Eswatini"	37110	12979	0	4	73	160	0	1	1597	0.74		
"Kyrgyzstan"	34071	27705	0	13	5	127	0.03	1	2892	0.2		
"Lao People's Democratic Republic"	33545	-191843	0	10	37	129	0.02	-1	2572	0.28		
"Samoa"	33370	23221	0	-6	27	197	0	-1	6816	0.13		
"Palau"	26590	25975	0	7	26	209	0	1	6232	0.16		
"Malawi"	23331	-26812	0	-6	77	168	0	0	5169	0.15		
"Eritrea"	19353	18870	0	42	4	203	0	-8	6303	0.14		
"Tonga"	18878	14937	0	-3	29	202	0	4	5771	0.16		
"Central African Republic"	17511	15701	0	15	11	199	0	7	6606	0.08		
"Tajikistan"	15203	14288	0	-9	102	142	0.02	9	2803	0.17		
"Solomon Islands"	14739	12458	0	0	216	190	0	0	6301	0.17		
"Saint Helena"	13265	-18825	0	126	173	217	0	6	7699	0.31		
"Greenland"	13144	-28499	0	2	89	180	0	6	3482	0.44		
"Cabo Verde"	12594	6944	0	4	82	181	0	4	5196	0.21		
"Montenegro"	11903	3886	0	0	-67	152	0.01	0	2382	0.08		
"Seychelles"	11359	-694	0	-4	-33	187	0	-7	6627	0.06		
"Timor-Leste"	11224	4783	0	61	21	183	0	12	3988	0.22		
"Montserrat"	10265	8425	0	-3	-12	224	0	-7		0.49		
"British Indian Ocean Territory"	6074	5673	0	-32	-17	219	0	-9		0.67		
"Bhutan"	5921	5543	0	-48	107	178	0	15	1733	0.63		
"Andorra"	4690	-3536	0	9	27	166	0	2	610	0.52		
"Norfolk Island"	4541	4490	0	203	-61	222	0	1	5454	0.24		
"Burundi"	4456	560	0	-20	-18	188	0	13	4755	0.14		
"Vanuatu"	4447	-2272	0	-14	-37	198	0	-2	6248	0.13		
"French Southern and Antarctic Territories"	4389	4222	0	10	398	214	0	14		0.12		
"Cook Islands"	4190	2898	0	-12	29	206	0	-4	9417	0.22		
"Guinea-Bissau"	3333	3127	0	-17	-9	195	0	2	5802	0.16		
"Sao Tome and Principe"	3258	1942	0	-9	344	210	0	-3	6155	0.31		
"Lesotho"	3245	-341162	0	11	48	164	0	-2	1590	0.78		
"Faroe Islands"	3038	-217721	0	10	9	172	0	7	1404	0.27		
"Palestine, State of"	2265	-5264	0	-5	-2	176	0	8	3026	0.1		
"Kiribati"	1939	900	0	-25	13	205	0	10	5936	0.13		
"Comoros"	1764	-4625	0	-2	25	192	0	18	5731	0.22		
"Nauru"	1313	-979	0	42	116	211	0	18	6014	0.27		
"Syrian Arab Republic"	1187	-8901	0	-49	-44	139	0.02	-3	2496	0.27		
"Cocos (Keeling) Islands"	770	-2001	0	0	540	225	0	8		0.74		
"Christmas Island"	739	-780	0	20	-63	220	0	3		0.69		
"Tuvalu"	486	184	0	-7	-71	204	0	17	6386	0.21		
"Falkland Islands (Malvinas)"	336	-12336	0	-4	10	207	0	2	12325	0.46		
"Tokelau"	173	-163	0	-60	98	226	0	-33	11566	0.22		
"Niue"	92	-676	0	-17	-47	223	0	7	11410	0.48		
"Wallis and Futuna Islands"	30	-78	0	-49	-81	218	0	7	10103	0.24		
"Pitcairn"	5	-48	0	-16		227	0	-5		0.23		
"Saint Pierre and Miquelon"	4	-12	0	-57	-99	215	0	10	3489	0.45		
"Ship stores and bunkers"						75	0.1	-11		0.16		
"United States Minor Outlying Islands"						177	0	0		0.21		
"Free Zones"						186	0	-34		0.92		
"Bonaire, Sint Eustatius and Saba"						189	0	20		0.19		
"South Sudan"						194	0	12		0.25		
"Korea, Democratic People's Republic of"						200	0	-49	1470	0.87		
"Sint Maarten (Dutch part)"						213	0	-7		0.43		
"Northern Mariana Islands"						216	0	-19	3811	0.2		
"Western Sahara"						221	0	-16	12469	0.9		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
