Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Portugal's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Portugal (%)	
"Senegal"	48591	33036	0.1	-4	3	110	0.04	4	6632	0.05		
"Dominican Republic"	42929	38684	0.1	7	59	67	0.1	5	6446	0.22		
"Qatar"	42670	-56633	0.1	0	19	70	0.1	0	5745	0.06		
"Ukraine"	42443	-308291	0.1	6	21	48	0.3	7	3255	0.06		
"Malta"	41822	-17729	0.1	10	37	120	0.03	1	3249	0.08		
"Libya, State of"	41721	28051	0.1	17	23	89	0.07	12	3475	0.08		
"Peru"	37252	704	0	-3	12	54	0.2	3	10420	0.13		
"Thailand"	36894	-216829	0	2	14	23	1.2	2	4905	0.09		
"Africa not elsewhere specified"	36285	36285	0	44	32							
"Cameroon"	33326	20544	0	-4	4	116	0.03	8	7279	0.14		
"Malaysia"	33206	-127674	0	-2	-13	25	1.1	3	5172	0.09		
"Kuwait"	32015	-25026	0	3	24	76	0.1	-3	5837	0.07		
"Cuba"	31548	-17632	0	-13	-11	145	0.02	-13	7148	0.09		
"Ghana"	29227	23634	0	-17	-39	82	0.08	8	8888	0.18		
"Serbia"	28887	-34776	0	-2	-3	65	0.2	9	2497	0.06		
"Pakistan"	26394	-209877	0	-6	-1	47	0.3	2	4850	0.11		
"Iraq"	25883	25865	0	-2	13	62	0.2	3	4107	0.18		
"Guatemala"	24700	22807	0	11	61	68	0.1	7	5828	0.15		
"Ecuador"	24356	-37646	0	5	64	69	0.1	3	9174	0.12		
"Lebanon"	23895	4982	0	-33	20	97	0.06	-12	3592	0.06		
"Macao, China"	23632	22823	0	-7	-6	81	0.09	15		0.17		
"Macedonia, North"	20842	11732	0	8	-8	103	0.05	8	1348	0.09		
"Guinea"	20019	19980	0	1	24	135	0.02	7	9140	0.19		
"Panama"	19970	11964	0	-9	58	60	0.2	1	8657	0.12		
"Uruguay"	19544	-52447	0	13	37	95	0.06	0	9836	0.11		
"Moldova, Republic of"	19209	6939	0	42	57	118	0.03	8	2317	0.08		
"Bangladesh"	18631	-75616	0	9	27	49	0.3	6	4172	0.15		
"Sri Lanka"	17692	3644	0	14	209	85	0.08	-3	4351	0.16		
"Mauritius"	17147	8943	0	25	14	133	0.02	-2	7320	0.08		
"Philippines"	16447	-18023	0	10	31	34	0.6	2	4354	0.09		
"Burkina Faso"	16342	15089	0	-3	78	136	0.02	5	6109	0.05		
"Indonesia"	15780	-143336	0	4	-49	30	0.9	2	5872	0.11		
"Benin"	15702	11437	0	23	83	149	0.01	-2	6481	0.07		
"Kenya"	15688	7274	0	-6	17	80	0.09	2	6680	0.08		
"Iceland"	15307	-3901	0	-5	32	112	0.04	-1	4251	0.05		
"Area Nes"	15230	-7496	0	-14	58							
"Costa Rica"	13927	-64086	0	6	81	86	0.08	3	6987	0.22		
"Congo"	13620	8310	0	11	67	154	0.01	-18	6851	0.07		
"Belarus"	13540	3354	0	5	-10	61	0.2	2	2268	0.23		
"Honduras"	13476	6032	0	18	153	99	0.05	4	6104	0.16		
"Palestine, State of"	12856	12856	0	47	118	176	0	8	3026	0.1		
"Georgia"	12283	11404	0	-1	-1	113	0.04	-2	2513	0.09		
"Syrian Arab Republic"	11999	11798	0	-11	-25	139	0.02	-3	2496	0.27		
"Albania"	11924	9292	0	9	-33	121	0.03	6	1886	0.13		
"Mauritania"	11509	-3315	0	-3	-45	146	0.02	1	5817	0.07		
"Paraguay"	11245	-952	0	0	-3	92	0.06	0	7311	0.15		
"Venezuela, Bolivarian Republic of"	10155	-24775	0	3	36	117	0.03	-11	8121	0.16		
"El Salvador"	9678	7602	0	-15	35	88	0.07	9	4914	0.15		
"Andorra"	9210	8973	0	25	54	166	0	2	610	0.52		
"Mali"	9100	6796	0	-9	65	141	0.02	9	5008	0.1		
"Oman"	9049	-113	0	-14	-40	83	0.08	-6	5977	0.08		
"Equatorial Guinea"	7444	-124181	0	-19	8	182	0	2	6008	0.11		
"Gabon"	7177	4393	0	-3	-8	158	0.01	-2	7114	0.11		
"Bolivia, Plurinational State of"	7119	6000	0	-4	4	106	0.04	-3	7978	0.11		
"Rwanda"	7079	7053	0	-6	206	159	0.01	17	5437	0.08		
"Madagascar"	6353	-3317	0	-16	63	138	0.02	2	7339	0.08		
"Ethiopia"	6101	1915	0	-16	2	90	0.07	1	6305	0.11		
"Uganda"	6023	-12137	0	10	-19	132	0.02	11	5788	0.09		
"Tanzania, United Republic of"	6019	-4239	0	-13	89	102	0.05	7	6633	0.1		
"Nicaragua"	6000	-5466	0	28	-37	104	0.05	4	5888	0.1		
"Togo"	5720	5525	0	15	-37	153	0.01	10	7318	0.08		
"Kazakhstan"	5709	-26730	0	-14	10	58	0.2	6	3017	0.25		
"Bahrain"	5552	5361	0	-32	-14	101	0.05	1	6359	0.08		
"Turkmenistan"	5464	2001	0	110	-59	148	0.02	4	3495	0.15		
"Congo, Democratic Republic of the"	5433	-126363	0	-4	5	111	0.04	13	6479	0.14		
"Seychelles"	5428	4398	0	24	14	187	0	-7	6627	0.06		
"Cambodia"	4604	-7182	0	4	-4	66	0.1	16	2651	0.18		
"Azerbaijan"	4599	-625115	0	7	43	98	0.05	5	3712	0.09		
"Timor-Leste"	4522	4505	0	-11	22	183	0	12	3988	0.22		
"Europe Othr. Nes"	4342	3768	0	-19	-74							
"Niger"	4341	4337	0	21	-21	162	0	13	5715	0.09		
"Sudan"	4318	4226	0	-22	-41	122	0.03	-2		0.13		
"Namibia"	4253	-17950	0	19	-65	126	0.03	-1	3757	0.37		
"Bosnia and Herzegovina"	3105	-3291	0	1	-2	94	0.06	3	2228	0.07		
"Gambia"	3061	1972	0	14	101	167	0	7	8260	0.14		
"Armenia"	3008	2533	0	-9	23	131	0.02	6	3323	0.15		
"Iran, Islamic Republic of"	3000	2058	0	-51	-75	72	0.1	-18	5612	0.13		
"Uzbekistan"	2940	-11574	0	11	38	74	0.1	16	3412	0.12		
"Jamaica"	2912	2901	0	5	84	137	0.02	-2	6759	0.22		
"Liberia"	2752	2369	0	12	137	87	0.07	17	11608	0.19		
"Bahamas"	2661	2604	0	-13	109	115	0.03	-8	6248	0.19		
"Trinidad and Tobago"	2661	-73221	0	22	-63	128	0.03	-1	6663	0.26		
"Eswatini"	2569	1990	0	2	-18	160	0	1	1597	0.74		
"Haiti"	2506	2418	0	-11	-25	140	0.02	0	6340	0.18		
"Tajikistan"	2495	2433	0	64	515	142	0.02	9	2803	0.17		
"New Caledonia"	2430	2345	0	-11	-1	155	0.01	-1	11471	0.2		
"Curaçao"	2396	2395	0	7	19	163	0	-12		0.24		
"Faroe Islands"	2248	2119	0	0	50	172	0	7	1404	0.27		
"Sierra Leone"	2057	-2209	0	39	58	170	0	10	8820	0.13		
"Yemen"	2019	1718	0	0	-23	107	0.04	11	5706	0.11		
"Barbados"	2006	1939	0	0	35	161	0	0	4992	0.21		
"Burundi"	1744	1743	0	6	31	188	0	13	4755	0.14		
"Montenegro"	1684	1670	0	-2	25	152	0.01	0	2382	0.08		
"Malawi"	1587	-5002	0	-16	-15	168	0	0	5169	0.15		
"Afghanistan"	1532	1487	0	26	4	147	0.02	-8	2990	0.12		
"French Polynesia"	1496	1491	0	-7	-15	165	0	1	13300	0.24		
"Aruba"	1435	1427	0	13	-13	175	0	-3	4917	0.3		
"Bonaire, Sint Eustatius and Saba"	1385	1371	0	-1	-5	189	0	20		0.19		
"Bermuda"	1334	1296	0	-3	-15	169	0	-3	8006	0.28		
"Myanmar"	1310	-2883	0	6	90	79	0.10	-1	2536	0.25		
"Djibouti"	1176	1139	0	19	442	130	0.02	5	6387	0.22		
"Greenland"	1080	-1767	0	29	23	180	0	6	3482	0.44		
"Maldives"	998	783	0	35	-26	151	0.01	-3	4478	0.08		
"Suriname"	963	-4663	0	12	2	173	0	1	9050	0.14		
"Zimbabwe"	959	-5519	0	27	-58	134	0.02	7	3754	0.39		
"Zambia"	723	177	0	-29	-10	119	0.03	-9	5447	0.14		
"Antigua and Barbuda"	664	362	0	6	557	174	0	1	6334	0.27		
"Comoros"	657	335	0	30	-38	192	0	18	5731	0.22		
"Saint Lucia"	571	571	0	67	45	171	0	-10	5321	0.23		
"Guyana"	503	-28798	0	-8	-5	144	0.02	13	11175	0.21		
"Central African Republic"	494	-2780	0	51	-20	199	0	7	6606	0.08		
"Lao People's Democratic Republic"	478	-15462	0	73	2	129	0.02	-1	2572	0.28		
"Sint Maarten (Dutch part)"	457	334	0	13	-90	213	0	-7		0.43		
"British Virgin Islands"	445	-36608	0	41	-67	156	0.01	8	7242	0.27		
"Lesotho"	431	421	0	75		164	0	-2	1590	0.78		
"Mongolia"	396	259	0	-21	100	125	0.03	8	3267	0.22		
"Somalia"	308	308	0	-10	-13	150	0.01	9	5305	0.16		
"Nepal"	308	30	0	-18	41	96	0.06	8	1856	0.56		
"Kyrgyzstan"	218	208	0	-4	-23	127	0.03	1	2892	0.2		
"Turks and Caicos Islands"	193	190	0	-43	1106	193	0	-3	3491	0.74		
"Botswana"	171	170	0	-2	-87	124	0.03	2	2968	0.52		
"Dominica"	160	160	0	-11	841	185	0	8	4908	0.65		
"Marshall Islands"	155	100	0	-36	-21	91	0.06	-1	7455	0.18		
"Brunei Darussalam"	143	138	0	-13	-57	109	0.04	26	5185	0.11		
"Cayman Islands"	127	116	0	31	48	123	0.03	5	7522	0.35		
"French Southern and Antarctic Territories"	67	65	0	-13		214	0	14		0.12		
"Kiribati"	65	65	0		-43	205	0	10	5936	0.13		
"Saint Vincent and the Grenadines"	54	54	0	-14	20	196	0	3	6798	0.14		
"Cocos (Keeling) Islands"	53	53	0			225	0	8		0.74		
"Belize"	53	-8093	0	-26	56	179	0	1	5006	0.18		
"Eritrea"	48	48	0	-34	-64	203	0	-8	6303	0.14		
"Saint Helena"	43	43	0			217	0	6	7699	0.31		
"Chad"	41	-1305	0	-62	-77	184	0	13	6931	0.16		
"Bhutan"	36	33	0		-68	178	0	15	1733	0.63		
"Anguilla"	34	34	0	-26		212	0	-5	4397	0.58		
"Papua New Guinea"	33	-7458	0	-35	43	143	0.02	-1	4973	0.17		
"Fiji"	31	-41	0	20	-98	157	0.01	-7	7384	0.12		
"Vanuatu"	18	17	0	4	13	198	0	-2	6248	0.13		
"United States Minor Outlying Islands"	16	-114	0	-24	60	177	0	0		0.21		
"Saint Pierre and Miquelon"	11	11	0		450	215	0	10	3489	0.45		
"Saint Kitts and Nevis"	9	-17	0	-31	125	201	0	-12	5440	0.41		
"Grenada"	8	8	0	-12	300	191	0	-1	4157	0.2		
"Solomon Islands"	2	2	0			190	0	0	6301	0.17		
"Samoa"		-1				197	0	-1	6816	0.13		
"Wallis and Futuna Islands"		-29				218	0	7	10103	0.24		
"Free Zones"						186	0	-34		0.92		
"South Sudan"						194	0	12		0.25		
"Korea, Democratic People's Republic of"						200	0	-49	1470	0.87		
"Tonga"						202	0	4	5771	0.16		
"Tuvalu"						204	0	17	6386	0.21		
"Cook Islands"						206	0	-4	9417	0.22		
"Falkland Islands (Malvinas)"						207	0	2	12325	0.46		
"Micronesia, Federated States of"						208	0	-8	7109	0.19		
"Palau"						209	0	1	6232	0.16		
"Nauru"						211	0	18	6014	0.27		
"Northern Mariana Islands"						216	0	-19	3811	0.2		
"British Indian Ocean Territory"						219	0	-9		0.67		
"Christmas Island"						220	0	3		0.69		
"Western Sahara"						221	0	-16	12469	0.9		
"Norfolk Island"						222	0	1	5454	0.24		
"Niue"						223	0	7	11410	0.48		
"Montserrat"						224	0	-7		0.49		
"Tokelau"						226	0	-33	11566	0.22		
"Pitcairn"						227	0	-5		0.23		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
