Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Austria's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Austria (%)	
"Malaysia"	595615	323018	0.3	-2	28	25	1.1	3	5172	0.09		
"Bosnia and Herzegovina"	583065	-260858	0.3	7	22	94	0.06	3	2228	0.07		
"Israel"	558523	392913	0.3	6	18	42	0.4	4	5483	0.07		
"Portugal"	554375	155198	0.3	4	27	40	0.4	2	2788	0.14		
"Ireland"	505179	-230237	0.2	9	42	36	0.5	4	3265	0.1		
"Singapore"	482176	65830	0.2	-1	40	16	1.9	3	5773	0.07		
"Lithuania"	414337	56899	0.2	12	32	59	0.2	7	1630	0.07		
"Saudi Arabia"	392551	381675	0.2	0	-16	32	0.7	3	5816	0.07		
"Thailand"	368499	-189720	0.2	6	-13	23	1.2	2	4905	0.09		
"Egypt"	316958	282557	0.2	2	12	46	0.3	-1	5219	0.05		
"Chile"	301486	160945	0.1	7	29	43	0.4	6	11582	0.13		
"Indonesia"	256378	117985	0.1	-2	24	30	0.9	2	5872	0.11		
"Estonia"	247984	126069	0.1	9	14	73	0.1	6	2314	0.06		
"Luxembourg"	236835	-305365	0.1	5	10	71	0.1	3	1488	0.14		
"Viet Nam"	226776	-2993753	0.1	-5	-14	19	1.5	8	3535	0.19		
"New Zealand"	217247	199092	0.1	5	34	56	0.2	3	11141	0.09		
"Morocco"	212851	127751	0.1	7	38	52	0.3	4	4316	0.07		
"Kazakhstan"	203120	-1413470	0.1	2	27	58	0.2	6	3017	0.25		
"Philippines"	201775	46331	0.1	0	31	34	0.6	2	4354	0.09		
"Mali"	195207	195191	0.1	16	14	141	0.02	9	5008	0.1		
"Pakistan"	190161	93727	0.1	-1	34	47	0.3	2	4850	0.11		
"Latvia"	176557	88613	0.1	3	7	77	0.1	7	1575	0.08		
"Algeria"	166626	49842	0.1	-11	-42	64	0.2	-8	4584	0.07		
"Macedonia, North"	155276	85752	0.1	5	26	103	0.05	8	1348	0.09		
"Argentina"	151489	107415	0.1	-4	22	50	0.3	-5	10631	0.1		
"Belarus"	146985	98096	0.1	-2	28	61	0.2	2	2268	0.23		
"Iran, Islamic Republic of"	141438	114999	0.1	-23	23	72	0.1	-18	5612	0.13		
"Nigeria"	137914	136796	0.1	10	61	53	0.2	17	7792	0.1		
"Qatar"	137321	133536	0.1	-2	50	70	0.1	0	5745	0.06		
"Colombia"	131201	125242	0.1	-3	26	51	0.3	4	8915	0.13		
"Bangladesh"	108310	-126250	0.1	6	15	49	0.3	6	4172	0.15		
"Moldova, Republic of"	104124	80558	0.1	-2	40	118	0.03	8	2317	0.08		
"Ship stores and bunkers"	103705	103705	0.1	-10	63	75	0.1	-11		0.16		
"Cyprus"	99197	58637	0	5	14	105	0.05	-1	3118	0.09		
"Tunisia"	96970	73245	0	0	24	78	0.10	-1	3411	0.06		
"Uzbekistan"	95945	92108	0	16	-6	74	0.1	16	3412	0.12		
"Iraq"	92898	-708867	0	-2	28	62	0.2	3	4107	0.18		
"Kuwait"	82351	82097	0	-7	-12	76	0.1	-3	5837	0.07		
"Albania"	71359	47397	0	0	28	121	0.03	6	1886	0.13		
"Ecuador"	67174	63093	0	9	50	69	0.1	3	9174	0.12		
"Peru"	67006	-5641	0	-5	5	54	0.2	3	10420	0.13		
"Georgia"	65693	63681	0	-4	-9	113	0.04	-2	2513	0.09		
"Oman"	61075	59531	0	-10	-20	83	0.08	-6	5977	0.08		
"Libya, State of"	60514	-832794	0	19	2	89	0.07	12	3475	0.08		
"Azerbaijan"	60430	3288	0	-3	15	98	0.05	5	3712	0.09		
"Senegal"	59832	59561	0	9	16	110	0.04	4	6632	0.05		
"Jordan"	55901	52872	0	1	15	84	0.08	0	5167	0.07		
"Malta"	50367	22250	0	-3	23	120	0.03	1	3249	0.08		
"Sri Lanka"	49989	-30761	0	0	-25	85	0.08	-3	4351	0.16		
"Iceland"	48641	46407	0	1	44	112	0.04	-1	4251	0.05		
"Montenegro"	44277	41043	0	-9	27	152	0.01	0	2382	0.08		
"Côte d'Ivoire"	42126	41096	0	17	27	93	0.06	9	6793	0.08		
"Bahrain"	35659	-4349	0	-10	41	101	0.05	1	6359	0.08		
"Panama"	34220	32112	0	2	52	60	0.2	1	8657	0.12		
"Uruguay"	34079	-2593	0	10	40	95	0.06	0	9836	0.11		
"Dominican Republic"	32882	30637	0	16	52	67	0.1	5	6446	0.22		
"Turkmenistan"	29231	29064	0	-7	136	148	0.02	4	3495	0.15		
"Guatemala"	28736	27561	0	6	55	68	0.1	7	5828	0.15		
"Mongolia"	28180	21107	0	20	0	125	0.03	8	3267	0.22		
"Afghanistan"	27481	25832	0	28	131	147	0.02	-8	2990	0.12		
"Lebanon"	27188	23803	0	-23	14	97	0.06	-12	3592	0.06		
"Armenia"	22487	19600	0	6	-12	131	0.02	6	3323	0.15		
"Paraguay"	19379	17747	0	9	22	92	0.06	0	7311	0.15		
"Costa Rica"	17480	16671	0	-1	-20	86	0.08	3	6987	0.22		
"Kenya"	17318	16106	0	-5	-3	80	0.09	2	6680	0.08		
"Bolivia, Plurinational State of"	17218	7494	0	-42	-15	106	0.04	-3	7978	0.11		
"Ghana"	16587	15920	0	-5	-43	82	0.08	8	8888	0.18		
"Tanzania, United Republic of"	16532	14654	0	9	-22	102	0.05	7	6633	0.1		
"El Salvador"	14628	13197	0	20	93	88	0.07	9	4914	0.15		
"Mauritania"	13869	13866	0	-12	6	146	0.02	1	5817	0.07		
"Ethiopia"	13484	13068	0	-1	-23	90	0.07	1	6305	0.11		
"Honduras"	13387	10940	0	11	59	99	0.05	4	6104	0.16		
"Mauritius"	13191	9435	0	6	71	133	0.02	-2	7320	0.08		
"Tajikistan"	12854	12844	0	19	-36	142	0.02	9	2803	0.17		
"Myanmar"	12662	-51703	0	1	-39	79	0.10	-1	2536	0.25		
"Fiji"	12021	12015	0	54	1220	157	0.01	-7	7384	0.12		
"Yemen"	11514	-133265	0	17	-7	107	0.04	11	5706	0.11		
"Bahamas"	10883	10877	0	13	19	115	0.03	-8	6248	0.19		
"Sudan"	10590	10544	0	-5	-53	122	0.03	-2		0.13		
"Cuba"	10505	9567	0	-15	-32	145	0.02	-13	7148	0.09		
"Mozambique"	10088	7286	0	16	-15	108	0.04	8	6196	0.1		
"Uganda"	10051	9210	0	6	39	132	0.02	11	5788	0.09		
"Venezuela, Bolivarian Republic of"	9770	9683	0	-17	187	117	0.03	-11	8121	0.16		
"Gabon"	8641	8535	0	28	530	158	0.01	-2	7114	0.11		
"Kyrgyzstan"	7635	7451	0	-9	-1	127	0.03	1	2892	0.2		
"Macao, China"	7486	7195	0	35	28	81	0.09	15		0.17		
"Nepal"	7465	4835	0	20	-58	96	0.06	8	1856	0.56		
"Cameroon"	7293	6703	0	17	-43	116	0.03	8	7279	0.14		
"Lao People's Democratic Republic"	6944	5705	0	-40	-42	129	0.02	-1	2572	0.28		
"Namibia"	6937	6500	0	12	-40	126	0.03	-1	3757	0.37		
"Gambia"	6777	6776	0	52	182	167	0	7	8260	0.14		
"Niger"	6571	6550	0	113	31	162	0	13	5715	0.09		
"Syrian Arab Republic"	6293	5177	0	-15	59	139	0.02	-3	2496	0.27		
"Gibraltar"	6205	5169	0	32	-9	114	0.03	-5	2572	0.09		
"Andorra"	6058	5942	0	-13	15	166	0	2	610	0.52		
"Maldives"	5933	5915	0	-3	-3	151	0.01	-3	4478	0.08		
"Belize"	5425	5335	0	-4	41	179	0	1	5006	0.18		
"Botswana"	5371	5337	0	30	49	124	0.03	2	2968	0.52		
"Angola"	5148	5146	0	-44	-7	100	0.05	-11	7692	0.06		
"Benin"	4848	4835	0	-21	-59	149	0.01	-2	6481	0.07		
"Nicaragua"	4828	4159	0	-19	178	104	0.05	4	5888	0.1		
"Cambodia"	4393	-49390	0	4	0	66	0.1	16	2651	0.18		
"New Caledonia"	4252	4195	0	-14	55	155	0.01	-1	11471	0.2		
"Djibouti"	4179	4178	0	63	-13	130	0.02	5	6387	0.22		
"Jamaica"	4120	4038	0	10	-10	137	0.02	-2	6759	0.22		
"Zambia"	3921	3883	0	-24	13	119	0.03	-9	5447	0.14		
"Malawi"	3794	3786	0	-32	226	168	0	0	5169	0.15		
"Guinea"	3790	3779	0	-10	-7	135	0.02	7	9140	0.19		
"Palestine, State of"	3668	3314	0	-4	119	176	0	8	3026	0.1		
"Trinidad and Tobago"	3487	2982	0	-16	-44	128	0.03	-1	6663	0.26		
"South Sudan"	3449	3449	0	34	265	194	0	12		0.25		
"Zimbabwe"	3403	2776	0	-8	13	134	0.02	7	3754	0.39		
"Liberia"	3232	3222	0	1	51	87	0.07	17	11608	0.19		
"Togo"	2965	2794	0	19	-36	153	0.01	10	7318	0.08		
"Madagascar"	2863	1775	0	7	30	138	0.02	2	7339	0.08		
"Burkina Faso"	2777	2700	0	8	-11	136	0.02	5	6109	0.05		
"Sint Maarten (Dutch part)"	2603	2594	0	-2	584	213	0	-7		0.43		
"French Polynesia"	2597	2506	0	29	6	165	0	1	13300	0.24		
"Brunei Darussalam"	2504	2498	0	50	28	109	0.04	26	5185	0.11		
"Congo"	2315	2297	0	8	53	154	0.01	-18	6851	0.07		
"Somalia"	2271	2242	0	31	91	150	0.01	9	5305	0.16		
"Congo, Democratic Republic of the"	2268	1879	0	-6	-52	111	0.04	13	6479	0.14		
"Haiti"	2127	1874	0	13	39	140	0.02	0	6340	0.18		
"Greenland"	2115	2112	0	28	1056	180	0	6	3482	0.44		
"Central African Republic"	1913	1913	0	27	291	199	0	7	6606	0.08		
"Rwanda"	1895	-8043	0	48	-38	159	0.01	17	5437	0.08		
"Faroe Islands"	1602	1598	0	0	41	172	0	7	1404	0.27		
"Cayman Islands"	1556	1554	0	-19	336	123	0.03	5	7522	0.35		
"Eswatini"	1472	1455	0	39	38	160	0	1	1597	0.74		
"Dominica"	1400	1400	0	25	925	185	0	8	4908	0.65		
"Papua New Guinea"	1281	855	0	8	-66	143	0.02	-1	4973	0.17		
"Curaçao"	1028	1028	0	-2	5	163	0	-12		0.24		
"Seychelles"	983	888	0	-15	18	187	0	-7	6627	0.06		
"Sierra Leone"	938	-443	0	-5	113	170	0	10	8820	0.13		
"Burundi"	925	924	0	60	4	188	0	13	4755	0.14		
"United States Minor Outlying Islands"	920	856	0	20	136	177	0	0		0.21		
"Suriname"	905	888	0	-17	27	173	0	1	9050	0.14		
"Barbados"	850	810	0	20	-17	161	0	0	4992	0.21		
"Wallis and Futuna Islands"	755	755	0	138		218	0	7	10103	0.24		
"Chad"	742	-202	0	-15	-71	184	0	13	6931	0.16		
"Tonga"	729	729	0			202	0	4	5771	0.16		
"Antigua and Barbuda"	676	661	0	-30	179	174	0	1	6334	0.27		
"Aruba"	657	579	0	-6	77	175	0	-3	4917	0.3		
"Bhutan"	530	450	0	-30	-44	178	0	15	1733	0.63		
"Saint Vincent and the Grenadines"	521	499	0	70	14	196	0	3	6798	0.14		
"Cabo Verde"	473	469	0	25	-87	181	0	4	5196	0.21		
"Tokelau"	465	463	0	71	4784	226	0	-33	11566	0.22		
"Marshall Islands"	460	460	0	63	-96	91	0.06	-1	7455	0.18		
"Bermuda"	435	427	0	-19	-15	169	0	-3	8006	0.28		
"Guinea-Bissau"	433	432	0	-40	769	195	0	2	5802	0.16		
"Saint Lucia"	409	405	0	15	52	171	0	-10	5321	0.23		
"Lesotho"	367	367	0	39	46	164	0	-2	1590	0.78		
"Guyana"	307	-54392	0	7	-40	144	0.02	13	11175	0.21		
"Samoa"	220	219	0	-2	150	197	0	-1	6816	0.13		
"Grenada"	198	197	0	44	-1	191	0	-1	4157	0.2		
"British Virgin Islands"	160	-62412	0	-57	-21	156	0.01	8	7242	0.27		
"Vanuatu"	147	58	0	34	-42	198	0	-2	6248	0.13		
"Cook Islands"	143	134	0	32	271	206	0	-4	9417	0.22		
"Timor-Leste"	125	120	0	-43	-54	183	0	12	3988	0.22		
"Eritrea"	120	120	0	-42	-70	203	0	-8	6303	0.14		
"Solomon Islands"	111	109	0	23	-67	190	0	0	6301	0.17		
"Kiribati"	110	110	0		3813	205	0	10	5936	0.13		
"Turks and Caicos Islands"	98	79	0	-2	119	193	0	-3	3491	0.74		
"Western Sahara"	84	62	0	-11		221	0	-16	12469	0.9		
"Bonaire, Sint Eustatius and Saba"	78	78	0	-47	123	189	0	20		0.19		
"Anguilla"	77	60	0	-44		212	0	-5	4397	0.58		
"Sao Tome and Principe"	69	69	0	34	-64	210	0	-3	6155	0.31		
"Palau"	68	68	0	26	92	209	0	1	6232	0.16		
"Montserrat"	65	65	0	53	-46	224	0	-7		0.49		
"Saint Helena"	55	12	0		-50	217	0	6	7699	0.31		
"Saint Kitts and Nevis"	47	45	0	-5	-83	201	0	-12	5440	0.41		
"Equatorial Guinea"	31	25	0	-56	16	182	0	2	6008	0.11		
"Falkland Islands (Malvinas)"	19	19	0	-3	369	207	0	2	12325	0.46		
"Micronesia, Federated States of"	17	15	0			208	0	-8	7109	0.19		
"Northern Mariana Islands"	12	7	0	-40	420	216	0	-19	3811	0.2		
"Saint Pierre and Miquelon"	9	9	0			215	0	10	3489	0.45		
"Comoros"	7	7	0	53	-99	192	0	18	5731	0.22		
"Cocos (Keeling) Islands"	3	-1	0			225	0	8		0.74		
"French Southern and Antarctic Territories"	1	1	0			214	0	14		0.12		
"Nauru"		-9				211	0	18	6014	0.27		
"Free Zones"						186	0	-34		0.92		
"Korea, Democratic People's Republic of"						200	0	-49	1470	0.87		
"Tuvalu"						204	0	17	6386	0.21		
"British Indian Ocean Territory"						219	0	-9		0.67		
"Christmas Island"						220	0	3		0.69		
"Norfolk Island"						222	0	1	5454	0.24		
"Niue"						223	0	7	11410	0.48		
"Pitcairn"						227	0	-5		0.23		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
