Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Belgium's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Belgium (%)	
"Congo, Democratic Republic of the"	441758	341303	0.1	1	3	111	0.04	13	6479	0.14		
"Cyprus"	431452	389414	0.1	11	57	105	0.05	-1	3118	0.09		
"Kazakhstan"	421854	215533	0.1	16	81	58	0.2	6	3017	0.25		
"Cameroon"	370433	63887	0.1	3	15	116	0.03	8	7279	0.14		
"United Kingdom"	364471	317166	0.1	-61	-99	7	3.2	1	3930	0.06		
"Kuwait"	362335	-40039	0.1	3	40	76	0.1	-3	5837	0.07		
"Lebanon"	346471	279891	0.1	-12	1	97	0.06	-12	3592	0.06		
"Jordan"	343823	267029	0.1	5	36	84	0.08	0	5167	0.07		
"Peru"	337262	-116585	0.1	7	41	54	0.2	3	10420	0.13		
"Kenya"	295784	239006	0.1	16	12	80	0.09	2	6680	0.08		
"Iran, Islamic Republic of"	269784	190079	0	-24	25	72	0.1	-18	5612	0.13		
"Togo"	262863	231311	0	-40	21	153	0.01	10	7318	0.08		
"Oman"	245692	176028	0	12	-3	83	0.08	-6	5977	0.08		
"Guinea"	243993	229496	0	-3	-4	135	0.02	7	9140	0.19		
"Malta"	243313	181196	0	0	59	120	0.03	1	3249	0.08		
"Belarus"	234429	47987	0	0	47	61	0.2	2	2268	0.23		
"Ethiopia"	228126	106685	0	9	-3	90	0.07	1	6305	0.11		
"Bangladesh"	213857	-611657	0	-8	13	49	0.3	6	4172	0.15		
"Uganda"	212948	143951	0	28	269	132	0.02	11	5788	0.09		
"Mali"	197343	191127	0	6	47	141	0.02	9	5008	0.1		
"Sri Lanka"	185662	-198616	0	8	242	85	0.08	-3	4351	0.16		
"Lao People's Democratic Republic"	183028	145301	0	39	1480	129	0.02	-1	2572	0.28		
"Congo"	182570	127210	0	6	100	154	0.01	-18	6851	0.07		
"Ecuador"	179100	-106159	0	9	26	69	0.1	3	9174	0.12		
"Uruguay"	177146	142942	0	9	144	95	0.06	0	9836	0.11		
"Panama"	171694	161501	0	6	-24	60	0.2	1	8657	0.12		
"Mozambique"	169989	115272	0	37	0	108	0.04	8	6196	0.1		
"Mauritania"	162527	159023	0	1	44	146	0.02	1	5817	0.07		
"Iceland"	161807	41958	0	2	54	112	0.04	-1	4251	0.05		
"Benin"	157655	150423	0	15	34	149	0.01	-2	6481	0.07		
"Rwanda"	154384	141454	0	24	102	159	0.01	17	5437	0.08		
"Liberia"	139428	109245	0	40	276	87	0.07	17	11608	0.19		
"Mauritius"	128174	102633	0	-1	42	133	0.02	-2	7320	0.08		
"Burkina Faso"	125236	114758	0	3	26	136	0.02	5	6109	0.05		
"Sierra Leone"	125147	-70276	0	26	160	170	0	10	8820	0.13		
"Dominican Republic"	125060	-21596	0	7	22	67	0.1	5	6446	0.22		
"Gabon"	123315	-9350	0	-6	-2	158	0.01	-2	7114	0.11		
"Yemen"	123195	115401	0	19	67	107	0.04	11	5706	0.11		
"Bolivia, Plurinational State of"	114531	-134731	0	27	257	106	0.04	-3	7978	0.11		
"Bahrain"	112494	-21161	0	6	8	101	0.05	1	6359	0.08		
"Bosnia and Herzegovina"	106417	69326	0	-2	41	94	0.06	3	2228	0.07		
"Costa Rica"	105548	-640836	0	23	93	86	0.08	3	6987	0.22		
"Guatemala"	105345	35596	0	16	55	68	0.1	7	5828	0.15		
"Macedonia, North"	102400	36150	0	-11	6	103	0.05	8	1348	0.09		
"Tanzania, United Republic of"	101976	743	0	-6	18	102	0.05	7	6633	0.1		
"Afghanistan"	87482	86913	0	3	181	147	0.02	-8	2990	0.12		
"Georgia"	82597	5044	0	-5	24	113	0.04	-2	2513	0.09		
"Sudan"	77544	63801	0	-6	1	122	0.03	-2		0.13		
"Moldova, Republic of"	72658	59676	0	11	60	118	0.03	8	2317	0.08		
"Cambodia"	70951	-506897	0	-3	9	66	0.1	16	2651	0.18		
"Faroe Islands"	70572	70280	0	103	70	172	0	7	1404	0.27		
"Albania"	70555	61057	0	17	42	121	0.03	6	1886	0.13		
"Trinidad and Tobago"	67119	-313719	0	11	64	128	0.03	-1	6663	0.26		
"Niger"	66855	66793	0	1	18	162	0	13	5715	0.09		
"Azerbaijan"	64718	58017	0	4	43	98	0.05	5	3712	0.09		
"Paraguay"	64124	14214	0	8	90	92	0.06	0	7311	0.15		
"Madagascar"	62513	21574	0	-16	6	138	0.02	2	7339	0.08		
"Nepal"	59359	55854	0	21	197	96	0.06	8	1856	0.56		
"Jamaica"	56042	52639	0	16	112	137	0.02	-2	6759	0.22		
"Uzbekistan"	55401	47095	0	-10	17	74	0.1	16	3412	0.12		
"Cuba"	54887	-32763	0	-14	-6	145	0.02	-13	7148	0.09		
"Palestine, State of"	54646	52410	0	74	318	176	0	8	3026	0.1		
"Gambia"	53421	53122	0	20	80	167	0	7	8260	0.14		
"Syrian Arab Republic"	50307	42168	0	-8	87	139	0.02	-3	2496	0.27		
"Zambia"	49205	-10516	0	-3	42	119	0.03	-9	5447	0.14		
"Armenia"	48524	-33571	0	-10	23	131	0.02	6	3323	0.15		
"Burundi"	41670	36104	0	4	33	188	0	13	4755	0.14		
"Myanmar"	38221	-128045	0	-6	-19	79	0.10	-1	2536	0.25		
"Venezuela, Bolivarian Republic of"	38098	283	0	16	-88	117	0.03	-11	8121	0.16		
"Honduras"	30217	-198361	0	6	40	99	0.05	4	6104	0.16		
"Mongolia"	30014	22819	0	20	123	125	0.03	8	3267	0.22		
"New Caledonia"	28975	17614	0	4	-1	155	0.01	-1	11471	0.2		
"Chad"	26884	26861	0	8	4	184	0	13	6931	0.16		
"El Salvador"	26257	14058	0	4	-11	88	0.07	9	4914	0.15		
"Zimbabwe"	25827	-89044	0	-5	50	134	0.02	7	3754	0.39		
"Malawi"	24688	-118805	0	-12	17	168	0	0	5169	0.15		
"Haiti"	23857	19001	0	12	-31	140	0.02	0	6340	0.18		
"Suriname"	21568	-69205	0	-3	-20	173	0	1	9050	0.14		
"French Polynesia"	21440	19811	0	-3	20	165	0	1	13300	0.24		
"Djibouti"	20882	20534	0	-22	51	130	0.02	5	6387	0.22		
"Central African Republic"	20861	13611	0	3	-35	199	0	7	6606	0.08		
"Kyrgyzstan"	20201	19180	0	-9	55	127	0.03	1	2892	0.2		
"Equatorial Guinea"	19516	18774	0	-9	-19	182	0	2	6008	0.11		
"Montenegro"	19212	15769	0	5	92	152	0.01	0	2382	0.08		
"Cabo Verde"	19152	19076	0	3	14	181	0	4	5196	0.21		
"Turkmenistan"	17832	16810	0	10	15	148	0.02	4	3495	0.15		
"Bahamas"	15637	-7229	0	46	69	115	0.03	-8	6248	0.19		
"Brunei Darussalam"	15137	14979	0	31	32	109	0.04	26	5185	0.11		
"Namibia"	14223	-569106	0	-14	28	126	0.03	-1	3757	0.37		
"Papua New Guinea"	13625	-15308	0	1	33	143	0.02	-1	4973	0.17		
"Nicaragua"	13563	-43623	0	-3	25	104	0.05	4	5888	0.1		
"Andorra"	13186	12263	0	-9	52	166	0	2	610	0.52		
"Guyana"	12547	-246	0	14	43	144	0.02	13	11175	0.21		
"Curaçao"	11569	11453	0	-3	30	163	0	-12		0.24		
"Tajikistan"	11005	-27856	0	7	137	142	0.02	9	2803	0.17		
"Macao, China"	9753	8775	0	8	86	81	0.09	15		0.17		
"Maldives"	8874	8139	0	-2	84	151	0.01	-3	4478	0.08		
"Guinea-Bissau"	8494	6901	0	3	128	195	0	2	5802	0.16		
"Aruba"	8018	7786	0	38	9	175	0	-3	4917	0.3		
"Greenland"	7514	7501	0	30	612	180	0	6	3482	0.44		
"Eswatini"	7366	4257	0	27	150	160	0	1	1597	0.74		
"Seychelles"	6833	4426	0	-15	13	187	0	-7	6627	0.06		
"Lesotho"	6075	-246197	0	11	498	164	0	-2	1590	0.78		
"Belize"	4536	2259	0	14	112	179	0	1	5006	0.18		
"Bonaire, Sint Eustatius and Saba"	4499	450	0	34	-29	189	0	20		0.19		
"Fiji"	4472	3171	0	4	72	157	0.01	-7	7384	0.12		
"Sao Tome and Principe"	4207	1715	0	20	252	210	0	-3	6155	0.31		
"Somalia"	4006	3933	0	13	-46	150	0.01	9	5305	0.16		
"Bhutan"	3908	3852	0	57	1470	178	0	15	1733	0.63		
"South Sudan"	3881	3881	0	26	23	194	0	12		0.25		
"Comoros"	3811	3683	0	-1	-39	192	0	18	5731	0.22		
"Barbados"	3588	3512	0	-7	-2	161	0	0	4992	0.21		
"Sint Maarten (Dutch part)"	2850	2841	0	0	53	213	0	-7		0.43		
"Saint Pierre and Miquelon"	2796	2193	0	30	83	215	0	10	3489	0.45		
"Saint Lucia"	2327	2174	0	-8	52	171	0	-10	5321	0.23		
"Eritrea"	2067	2031	0	-26	-10	203	0	-8	6303	0.14		
"Antigua and Barbuda"	1887	-156	0	15	-39	174	0	1	6334	0.27		
"Cayman Islands"	1614	-2759	0	29	145	123	0.03	5	7522	0.35		
"Wallis and Futuna Islands"	1560	1558	0	25	215	218	0	7	10103	0.24		
"French Southern and Antarctic Territories"	1430	1314	0	42	219	214	0	14		0.12		
"Grenada"	1124	933	0	-1	34	191	0	-1	4157	0.2		
"United States Minor Outlying Islands"	1011	-244	0	-5	-3	177	0	0		0.21		
"Solomon Islands"	790	680	0	-10	-9	190	0	0	6301	0.17		
"Falkland Islands (Malvinas)"	775	577	0	21	49	207	0	2	12325	0.46		
"European Union Nes"	628	247	0	-8	839							
"Turks and Caicos Islands"	545	338	0	40	429	193	0	-3	3491	0.74		
"Saint Kitts and Nevis"	461	215	0	-9	5	201	0	-12	5440	0.41		
"Dominica"	456	450	0	-23	-40	185	0	8	4908	0.65		
"Bermuda"	436	431	0	-10	-88	169	0	-3	8006	0.28		
"Cook Islands"	395	394	0	1	641	206	0	-4	9417	0.22		
"Saint Vincent and the Grenadines"	387	359	0	0	70	196	0	3	6798	0.14		
"Timor-Leste"	370	370	0	7	15	183	0	12	3988	0.22		
"Vanuatu"	318	316	0	-15	356	198	0	-2	6248	0.13		
"Marshall Islands"	300	-119	0	-51	-42	91	0.06	-1	7455	0.18		
"British Virgin Islands"	269	-95	0	-13	120	156	0.01	8	7242	0.27		
"Tonga"	261	259	0	-19	13572	202	0	4	5771	0.16		
"Anguilla"	205	203	0	-33	-30	212	0	-5	4397	0.58		
"Tokelau"	92	66	0	127	50	226	0	-33	11566	0.22		
"Kiribati"	53	53	0	-11	-3	205	0	10	5936	0.13		
"Pitcairn"	37	36	0			227	0	-5		0.23		
"Tuvalu"	26	14	0		2	204	0	17	6386	0.21		
"Samoa"	18	-9	0	-51	-43	197	0	-1	6816	0.13		
"Korea, Democratic People's Republic of"	17	-185	0	-64		200	0	-49	1470	0.87		
"Christmas Island"	15	-109	0			220	0	3		0.69		
"Montserrat"	13	-2359	0	-40	-88	224	0	-7		0.49		
"Western Sahara"	11	11	0	-8	-76	221	0	-16	12469	0.9		
"Palau"	5	5	0	-30	-75	209	0	1	6232	0.16		
"British Indian Ocean Territory"	5	5	0	-38		219	0	-9		0.67		
"Nauru"	5	3	0	16	2	211	0	18	6014	0.27		
"Cocos (Keeling) Islands"	4	-303	0	-23	-85	225	0	8		0.74		
"Saint Helena"	2	-116	0	-37	-63	217	0	6	7699	0.31		
"Micronesia, Federated States of"		-5				208	0	-8	7109	0.19		
"Northern Mariana Islands"		-18				216	0	-19	3811	0.2		
"Niue"		-44				223	0	7	11410	0.48		
"Norfolk Island"		-319				222	0	1	5454	0.24		
"Serbia"						65	0.2	9	2497	0.06		
"Ship stores and bunkers"						75	0.1	-11		0.16		
"Gibraltar"						114	0.03	-5	2572	0.09		
"Free Zones"						186	0	-34		0.92		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
