Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Benin's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Benin (%)	
"Russian Federation"	705	-67737	0.1	61	46	21	1.3	5	4187	0.09		
"Spain"	609	-41402	0.1	-12	-29	15	1.9	3	3890	0.05		
"Argentina"	516	-2906	0.1			50	0.3	-5	10631	0.1		
"Equatorial Guinea"	362	-4460	0	57	10	182	0	2	6008	0.11		
"Greece"	355	-26	0	441	-30	45	0.3	4	2847	0.05		
"Sierra Leone"	329	-217	0	6	976	170	0	10	8820	0.13		
"Poland"	257	-11473	0	105	72	18	1.5	8	3121	0.08		
"Gabon"	250	-449	0	-33	25	158	0.01	-2	7114	0.11		
"Thailand"	220	-102643	0	-5	-76	23	1.2	2	4905	0.09		
"Congo"	187	-103	0	-13	-21	154	0.01	-18	6851	0.07		
"Libya, State of"	162	117	0		134	89	0.07	12	3475	0.08		
"Kazakhstan"	125	125	0	128		58	0.2	6	3017	0.25		
"Canada"	114	-8438	0	2	79	14	2.2	1	5042	0.26		
"Korea, Republic of"	110	-11658	0	-44	-98	9	2.8	4	5699	0.09		
"Central African Republic"	93	-2468	0	-11	983	199	0	7	6606	0.08		
"Congo, Democratic Republic of the"	85	-32	0	-26	-50	111	0.04	13	6479	0.14		
"Oman"	83	-7252	0		18	83	0.08	-6	5977	0.08		
"Japan"	78	-7887	0	46	-32	4	3.5	1	6256	0.09		
"Ethiopia"	77	-86	0	33	-18	90	0.07	1	6305	0.11		
"Taipei, Chinese"	72	-2766	0	-18	4038	17	1.7	8	5007	0.1		
"Sweden"	62	-5183	0	143	3103	31	0.9	3	2128	0.07		
"Albania"	46	25	0	121		121	0.03	6	1886	0.13		
"Kuwait"	46	-1879	0	19		76	0.1	-3	5837	0.07		
"Guinea"	45	-244	0	-57	30	135	0.02	7	9140	0.19		
"Romania"	43	-216	0	-19	353	37	0.5	6	1891	0.07		
"Ireland"	35	-6555	0	-14		36	0.5	4	3265	0.1		
"Burundi"	17	-5	0		170	188	0	13	4755	0.14		
"Uganda"	12	-72	0	-49		132	0.02	11	5788	0.09		
"Tunisia"	11	-12903	0	-38	532	78	0.10	-1	3411	0.06		
"Switzerland"	11	-56719	0	-86	347	20	1.5	4	3384	0.07		
"Lebanon"	10	-16925	0	-74	-58	97	0.06	-12	3592	0.06		
"Latvia"	9	-529	0		-91	77	0.1	7	1575	0.08		
"Kyrgyzstan"	8	8	0			127	0.03	1	2892	0.2		
"Rwanda"	8	7	0	14	-16	159	0.01	17	5437	0.08		
"Cyprus"	8	-1129	0			105	0.05	-1	3118	0.09		
"Gambia"	6	-23	0	-38		167	0	7	8260	0.14		
"Iraq"	5	5	0			62	0.2	3	4107	0.18		
"Somalia"	5	5	0			150	0.01	9	5305	0.16		
"Djibouti"	4	4	0	-61		130	0.02	5	6387	0.22		
"Madagascar"	4	3	0	-66	13	138	0.02	2	7339	0.08		
"Kenya"	4	-459	0	-64	-69	80	0.09	2	6680	0.08		
"Finland"	3	-373	0	-63		44	0.4	3	2842	0.07		
"Cuba"	3	-688	0			145	0.02	-13	7148	0.09		
"Hong Kong, China"	2	-10430	0	-40	-96	5	3.3	3	2841	0.22		
"Czech Republic"	1	-921	0			28	1	4	2987	0.1		
"Slovakia"	1	-966	0	-26		38	0.5	4	2664	0.07		
"Austria"	1	-1085	0	7		27	1	3	1514	0.18		
"Tajikistan"		-1				142	0.02	9	2803	0.17		
"Afghanistan"		-1				147	0.02	-8	2990	0.12		
"Tokelau"		-1				226	0	-33	11566	0.22		
"Saint Kitts and Nevis"		-2				201	0	-12	5440	0.41		
"Cayman Islands"		-4				123	0.03	5	7522	0.35		
"Nicaragua"		-6				104	0.05	4	5888	0.1		
"British Indian Ocean Territory"		-8				219	0	-9		0.67		
"Antigua and Barbuda"		-9				174	0	1	6334	0.27		
"Bolivia, Plurinational State of"		-10				106	0.04	-3	7978	0.11		
"Comoros"		-10				192	0	18	5731	0.22		
"Eswatini"		-12				160	0	1	1597	0.74		
"Panama"		-16				60	0.2	1	8657	0.12		
"French Southern and Antarctic Territories"		-16				214	0	14		0.12		
"Philippines"		-19				34	0.6	2	4354	0.09		
"Zimbabwe"		-19				134	0.02	7	3754	0.39		
"Botswana"		-24				124	0.03	2	2968	0.52		
"Belarus"		-25				61	0.2	2	2268	0.23		
"Macao, China"		-25				81	0.09	15		0.17		
"Tanzania, United Republic of"		-26				102	0.05	7	6633	0.1		
"Turks and Caicos Islands"		-26				193	0	-3	3491	0.74		
"Paraguay"		-27				92	0.06	0	7311	0.15		
"Colombia"		-30				51	0.3	4	8915	0.13		
"Luxembourg"		-33				71	0.1	3	1488	0.14		
"Slovenia"		-52				55	0.2	10	2404	0.07		
"Honduras"		-55				99	0.05	4	6104	0.16		
"Malawi"		-58				168	0	0	5169	0.15		
"Marshall Islands"		-62				91	0.06	-1	7455	0.18		
"Zambia"		-76				119	0.03	-9	5447	0.14		
"Iceland"		-79				112	0.04	-1	4251	0.05		
"Norfolk Island"		-116				222	0	1	5454	0.24		
"Nauru"		-137				211	0	18	6014	0.27		
"Yemen"		-163				107	0.04	11	5706	0.11		
"British Virgin Islands"		-168				156	0.01	8	7242	0.27		
"Croatia"		-192				63	0.2	6	1362	0.07		
"Sri Lanka"		-203				85	0.08	-3	4351	0.16		
"Jordan"		-241				84	0.08	0	5167	0.07		
"Chile"		-287				43	0.4	6	11582	0.13		
"Estonia"		-298				73	0.1	6	2314	0.06		
"Australia"		-424				24	1.1	1	10262	0.1		
"Korea, Democratic People's Republic of"		-431				200	0	-49	1470	0.87		
"Ecuador"		-446				69	0.1	3	9174	0.12		
"Iran, Islamic Republic of"		-447				72	0.1	-18	5612	0.13		
"Uruguay"		-517				95	0.06	0	9836	0.11		
"Mongolia"		-534				125	0.03	8	3267	0.22		
"Israel"		-551				42	0.4	4	5483	0.07		
"Peru"		-649				54	0.2	3	10420	0.13		
"Hungary"		-935				33	0.6	6	2180	0.09		
"New Zealand"		-1412				56	0.2	3	11141	0.09		
"Mexico"		-1683				13	2.3	2	7039	0.24		
"Faroe Islands"		-1874				172	0	7	1404	0.27		
"Bulgaria"		-2118				57	0.2	6	2237	0.05		
"Namibia"		-3556				126	0.03	-1	3757	0.37		
"Malta"		-3652				120	0.03	1	3249	0.08		
"Lithuania"		-5125				59	0.2	7	1630	0.07		
"Mauritius"		-5196				133	0.02	-2	7320	0.08		
"Algeria"		-6259				64	0.2	-8	4584	0.07		
"Serbia"						65	0.2	9	2497	0.06		
"Cambodia"						66	0.1	16	2651	0.18		
"Dominican Republic"						67	0.1	5	6446	0.22		
"Guatemala"						68	0.1	7	5828	0.15		
"Uzbekistan"						74	0.1	16	3412	0.12		
"Ship stores and bunkers"						75	0.1	-11		0.16		
"Myanmar"						79	0.10	-1	2536	0.25		
"Costa Rica"						86	0.08	3	6987	0.22		
"El Salvador"						88	0.07	9	4914	0.15		
"Bosnia and Herzegovina"						94	0.06	3	2228	0.07		
"Nepal"						96	0.06	8	1856	0.56		
"Azerbaijan"						98	0.05	5	3712	0.09		
"Bahrain"						101	0.05	1	6359	0.08		
"Macedonia, North"						103	0.05	8	1348	0.09		
"Mozambique"						108	0.04	8	6196	0.1		
"Georgia"						113	0.04	-2	2513	0.09		
"Gibraltar"						114	0.03	-5	2572	0.09		
"Bahamas"						115	0.03	-8	6248	0.19		
"Venezuela, Bolivarian Republic of"						117	0.03	-11	8121	0.16		
"Moldova, Republic of"						118	0.03	8	2317	0.08		
"Sudan"						122	0.03	-2		0.13		
"Trinidad and Tobago"						128	0.03	-1	6663	0.26		
"Lao People's Democratic Republic"						129	0.02	-1	2572	0.28		
"Armenia"						131	0.02	6	3323	0.15		
"Jamaica"						137	0.02	-2	6759	0.22		
"Syrian Arab Republic"						139	0.02	-3	2496	0.27		
"Haiti"						140	0.02	0	6340	0.18		
"Papua New Guinea"						143	0.02	-1	4973	0.17		
"Guyana"						144	0.02	13	11175	0.21		
"Turkmenistan"						148	0.02	4	3495	0.15		
"Maldives"						151	0.01	-3	4478	0.08		
"Montenegro"						152	0.01	0	2382	0.08		
"New Caledonia"						155	0.01	-1	11471	0.2		
"Fiji"						157	0.01	-7	7384	0.12		
"Barbados"						161	0	0	4992	0.21		
"Curaçao"						163	0	-12		0.24		
"Lesotho"						164	0	-2	1590	0.78		
"French Polynesia"						165	0	1	13300	0.24		
"Andorra"						166	0	2	610	0.52		
"Bermuda"						169	0	-3	8006	0.28		
"Saint Lucia"						171	0	-10	5321	0.23		
"Suriname"						173	0	1	9050	0.14		
"Aruba"						175	0	-3	4917	0.3		
"Palestine, State of"						176	0	8	3026	0.1		
"United States Minor Outlying Islands"						177	0	0		0.21		
"Bhutan"						178	0	15	1733	0.63		
"Belize"						179	0	1	5006	0.18		
"Greenland"						180	0	6	3482	0.44		
"Cabo Verde"						181	0	4	5196	0.21		
"Timor-Leste"						183	0	12	3988	0.22		
"Dominica"						185	0	8	4908	0.65		
"Free Zones"						186	0	-34		0.92		
"Seychelles"						187	0	-7	6627	0.06		
"Bonaire, Sint Eustatius and Saba"						189	0	20		0.19		
"Solomon Islands"						190	0	0	6301	0.17		
"Grenada"						191	0	-1	4157	0.2		
"South Sudan"						194	0	12		0.25		
"Guinea-Bissau"						195	0	2	5802	0.16		
"Saint Vincent and the Grenadines"						196	0	3	6798	0.14		
"Samoa"						197	0	-1	6816	0.13		
"Vanuatu"						198	0	-2	6248	0.13		
"Tonga"						202	0	4	5771	0.16		
"Eritrea"						203	0	-8	6303	0.14		
"Tuvalu"						204	0	17	6386	0.21		
"Kiribati"						205	0	10	5936	0.13		
"Cook Islands"						206	0	-4	9417	0.22		
"Falkland Islands (Malvinas)"						207	0	2	12325	0.46		
"Micronesia, Federated States of"						208	0	-8	7109	0.19		
"Palau"						209	0	1	6232	0.16		
"Sao Tome and Principe"						210	0	-3	6155	0.31		
"Anguilla"						212	0	-5	4397	0.58		
"Sint Maarten (Dutch part)"						213	0	-7		0.43		
"Saint Pierre and Miquelon"						215	0	10	3489	0.45		
"Northern Mariana Islands"						216	0	-19	3811	0.2		
"Saint Helena"						217	0	6	7699	0.31		
"Wallis and Futuna Islands"						218	0	7	10103	0.24		
"Christmas Island"						220	0	3		0.69		
"Western Sahara"						221	0	-16	12469	0.9		
"Niue"						223	0	7	11410	0.48		
"Montserrat"						224	0	-7		0.49		
"Cocos (Keeling) Islands"						225	0	8		0.74		
"Pitcairn"						227	0	-5		0.23		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
