Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Oman's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Oman (%)	
"Argentina"	199212	110193	0.4	33	193	50	0.3	-5	10631	0.1		
"France"	187256	9539	0.4	33	636	6	3.2	1	3195	0.06		
"Germany"	175623	-550430	0.3	28	338	3	6.5	3	3376	0.05		
"Hong Kong, China"	161923	89045	0.3	20	53	5	3.3	3	2841	0.22		
"United Kingdom"	140113	-365841	0.3	13	79	7	3.2	1	3930	0.06		
"Italy"	137309	-332166	0.3	10	140	11	2.5	2	2891	0.06		
"Netherlands"	121105	-173942	0.2	-3	-4	8	2.8	5	3706	0.07		
"Australia"	91462	-21491	0.2	-4	404	24	1.1	1	10262	0.1		
"Mexico"	90073	76987	0.2	31	111	13	2.3	2	7039	0.24		
"Spain"	84964	-159345	0.2	19	188	15	1.9	3	3890	0.05		
"Mozambique"	75284	73090	0.1	51	-25	108	0.04	8	6196	0.1		
"Belgium"	69664	-176028	0.1	56	28	12	2.4	3	2709	0.08		
"Nigeria"	67273	67119	0.1	81	343	53	0.2	17	7792	0.1		
"Canada"	56494	1891	0.1	14	57	14	2.2	1	5042	0.26		
"Ethiopia"	47385	43622	0.1	-1	204	90	0.07	1	6305	0.11		
"Colombia"	38053	36526	0.1	51	535	51	0.3	4	8915	0.13		
"Poland"	35835	-43736	0.1	56	40	18	1.5	8	3121	0.08		
"Chile"	34745	23768	0.1	169	534	43	0.4	6	11582	0.13		
"Peru"	34430	33833	0.1	96	1098	54	0.2	3	10420	0.13		
"Tunisia"	33036	15816	0.1	67	310	78	0.10	-1	3411	0.06		
"Zambia"	24333	24333	0		-41	119	0.03	-9	5447	0.14		
"Paraguay"	22790	22676	0	-4	157	92	0.06	0	7311	0.15		
"Mauritius"	21720	18318	0	21	242	133	0.02	-2	7320	0.08		
"Morocco"	19263	11500	0	-23	-27	52	0.3	4	4316	0.07		
"Czech Republic"	18946	-24586	0	4	8	28	1	4	2987	0.1		
"Norway"	17509	-2138	0	192	-19	39	0.5	3	3470	0.06		
"Ukraine"	16502	-166971	0	41	-27	48	0.3	7	3255	0.06		
"Switzerland"	16278	-261548	0	17	20	20	1.5	4	3384	0.07		
"Slovenia"	14007	-114	0	43	835	55	0.2	10	2404	0.07		
"Romania"	10222	-16193	0	-9	129	37	0.5	6	1891	0.07		
"New Zealand"	9845	-79901	0	-22	147	56	0.2	3	11141	0.09		
"Portugal"	9162	113	0	26	364	40	0.4	2	2788	0.14		
"Denmark"	8874	-110464	0	6	9	35	0.6	5	2182	0.08		
"Greece"	8559	-11507	0	4	118	45	0.3	4	2847	0.05		
"Benin"	7335	7252	0	29	82	149	0.01	-2	6481	0.07		
"Guatemala"	7303	4671	0	55	74	68	0.1	7	5828	0.15		
"Ireland"	6105	-29649	0	2	5	36	0.5	4	3265	0.1		
"Togo"	6045	6045	0	87	475	153	0.01	10	7318	0.08		
"El Salvador"	5875	5875	0	30	112	88	0.07	9	4914	0.15		
"Serbia"	5283	3816	0	26	212	65	0.2	9	2497	0.06		
"Nicaragua"	4919	4582	0		701	104	0.05	4	5888	0.1		
"Senegal"	4314	4310	0	47	8	110	0.04	4	6632	0.05		
"Comoros"	4111	4111	0	87	-6	192	0	18	5731	0.22		
"Congo"	3504	3312	0	32	138	154	0.01	-18	6851	0.07		
"Bolivia, Plurinational State of"	3102	3093	0	277	-89	106	0.04	-3	7978	0.11		
"Ecuador"	3026	-139	0	72	51	69	0.1	3	9174	0.12		
"Russian Federation"	3026	-165150	0	-5	58	21	1.3	5	4187	0.09		
"Malta"	2910	-4229	0	134	218	120	0.03	1	3249	0.08		
"Angola"	2756	2732	0	-34	-62	100	0.05	-11	7692	0.06		
"Honduras"	2340	1952	0	9		99	0.05	4	6104	0.16		
"Cambodia"	2104	1925	0	695	-26	66	0.1	16	2651	0.18		
"Dominican Republic"	2073	2065	0	61	-48	67	0.1	5	6446	0.22		
"Lithuania"	1753	-3145	0	62	26	59	0.2	7	1630	0.07		
"Georgia"	1658	1644	0	39	253	113	0.04	-2	2513	0.09		
"Bulgaria"	1636	-9474	0	0	-21	57	0.2	6	2237	0.05		
"Mauritania"	1597	1597	0	40	529	146	0.02	1	5817	0.07		
"Croatia"	1563	-25476	0	-8	16100	63	0.2	6	1362	0.07		
"Austria"	1544	-59531	0	2	-2	27	1	3	1514	0.18		
"Hungary"	1213	-9662	0	-53	149	33	0.6	6	2180	0.09		
"Estonia"	1114	-13896	0	-1	4743	73	0.1	6	2314	0.06		
"Sweden"	1046	-154420	0	-17	-88	31	0.9	3	2128	0.07		
"Cyprus"	930	-3648	0	4	61	105	0.05	-1	3118	0.09		
"Moldova, Republic of"	778	-93	0	32	28	118	0.03	8	2317	0.08		
"Burkina Faso"	707	690	0	381	445	136	0.02	5	6109	0.05		
"Belarus"	593	-146	0	0	91	61	0.2	2	2268	0.23		
"Finland"	352	-19238	0	-27	96	44	0.4	3	2842	0.07		
"Slovakia"	278	-30659	0	11	-47	38	0.5	4	2664	0.07		
"Azerbaijan"	260	-243	0	-17	-47	98	0.05	5	3712	0.09		
"Bosnia and Herzegovina"	191	-621	0	-43	6646	94	0.06	3	2228	0.07		
"Armenia"	178	12	0	5	-42	131	0.02	6	3323	0.15		
"Luxembourg"	100	-3817	0	175	156	71	0.1	3	1488	0.14		
"Guyana"	85	78	0	291	195	144	0.02	13	11175	0.21		
"Tajikistan"	35	35	0			142	0.02	9	2803	0.17		
"Fiji"	33	27	0	-26	13	157	0.01	-7	7384	0.12		
"Brunei Darussalam"	30	-68	0	29	-100	109	0.04	26	5185	0.11		
"Iceland"	17	-428	0	-3	44	112	0.04	-1	4251	0.05		
"Barbados"	14	14	0	-39		161	0	0	4992	0.21		
"Montenegro"	13	12	0	-32		152	0.01	0	2382	0.08		
"Uzbekistan"	9	-3	0	245	66	74	0.1	16	3412	0.12		
"Latvia"	7	-1322	0	-57		77	0.1	7	1575	0.08		
"Grenada"	1	1	0			191	0	-1	4157	0.2		
"Kyrgyzstan"		-188				127	0.03	1	2892	0.2		
"Lao People's Democratic Republic"		-244				129	0.02	-1	2572	0.28		
"Viet Nam"						19	1.5	8	3535	0.19		
"United Arab Emirates"						29	0.9	-2	5715	0.08		
"Israel"						42	0.4	4	5483	0.07		
"Bangladesh"						49	0.3	6	4172	0.15		
"Kazakhstan"						58	0.2	6	3017	0.25		
"Panama"						60	0.2	1	8657	0.12		
"Iraq"						62	0.2	3	4107	0.18		
"Algeria"						64	0.2	-8	4584	0.07		
"Qatar"						70	0.1	0	5745	0.06		
"Iran, Islamic Republic of"						72	0.1	-18	5612	0.13		
"Ship stores and bunkers"						75	0.1	-11		0.16		
"Kuwait"						76	0.1	-3	5837	0.07		
"Myanmar"						79	0.10	-1	2536	0.25		
"Macao, China"						81	0.09	15		0.17		
"Ghana"						82	0.08	8	8888	0.18		
"Jordan"						84	0.08	0	5167	0.07		
"Sri Lanka"						85	0.08	-3	4351	0.16		
"Costa Rica"						86	0.08	3	6987	0.22		
"Liberia"						87	0.07	17	11608	0.19		
"Libya, State of"						89	0.07	12	3475	0.08		
"Marshall Islands"						91	0.06	-1	7455	0.18		
"Côte d'Ivoire"						93	0.06	9	6793	0.08		
"Uruguay"						95	0.06	0	9836	0.11		
"Nepal"						96	0.06	8	1856	0.56		
"Lebanon"						97	0.06	-12	3592	0.06		
"Bahrain"						101	0.05	1	6359	0.08		
"Macedonia, North"						103	0.05	8	1348	0.09		
"Yemen"						107	0.04	11	5706	0.11		
"Congo, Democratic Republic of the"						111	0.04	13	6479	0.14		
"Gibraltar"						114	0.03	-5	2572	0.09		
"Bahamas"						115	0.03	-8	6248	0.19		
"Cameroon"						116	0.03	8	7279	0.14		
"Venezuela, Bolivarian Republic of"						117	0.03	-11	8121	0.16		
"Albania"						121	0.03	6	1886	0.13		
"Sudan"						122	0.03	-2		0.13		
"Cayman Islands"						123	0.03	5	7522	0.35		
"Botswana"						124	0.03	2	2968	0.52		
"Mongolia"						125	0.03	8	3267	0.22		
"Namibia"						126	0.03	-1	3757	0.37		
"Trinidad and Tobago"						128	0.03	-1	6663	0.26		
"Djibouti"						130	0.02	5	6387	0.22		
"Uganda"						132	0.02	11	5788	0.09		
"Zimbabwe"						134	0.02	7	3754	0.39		
"Guinea"						135	0.02	7	9140	0.19		
"Jamaica"						137	0.02	-2	6759	0.22		
"Syrian Arab Republic"						139	0.02	-3	2496	0.27		
"Haiti"						140	0.02	0	6340	0.18		
"Mali"						141	0.02	9	5008	0.1		
"Papua New Guinea"						143	0.02	-1	4973	0.17		
"Cuba"						145	0.02	-13	7148	0.09		
"Afghanistan"						147	0.02	-8	2990	0.12		
"Turkmenistan"						148	0.02	4	3495	0.15		
"Somalia"						150	0.01	9	5305	0.16		
"New Caledonia"						155	0.01	-1	11471	0.2		
"British Virgin Islands"						156	0.01	8	7242	0.27		
"Gabon"						158	0.01	-2	7114	0.11		
"Rwanda"						159	0.01	17	5437	0.08		
"Eswatini"						160	0	1	1597	0.74		
"Niger"						162	0	13	5715	0.09		
"Curaçao"						163	0	-12		0.24		
"Lesotho"						164	0	-2	1590	0.78		
"French Polynesia"						165	0	1	13300	0.24		
"Andorra"						166	0	2	610	0.52		
"Gambia"						167	0	7	8260	0.14		
"Malawi"						168	0	0	5169	0.15		
"Bermuda"						169	0	-3	8006	0.28		
"Sierra Leone"						170	0	10	8820	0.13		
"Saint Lucia"						171	0	-10	5321	0.23		
"Faroe Islands"						172	0	7	1404	0.27		
"Suriname"						173	0	1	9050	0.14		
"Antigua and Barbuda"						174	0	1	6334	0.27		
"Aruba"						175	0	-3	4917	0.3		
"Palestine, State of"						176	0	8	3026	0.1		
"United States Minor Outlying Islands"						177	0	0		0.21		
"Bhutan"						178	0	15	1733	0.63		
"Belize"						179	0	1	5006	0.18		
"Greenland"						180	0	6	3482	0.44		
"Cabo Verde"						181	0	4	5196	0.21		
"Equatorial Guinea"						182	0	2	6008	0.11		
"Timor-Leste"						183	0	12	3988	0.22		
"Chad"						184	0	13	6931	0.16		
"Dominica"						185	0	8	4908	0.65		
"Free Zones"						186	0	-34		0.92		
"Seychelles"						187	0	-7	6627	0.06		
"Burundi"						188	0	13	4755	0.14		
"Bonaire, Sint Eustatius and Saba"						189	0	20		0.19		
"Solomon Islands"						190	0	0	6301	0.17		
"Turks and Caicos Islands"						193	0	-3	3491	0.74		
"South Sudan"						194	0	12		0.25		
"Guinea-Bissau"						195	0	2	5802	0.16		
"Saint Vincent and the Grenadines"						196	0	3	6798	0.14		
"Samoa"						197	0	-1	6816	0.13		
"Vanuatu"						198	0	-2	6248	0.13		
"Central African Republic"						199	0	7	6606	0.08		
"Korea, Democratic People's Republic of"						200	0	-49	1470	0.87		
"Saint Kitts and Nevis"						201	0	-12	5440	0.41		
"Tonga"						202	0	4	5771	0.16		
"Eritrea"						203	0	-8	6303	0.14		
"Tuvalu"						204	0	17	6386	0.21		
"Kiribati"						205	0	10	5936	0.13		
"Cook Islands"						206	0	-4	9417	0.22		
"Falkland Islands (Malvinas)"						207	0	2	12325	0.46		
"Micronesia, Federated States of"						208	0	-8	7109	0.19		
"Palau"						209	0	1	6232	0.16		
"Sao Tome and Principe"						210	0	-3	6155	0.31		
"Nauru"						211	0	18	6014	0.27		
"Anguilla"						212	0	-5	4397	0.58		
"Sint Maarten (Dutch part)"						213	0	-7		0.43		
"French Southern and Antarctic Territories"						214	0	14		0.12		
"Saint Pierre and Miquelon"						215	0	10	3489	0.45		
"Northern Mariana Islands"						216	0	-19	3811	0.2		
"Saint Helena"						217	0	6	7699	0.31		
"Wallis and Futuna Islands"						218	0	7	10103	0.24		
"British Indian Ocean Territory"						219	0	-9		0.67		
"Christmas Island"						220	0	3		0.69		
"Western Sahara"						221	0	-16	12469	0.9		
"Norfolk Island"						222	0	1	5454	0.24		
"Niue"						223	0	7	11410	0.48		
"Montserrat"						224	0	-7		0.49		
"Cocos (Keeling) Islands"						225	0	8		0.74		
"Tokelau"						226	0	-33	11566	0.22		
"Pitcairn"						227	0	-5		0.23		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
