Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Taipei, Chinese's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Taipei, Chinese (%)	
"Argentina"	268119	-187458	0.1	-5	43	50	0.3	-5	10631	0.1		
"Chile"	255190	-1780094	0.1	-2	49	43	0.4	6	11582	0.13		
"Norway"	223904	-275050	0.1	4	41	39	0.5	3	3470	0.06		
"Guatemala"	203504	111644	0	10	80	68	0.1	7	5828	0.15		
"Slovenia"	185472	138743	0	0	55	55	0.2	10	2404	0.07		
"Bulgaria"	181212	136646	0	11	44	57	0.2	6	2237	0.05		
"Ecuador"	173515	45675	0	1	43	69	0.1	3	9174	0.12		
"Myanmar"	172520	109846	0	-9	-17	79	0.10	-1	2536	0.25		
"Iraq"	168798	-912206	0	32	186	62	0.2	3	4107	0.18		
"Ukraine"	161894	-4212	0	6	20	48	0.3	7	3255	0.06		
"Togo"	136162	135547	0	50	1159	153	0.01	10	7318	0.08		
"Greece"	132405	57754	0	-5	7	45	0.3	4	2847	0.05		
"Lithuania"	132044	88990	0	0	21	59	0.2	7	1630	0.07		
"Kuwait"	131996	-4408200	0	-3	6	76	0.1	-3	5837	0.07		
"Slovakia"	130306	-91201	0	-21	27	38	0.5	4	2664	0.07		
"Dominican Republic"	122207	11668	0	-6	41	67	0.1	5	6446	0.22		
"Kenya"	121715	88903	0	10	-18	80	0.09	2	6680	0.08		
"Macao, China"	110808	104415	0	-3	20	81	0.09	15		0.17		
"Qatar"	107252	-2610718	0	0	36	70	0.1	0	5745	0.06		
"Costa Rica"	98205	-19458	0	3	26	86	0.08	3	6987	0.22		
"Panama"	92898	43122	0	-9	16	60	0.2	1	8657	0.12		
"Marshall Islands"	88306	88252	0	-11	259	91	0.06	-1	7455	0.18		
"Latvia"	88167	76271	0	-8	10	77	0.1	7	1575	0.08		
"Estonia"	87911	48370	0	-5	24	73	0.1	6	2314	0.06		
"Oman"	81157	-1691123	0	-25	42	83	0.08	-6	5977	0.08		
"El Salvador"	79649	26867	0	-10	28	88	0.07	9	4914	0.15		
"Mauritius"	77102	73729	0	-9	-14	133	0.02	-2	7320	0.08		
"Morocco"	72933	-2374	0	3	4	52	0.3	4	4316	0.07		
"Iran, Islamic Republic of"	70678	-4472	0	-46	-14	72	0.1	-18	5612	0.13		
"Honduras"	68335	-12846	0	-5	18	99	0.05	4	6104	0.16		
"Papua New Guinea"	60968	-727458	0	-17	49	143	0.02	-1	4973	0.17		
"United States Minor Outlying Islands"	56074	45889	0	-4	11	177	0	0		0.21		
"Algeria"	55108	-373310	0	-9	-29	64	0.2	-8	4584	0.07		
"Fiji"	52497	50529	0	-5	43	157	0.01	-7	7384	0.12		
"Haiti"	51073	46932	0	6	104	140	0.02	0	6340	0.18		
"Malta"	49673	17111	0	11	117	120	0.03	1	3249	0.08		
"Uruguay"	49355	36824	0	-3	-15	95	0.06	0	9836	0.11		
"Lesotho"	47775	47134	0	-6	-3	164	0	-2	1590	0.78		
"Tunisia"	46261	31031	0	0	9	78	0.10	-1	3411	0.06		
"Croatia"	43765	22942	0	-4	5	63	0.2	6	1362	0.07		
"Bahrain"	41796	-216633	0	-11	30	101	0.05	1	6359	0.08		
"Kazakhstan"	40249	-70775	0	5	5	58	0.2	6	3017	0.25		
"Ghana"	37909	35590	0	8	25	82	0.08	8	8888	0.18		
"Tanzania, United Republic of"	36199	29117	0	6	30	102	0.05	7	6633	0.1		
"Lebanon"	29618	26499	0	-29	20	97	0.06	-12	3592	0.06		
"Luxembourg"	28349	-18541	0	6	52	71	0.1	3	1488	0.14		
"Kiribati"	26060	25999	0	73	402	205	0	10	5936	0.13		
"Brunei Darussalam"	24396	-124407	0	34	-58	109	0.04	26	5185	0.11		
"Nicaragua"	24383	-113969	0	0	6	104	0.05	4	5888	0.1		
"Trinidad and Tobago"	23522	-79205	0	-8	-5	128	0.03	-1	6663	0.26		
"Madagascar"	23121	-32971	0	5	-6	138	0.02	2	7339	0.08		
"Côte d'Ivoire"	22981	21564	0	2	-13	93	0.06	9	6793	0.08		
"Paraguay"	22039	-153262	0	-7	-30	92	0.06	0	7311	0.15		
"Cyprus"	20454	11852	0	-3	-2	105	0.05	-1	3118	0.09		
"Belarus"	19488	10255	0	2	-3	61	0.2	2	2268	0.23		
"Serbia"	19407	10663	0	-14	-5	65	0.2	9	2497	0.06		
"Djibouti"	17295	17290	0	-13	-38	130	0.02	5	6387	0.22		
"Vanuatu"	16649	14763	0	112	299	198	0	-2	6248	0.13		
"Guinea"	16615	16458	0	4	150	135	0.02	7	9140	0.19		
"Venezuela, Bolivarian Republic of"	15947	-36488	0	14	29	117	0.03	-11	8121	0.16		
"Solomon Islands"	15931	13545	0	11	32	190	0	0	6301	0.17		
"Nauru"	15405	15393	0	130	-73	211	0	18	6014	0.27		
"Timor-Leste"	13908	13696	0	89	43	183	0	12	3988	0.22		
"Libya, State of"	13786	13527	0	10	-12	89	0.07	12	3475	0.08		
"Uzbekistan"	12865	10473	0	1	70	74	0.1	16	3412	0.12		
"Aruba"	12289	10175	0	60	4347	175	0	-3	4917	0.3		
"Georgia"	12242	675	0	1	-23	113	0.04	-2	2513	0.09		
"Yemen"	12209	6629	0	3	-50	107	0.04	11	5706	0.11		
"Eswatini"	11370	4705	0	9	12	160	0	1	1597	0.74		
"Belize"	11167	10387	0	11	82	179	0	1	5006	0.18		
"Nepal"	10563	8848	0	-7	9	96	0.06	8	1856	0.56		
"Syrian Arab Republic"	10416	10307	0	-25	-57	139	0.02	-3	2496	0.27		
"Ethiopia"	9874	-15030	0	-21	-30	90	0.07	1	6305	0.11		
"Mozambique"	9481	6748	0	3	-8	108	0.04	8	6196	0.1		
"Jamaica"	9086	739	0	-9	6	137	0.02	-2	6759	0.22		
"Micronesia, Federated States of"	8880	8827	0	-19	6	208	0	-8	7109	0.19		
"Sudan"	8741	6432	0	-14	-30	122	0.03	-2		0.13		
"Congo, Democratic Republic of the"	8698	-82570	0	18	-13	111	0.04	13	6479	0.14		
"Angola"	8671	-277638	0	-33	29	100	0.05	-11	7692	0.06		
"Lao People's Democratic Republic"	8636	-7074	0	5	43	129	0.02	-1	2572	0.28		
"Mongolia"	7882	-6936	0	8	60	125	0.03	8	3267	0.22		
"French Polynesia"	7795	7353	0	-7	38	165	0	1	13300	0.24		
"Montenegro"	7766	7733	0	20	-7	152	0.01	0	2382	0.08		
"Seychelles"	7679	-357	0	5	-9	187	0	-7	6627	0.06		
"Palau"	7602	6687	0	-25	-43	209	0	1	6232	0.16		
"Suriname"	7040	-1299	0	-4	29	173	0	1	9050	0.14		
"Albania"	6507	5078	0	-11	64	121	0.03	6	1886	0.13		
"Senegal"	6469	4216	0	-7	5	110	0.04	4	6632	0.05		
"Bolivia, Plurinational State of"	6454	1758	0	-5	-4	106	0.04	-3	7978	0.11		
"Cameroon"	6415	-146306	0	0	99	116	0.03	8	7279	0.14		
"Bosnia and Herzegovina"	6414	3795	0	19	65	94	0.06	3	2228	0.07		
"Iceland"	6267	-26855	0	-3	17	112	0.04	-1	4251	0.05		
"New Caledonia"	6207	-82176	0	-3	33	155	0.01	-1	11471	0.2		
"Moldova, Republic of"	5795	1198	0	3	21	118	0.03	8	2317	0.08		
"Northern Mariana Islands"	5152	4713	0	-8	20	216	0	-19	3811	0.2		
"Liberia"	4954	4920	0	37	180	87	0.07	17	11608	0.19		
"Burkina Faso"	4815	4797	0	-11	-18	136	0.02	5	6109	0.05		
"Guyana"	4789	3420	0	5	14	144	0.02	13	11175	0.21		
"Azerbaijan"	4745	-138986	0	24	21	98	0.05	5	3712	0.09		
"Macedonia, North"	4219	-1155	0	7	13	103	0.05	8	1348	0.09		
"Maldives"	4177	2098	0	-11	14	151	0.01	-3	4478	0.08		
"Samoa"	3699	3464	0	19	-28	197	0	-1	6816	0.13		
"Cuba"	3668	-779	0	-2	-29	145	0.02	-13	7148	0.09		
"Sierra Leone"	3544	3364	0	-12	120	170	0	10	8820	0.13		
"Uganda"	3345	1401	0	2	-17	132	0.02	11	5788	0.09		
"Armenia"	3198	1765	0	14	20	131	0.02	6	3323	0.15		
"Barbados"	2904	1515	0	-3	-19	161	0	0	4992	0.21		
"Saint Kitts and Nevis"	2671	2519	0	48	-52	201	0	-12	5440	0.41		
"Palestine, State of"	2492	2490	0	55	96	176	0	8	3026	0.1		
"Zambia"	2358	-167820	0	3	-26	119	0.03	-9	5447	0.14		
"Benin"	2178	2084	0	-16	78	149	0.01	-2	6481	0.07		
"Tonga"	2084	2080	0	-14	-38	202	0	4	5771	0.16		
"Zimbabwe"	1960	-4114	0	-5	15	134	0.02	7	3754	0.39		
"Mauritania"	1954	-278	0	8	35	146	0.02	1	5817	0.07		
"Namibia"	1937	78	0	-4	-38	126	0.03	-1	3757	0.37		
"Somalia"	1608	1083	0	8	74	150	0.01	9	5305	0.16		
"Kyrgyzstan"	1420	1254	0	7	7	127	0.03	1	2892	0.2		
"Saint Vincent and the Grenadines"	1367	1366	0	4	303	196	0	3	6798	0.14		
"Bahamas"	1326	80	0	6	180	115	0.03	-8	6248	0.19		
"Gambia"	1230	547	0	23	71	167	0	7	8260	0.14		
"Botswana"	1068	907	0	-24	13	124	0.03	2	2968	0.52		
"Mali"	734	621	0	9	-36	141	0.02	9	5008	0.1		
"Bermuda"	721	676	0	-18	18	169	0	-3	8006	0.28		
"Cayman Islands"	685	672	0	6	-7	123	0.03	5	7522	0.35		
"Gabon"	576	-1824	0	-22	-41	158	0.01	-2	7114	0.11		
"Turkmenistan"	575	570	0	-18	93	148	0.02	4	3495	0.15		
"Sint Maarten (Dutch part)"	563	-101	0		192	213	0	-7		0.43		
"Tuvalu"	456	452	0	39	-27	204	0	17	6386	0.21		
"Malawi"	444	-3476	0	-31	-51	168	0	0	5169	0.15		
"Andorra"	406	237	0	43	44	166	0	2	610	0.52		
"Afghanistan"	402	226	0	-32	-40	147	0.02	-8	2990	0.12		
"Curaçao"	388	-3700	0	-24	-26	163	0	-12		0.24		
"Rwanda"	363	-14	0	2	33	159	0.01	17	5437	0.08		
"Congo"	326	-127752	0	-22	-13	154	0.01	-18	6851	0.07		
"Dominica"	321	275	0	-4	236	185	0	8	4908	0.65		
"Tajikistan"	299	-13788	0	-12	42	142	0.02	9	2803	0.17		
"Saint Lucia"	293	40	0	-13	-67	171	0	-10	5321	0.23		
"Equatorial Guinea"	243	-9853	0	39	-86	182	0	2	6008	0.11		
"Antigua and Barbuda"	218	-902	0	14	-36	174	0	1	6334	0.27		
"Grenada"	195	180	0	-1	17	191	0	-1	4157	0.2		
"Niger"	194	-254	0	-42	39	162	0	13	5715	0.09		
"British Virgin Islands"	156	155	0	-38	-51	156	0.01	8	7242	0.27		
"Cook Islands"	146	145	0	-14	143	206	0	-4	9417	0.22		
"Bhutan"	107	99	0	-22	-10	178	0	15	1733	0.63		
"Chad"	98	-463763	0	5	54	184	0	13	6931	0.16		
"Faroe Islands"	97	-1555	0	-21	186	172	0	7	1404	0.27		
"Central African Republic"	79	76	0	4	166	199	0	7	6606	0.08		
"Cabo Verde"	54	52	0	-10	141	181	0	4	5196	0.21		
"Anguilla"	50	45	0	-31	202	212	0	-5	4397	0.58		
"Falkland Islands (Malvinas)"	47	46	0	42	2061	207	0	2	12325	0.46		
"Wallis and Futuna Islands"	44	44	0	100	1	218	0	7	10103	0.24		
"Burundi"	27	-104	0	12	-76	188	0	13	4755	0.14		
"Comoros"	26	21	0	9	-78	192	0	18	5731	0.22		
"Eritrea"	18	15	0	-43	-90	203	0	-8	6303	0.14		
"Tokelau"	13	3	0		70	226	0	-33	11566	0.22		
"Bonaire, Sint Eustatius and Saba"	11	11	0		93	189	0	20		0.19		
"Turks and Caicos Islands"	5	3	0	61	19	193	0	-3	3491	0.74		
"Guinea-Bissau"	5	-122	0	-78	12	195	0	2	5802	0.16		
"Greenland"	5	-45949	0	28	375	180	0	6	3482	0.44		
"Gibraltar"	4	4	0	-32	-77	114	0.03	-5	2572	0.09		
"Montserrat"	3	-5	0	121	-6	224	0	-7		0.49		
"Niue"	1	-22	0			223	0	7	11410	0.48		
"Cocos (Keeling) Islands"		-2				225	0	8		0.74		
"Saint Helena"		-4				217	0	6	7699	0.31		
"Christmas Island"		-4				220	0	3		0.69		
"Sao Tome and Principe"		-11				210	0	-3	6155	0.31		
"Taipei, Chinese"		-15794025				17	1.7	8	5007	0.1		
"Ship stores and bunkers"						75	0.1	-11		0.16		
"Free Zones"						186	0	-34		0.92		
"South Sudan"						194	0	12		0.25		
"Korea, Democratic People's Republic of"						200	0	-49	1470	0.87		
"French Southern and Antarctic Territories"						214	0	14		0.12		
"Saint Pierre and Miquelon"						215	0	10	3489	0.45		
"British Indian Ocean Territory"						219	0	-9		0.67		
"Western Sahara"						221	0	-16	12469	0.9		
"Norfolk Island"						222	0	1	5454	0.24		
"Pitcairn"						227	0	-5		0.23		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
