Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Colombia's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Colombia (%)	
"British Virgin Islands"	29395	28865	0.1	199	1690	156	0.01	8	7242	0.27		
"Thailand"	26786	-346288	0.1	2	-27	23	1.2	2	4905	0.09		
"Curaçao"	26359	26281	0.1	4	14	163	0	-12		0.24		
"Malta"	21850	19594	0.1	180	65	120	0.03	1	3249	0.08		
"Aruba"	20980	20898	0.1	-48	-49	175	0	-3	4917	0.3		
"Viet Nam"	20898	-895270	0.1	-13	14	19	1.5	8	3535	0.19		
"Greece"	19182	-3764	0	-7	20	45	0.3	4	2847	0.05		
"Croatia"	19054	14534	0	10	2801	63	0.2	6	1362	0.07		
"Indonesia"	18521	-343322	0	21	130	30	0.9	2	5872	0.11		
"Guyana"	18089	16410	0	9	73	144	0.02	13	11175	0.21		
"Portugal"	17622	-73769	0	-56	-61	40	0.4	2	2788	0.14		
"Gabon"	15304	15286	0	0	-8	158	0.01	-2	7114	0.11		
"Libya, State of"	14098	14097	0	74	157	89	0.07	12	3475	0.08		
"Ireland"	13611	-192775	0	-51	263	36	0.5	4	3265	0.1		
"Romania"	13268	-84876	0	12	22	37	0.5	6	1891	0.07		
"Nigeria"	13094	10584	0	32	16	53	0.2	17	7792	0.1		
"New Zealand"	12770	-19389	0	-3	-17	56	0.2	3	11141	0.09		
"Albania"	10611	10339	0	12	1115	121	0.03	6	1886	0.13		
"Barbados"	8139	8098	0	-10	22	161	0	0	4992	0.21		
"Cayman Islands"	7759	5596	0	78	169	123	0.03	5	7522	0.35		
"Kuwait"	7612	6795	0	24	107	76	0.1	-3	5837	0.07		
"Denmark"	7321	-147577	0	-28	36	35	0.6	5	2182	0.08		
"Philippines"	7223	-38586	0	-13	-2	34	0.6	2	4354	0.09		
"Suriname"	6412	6100	0	-3	4	173	0	1	9050	0.14		
"Czech Republic"	5453	-81824	0	4	10	28	1	4	2987	0.1		
"Estonia"	5126	-3411	0	-1	65	73	0.1	6	2314	0.06		
"Tunisia"	4995	-1725	0	23	143	78	0.10	-1	3411	0.06		
"Qatar"	4695	-12472	0	47	96	70	0.1	0	5745	0.06		
"Congo, Democratic Republic of the"	4379	4376	0	7	-36	111	0.04	13	6479	0.14		
"Colombia"	4133	-321086	0	-11	183	51	0.3	4	8915	0.13		
"Georgia"	3683	-2454	0	-20	732	113	0.04	-2	2513	0.09		
"Austria"	3567	-146731	0	42	-19	27	1	3	1514	0.18		
"Ghana"	3132	-369	0	6	7	82	0.08	8	8888	0.18		
"Lithuania"	3029	-30965	0	28	-30	59	0.2	7	1630	0.07		
"Guinea"	2907	2907	0	-26	48	135	0.02	7	9140	0.19		
"Kazakhstan"	2882	-969	0	17	28	58	0.2	6	3017	0.25		
"Djibouti"	2500	2500	0	25	309	130	0.02	5	6387	0.22		
"Belize"	2346	2014	0	-2	71	179	0	1	5006	0.18		
"Angola"	2243	1823	0	10	157	100	0.05	-11	7692	0.06		
"Hungary"	2130	-160790	0	6	13	33	0.6	6	2180	0.09		
"Sierra Leone"	2024	2008	0	21	69	170	0	10	8820	0.13		
"Mozambique"	1973	1805	0	144	-13	108	0.04	8	6196	0.1		
"Latvia"	1716	-5717	0	-12	-9	77	0.1	7	1575	0.08		
"Belarus"	1626	-92811	0	21	-5	61	0.2	2	2268	0.23		
"Oman"	1527	-36526	0	40	-47	83	0.08	-6	5977	0.08		
"Dominica"	1504	1266	0	30	5	185	0	8	4908	0.65		
"Antigua and Barbuda"	1428	847	0	26	18	174	0	1	6334	0.27		
"Togo"	1400	1400	0	36	101	153	0.01	10	7318	0.08		
"Bahrain"	1361	-33665	0	13	19	101	0.05	1	6359	0.08		
"Cameroon"	1299	953	0	4	-26	116	0.03	8	7279	0.14		
"Pakistan"	1193	-54112	0	-40	-2	47	0.3	2	4850	0.11		
"Algeria"	1178	-627	0	34	-68	64	0.2	-8	4584	0.07		
"Kenya"	1172	-174	0	30	-64	80	0.09	2	6680	0.08		
"Turks and Caicos Islands"	1086	1086	0	67	-30	193	0	-3	3491	0.74		
"Syrian Arab Republic"	1041	995	0	-27	207	139	0.02	-3	2496	0.27		
"Slovakia"	1026	-72914	0	-42	45	38	0.5	4	2664	0.07		
"Bangladesh"	982	-86550	0	-31	486	49	0.3	6	4172	0.15		
"Saint Vincent and the Grenadines"	979	979	0	16	42	196	0	3	6798	0.14		
"Liberia"	946	786	0	4	37	87	0.07	17	11608	0.19		
"Tanzania, United Republic of"	919	691	0	-28	68	102	0.05	7	6633	0.1		
"Sri Lanka"	913	-21277	0	8	546	85	0.08	-3	4351	0.16		
"Bulgaria"	892	-8475	0	-31	14	57	0.2	6	2237	0.05		
"Iceland"	611	-677	0	9	-22	112	0.04	-1	4251	0.05		
"Grenada"	609	551	0	-2	-13	191	0	-1	4157	0.2		
"Ethiopia"	588	551	0	3	-69	90	0.07	1	6305	0.11		
"Equatorial Guinea"	426	426	0	69	153	182	0	2	6008	0.11		
"Senegal"	376	-1147	0	9	14	110	0.04	4	6632	0.05		
"Saint Kitts and Nevis"	371	196	0	0	22	201	0	-12	5440	0.41		
"Armenia"	327	262	0	18	-43	131	0.02	6	3323	0.15		
"Mali"	303	292	0	-37	60	141	0.02	9	5008	0.1		
"Cabo Verde"	277	276	0	-10	-24	181	0	4	5196	0.21		
"Korea, Democratic People's Republic of"	270	7	0	-10	-65	200	0	-49	1470	0.87		
"Montenegro"	263	263	0	-10	-28	152	0.01	0	2382	0.08		
"Macedonia, North"	261	228	0	251	27	103	0.05	8	1348	0.09		
"Yemen"	257	257	0	-33	-80	107	0.04	11	5706	0.11		
"Guinea-Bissau"	228	228	0	11	-25	195	0	2	5802	0.16		
"Uganda"	224	181	0	-11	-90	132	0.02	11	5788	0.09		
"Palestine, State of"	223	223	0	-8	59	176	0	8	3026	0.1		
"Cambodia"	217	-30946	0	-2	76	66	0.1	16	2651	0.18		
"Fiji"	187	183	0	-1	7	157	0.01	-7	7384	0.12		
"Azerbaijan"	160	-263	0	-11	-25	98	0.05	5	3712	0.09		
"United States Minor Outlying Islands"	145	-21	0	-45	-99	177	0	0		0.21		
"Bosnia and Herzegovina"	142	-2280	0		171	94	0.06	3	2228	0.07		
"Madagascar"	139	-419	0	7	-47	138	0.02	2	7339	0.08		
"Macao, China"	130	-179	0	-7	-80	81	0.09	15		0.17		
"Bermuda"	125	125	0	-6	-75	169	0	-3	8006	0.28		
"Benin"	114	96	0	-29	-38	149	0.01	-2	6481	0.07		
"Comoros"	82	79	0	-31	144	192	0	18	5731	0.22		
"Cyprus"	82	-3982	0	-29	-93	105	0.05	-1	3118	0.09		
"Turkmenistan"	81	68	0	109	668	148	0.02	4	3495	0.15		
"French Polynesia"	60	59	0	2	125	165	0	1	13300	0.24		
"Sudan"	52	-108	0	1	10	122	0.03	-2		0.13		
"Zimbabwe"	51	51	0	22	844	134	0.02	7	3754	0.39		
"Serbia"	43	-284	0	-22	-34	65	0.2	9	2497	0.06		
"Tonga"	42	42	0	-16	-51	202	0	4	5771	0.16		
"Central African Republic"	36	-107	0			199	0	7	6606	0.08		
"Mauritania"	23	-5	0		-70	146	0.02	1	5817	0.07		
"Myanmar"	23	-8782	0	-54	-99	79	0.10	-1	2536	0.25		
"Rwanda"	20	-277	0	11	45	159	0.01	17	5437	0.08		
"Burundi"	17	9	0	67	-49	188	0	13	4755	0.14		
"Burkina Faso"	15	15	0	-31	-84	136	0.02	5	6109	0.05		
"Northern Mariana Islands"	12	12	0			216	0	-19	3811	0.2		
"Maldives"	12	-108	0	-53	549	151	0.01	-3	4478	0.08		
"Kyrgyzstan"	9	9	0	21		127	0.03	1	2892	0.2		
"Zambia"	7	7	0	-70	-94	119	0.03	-9	5447	0.14		
"New Caledonia"	7	7	0	-26	-65	155	0.01	-1	11471	0.2		
"Luxembourg"	7	-7262	0	-82	489	71	0.1	3	1488	0.14		
"Brunei Darussalam"	6	3	0	-24	-70	109	0.04	26	5185	0.11		
"Tajikistan"	5	4	0	-20	-91	142	0.02	9	2803	0.17		
"Afghanistan"	4	1	0		-92	147	0.02	-8	2990	0.12		
"Lao People's Democratic Republic"	4	-1923	0	-51	-40	129	0.02	-1	2572	0.28		
"Anguilla"	3	-1	0		-96	212	0	-5	4397	0.58		
"Moldova, Republic of"	3	-321	0	-53		118	0.03	8	2317	0.08		
"Mongolia"	2	2	0		-100	125	0.03	8	3267	0.22		
"Tuvalu"		-1				204	0	17	6386	0.21		
"Montserrat"		-1				224	0	-7		0.49		
"Bhutan"		-2				178	0	15	1733	0.63		
"Micronesia, Federated States of"		-2				208	0	-8	7109	0.19		
"Wallis and Futuna Islands"		-2				218	0	7	10103	0.24		
"Cocos (Keeling) Islands"		-5				225	0	8		0.74		
"Namibia"		-6				126	0.03	-1	3757	0.37		
"Palau"		-7				209	0	1	6232	0.16		
"Niue"		-7				223	0	7	11410	0.48		
"Greenland"		-12				180	0	6	3482	0.44		
"Nepal"		-17				96	0.06	8	1856	0.56		
"Cook Islands"		-17				206	0	-4	9417	0.22		
"Eswatini"		-18				160	0	1	1597	0.74		
"Gibraltar"		-19				114	0.03	-5	2572	0.09		
"Botswana"		-21				124	0.03	2	2968	0.52		
"Malawi"		-21				168	0	0	5169	0.15		
"Niger"		-36				162	0	13	5715	0.09		
"Area Nes"		-37										
"Nauru"		-53				211	0	18	6014	0.27		
"Eritrea"		-54				203	0	-8	6303	0.14		
"Pitcairn"		-68				227	0	-5		0.23		
"Andorra"		-69				166	0	2	610	0.52		
"Lesotho"		-87				164	0	-2	1590	0.78		
"Tokelau"		-122				226	0	-33	11566	0.22		
"Gambia"		-351				167	0	7	8260	0.14		
"Mauritius"		-750				133	0.02	-2	7320	0.08		
"Iran, Islamic Republic of"		-858				72	0.1	-18	5612	0.13		
"Solomon Islands"		-4093				190	0	0	6301	0.17		
"Uzbekistan"		-4503				74	0.1	16	3412	0.12		
"Seychelles"		-11840				187	0	-7	6627	0.06		
"Ship stores and bunkers"						75	0.1	-11		0.16		
"Marshall Islands"						91	0.06	-1	7455	0.18		
"Papua New Guinea"						143	0.02	-1	4973	0.17		
"Somalia"						150	0.01	9	5305	0.16		
"Congo"						154	0.01	-18	6851	0.07		
"Faroe Islands"						172	0	7	1404	0.27		
"Timor-Leste"						183	0	12	3988	0.22		
"Chad"						184	0	13	6931	0.16		
"South Sudan"						194	0	12		0.25		
"Samoa"						197	0	-1	6816	0.13		
"Vanuatu"						198	0	-2	6248	0.13		
"Kiribati"						205	0	10	5936	0.13		
"Falkland Islands (Malvinas)"						207	0	2	12325	0.46		
"Sao Tome and Principe"						210	0	-3	6155	0.31		
"Sint Maarten (Dutch part)"						213	0	-7		0.43		
"French Southern and Antarctic Territories"						214	0	14		0.12		
"Saint Pierre and Miquelon"						215	0	10	3489	0.45		
"Saint Helena"						217	0	6	7699	0.31		
"British Indian Ocean Territory"						219	0	-9		0.67		
"Christmas Island"						220	0	3		0.69		
"Western Sahara"						221	0	-16	12469	0.9		
"Norfolk Island"						222	0	1	5454	0.24		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
