Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Sweden's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Sweden (%)	
"Estonia"	1539547	-198709	0.8	2	27	73	0.1	6	2314	0.06		
"Australia"	1537610	1262275	0.8	-3	-8	24	1.1	1	10262	0.1		
"Lithuania"	1455885	-281204	0.8	7	45	59	0.2	7	1630	0.07		
"India"	1288666	302153	0.7	-1	34	10	2.6	2	5793	0.05		
"Singapore"	1260454	1124281	0.7	12	34	16	1.9	3	5773	0.07		
"Saudi Arabia"	1193415	1097186	0.6	3	16	32	0.7	3	5816	0.07		
"Canada"	1184768	634660	0.6	-1	6	14	2.2	1	5042	0.26		
"Brazil"	1152509	401585	0.6	8	16	26	1	6	10879	0.09		
"Portugal"	933898	136521	0.5	3	29	40	0.4	2	2788	0.14		
"Egypt"	884572	841305	0.5	7	2	46	0.3	-1	5219	0.05		
"Hungary"	877326	-1179993	0.5	4	32	33	0.6	6	2180	0.09		
"Ireland"	853727	-1410456	0.4	6	55	36	0.5	4	3265	0.1		
"South Africa"	779729	616050	0.4	0	19	41	0.4	-1	9230	0.07		
"United Arab Emirates"	764051	665440	0.4	6	-20	29	0.9	-2	5715	0.08		
"Ship stores and bunkers"	762687	762630	0.4	-8	56	75	0.1	-11		0.16		
"Mexico"	748686	590119	0.4	-1	26	13	2.3	2	7039	0.24		
"Taipei, Chinese"	678730	-287017	0.4	8	19	17	1.7	8	5007	0.1		
"Thailand"	613759	62299	0.3	6	4	23	1.2	2	4905	0.09		
"Latvia"	563250	-474901	0.3	7	-1	77	0.1	7	1575	0.08		
"Ukraine"	560504	449711	0.3	9	42	48	0.3	7	3255	0.06		
"Slovakia"	504634	-665400	0.3	3	25	38	0.5	4	2664	0.07		
"Romania"	501000	-77551	0.3	5	44	37	0.5	6	1891	0.07		
"Greece"	482802	271745	0.3	0	39	45	0.3	4	2847	0.05		
"Iceland"	475008	435477	0.3	3	24	112	0.04	-1	4251	0.05		
"Malaysia"	389557	-209267	0.2	3	42	25	1.1	3	5172	0.09		
"Chile"	381813	231881	0.2	3	24	43	0.4	6	11582	0.13		
"Qatar"	351179	299331	0.2	5	105	70	0.1	0	5745	0.06		
"Hong Kong, China"	336013	32365	0.2	-7	-6	5	3.3	3	2841	0.22		
"Indonesia"	333360	1645	0.2	-7	12	30	0.9	2	5872	0.11		
"Morocco"	325804	171847	0.2	-12	25	52	0.3	4	4316	0.07		
"Israel"	320009	170223	0.2	-1	-2	42	0.4	4	5483	0.07		
"Algeria"	284190	270783	0.1	5	-21	64	0.2	-8	4584	0.07		
"Belarus"	277524	221591	0.1	28	479	61	0.2	2	2268	0.23		
"Pakistan"	274405	92793	0.1	-2	18	47	0.3	2	4850	0.11		
"Viet Nam"	247088	-1293127	0.1	1	16	19	1.5	8	3535	0.19		
"Slovenia"	246510	-202883	0.1	4	32	55	0.2	10	2404	0.07		
"Gibraltar"	224659	224631	0.1	-1	121	114	0.03	-5	2572	0.09		
"Bulgaria"	213519	-76428	0.1	5	25	57	0.2	6	2237	0.05		
"Bahrain"	201358	190569	0.1	58	143	101	0.05	1	6359	0.08		
"New Zealand"	192098	143284	0.1	-1	32	56	0.2	3	11141	0.09		
"Philippines"	188529	106412	0.1	0	38	34	0.6	2	4354	0.09		
"Serbia"	186678	-176688	0.1	10	29	65	0.2	9	2497	0.06		
"Peru"	185074	26816	0.1	-7	46	54	0.2	3	10420	0.13		
"Croatia"	171349	15871	0.1	9	47	63	0.2	6	1362	0.07		
"Oman"	155466	154420	0.1	7	-12	83	0.08	-6	5977	0.08		
"Argentina"	145217	107194	0.1	-16	14	50	0.3	-5	10631	0.1		
"Colombia"	139566	86744	0.1	6	15	51	0.3	4	8915	0.13		
"Greenland"	131864	130584	0.1	2	66	180	0	6	3482	0.44		
"Kazakhstan"	131104	109222	0.1	5	41	58	0.2	6	3017	0.25		
"Luxembourg"	124397	-132708	0.1	-3	25	71	0.1	3	1488	0.14		
"Europe Othr. Nes"	93861	85249	0	89	-11							
"Ghana"	90981	88214	0	-2	10	82	0.08	8	8888	0.18		
"Iraq"	81543	80757	0	-10	-27	62	0.2	3	4107	0.18		
"Nigeria"	79937	-360304	0	-4	-8	53	0.2	17	7792	0.1		
"Cyprus"	78616	10317	0	11	63	105	0.05	-1	3118	0.09		
"Panama"	74260	62362	0	23	51	60	0.2	1	8657	0.12		
"Kuwait"	67795	37422	0	-5	20	76	0.1	-3	5837	0.07		
"Malta"	67197	21917	0	18	34	120	0.03	1	3249	0.08		
"Uruguay"	66325	61834	0	9	37	95	0.06	0	9836	0.11		
"Tajikistan"	63120	63115	0	92	1168	142	0.02	9	2803	0.17		
"Tunisia"	63010	32274	0	-3	25	78	0.10	-1	3411	0.06		
"Bangladesh"	62875	-566825	0	5	33	49	0.3	6	4172	0.15		
"Azerbaijan"	60369	59824	0	26	120	98	0.05	5	3712	0.09		
"Tanzania, United Republic of"	59643	55622	0	5	6	102	0.05	7	6633	0.1		
"Ecuador"	47171	-45648	0	2	-11	69	0.1	3	9174	0.12		
"Faroe Islands"	46051	43766	0	7	30	172	0	7	1404	0.27		
"Uzbekistan"	44633	44467	0	25	32	74	0.1	16	3412	0.12		
"Jordan"	44249	39656	0	-13	4	84	0.08	0	5167	0.07		
"Libya, State of"	43551	-277940	0	-3	16	89	0.07	12	3475	0.08		
"Angola"	41127	41117	0	42	230	100	0.05	-11	7692	0.06		
"Kenya"	38250	9137	0	-10	-21	80	0.09	2	6680	0.08		
"Bosnia and Herzegovina"	38134	-17383	0	5	47	94	0.06	3	2228	0.07		
"Dominican Republic"	38092	-26485	0	-7	114	67	0.1	5	6446	0.22		
"Bahamas"	38071	38035	0	-12	755	115	0.03	-8	6248	0.19		
"Sri Lanka"	37620	-64603	0	-4	24	85	0.08	-3	4351	0.16		
"Macedonia, North"	35586	-3201	0	14	236	103	0.05	8	1348	0.09		
"Costa Rica"	33402	23982	0	0	3	86	0.08	3	6987	0.22		
"Côte d'Ivoire"	33080	32237	0	-4	49	93	0.06	9	6793	0.08		
"Myanmar"	33068	-67295	0	26	285	79	0.10	-1	2536	0.25		
"Lebanon"	31642	16475	0	-20	-48	97	0.06	-12	3592	0.06		
"Rwanda"	28990	18834	0	7	738	159	0.01	17	5437	0.08		
"Senegal"	28457	28098	0	-9	40	110	0.04	4	6632	0.05		
"Burkina Faso"	26434	26143	0	3	-12	136	0.02	5	6109	0.05		
"Guatemala"	22003	15298	0	-12	11	68	0.1	7	5828	0.15		
"Yemen"	21756	21751	0	16	-3	107	0.04	11	5706	0.11		
"Mongolia"	19566	18656	0	-1	-49	125	0.03	8	3267	0.22		
"Iran, Islamic Republic of"	17768	3695	0	-61	-29	72	0.1	-18	5612	0.13		
"El Salvador"	17479	16663	0	8	-5	88	0.07	9	4914	0.15		
"Moldova, Republic of"	16975	13338	0	8	13	118	0.03	8	2317	0.08		
"Bolivia, Plurinational State of"	16971	15251	0	-47	28	106	0.04	-3	7978	0.11		
"Cuba"	16314	12995	0	19	-80	145	0.02	-13	7148	0.09		
"Georgia"	16080	13608	0	6	50	113	0.04	-2	2513	0.09		
"Barbados"	15544	15484	0	8	40	161	0	0	4992	0.21		
"Uganda"	15070	6910	0	5	18	132	0.02	11	5788	0.09		
"Sudan"	14906	14750	0	-23	-28	122	0.03	-2		0.13		
"Benin"	14417	14393	0	14	9	149	0.01	-2	6481	0.07		
"Mali"	12744	12589	0	-1	-13	141	0.02	9	5008	0.1		
"Cameroon"	12699	11624	0	6	-3	116	0.03	8	7279	0.14		
"Congo, Democratic Republic of the"	11656	10129	0	11	-33	111	0.04	13	6479	0.14		
"Ethiopia"	11626	-1669	0	-11	-50	90	0.07	1	6305	0.11		
"Liberia"	11439	11406	0	-10	189	87	0.07	17	11608	0.19		
"Honduras"	11139	-23677	0	-10	-23	99	0.05	4	6104	0.16		
"Zambia"	11123	9681	0	-30	-54	119	0.03	-9	5447	0.14		
"Armenia"	11105	10351	0	-20	37	131	0.02	6	3323	0.15		
"Togo"	10745	10621	0	25	-44	153	0.01	10	7318	0.08		
"Guinea"	10617	6977	0	-6	16	135	0.02	7	9140	0.19		
"Paraguay"	10423	10269	0	-1	19	92	0.06	0	7311	0.15		
"Nicaragua"	9819	-14988	0	-9	6	104	0.05	4	5888	0.1		
"Palestine, State of"	9424	7695	0	-20	206	176	0	8	3026	0.1		
"Albania"	8802	-21928	0	13	-26	121	0.03	6	1886	0.13		
"Niger"	7955	7840	0	-5	36	162	0	13	5715	0.09		
"Kyrgyzstan"	7290	6997	0	13	36	127	0.03	1	2892	0.2		
"Cambodia"	6955	-52847	0	5	-11	66	0.1	16	2651	0.18		
"Macao, China"	6923	4123	0	27	72	81	0.09	15		0.17		
"Mozambique"	6606	4623	0	-11	-34	108	0.04	8	6196	0.1		
"Sierra Leone"	6137	5837	0	-3	1	170	0	10	8820	0.13		
"Congo"	6119	5603	0	-8	74	154	0.01	-18	6851	0.07		
"Trinidad and Tobago"	5940	-236	0	-39	-7	128	0.03	-1	6663	0.26		
"Gabon"	5554	5462	0	-15	306	158	0.01	-2	7114	0.11		
"Mauritius"	5533	-4075	0	1	-6	133	0.02	-2	7320	0.08		
"Gambia"	5373	5363	0	-5	-1	167	0	7	8260	0.14		
"Afghanistan"	4890	3924	0	-21	-30	147	0.02	-8	2990	0.12		
"Montenegro"	4469	1988	0	-21	44	152	0.01	0	2382	0.08		
"Madagascar"	4395	-6827	0	24	-70	138	0.02	2	7339	0.08		
"Marshall Islands"	4233	4229	0	27	4766	91	0.06	-1	7455	0.18		
"United States Minor Outlying Islands"	3721	3425	0	80	-4	177	0	0		0.21		
"New Caledonia"	3637	-20282	0	28	43	155	0.01	-1	11471	0.2		
"Maldives"	3631	3508	0	-14	99	151	0.01	-3	4478	0.08		
"Namibia"	3497	2873	0	-25	34	126	0.03	-1	3757	0.37		
"Djibouti"	3335	3333	0	-16	95	130	0.02	5	6387	0.22		
"Guyana"	3287	3268	0	2	99	144	0.02	13	11175	0.21		
"Suriname"	3287	3251	0	38	29	173	0	1	9050	0.14		
"Zimbabwe"	3081	-1473	0	-23	-46	134	0.02	7	3754	0.39		
"Venezuela, Bolivarian Republic of"	2894	2368	0	-46	80	117	0.03	-11	8121	0.16		
"Mauritania"	2517	2362	0	2	-85	146	0.02	1	5817	0.07		
"Brunei Darussalam"	2455	2400	0	-13	64	109	0.04	26	5185	0.11		
"Jamaica"	2267	2110	0	-18	-82	137	0.02	-2	6759	0.22		
"Eritrea"	2230	2140	0	-12	-37	203	0	-8	6303	0.14		
"Botswana"	2169	2142	0	-16	42	124	0.03	2	2968	0.52		
"Cayman Islands"	2125	2125	0	-30	319	123	0.03	5	7522	0.35		
"Guinea-Bissau"	2026	1995	0	45	40	195	0	2	5802	0.16		
"Nepal"	2012	299	0	-1	-74	96	0.06	8	1856	0.56		
"Syrian Arab Republic"	1959	-5043	0	-51	-39	139	0.02	-3	2496	0.27		
"Andorra"	1602	1564	0	2	5	166	0	2	610	0.52		
"Papua New Guinea"	1343	-1264	0	-4	116	143	0.02	-1	4973	0.17		
"Solomon Islands"	1254	1253	0	8	328	190	0	0	6301	0.17		
"French Polynesia"	1209	1153	0	-3	25	165	0	1	13300	0.24		
"Saint Vincent and the Grenadines"	1074	1071	0	48	1720	196	0	3	6798	0.14		
"Malawi"	1056	-33	0	-15	15	168	0	0	5169	0.15		
"Equatorial Guinea"	976	782	0	17	48	182	0	2	6008	0.11		
"Seychelles"	920	858	0	-31	-30	187	0	-7	6627	0.06		
"Belize"	794	196	0	-4	107	179	0	1	5006	0.18		
"Somalia"	753	582	0	-5	78	150	0.01	9	5305	0.16		
"Aruba"	728	718	0	-36	270	175	0	-3	4917	0.3		
"South Sudan"	705	705	0	66	-33	194	0	12		0.25		
"Haiti"	687	636	0	-16	-63	140	0.02	0	6340	0.18		
"Lao People's Democratic Republic"	662	-30244	0	-34	-88	129	0.02	-1	2572	0.28		
"Curaçao"	642	595	0	-30	-53	163	0	-12		0.24		
"Bhutan"	576	574	0	-30	-10	178	0	15	1733	0.63		
"Eswatini"	561	480	0	30	89	160	0	1	1597	0.74		
"Bermuda"	556	401	0	-29	149	169	0	-3	8006	0.28		
"Antigua and Barbuda"	531	457	0	-38	-42	174	0	1	6334	0.27		
"Sint Maarten (Dutch part)"	505	505	0	23	-51	213	0	-7		0.43		
"Chad"	494	488	0	-6	83	184	0	13	6931	0.16		
"Saint Lucia"	396	394	0	-11	65	171	0	-10	5321	0.23		
"Comoros"	378	378	0	26	182	192	0	18	5731	0.22		
"Cabo Verde"	372	368	0	-33	-40	181	0	4	5196	0.21		
"Turks and Caicos Islands"	358	348	0	6	-40	193	0	-3	3491	0.74		
"Central African Republic"	316	288	0	-16	-80	199	0	7	6606	0.08		
"Fiji"	295	270	0	-3	19	157	0.01	-7	7384	0.12		
"Grenada"	280	56	0	-16	33	191	0	-1	4157	0.2		
"Turkmenistan"	278	270	0	-38	-33	148	0.02	4	3495	0.15		
"Burundi"	277	-4072	0	-4	-22	188	0	13	4755	0.14		
"British Virgin Islands"	235	-603	0	-18	-91	156	0.01	8	7242	0.27		
"Kiribati"	193	193	0	20	-65	205	0	10	5936	0.13		
"Cocos (Keeling) Islands"	187	153	0			225	0	8		0.74		
"Dominica"	176	164	0	-54	403	185	0	8	4908	0.65		
"Lesotho"	176	158	0	174	-64	164	0	-2	1590	0.78		
"Africa not elsewhere specified"	114	95	0	-41	-99							
"French Southern and Antarctic Territories"	107	-166	0	-30	-62	214	0	14		0.12		
"Saint Kitts and Nevis"	100	77	0	-64	213	201	0	-12	5440	0.41		
"Timor-Leste"	69	67	0	-37	2200	183	0	12	3988	0.22		
"Sao Tome and Principe"	60	60	0	17	28	210	0	-3	6155	0.31		
"Vanuatu"	39	38	0	-8	-39	198	0	-2	6248	0.13		
"Western Sahara"	24	24	0			221	0	-16	12469	0.9		
"Norfolk Island"	22	22	0			222	0	1	5454	0.24		
"Anguilla"	19	17	0	-48	-39	212	0	-5	4397	0.58		
"Montserrat"	17	17	0	31	-56	224	0	-7		0.49		
"Pitcairn"	17	3	0	150	-87	227	0	-5		0.23		
"Bonaire, Sint Eustatius and Saba"	16	16	0	-10	-100	189	0	20		0.19		
"Tonga"	16	11	0	15	129	202	0	4	5771	0.16		
"Saint Helena"	15	11	0	38	-58	217	0	6	7699	0.31		
"Samoa"	8	-67	0	-54	-86	197	0	-1	6816	0.13		
"Falkland Islands (Malvinas)"	5	-108	0	-29		207	0	2	12325	0.46		
"Cook Islands"	4	-31	0	-4	-75	206	0	-4	9417	0.22		
"Micronesia, Federated States of"	3	0	0	-21		208	0	-8	7109	0.19		
"Northern Mariana Islands"	2	-6	0	-46	-96	216	0	-19	3811	0.2		
"Saint Pierre and Miquelon"	2	-91	0			215	0	10	3489	0.45		
"Nauru"	1	-8	0	-49		211	0	18	6014	0.27		
"Palau"		-2				209	0	1	6232	0.16		
"Tuvalu"		-3				204	0	17	6386	0.21		
"British Indian Ocean Territory"		-3				219	0	-9		0.67		
"Niue"		-21				223	0	7	11410	0.48		
"Christmas Island"		-24				220	0	3		0.69		
"Wallis and Futuna Islands"		-88				218	0	7	10103	0.24		
"Special categories"		-120										
"Tokelau"		-154				226	0	-33	11566	0.22		
"Free Zones"						186	0	-34		0.92		
"Korea, Democratic People's Republic of"						200	0	-49	1470	0.87		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
