Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Canada's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Canada (%)	
"Congo"	16621	13994	0	-2	77	154	0.01	-18	6851	0.07		
"Saint Lucia"	14763	14019	0	22	40	171	0	-10	5321	0.23		
"Congo, Democratic Republic of the"	14369	-190276	0	10	-10	111	0.04	13	6479	0.14		
"Zambia"	13577	-95887	0	-9	71	119	0.03	-9	5447	0.14		
"Gabon"	13569	11922	0	12	4	158	0.01	-2	7114	0.11		
"Belarus"	12577	-13716	0	51	11	61	0.2	2	2268	0.23		
"Mongolia"	11508	9977	0	-15	-17	125	0.03	8	3267	0.22		
"Greenland"	10379	9031	0	-19	94	180	0	6	3482	0.44		
"Bolivia, Plurinational State of"	10298	-281715	0	-28	-15	106	0.04	-3	7978	0.11		
"French Polynesia"	10046	8911	0	-6	32	165	0	1	13300	0.24		
"Rwanda"	9264	7860	0	14	297	159	0.01	17	5437	0.08		
"Syrian Arab Republic"	9197	6825	0	-12	-68	139	0.02	-3	2496	0.27		
"Madagascar"	8853	-145512	0	-11	5	138	0.02	2	7339	0.08		
"Equatorial Guinea"	8846	-4460	0	24	286	182	0	2	6008	0.11		
"Sierra Leone"	8745	6164	0	7	34	170	0	10	8820	0.13		
"Armenia"	8742	-258	0	2	36	131	0.02	6	3323	0.15		
"Cyprus"	8344	3174	0	-7	-2	105	0.05	-1	3118	0.09		
"Grenada"	7962	6056	0	1	38	191	0	-1	4157	0.2		
"Namibia"	7480	-31432	0	21	53	126	0.03	-1	3757	0.37		
"Zimbabwe"	7170	-600	0	-18	192	134	0.02	7	3754	0.39		
"Kyrgyzstan"	6830	6191	0	-5	-1	127	0.03	1	2892	0.2		
"Mauritius"	6694	-6090	0	1	26	133	0.02	-2	7320	0.08		
"Lao People's Democratic Republic"	6621	-20471	0	4	247	129	0.02	-1	2572	0.28		
"Brunei Darussalam"	6206	5433	0	24	-10	109	0.04	26	5185	0.11		
"Niger"	5955	-53324	0	16	-22	162	0	13	5715	0.09		
"Yemen"	5539	5147	0	-17	-13	107	0.04	11	5706	0.11		
"Uzbekistan"	5348	-197066	0	7	-49	74	0.1	16	3412	0.12		
"Belize"	5346	2974	0	-20	22	179	0	1	5006	0.18		
"Turks and Caicos Islands"	4721	4582	0	0	81	193	0	-3	3491	0.74		
"Dominica"	4642	4152	0	-9	64	185	0	8	4908	0.65		
"Azerbaijan"	4201	-297745	0	-21	-28	98	0.05	5	3712	0.09		
"Papua New Guinea"	4200	1643	0	-18	-62	143	0.02	-1	4973	0.17		
"Saint Kitts and Nevis"	4166	1815	0	-13	-8	201	0	-12	5440	0.41		
"Turkmenistan"	4156	3503	0	-37	4	148	0.02	4	3495	0.15		
"Gambia"	4018	3602	0	-1	64	167	0	7	8260	0.14		
"Djibouti"	3928	3603	0	23	-1	130	0.02	5	6387	0.22		
"Malawi"	3830	3013	0	-22	-27	168	0	0	5169	0.15		
"Montenegro"	3792	-5607	0	-8	34	152	0.01	0	2382	0.08		
"Sint Maarten (Dutch part)"	3351	3272	0			213	0	-7		0.43		
"Bosnia and Herzegovina"	3318	-20778	0	4	1	94	0.06	3	2228	0.07		
"French Southern and Antarctic Territories"	3234	3121	0	0	2864	214	0	14		0.12		
"Macedonia, North"	3203	-7209	0	-2	-18	103	0.05	8	1348	0.09		
"Aruba"	2885	2857	0	-27	-8	175	0	-3	4917	0.3		
"Fiji"	2670	-3267	0	-36	-24	157	0.01	-7	7384	0.12		
"British Virgin Islands"	2664	2431	0	-9	-24	156	0.01	8	7242	0.27		
"Somalia"	2620	2282	0	-20	7	150	0.01	9	5305	0.16		
"Moldova, Republic of"	2543	-14627	0	15	-19	118	0.03	8	2317	0.08		
"South Sudan"	1771	1761	0			194	0	12		0.25		
"Eritrea"	1603	1587	0	69	173	203	0	-8	6303	0.14		
"Afghanistan"	1586	-5577	0	-42	-85	147	0.02	-8	2990	0.12		
"Anguilla"	1566	1420	0	-14	116	212	0	-5	4397	0.58		
"Burundi"	1231	816	0	-22	90	188	0	13	4755	0.14		
"Christmas Island"	1174	762	0	-11	151	220	0	3		0.69		
"Chad"	1083	1004	0	-20	-84	184	0	13	6931	0.16		
"Central African Republic"	993	802	0	30	535	199	0	7	6606	0.08		
"Wallis and Futuna Islands"	973	964	0	101	12468	218	0	7	10103	0.24		
"Eswatini"	969	-567	0	-26	-23	160	0	1	1597	0.74		
"Seychelles"	807	-918	0	-41	-56	187	0	-7	6627	0.06		
"Cabo Verde"	800	471	0	-18	-51	181	0	4	5196	0.21		
"Tajikistan"	752	515	0	-22	-68	142	0.02	9	2803	0.17		
"Cocos (Keeling) Islands"	690	204	0	117	258	225	0	8		0.74		
"Comoros"	630	604	0	9	-50	192	0	18	5731	0.22		
"Tonga"	562	458	0	-19	4971	202	0	4	5771	0.16		
"Pitcairn"	543	488	0	89	342	227	0	-5		0.23		
"Falkland Islands (Malvinas)"	520	488	0	114	515	207	0	2	12325	0.46		
"Lesotho"	483	-7767	0	6	329	164	0	-2	1590	0.78		
"Timor-Leste"	399	-5318	0	8	254	183	0	12	3988	0.22		
"Andorra"	369	254	0	38	-34	166	0	2	610	0.52		
"Faroe Islands"	351	-9896	0	8	-12	172	0	7	1404	0.27		
"Montserrat"	208	-5532	0	-6	-31	224	0	-7		0.49		
"Guinea-Bissau"	199	189	0	22	-10	195	0	2	5802	0.16		
"Solomon Islands"	176	33	0	-49	919	190	0	0	6301	0.17		
"Vanuatu"	173	119	0	-14	7	198	0	-2	6248	0.13		
"Nauru"	148	-40	0	18	405	211	0	18	6014	0.27		
"Bhutan"	137	114	0	-26	16	178	0	15	1733	0.63		
"Saint Helena"	113	-561	0	14	-62	217	0	6	7699	0.31		
"Niue"	90	-33	0	1	309	223	0	7	11410	0.48		
"British Indian Ocean Territory"	72	-126	0	54	-15	219	0	-9		0.67		
"Sao Tome and Principe"	70	-284	0	1	181	210	0	-3	6155	0.31		
"Kiribati"	24	-332	0	-59	-93	205	0	10	5936	0.13		
"Cook Islands"	21	-27	0	-61	381	206	0	-4	9417	0.22		
"Samoa"	20	-80	0	-5	-95	197	0	-1	6816	0.13		
"Norfolk Island"	16	-98	0	-31	-68	222	0	1	5454	0.24		
"Korea, Democratic People's Republic of"	9	5	0	-65		200	0	-49	1470	0.87		
"Western Sahara"		-23				221	0	-16	12469	0.9		
"Ship stores and bunkers"						75	0.1	-11		0.16		
"Marshall Islands"						91	0.06	-1	7455	0.18		
"Gibraltar"						114	0.03	-5	2572	0.09		
"Palestine, State of"						176	0	8	3026	0.1		
"Free Zones"						186	0	-34		0.92		
"Tuvalu"						204	0	17	6386	0.21		
"Micronesia, Federated States of"						208	0	-8	7109	0.19		
"Palau"						209	0	1	6232	0.16		
"Northern Mariana Islands"						216	0	-19	3811	0.2		
"Tokelau"						226	0	-33	11566	0.22		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
