Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Jamaica's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Jamaica (%)	
"Spain"	2970	-36545	0.3	50	-58	15	1.9	3	3890	0.05		
"Korea, Republic of"	2825	-27038	0.3	-8	0	9	2.8	4	5699	0.09		
"Malaysia"	2546	-11401	0.2	31	98	25	1.1	3	5172	0.09		
"Israel"	2449	-2977	0.2	-19	122350	42	0.4	4	5483	0.07		
"Dominican Republic"	2228	-119576	0.2	28	-31	67	0.1	5	6446	0.22		
"India"	2210	-75316	0.2	-17	5	10	2.6	2	5793	0.05		
"Finland"	1813	-577	0.2	6	10	44	0.4	3	2842	0.07		
"Australia"	1632	-24301	0.2	6	53	24	1.1	1	10262	0.1		
"Pakistan"	1440	-149	0.1	-15	22	47	0.3	2	4850	0.11		
"Czech Republic"	1246	467	0.1	-10	125	28	1	4	2987	0.1		
"Estonia"	1156	799	0.1	-10	-16	73	0.1	6	2314	0.06		
"Hong Kong, China"	1138	-12560	0.1	-29	3	5	3.3	3	2841	0.22		
"Egypt"	1057	-490	0.1	25	525	46	0.3	-1	5219	0.05		
"Poland"	907	-8147	0.1	-25	318	18	1.5	8	3121	0.08		
"Singapore"	840	-11393	0.1	-5	80	16	1.9	3	5773	0.07		
"Peru"	714	-14191	0.1	-1	-23	54	0.2	3	10420	0.13		
"Guatemala"	673	-41952	0.1	-44	-19	68	0.1	7	5828	0.15		
"Colombia"	644	-37061	0.1	28	482	51	0.3	4	8915	0.13		
"Denmark"	558	-5473	0.1	15	142	35	0.6	5	2182	0.08		
"Greece"	485	-1082	0	-30	6829	45	0.3	4	2847	0.05		
"Ukraine"	454	380	0	19	56	48	0.3	7	3255	0.06		
"Ecuador"	437	-24062	0	0	178	69	0.1	3	9174	0.12		
"Chile"	345	-17269	0	-33	396	43	0.4	6	11582	0.13		
"Nicaragua"	326	-1699	0	96	76	104	0.05	4	5888	0.1		
"South Africa"	319	-4371	0	-5	-62	41	0.4	-1	9230	0.07		
"Luxembourg"	288	5	0	36	203	71	0.1	3	1488	0.14		
"El Salvador"	187	-20789	0	18	37	88	0.07	9	4914	0.15		
"Mexico"	187	-80779	0	-42	-77	13	2.3	2	7039	0.24		
"Turkey"	166	-167858	0	-7	3	22	1.2	3	4285	0.05		
"Sweden"	157	-2110	0	-50	947	31	0.9	3	2128	0.07		
"Brazil"	156	-171475	0	-26	-83	26	1	6	10879	0.09		
"Ireland"	151	-10215	0	23	991	36	0.5	4	3265	0.1		
"Philippines"	148	-456	0	-33	1	34	0.6	2	4354	0.09		
"Mozambique"	111	111	0	18	-61	108	0.04	8	6196	0.1		
"Kenya"	109	106	0	27	-9	80	0.09	2	6680	0.08		
"Norway"	89	-24103	0	-67	149	39	0.5	3	3470	0.06		
"Austria"	82	-4038	0	28	153	27	1	3	1514	0.18		
"Macao, China"	74	74	0	27	111	81	0.09	15		0.17		
"Nigeria"	69	-15004	0	9	-62	53	0.2	17	7792	0.1		
"Honduras"	64	-3202	0	19	-43	99	0.05	4	6104	0.16		
"Fiji"	53	-4833	0	-29	4195	157	0.01	-7	7384	0.12		
"Togo"	47	47	0			153	0.01	10	7318	0.08		
"Belarus"	45	45	0	-33	-25	61	0.2	2	2268	0.23		
"Burkina Faso"	45	45	0	18	101	136	0.02	5	6109	0.05		
"Latvia"	38	20	0		322	77	0.1	7	1575	0.08		
"Tunisia"	34	34	0	-5	1109	78	0.10	-1	3411	0.06		
"Bulgaria"	34	-421	0	20	1600	57	0.2	6	2237	0.05		
"Zambia"	31	31	0	-23	-24	119	0.03	-9	5447	0.14		
"Maldives"	31	31	0	6	44	151	0.01	-3	4478	0.08		
"Morocco"	31	-484	0	-2	94	52	0.3	4	4316	0.07		
"Saudi Arabia"	30	-240	0	-9	-66	32	0.7	3	5816	0.07		
"Cyprus"	28	-138	0	95		105	0.05	-1	3118	0.09		
"Slovenia"	28	-622	0	-9	12	55	0.2	10	2404	0.07		
"Argentina"	26	-8109	0	-11	-100	50	0.3	-5	10631	0.1		
"Mauritius"	25	25	0	84	-54	133	0.02	-2	7320	0.08		
"Hungary"	24	-8733	0		140	33	0.6	6	2180	0.09		
"Romania"	23	0	0			37	0.5	6	1891	0.07		
"Georgia"	22	22	0	102		113	0.04	-2	2513	0.09		
"Indonesia"	21	-20865	0	-72	40	30	0.9	2	5872	0.11		
"Uzbekistan"	18	-98	0	113	805	74	0.1	16	3412	0.12		
"Angola"	13	13	0	-8		100	0.05	-11	7692	0.06		
"Tanzania, United Republic of"	11	-31	0	-17	-93	102	0.05	7	6633	0.1		
"Portugal"	11	-2901	0		-62	40	0.4	2	2788	0.14		
"Montenegro"	9	9	0	-36		152	0.01	0	2382	0.08		
"Serbia"	8	-100	0	8	217	65	0.2	9	2497	0.06		
"Lithuania"	8	-548	0			59	0.2	7	1630	0.07		
"Moldova, Republic of"	5	-20	0	-64	150	118	0.03	8	2317	0.08		
"Paraguay"	4	4	0			92	0.06	0	7311	0.15		
"Ethiopia"	3	3	0	49	-71	90	0.07	1	6305	0.11		
"Armenia"	3	3	0	39	0	131	0.02	6	3323	0.15		
"Congo"	3	3	0		107	154	0.01	-18	6851	0.07		
"Samoa"	3	3	0			197	0	-1	6816	0.13		
"Malta"	2	-1913	0	13		120	0.03	1	3249	0.08		
"Bosnia and Herzegovina"	1	1	0	41		94	0.06	3	2228	0.07		
"Tajikistan"	1	1	0	-82		142	0.02	9	2803	0.17		
"Bolivia, Plurinational State of"		-221				106	0.04	-3	7978	0.11		
"Croatia"		-232				63	0.2	6	1362	0.07		
"Viet Nam"						19	1.5	8	3535	0.19		
"United Arab Emirates"						29	0.9	-2	5715	0.08		
"Bangladesh"						49	0.3	6	4172	0.15		
"Kazakhstan"						58	0.2	6	3017	0.25		
"Panama"						60	0.2	1	8657	0.12		
"Iraq"						62	0.2	3	4107	0.18		
"Algeria"						64	0.2	-8	4584	0.07		
"Cambodia"						66	0.1	16	2651	0.18		
"Qatar"						70	0.1	0	5745	0.06		
"Iran, Islamic Republic of"						72	0.1	-18	5612	0.13		
"Ship stores and bunkers"						75	0.1	-11		0.16		
"Kuwait"						76	0.1	-3	5837	0.07		
"Myanmar"						79	0.10	-1	2536	0.25		
"Ghana"						82	0.08	8	8888	0.18		
"Oman"						83	0.08	-6	5977	0.08		
"Jordan"						84	0.08	0	5167	0.07		
"Sri Lanka"						85	0.08	-3	4351	0.16		
"Costa Rica"						86	0.08	3	6987	0.22		
"Liberia"						87	0.07	17	11608	0.19		
"Libya, State of"						89	0.07	12	3475	0.08		
"Marshall Islands"						91	0.06	-1	7455	0.18		
"Côte d'Ivoire"						93	0.06	9	6793	0.08		
"Uruguay"						95	0.06	0	9836	0.11		
"Nepal"						96	0.06	8	1856	0.56		
"Lebanon"						97	0.06	-12	3592	0.06		
"Bahrain"						101	0.05	1	6359	0.08		
"Macedonia, North"						103	0.05	8	1348	0.09		
"Yemen"						107	0.04	11	5706	0.11		
"Brunei Darussalam"						109	0.04	26	5185	0.11		
"Senegal"						110	0.04	4	6632	0.05		
"Congo, Democratic Republic of the"						111	0.04	13	6479	0.14		
"Gibraltar"						114	0.03	-5	2572	0.09		
"Bahamas"						115	0.03	-8	6248	0.19		
"Cameroon"						116	0.03	8	7279	0.14		
"Venezuela, Bolivarian Republic of"						117	0.03	-11	8121	0.16		
"Albania"						121	0.03	6	1886	0.13		
"Sudan"						122	0.03	-2		0.13		
"Cayman Islands"						123	0.03	5	7522	0.35		
"Botswana"						124	0.03	2	2968	0.52		
"Mongolia"						125	0.03	8	3267	0.22		
"Namibia"						126	0.03	-1	3757	0.37		
"Kyrgyzstan"						127	0.03	1	2892	0.2		
"Trinidad and Tobago"						128	0.03	-1	6663	0.26		
"Lao People's Democratic Republic"						129	0.02	-1	2572	0.28		
"Djibouti"						130	0.02	5	6387	0.22		
"Uganda"						132	0.02	11	5788	0.09		
"Zimbabwe"						134	0.02	7	3754	0.39		
"Guinea"						135	0.02	7	9140	0.19		
"Madagascar"						138	0.02	2	7339	0.08		
"Syrian Arab Republic"						139	0.02	-3	2496	0.27		
"Haiti"						140	0.02	0	6340	0.18		
"Mali"						141	0.02	9	5008	0.1		
"Papua New Guinea"						143	0.02	-1	4973	0.17		
"Cuba"						145	0.02	-13	7148	0.09		
"Mauritania"						146	0.02	1	5817	0.07		
"Afghanistan"						147	0.02	-8	2990	0.12		
"Turkmenistan"						148	0.02	4	3495	0.15		
"Benin"						149	0.01	-2	6481	0.07		
"Somalia"						150	0.01	9	5305	0.16		
"New Caledonia"						155	0.01	-1	11471	0.2		
"British Virgin Islands"						156	0.01	8	7242	0.27		
"Gabon"						158	0.01	-2	7114	0.11		
"Rwanda"						159	0.01	17	5437	0.08		
"Eswatini"						160	0	1	1597	0.74		
"Niger"						162	0	13	5715	0.09		
"Curaçao"						163	0	-12		0.24		
"Lesotho"						164	0	-2	1590	0.78		
"French Polynesia"						165	0	1	13300	0.24		
"Andorra"						166	0	2	610	0.52		
"Gambia"						167	0	7	8260	0.14		
"Malawi"						168	0	0	5169	0.15		
"Bermuda"						169	0	-3	8006	0.28		
"Sierra Leone"						170	0	10	8820	0.13		
"Saint Lucia"						171	0	-10	5321	0.23		
"Faroe Islands"						172	0	7	1404	0.27		
"Suriname"						173	0	1	9050	0.14		
"Antigua and Barbuda"						174	0	1	6334	0.27		
"Aruba"						175	0	-3	4917	0.3		
"Palestine, State of"						176	0	8	3026	0.1		
"United States Minor Outlying Islands"						177	0	0		0.21		
"Bhutan"						178	0	15	1733	0.63		
"Greenland"						180	0	6	3482	0.44		
"Cabo Verde"						181	0	4	5196	0.21		
"Equatorial Guinea"						182	0	2	6008	0.11		
"Timor-Leste"						183	0	12	3988	0.22		
"Chad"						184	0	13	6931	0.16		
"Dominica"						185	0	8	4908	0.65		
"Free Zones"						186	0	-34		0.92		
"Seychelles"						187	0	-7	6627	0.06		
"Burundi"						188	0	13	4755	0.14		
"Bonaire, Sint Eustatius and Saba"						189	0	20		0.19		
"Solomon Islands"						190	0	0	6301	0.17		
"Comoros"						192	0	18	5731	0.22		
"Turks and Caicos Islands"						193	0	-3	3491	0.74		
"South Sudan"						194	0	12		0.25		
"Guinea-Bissau"						195	0	2	5802	0.16		
"Saint Vincent and the Grenadines"						196	0	3	6798	0.14		
"Vanuatu"						198	0	-2	6248	0.13		
"Central African Republic"						199	0	7	6606	0.08		
"Korea, Democratic People's Republic of"						200	0	-49	1470	0.87		
"Saint Kitts and Nevis"						201	0	-12	5440	0.41		
"Tonga"						202	0	4	5771	0.16		
"Eritrea"						203	0	-8	6303	0.14		
"Tuvalu"						204	0	17	6386	0.21		
"Kiribati"						205	0	10	5936	0.13		
"Cook Islands"						206	0	-4	9417	0.22		
"Falkland Islands (Malvinas)"						207	0	2	12325	0.46		
"Micronesia, Federated States of"						208	0	-8	7109	0.19		
"Palau"						209	0	1	6232	0.16		
"Sao Tome and Principe"						210	0	-3	6155	0.31		
"Nauru"						211	0	18	6014	0.27		
"Anguilla"						212	0	-5	4397	0.58		
"Sint Maarten (Dutch part)"						213	0	-7		0.43		
"French Southern and Antarctic Territories"						214	0	14		0.12		
"Saint Pierre and Miquelon"						215	0	10	3489	0.45		
"Northern Mariana Islands"						216	0	-19	3811	0.2		
"Saint Helena"						217	0	6	7699	0.31		
"Wallis and Futuna Islands"						218	0	7	10103	0.24		
"British Indian Ocean Territory"						219	0	-9		0.67		
"Christmas Island"						220	0	3		0.69		
"Western Sahara"						221	0	-16	12469	0.9		
"Norfolk Island"						222	0	1	5454	0.24		
"Niue"						223	0	7	11410	0.48		
"Montserrat"						224	0	-7		0.49		
"Cocos (Keeling) Islands"						225	0	8		0.74		
"Tokelau"						226	0	-33	11566	0.22		
"Pitcairn"						227	0	-5		0.23		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
