Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Saudi Arabia's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Saudi Arabia (%)	
"Congo, Democratic Republic of the"	20441	-569064	0	-12	45	111	0.04	13	6479	0.14		
"Guinea-Bissau"	19674	19674	0	63	96	195	0	2	5802	0.16		
"Slovenia"	19466	-75753	0	-1	132	55	0.2	10	2404	0.07		
"Nepal"	16132	16053	0	-17	76	96	0.06	8	1856	0.56		
"Ireland"	15064	-1191723	0	5	220	36	0.5	4	3265	0.1		
"Madagascar"	14935	9445	0	21	79	138	0.02	2	7339	0.08		
"Liberia"	14823	14818	0	12	59	87	0.07	17	11608	0.19		
"Qatar"	14766	-151826	0	-68		70	0.1	0	5745	0.06		
"Costa Rica"	12939	-68368	0	27	271	86	0.08	3	6987	0.22		
"Honduras"	12695	9759	0	34	231	99	0.05	4	6104	0.16		
"Norway"	12030	-220196	0	-22	844	39	0.5	3	3470	0.06		
"Congo"	11231	10406	0	11	199	154	0.01	-18	6851	0.07		
"Finland"	10068	-500333	0	-9	35	44	0.4	3	2842	0.07		
"Malawi"	9869	9127	0	86	-25	168	0	0	5169	0.15		
"Romania"	9228	-568020	0	-17	76	37	0.5	6	1891	0.07		
"Czech Republic"	8961	-469846	0	-12	74	28	1	4	2987	0.1		
"Chile"	8718	-127046	0	-18	81	43	0.4	6	11582	0.13		
"Sierra Leone"	8522	7907	0	4	73	170	0	10	8820	0.13		
"Croatia"	8406	-101398	0	19	158	63	0.2	6	1362	0.07		
"Uruguay"	7982	1935	0	9	-67	95	0.06	0	9836	0.11		
"Cyprus"	7960	-26873	0	-6	48	105	0.05	-1	3118	0.09		
"Gabon"	7241	5343	0	45	336	158	0.01	-2	7114	0.11		
"Bahamas"	7135	-20388	0			115	0.03	-8	6248	0.19		
"Cuba"	7041	6625	0	55	23	145	0.02	-13	7148	0.09		
"Mauritius"	6529	-11325	0	-8	54	133	0.02	-2	7320	0.08		
"Nicaragua"	6102	4598	0	31	125	104	0.05	4	5888	0.1		
"Albania"	6038	-13671	0	41	181	121	0.03	6	1886	0.13		
"Gambia"	5478	5462	0	5	109	167	0	7	8260	0.14		
"Rwanda"	5468	4375	0	7	181	159	0.01	17	5437	0.08		
"Eritrea"	4907	4905	0	5	43	203	0	-8	6303	0.14		
"Cambodia"	4468	-87720	0	-17	-33	66	0.1	16	2651	0.18		
"Dominica"	4041	-4614	0	-12	113	185	0	8	4908	0.65		
"Curaçao"	2894	2247	0	99	1933	163	0	-12		0.24		
"Brunei Darussalam"	2863	2471	0	15	66	109	0.04	26	5185	0.11		
"Lithuania"	2809	-75827	0	1	-51	59	0.2	7	1630	0.07		
"Georgia"	2679	-127820	0	-30	-45	113	0.04	-2	2513	0.09		
"Maldives"	2630	2572	0	19	-21	151	0.01	-3	4478	0.08		
"South Sudan"	2540	2538	0		40	194	0	12		0.25		
"Benin"	2467	860	0	-10	169	149	0.01	-2	6481	0.07		
"Austria"	2455	-616158	0	-30	-17	27	1	3	1514	0.18		
"Mali"	2304	2303	0	-14	20	141	0.02	9	5008	0.1		
"Serbia"	2302	-72326	0	32	1019	65	0.2	9	2497	0.06		
"Kazakhstan"	2287	-39002	0	2	167	58	0.2	6	3017	0.25		
"Azerbaijan"	2247	-1619	0	-20	-33	98	0.05	5	3712	0.09		
"Haiti"	2089	1895	0	3	-35	140	0.02	0	6340	0.18		
"Afghanistan"	1990	-28532	0	-17	-42	147	0.02	-8	2990	0.12		
"Venezuela, Bolivarian Republic of"	1926	1378	0	99	324	117	0.03	-11	8121	0.16		
"Chad"	1877	-12937	0	-1	34	184	0	13	6931	0.16		
"Uzbekistan"	1555	-13094	0	-7	31	74	0.1	16	3412	0.12		
"Latvia"	1408	-51351	0	25	1240	77	0.1	7	1575	0.08		
"Zambia"	1312	-21274	0	-20	20	119	0.03	-9	5447	0.14		
"Namibia"	1196	-1775	0	-39	121	126	0.03	-1	3757	0.37		
"Mongolia"	1176	546	0	27	301	125	0.03	8	3267	0.22		
"Aruba"	1046	-1967	0	-30		175	0	-3	4917	0.3		
"Niger"	984	811	0	-2	-54	162	0	13	5715	0.09		
"Bolivia, Plurinational State of"	942	-627	0	-2	383	106	0.04	-3	7978	0.11		
"Bosnia and Herzegovina"	887	-24568	0	29	142	94	0.06	3	2228	0.07		
"Luxembourg"	876	-65180	0	-38	77	71	0.1	3	1488	0.14		
"Hungary"	777	-321606	0	-40	-82	33	0.6	6	2180	0.09		
"Slovakia"	712	-209284	0	-37	-32	38	0.5	4	2664	0.07		
"Iceland"	500	-1241	0	-3	1404	112	0.04	-1	4251	0.05		
"Comoros"	485	485	0	-12	-72	192	0	18	5731	0.22		
"Trinidad and Tobago"	456	64	0	-11	397	128	0.03	-1	6663	0.26		
"Armenia"	372	-752	0	12	46	131	0.02	6	3323	0.15		
"Montenegro"	366	353	0		-58	152	0.01	0	2382	0.08		
"Zimbabwe"	357	-2263	0	-18	16	134	0.02	7	3754	0.39		
"Panama"	332	-98521	0	8	76	60	0.2	1	8657	0.12		
"Sao Tome and Principe"	321	296	0	-46	-42	210	0	-3	6155	0.31		
"Turkmenistan"	312	259	0	-41	9	148	0.02	4	3495	0.15		
"Jamaica"	270	240	0	-25	345	137	0.02	-2	6759	0.22		
"Macedonia, North"	249	-16573	0			103	0.05	8	1348	0.09		
"Belarus"	179	-8979	0	-34	456	61	0.2	2	2268	0.23		
"Burundi"	162	-24	0	-15	20	188	0	13	4755	0.14		
"Equatorial Guinea"	149	147	0	-48	-6	182	0	2	6008	0.11		
"Eswatini"	125	-1048	0	-26		160	0	1	1597	0.74		
"Seychelles"	102	29	0	9	-88	187	0	-7	6627	0.06		
"Tajikistan"	61	51	0	-29	-43	142	0.02	9	2803	0.17		
"Botswana"	53	52	0	62	-96	124	0.03	2	2968	0.52		
"Barbados"	46	12	0			161	0	0	4992	0.21		
"Guyana"	46	-282	0		354	144	0.02	13	11175	0.21		
"Kyrgyzstan"	42	-980	0	7	-84	127	0.03	1	2892	0.2		
"Timor-Leste"	41	40	0	-34		183	0	12	3988	0.22		
"New Caledonia"	34	32	0			155	0.01	-1	11471	0.2		
"Cabo Verde"	19	17	0		-91	181	0	4	5196	0.21		
"Cayman Islands"	16	15	0			123	0.03	5	7522	0.35		
"Moldova, Republic of"	13	-36076	0	-27	-93	118	0.03	8	2317	0.08		
"Gibraltar"	8	-73	0		-94	114	0.03	-5	2572	0.09		
"Suriname"	6	-226	0			173	0	1	9050	0.14		
"Faroe Islands"	1	0	0			172	0	7	1404	0.27		
"Greenland"		-1				180	0	6	3482	0.44		
"Palau"		-1				209	0	1	6232	0.16		
"French Polynesia"		-2				165	0	1	13300	0.24		
"Vanuatu"		-2				198	0	-2	6248	0.13		
"Cocos (Keeling) Islands"		-2				225	0	8		0.74		
"Saint Lucia"		-3				171	0	-10	5321	0.23		
"Western Sahara"		-3				221	0	-16	12469	0.9		
"Marshall Islands"		-4				91	0.06	-1	7455	0.18		
"Turks and Caicos Islands"		-4				193	0	-3	3491	0.74		
"Samoa"		-4				197	0	-1	6816	0.13		
"Micronesia, Federated States of"		-4				208	0	-8	7109	0.19		
"Cook Islands"		-6				206	0	-4	9417	0.22		
"Saint Kitts and Nevis"		-9				201	0	-12	5440	0.41		
"Northern Mariana Islands"		-9				216	0	-19	3811	0.2		
"Grenada"		-15				191	0	-1	4157	0.2		
"French Southern and Antarctic Territories"		-31				214	0	14		0.12		
"Bermuda"		-40				169	0	-3	8006	0.28		
"Pitcairn"		-40				227	0	-5		0.23		
"Falkland Islands (Malvinas)"		-49				207	0	2	12325	0.46		
"United States Minor Outlying Islands"		-51				177	0	0		0.21		
"Saint Helena"		-54				217	0	6	7699	0.31		
"Central African Republic"		-65				199	0	7	6606	0.08		
"British Indian Ocean Territory"		-79				219	0	-9		0.67		
"Belize"		-81				179	0	1	5006	0.18		
"Papua New Guinea"		-94				143	0.02	-1	4973	0.17		
"Norfolk Island"		-184				222	0	1	5454	0.24		
"Lesotho"		-340				164	0	-2	1590	0.78		
"Andorra"		-700				166	0	2	610	0.52		
"Fiji"		-1130				157	0.01	-7	7384	0.12		
"Solomon Islands"		-1317				190	0	0	6301	0.17		
"Macao, China"		-1444				81	0.09	15		0.17		
"British Virgin Islands"		-1494				156	0.01	8	7242	0.27		
"Lao People's Democratic Republic"		-2701				129	0.02	-1	2572	0.28		
"Saint Vincent and the Grenadines"		-5171				196	0	3	6798	0.14		
"Tuvalu"		-21334				204	0	17	6386	0.21		
"Nauru"		-26331				211	0	18	6014	0.27		
"Israel"						42	0.4	4	5483	0.07		
"Iran, Islamic Republic of"						72	0.1	-18	5612	0.13		
"Ship stores and bunkers"						75	0.1	-11		0.16		
"Burkina Faso"						136	0.02	5	6109	0.05		
"Antigua and Barbuda"						174	0	1	6334	0.27		
"Bhutan"						178	0	15	1733	0.63		
"Free Zones"						186	0	-34		0.92		
"Bonaire, Sint Eustatius and Saba"						189	0	20		0.19		
"Korea, Democratic People's Republic of"						200	0	-49	1470	0.87		
"Tonga"						202	0	4	5771	0.16		
"Kiribati"						205	0	10	5936	0.13		
"Anguilla"						212	0	-5	4397	0.58		
"Sint Maarten (Dutch part)"						213	0	-7		0.43		
"Saint Pierre and Miquelon"						215	0	10	3489	0.45		
"Wallis and Futuna Islands"						218	0	7	10103	0.24		
"Christmas Island"						220	0	3		0.69		
"Niue"						223	0	7	11410	0.48		
"Montserrat"						224	0	-7		0.49		
"Tokelau"						226	0	-33	11566	0.22		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
