Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Poland's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Poland (%)	
"Turkmenistan"	34759	30071	0	1	17	148	0.02	4	3495	0.15		
"Cambodia"	34518	-520652	0	12	37	66	0.1	16	2651	0.18		
"Bahrain"	34184	-25063	0	2	-39	101	0.05	1	6359	0.08		
"Tajikistan"	32447	30636	0	23	98	142	0.02	9	2803	0.17		
"Gibraltar"	32414	6290	0	-7	-46	114	0.03	-5	2572	0.09		
"Kenya"	31907	-2739	0	-10	-37	80	0.09	2	6680	0.08		
"Ecuador"	28289	-200046	0	3	16	69	0.1	3	9174	0.12		
"Togo"	27412	26928	0	7	60	153	0.01	10	7318	0.08		
"Cameroon"	26740	13577	0	21	-6	116	0.03	8	7279	0.14		
"Kyrgyzstan"	25408	24829	0	5	-7	127	0.03	1	2892	0.2		
"Benin"	24597	23633	0	-7	40	149	0.01	-2	6481	0.07		
"Mauritania"	24576	2270	0	10	5	146	0.02	1	5817	0.07		
"Sri Lanka"	23336	-147082	0	-21	53	85	0.08	-3	4351	0.16		
"Mali"	23311	21818	0	8	-8	141	0.02	9	5008	0.1		
"Uruguay"	22845	-36182	0	13	-48	95	0.06	0	9836	0.11		
"Costa Rica"	22809	-98279	0	12	23	86	0.08	3	6987	0.22		
"Tanzania, United Republic of"	21509	-17496	0	-19	-44	102	0.05	7	6633	0.1		
"Yemen"	19842	19797	0	15	6	107	0.04	11	5706	0.11		
"Uganda"	19797	10084	0	5	4	132	0.02	11	5788	0.09		
"Gabon"	19391	10345	0	12	-1	158	0.01	-2	7114	0.11		
"Guatemala"	17027	-28709	0	6	56	68	0.1	7	5828	0.15		
"Sierra Leone"	16401	13156	0	25	55	170	0	10	8820	0.13		
"Cuba"	15973	13337	0	-6	-78	145	0.02	-13	7148	0.09		
"Djibouti"	15372	14212	0	26	79	130	0.02	5	6387	0.22		
"Barbados"	15153	11847	0	0	176	161	0	0	4992	0.21		
"Palestine, State of"	15006	14996	0	8	1	176	0	8	3026	0.1		
"Angola"	14809	11859	0	-7	10	100	0.05	-11	7692	0.06		
"Venezuela, Bolivarian Republic of"	14798	11311	0	-1	160	117	0.03	-11	8121	0.16		
"Paraguay"	13198	-175693	0	-3	18	92	0.06	0	7311	0.15		
"Afghanistan"	13012	11645	0	12	20	147	0.02	-8	2990	0.12		
"Ethiopia"	12092	-2955	0	-9	-52	90	0.07	1	6305	0.11		
"Equatorial Guinea"	11472	10431	0	29	40	182	0	2	6008	0.11		
"Comoros"	10843	10726	0	55	58	192	0	18	5731	0.22		
"Burkina Faso"	10779	10306	0	4	26	136	0.02	5	6109	0.05		
"Bolivia, Plurinational State of"	9783	4732	0	-2	52	106	0.04	-3	7978	0.11		
"Chad"	9611	9360	0	11	51	184	0	13	6931	0.16		
"Haiti"	9518	5216	0	-9	-6	140	0.02	0	6340	0.18		
"British Virgin Islands"	9466	8870	0	38	-1	156	0.01	8	7242	0.27		
"Gambia"	9222	9221	0	8	13	167	0	7	8260	0.14		
"Jamaica"	9054	8147	0	18	82	137	0.02	-2	6759	0.22		
"Guyana"	8824	-892	0	39	73	144	0.02	13	11175	0.21		
"Mauritius"	8821	-2438	0	-3	19	133	0.02	-2	7320	0.08		
"Sudan"	8814	8268	0	-19	-39	122	0.03	-2		0.13		
"Myanmar"	8757	-532400	0	-18	0	79	0.10	-1	2536	0.25		
"Niger"	7685	6528	0	20	-52	162	0	13	5715	0.09		
"Zambia"	7325	-5877	0	3	330	119	0.03	-9	5447	0.14		
"Zimbabwe"	7175	-22066	0	5	27	134	0.02	7	3754	0.39		
"Congo"	6832	5909	0	-31	-4	154	0.01	-18	6851	0.07		
"Maldives"	6463	5437	0	-12	80	151	0.01	-3	4478	0.08		
"El Salvador"	6220	2707	0	27	-43	88	0.07	9	4914	0.15		
"Namibia"	6143	-1284	0	5	158	126	0.03	-1	3757	0.37		
"Suriname"	6043	4649	0	2	-29	173	0	1	9050	0.14		
"Andorra"	6016	5514	0	12	45	166	0	2	610	0.52		
"Syrian Arab Republic"	5503	3721	0	-28	4	139	0.02	-3	2496	0.27		
"Honduras"	5390	-21844	0	-8	50	99	0.05	4	6104	0.16		
"Nicaragua"	5291	-6523	0	31	177	104	0.05	4	5888	0.1		
"Trinidad and Tobago"	5219	4468	0	-1	-19	128	0.03	-1	6663	0.26		
"Somalia"	4877	1483	0	2	40	150	0.01	9	5305	0.16		
"Curaçao"	4614	4144	0	25	79	163	0	-12		0.24		
"French Southern and Antarctic Territories"	4247	3060	0	37	-16	214	0	14		0.12		
"New Caledonia"	3869	3591	0	-2	-14	155	0.01	-1	11471	0.2		
"Nepal"	3559	2640	0	-12	121	96	0.06	8	1856	0.56		
"South Sudan"	3317	3317	0	279	581	194	0	12		0.25		
"Europe Othr. Nes"	3245	-1631700	0	-27	-42							
"Lao People's Democratic Republic"	2834	-8645	0	0	-58	129	0.02	-1	2572	0.28		
"Sint Maarten (Dutch part)"	2802	2752	0	32	48	213	0	-7		0.43		
"Madagascar"	2505	-10462	0	-6	-35	138	0.02	2	7339	0.08		
"Macao, China"	2418	-5960	0	-52	-16	81	0.09	15		0.17		
"Seychelles"	2364	1897	0	-15	29	187	0	-7	6627	0.06		
"Central African Republic"	1988	1858	0	42	-22	199	0	7	6606	0.08		
"Rwanda"	1784	-389	0	10	-13	159	0.01	17	5437	0.08		
"French Polynesia"	1322	-4268	0	4	28	165	0	1	13300	0.24		
"Malawi"	1235	-45083	0	-11	33	168	0	0	5169	0.15		
"Greenland"	1178	-10463	0	-44	-90	180	0	6	3482	0.44		
"Saint Kitts and Nevis"	931	881	0	58	-11	201	0	-12	5440	0.41		
"Guinea-Bissau"	891	604	0	-20	-67	195	0	2	5802	0.16		
"Cabo Verde"	858	815	0	-16	-51	181	0	4	5196	0.21		
"Aruba"	816	815	0	-9	59	175	0	-3	4917	0.3		
"Dominica"	773	561	0	-4	-57	185	0	8	4908	0.65		
"Kiribati"	747	720	0		69	205	0	10	5936	0.13		
"Fiji"	713	203	0	15	-7	157	0.01	-7	7384	0.12		
"United States Minor Outlying Islands"	710	45	0	35	80	177	0	0		0.21		
"Brunei Darussalam"	679	617	0	-30	59	109	0.04	26	5185	0.11		
"Bermuda"	553	473	0	-5	23	169	0	-3	8006	0.28		
"Grenada"	445	202	0	72	2867	191	0	-1	4157	0.2		
"Botswana"	418	383	0	-24	-26	124	0.03	2	2968	0.52		
"Belize"	353	-1502	0	-32	-65	179	0	1	5006	0.18		
"Bhutan"	271	181	0	155	1	178	0	15	1733	0.63		
"Africa not elsewhere specified"	238	68	0	-52	-42							
"Cayman Islands"	187	155	0	-56	-98	123	0.03	5	7522	0.35		
"Papua New Guinea"	186	-1440	0	-19	-94	143	0.02	-1	4973	0.17		
"Vanuatu"	177	46	0	-33	195	198	0	-2	6248	0.13		
"Burundi"	176	-1088	0	1	-76	188	0	13	4755	0.14		
"Saint Pierre and Miquelon"	157	157	0	165	185	215	0	10	3489	0.45		
"Korea, Democratic People's Republic of"	122	-10074	0	-2	-60	200	0	-49	1470	0.87		
"Eritrea"	112	-225	0	-51	2140	203	0	-8	6303	0.14		
"Saint Vincent and the Grenadines"	95	66	0	-49	-94	196	0	3	6798	0.14		
"Saint Lucia"	88	0	0	-1	-85	171	0	-10	5321	0.23		
"Western Sahara"	85	85	0	182	143	221	0	-16	12469	0.9		
"British Indian Ocean Territory"	80	70	0			219	0	-9		0.67		
"Eswatini"	73	-9613	0	132	135	160	0	1	1597	0.74		
"Bonaire, Sint Eustatius and Saba"	72	70	0	-29	-70	189	0	20		0.19		
"Tuvalu"	65	27	0	10	-11	204	0	17	6386	0.21		
"Tonga"	64	58	0		25	202	0	4	5771	0.16		
"Anguilla"	40	38	0	-66	74	212	0	-5	4397	0.58		
"Lesotho"	31	-141	0	213	-96	164	0	-2	1590	0.78		
"Sao Tome and Principe"	26	-3654	0	-37	-54	210	0	-3	6155	0.31		
"Wallis and Futuna Islands"	25	25	0		14	218	0	7	10103	0.24		
"Special categories"	12	12	0	-78	-100							
"Falkland Islands (Malvinas)"	9	-321	0			207	0	2	12325	0.46		
"Samoa"	4	-4109	0	-60		197	0	-1	6816	0.13		
"Northern Mariana Islands"	3	-2	0	138	-100	216	0	-19	3811	0.2		
"Turks and Caicos Islands"	3	-115	0		-82	193	0	-3	3491	0.74		
"Timor-Leste"	2	-53	0	-62	-33	183	0	12	3988	0.22		
"Niue"	1	-198	0			223	0	7	11410	0.48		
"Saint Helena"		-2				217	0	6	7699	0.31		
"Montserrat"		-6				224	0	-7		0.49		
"Cook Islands"		-7				206	0	-4	9417	0.22		
"Micronesia, Federated States of"		-23				208	0	-8	7109	0.19		
"Nauru"		-24				211	0	18	6014	0.27		
"Solomon Islands"		-63				190	0	0	6301	0.17		
"Pitcairn"		-85				227	0	-5		0.23		
"Cocos (Keeling) Islands"		-234				225	0	8		0.74		
"Christmas Island"		-236				220	0	3		0.69		
"Tokelau"		-457				226	0	-33	11566	0.22		
"Free Zones"						186	0	-34		0.92		
"Palau"						209	0	1	6232	0.16		
"Norfolk Island"						222	0	1	5454	0.24		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
