Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Kuwait's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Kuwait (%)	
"Tunisia"	39460	34983	0.1	16	218	78	0.10	-1	3411	0.06		
"Italy"	39300	-1764253	0.1	-65	151	11	2.5	2	2891	0.06		
"Mozambique"	35117	30989	0.1	230	6132	108	0.04	8	6196	0.1		
"Denmark"	33377	-64633	0.1	274	-23	35	0.6	5	2182	0.08		
"Morocco"	32883	19747	0.1	17	51	52	0.3	4	4316	0.07		
"Sweden"	30373	-37422	0.1	-13	4	31	0.9	3	2128	0.07		
"Germany"	28877	-1167315	0.1	-15	-12	3	6.5	3	3376	0.05		
"Hong Kong, China"	23094	-135918	0	-28	-44	5	3.3	3	2841	0.22		
"Ireland"	18568	-58418	0	17	8697	36	0.5	4	3265	0.1		
"Argentina"	15724	-14363	0	-30	5715	50	0.3	-5	10631	0.1		
"Switzerland"	14691	-509488	0	-41	105	20	1.5	4	3384	0.07		
"Togo"	12942	12936	0	34	761	153	0.01	10	7318	0.08		
"Canada"	12141	-76385	0	-33	5773	14	2.2	1	5042	0.26		
"Poland"	11403	-86574	0	44	79	18	1.5	8	3121	0.08		
"Iceland"	10404	10032	0		-5	112	0.04	-1	4251	0.05		
"Senegal"	8272	8271	0	40	539	110	0.04	4	6632	0.05		
"Madagascar"	5866	5616	0	-58	3303	138	0.02	2	7339	0.08		
"Guyana"	5775	5766	0			144	0.02	13	11175	0.21		
"Czech Republic"	5050	-52338	0	42	204	28	1	4	2987	0.1		
"Angola"	4760	-39465	0	-3	137	100	0.05	-11	7692	0.06		
"Slovenia"	4389	-22412	0	9	40	55	0.2	10	2404	0.07		
"Bulgaria"	2903	-5955	0	31	44	57	0.2	6	2237	0.05		
"Dominican Republic"	2882	2725	0	675		67	0.1	5	6446	0.22		
"Tanzania, United Republic of"	2783	-1312	0	3	53	102	0.05	7	6633	0.1		
"Greece"	2629	-38980	0	-5	121	45	0.3	4	2847	0.05		
"Hungary"	2056	-36358	0	98	23	33	0.6	6	2180	0.09		
"Ukraine"	2016	-36135	0	-15	157	48	0.3	7	3255	0.06		
"Benin"	1925	1879	0	67	679	149	0.01	-2	6481	0.07		
"Burkina Faso"	1610	1610	0	170	358	136	0.02	5	6109	0.05		
"Cyprus"	1581	-4272	0	-15	44	105	0.05	-1	3118	0.09		
"Peru"	1576	350	0	183	48061	54	0.2	3	10420	0.13		
"Bosnia and Herzegovina"	1371	-546	0	38	91	94	0.06	3	2228	0.07		
"Slovakia"	1083	-83730	0	12	447	38	0.5	4	2664	0.07		
"Colombia"	817	-6795	0	244	61519	51	0.3	4	8915	0.13		
"Latvia"	730	-3407	0	-34	-40	77	0.1	7	1575	0.08		
"Mauritius"	652	-6752	0	-3	-23	133	0.02	-2	7320	0.08		
"Lithuania"	628	-8267	0	53	128	59	0.2	7	1630	0.07		
"Australia"	481	-421735	0	-74	98	24	1.1	1	10262	0.1		
"Russian Federation"	337	-595533	0	28	-64	21	1.3	5	4187	0.09		
"Serbia"	333	-5656	0	-16	55	65	0.2	9	2497	0.06		
"Romania"	299	-45607	0	35	236	37	0.5	6	1891	0.07		
"Austria"	254	-82097	0	-31	-27	27	1	3	1514	0.18		
"Maldives"	238	238	0	214	1117	151	0.01	-3	4478	0.08		
"Finland"	205	-18576	0	149	-99	44	0.4	3	2842	0.07		
"Congo"	152	130	0	-28	187	154	0.01	-18	6851	0.07		
"Norway"	115	-20840	0	-56	-9	39	0.5	3	3470	0.06		
"Azerbaijan"	82	-206	0	-69	6	98	0.05	5	3712	0.09		
"Luxembourg"	76	-5667	0	11	322	71	0.1	3	1488	0.14		
"Bolivia, Plurinational State of"	74	-680	0	15		106	0.04	-3	7978	0.11		
"Cambodia"	70	-234	0	155	45	66	0.1	16	2651	0.18		
"Comoros"	57	57	0	156	22	192	0	18	5731	0.22		
"Georgia"	54	-2111	0	-1	2742	113	0.04	-2	2513	0.09		
"Ecuador"	51	-24526	0	130	299	69	0.1	3	9174	0.12		
"Mauritania"	48	48	0	-14	41	146	0.02	1	5817	0.07		
"Chile"	38	-5423	0			43	0.4	6	11582	0.13		
"Belarus"	34	-877	0	15	-96	61	0.2	2	2268	0.23		
"Moldova, Republic of"	30	-49	0		-35	118	0.03	8	2317	0.08		
"Mexico"	28	-81671	0	-81	-93	13	2.3	2	7039	0.24		
"Fiji"	17	-133	0	-15	24	157	0.01	-7	7384	0.12		
"Estonia"	16	-2404	0			73	0.1	6	2314	0.06		
"Malta"	15	-1606	0	157	-100	120	0.03	1	3249	0.08		
"El Salvador"	14	-138	0		123	88	0.07	9	4914	0.15		
"Zambia"	13	13	0	-97		119	0.03	-9	5447	0.14		
"Uzbekistan"	6	-684	0	-42	-72	74	0.1	16	3412	0.12		
"Macao, China"	3	3	0	-8		81	0.09	15		0.17		
"Armenia"	2	-6262	0	-1	-98	131	0.02	6	3323	0.15		
"Croatia"	2	-10476	0	-3	-96	63	0.2	6	1362	0.07		
"Montenegro"	1	-9	0	-70		152	0.01	0	2382	0.08		
"Brunei Darussalam"	1	-17	0	-51		109	0.04	26	5185	0.11		
"Nicaragua"		-32				104	0.05	4	5888	0.1		
"Lao People's Democratic Republic"		-276				129	0.02	-1	2572	0.28		
"Kyrgyzstan"		-642				127	0.03	1	2892	0.2		
"Guatemala"		-9373				68	0.1	7	5828	0.15		
"Israel"		-10238				42	0.4	4	5483	0.07		
"Paraguay"		-26658				92	0.06	0	7311	0.15		
"Viet Nam"						19	1.5	8	3535	0.19		
"United Arab Emirates"						29	0.9	-2	5715	0.08		
"Bangladesh"						49	0.3	6	4172	0.15		
"Kazakhstan"						58	0.2	6	3017	0.25		
"Panama"						60	0.2	1	8657	0.12		
"Iraq"						62	0.2	3	4107	0.18		
"Algeria"						64	0.2	-8	4584	0.07		
"Qatar"						70	0.1	0	5745	0.06		
"Iran, Islamic Republic of"						72	0.1	-18	5612	0.13		
"Ship stores and bunkers"						75	0.1	-11		0.16		
"Myanmar"						79	0.10	-1	2536	0.25		
"Ghana"						82	0.08	8	8888	0.18		
"Oman"						83	0.08	-6	5977	0.08		
"Jordan"						84	0.08	0	5167	0.07		
"Sri Lanka"						85	0.08	-3	4351	0.16		
"Costa Rica"						86	0.08	3	6987	0.22		
"Liberia"						87	0.07	17	11608	0.19		
"Libya, State of"						89	0.07	12	3475	0.08		
"Marshall Islands"						91	0.06	-1	7455	0.18		
"Côte d'Ivoire"						93	0.06	9	6793	0.08		
"Uruguay"						95	0.06	0	9836	0.11		
"Nepal"						96	0.06	8	1856	0.56		
"Lebanon"						97	0.06	-12	3592	0.06		
"Honduras"						99	0.05	4	6104	0.16		
"Bahrain"						101	0.05	1	6359	0.08		
"Macedonia, North"						103	0.05	8	1348	0.09		
"Yemen"						107	0.04	11	5706	0.11		
"Congo, Democratic Republic of the"						111	0.04	13	6479	0.14		
"Gibraltar"						114	0.03	-5	2572	0.09		
"Bahamas"						115	0.03	-8	6248	0.19		
"Cameroon"						116	0.03	8	7279	0.14		
"Venezuela, Bolivarian Republic of"						117	0.03	-11	8121	0.16		
"Albania"						121	0.03	6	1886	0.13		
"Sudan"						122	0.03	-2		0.13		
"Cayman Islands"						123	0.03	5	7522	0.35		
"Botswana"						124	0.03	2	2968	0.52		
"Mongolia"						125	0.03	8	3267	0.22		
"Namibia"						126	0.03	-1	3757	0.37		
"Trinidad and Tobago"						128	0.03	-1	6663	0.26		
"Djibouti"						130	0.02	5	6387	0.22		
"Uganda"						132	0.02	11	5788	0.09		
"Zimbabwe"						134	0.02	7	3754	0.39		
"Guinea"						135	0.02	7	9140	0.19		
"Jamaica"						137	0.02	-2	6759	0.22		
"Syrian Arab Republic"						139	0.02	-3	2496	0.27		
"Haiti"						140	0.02	0	6340	0.18		
"Mali"						141	0.02	9	5008	0.1		
"Tajikistan"						142	0.02	9	2803	0.17		
"Papua New Guinea"						143	0.02	-1	4973	0.17		
"Cuba"						145	0.02	-13	7148	0.09		
"Afghanistan"						147	0.02	-8	2990	0.12		
"Turkmenistan"						148	0.02	4	3495	0.15		
"Somalia"						150	0.01	9	5305	0.16		
"New Caledonia"						155	0.01	-1	11471	0.2		
"British Virgin Islands"						156	0.01	8	7242	0.27		
"Gabon"						158	0.01	-2	7114	0.11		
"Rwanda"						159	0.01	17	5437	0.08		
"Eswatini"						160	0	1	1597	0.74		
"Barbados"						161	0	0	4992	0.21		
"Niger"						162	0	13	5715	0.09		
"Curaçao"						163	0	-12		0.24		
"Lesotho"						164	0	-2	1590	0.78		
"French Polynesia"						165	0	1	13300	0.24		
"Andorra"						166	0	2	610	0.52		
"Gambia"						167	0	7	8260	0.14		
"Malawi"						168	0	0	5169	0.15		
"Bermuda"						169	0	-3	8006	0.28		
"Sierra Leone"						170	0	10	8820	0.13		
"Saint Lucia"						171	0	-10	5321	0.23		
"Faroe Islands"						172	0	7	1404	0.27		
"Suriname"						173	0	1	9050	0.14		
"Antigua and Barbuda"						174	0	1	6334	0.27		
"Aruba"						175	0	-3	4917	0.3		
"Palestine, State of"						176	0	8	3026	0.1		
"United States Minor Outlying Islands"						177	0	0		0.21		
"Bhutan"						178	0	15	1733	0.63		
"Belize"						179	0	1	5006	0.18		
"Greenland"						180	0	6	3482	0.44		
"Cabo Verde"						181	0	4	5196	0.21		
"Equatorial Guinea"						182	0	2	6008	0.11		
"Timor-Leste"						183	0	12	3988	0.22		
"Chad"						184	0	13	6931	0.16		
"Dominica"						185	0	8	4908	0.65		
"Free Zones"						186	0	-34		0.92		
"Seychelles"						187	0	-7	6627	0.06		
"Burundi"						188	0	13	4755	0.14		
"Bonaire, Sint Eustatius and Saba"						189	0	20		0.19		
"Solomon Islands"						190	0	0	6301	0.17		
"Grenada"						191	0	-1	4157	0.2		
"Turks and Caicos Islands"						193	0	-3	3491	0.74		
"South Sudan"						194	0	12		0.25		
"Guinea-Bissau"						195	0	2	5802	0.16		
"Saint Vincent and the Grenadines"						196	0	3	6798	0.14		
"Samoa"						197	0	-1	6816	0.13		
"Vanuatu"						198	0	-2	6248	0.13		
"Central African Republic"						199	0	7	6606	0.08		
"Korea, Democratic People's Republic of"						200	0	-49	1470	0.87		
"Saint Kitts and Nevis"						201	0	-12	5440	0.41		
"Tonga"						202	0	4	5771	0.16		
"Eritrea"						203	0	-8	6303	0.14		
"Tuvalu"						204	0	17	6386	0.21		
"Kiribati"						205	0	10	5936	0.13		
"Cook Islands"						206	0	-4	9417	0.22		
"Falkland Islands (Malvinas)"						207	0	2	12325	0.46		
"Micronesia, Federated States of"						208	0	-8	7109	0.19		
"Palau"						209	0	1	6232	0.16		
"Sao Tome and Principe"						210	0	-3	6155	0.31		
"Nauru"						211	0	18	6014	0.27		
"Anguilla"						212	0	-5	4397	0.58		
"Sint Maarten (Dutch part)"						213	0	-7		0.43		
"French Southern and Antarctic Territories"						214	0	14		0.12		
"Saint Pierre and Miquelon"						215	0	10	3489	0.45		
"Northern Mariana Islands"						216	0	-19	3811	0.2		
"Saint Helena"						217	0	6	7699	0.31		
"Wallis and Futuna Islands"						218	0	7	10103	0.24		
"British Indian Ocean Territory"						219	0	-9		0.67		
"Christmas Island"						220	0	3		0.69		
"Western Sahara"						221	0	-16	12469	0.9		
"Norfolk Island"						222	0	1	5454	0.24		
"Niue"						223	0	7	11410	0.48		
"Montserrat"						224	0	-7		0.49		
"Cocos (Keeling) Islands"						225	0	8		0.74		
"Tokelau"						226	0	-33	11566	0.22		
"Pitcairn"						227	0	-5		0.23		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
