Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Greece's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Greece (%)	
"Denmark"	256921	-299307	0.6	4	2	35	0.6	5	2182	0.08		
"Iraq"	256590	-4652324	0.6	35	270	62	0.2	3	4107	0.18		
"Australia"	251569	210789	0.5	10	10	24	1.1	1	10262	0.1		
"Russian Federation"	244361	-4838380	0.5	-5	33	21	1.3	5	4187	0.09		
"Canada"	233551	14025	0.5	6	23	14	2.2	1	5042	0.26		
"Switzerland"	218967	-216524	0.5	7	24	20	1.5	4	3384	0.07		
"Ireland"	218287	-1138609	0.5	7	91	36	0.5	4	3265	0.1		
"Finland"	204388	9978	0.4	0	73	44	0.4	3	2842	0.07		
"Slovakia"	193449	-43166	0.4	15	26	38	0.5	4	2664	0.07		
"Liberia"	191514	191317	0.4	3	47	87	0.07	17	11608	0.19		
"Montenegro"	180842	163247	0.4	-1	96	152	0.01	0	2382	0.08		
"Morocco"	173113	65651	0.4	0	167	52	0.3	4	4316	0.07		
"Mexico"	163176	94188	0.4	-5	5	13	2.3	2	7039	0.24		
"Panama"	162102	154843	0.3	2	47	60	0.2	1	8657	0.12		
"Togo"	159667	159551	0.3	75	40	153	0.01	10	7318	0.08		
"India"	158828	-668096	0.3	0	81	10	2.6	2	5793	0.05		
"Marshall Islands"	158068	149560	0.3	11	32	91	0.06	-1	7455	0.18		
"Hong Kong, China"	107516	67142	0.2	1	23	5	3.3	3	2841	0.22		
"Qatar"	106101	-85976	0.2	12	49	70	0.1	0	5745	0.06		
"Norway"	95214	-596129	0.2	0	38	39	0.5	3	3470	0.06		
"South Africa"	88073	-2756	0.2	0	37	41	0.4	-1	9230	0.07		
"Algeria"	83738	-628296	0.2	-15	-42	64	0.2	-8	4584	0.07		
"Brazil"	82994	-143732	0.2	9	109	26	1	6	10879	0.09		
"Thailand"	82987	-93955	0.2	14	19	23	1.2	2	4905	0.09		
"Nigeria"	72028	3957	0.2	13	58	53	0.2	17	7792	0.1		
"Lithuania"	70878	7394	0.2	4	23	59	0.2	7	1630	0.07		
"Bangladesh"	67597	2611	0.1	17	34	49	0.3	6	4172	0.15		
"Indonesia"	63517	-181469	0.1	-7	14	30	0.9	2	5872	0.11		
"Georgia"	55063	48643	0.1	-24	-20	113	0.04	-2	2513	0.09		
"Viet Nam"	53284	-239845	0.1	3	12	19	1.5	8	3535	0.19		
"Bahamas"	49573	49093	0.1	-10	108	115	0.03	-8	6248	0.19		
"Bosnia and Herzegovina"	48383	34470	0.1	-20	16	94	0.06	3	2228	0.07		
"Pakistan"	47489	-31204	0.1	18	1	47	0.3	2	4850	0.11		
"Jordan"	47094	12233	0.1	0	8	84	0.08	0	5167	0.07		
"Latvia"	42784	9801	0.1	18	3	77	0.1	7	1575	0.08		
"Kuwait"	41609	38980	0.1	7	19	76	0.1	-3	5837	0.07		
"New Zealand"	35613	-1135	0.1	16	48	56	0.2	3	11141	0.09		
"Luxembourg"	33567	-79736	0.1	19	94	71	0.1	3	1488	0.14		
"Estonia"	31303	-5154	0.1	10	49	73	0.1	6	2314	0.06		
"Chile"	29751	-5129	0.1	27	-23	43	0.4	6	11582	0.13		
"Peru"	26564	18350	0.1	21	-21	54	0.2	3	10420	0.13		
"Taipei, Chinese"	26389	-106865	0.1	18	-55	17	1.7	8	5007	0.1		
"Malaysia"	26176	-110019	0.1	19	20	25	1.1	3	5172	0.09		
"Trinidad and Tobago"	24539	23451	0.1	17	1421	128	0.03	-1	6663	0.26		
"Iran, Islamic Republic of"	23684	6083	0.1	-14	25	72	0.1	-18	5612	0.13		
"Cameroon"	21724	16899	0	45	52	116	0.03	8	7279	0.14		
"French Southern and Antarctic Territories"	21317	21317	0	-4		214	0	14		0.12		
"Colombia"	20986	2550	0	12	65	51	0.3	4	8915	0.13		
"Cayman Islands"	20672	11402	0	70	94	123	0.03	5	7522	0.35		
"Oman"	20066	11507	0	7	35	83	0.08	-6	5977	0.08		
"Argentina"	19728	-265149	0	7	146	50	0.3	-5	10631	0.1		
"Belarus"	18937	16242	0	14	12	61	0.2	2	2268	0.23		
"Moldova, Republic of"	17062	-34252	0	-18	16	118	0.03	8	2317	0.08		
"Tanzania, United Republic of"	15625	9674	0	52	460	102	0.05	7	6633	0.1		
"Kazakhstan"	14734	-2619365	0	6	43	58	0.2	6	3017	0.25		
"Armenia"	14066	13960	0	-3	22	131	0.02	6	3323	0.15		
"Philippines"	14060	-5817	0	-25	43	34	0.6	2	4354	0.09		
"Azerbaijan"	14042	-644294	0	10	147	98	0.05	5	3712	0.09		
"Ethiopia"	13713	-385	0	4	103	90	0.07	1	6305	0.11		
"Ecuador"	13698	-153250	0	44	42	69	0.1	3	9174	0.12		
"Guatemala"	13543	8568	0	63	118	68	0.1	7	5828	0.15		
"Bahrain"	12425	4130	0	-1	-2	101	0.05	1	6359	0.08		
"Ghana"	10309	5181	0	-27	-29	82	0.08	8	8888	0.18		
"Kenya"	9472	5367	0	-4	16	80	0.09	2	6680	0.08		
"Uzbekistan"	9321	-2684	0	27	135	74	0.1	16	3412	0.12		
"Sri Lanka"	8090	901	0	4	90	85	0.08	-3	4351	0.16		
"Antigua and Barbuda"	7981	7973	0	-24	6	174	0	1	6334	0.27		
"Yemen"	7715	5794	0	17	7	107	0.04	11	5706	0.11		
"Dominican Republic"	7321	4937	0	-17	26	67	0.1	5	6446	0.22		
"Falkland Islands (Malvinas)"	7210	7210	0	-5	-50	207	0	2	12325	0.46		
"Uruguay"	5933	3468	0	-7	38	95	0.06	0	9836	0.11		
"British Virgin Islands"	5800	2625	0	-27	3	156	0.01	8	7242	0.27		
"Mauritania"	5491	-6111	0	-5	-45	146	0.02	1	5817	0.07		
"Paraguay"	5106	-821	0	-2	19	92	0.06	0	7311	0.15		
"Iceland"	4893	1083	0	-1	55	112	0.04	-1	4251	0.05		
"Côte d'Ivoire"	4876	-168	0	-18	-61	93	0.06	9	6793	0.08		
"Mauritius"	4807	559	0	1	8	133	0.02	-2	7320	0.08		
"Senegal"	4435	-12033	0	-19	-25	110	0.04	4	6632	0.05		
"Sudan"	3943	-2271	0	-11	-33	122	0.03	-2		0.13		
"Mozambique"	3899	-84043	0	51	112	108	0.04	8	6196	0.1		
"Costa Rica"	3563	-7569	0	38	82	86	0.08	3	6987	0.22		
"Madagascar"	3201	2345	0	19	-9	138	0.02	2	7339	0.08		
"Sierra Leone"	3076	3073	0	-10	29	170	0	10	8820	0.13		
"Bermuda"	2795	304	0	-33	49	169	0	-3	8006	0.28		
"Barbados"	2756	2729	0	-17	41	161	0	0	4992	0.21		
"Comoros"	2602	-3828	0	19	90	192	0	18	5731	0.22		
"Syrian Arab Republic"	2568	-1851	0	-28	-11	139	0.02	-3	2496	0.27		
"Mali"	2471	2471	0	33	81	141	0.02	9	5008	0.1		
"Area Nes"	2363	-12608	0	-30	-99							
"Belize"	2290	1279	0	-22	-39	179	0	1	5006	0.18		
"Afghanistan"	2259	2050	0	-6	1321	147	0.02	-8	2990	0.12		
"Congo"	2151	-268387	0	-5	15	154	0.01	-18	6851	0.07		
"Cambodia"	2116	-9594	0	-3	-4	66	0.1	16	2651	0.18		
"El Salvador"	2100	-485	0	55	56	88	0.07	9	4914	0.15		
"Venezuela, Bolivarian Republic of"	2024	-5256	0	-6	-19	117	0.03	-11	8121	0.16		
"Honduras"	1958	-3173	0	11	22	99	0.05	4	6104	0.16		
"Saint Helena"	1928	1116	0	-9	-50	217	0	6	7699	0.31		
"Angola"	1755	-71683	0	-1	20	100	0.05	-11	7692	0.06		
"Saint Vincent and the Grenadines"	1649	-1254	0	-19	63	196	0	3	6798	0.14		
"Seychelles"	1581	910	0	4	302	187	0	-7	6627	0.06		
"Jamaica"	1567	1082	0	-8	38	137	0.02	-2	6759	0.22		
"Cabo Verde"	1487	1487	0	-29	205	181	0	4	5196	0.21		
"Zambia"	1461	-21101	0	0	10	119	0.03	-9	5447	0.14		
"Zimbabwe"	1371	645	0	10	75	134	0.02	7	3754	0.39		
"Macao, China"	1356	1272	0	26	19	81	0.09	15		0.17		
"Guinea"	1233	-6769	0	-19	-60	135	0.02	7	9140	0.19		
"Cuba"	1214	-10913	0	-16	-62	145	0.02	-13	7148	0.09		
"Djibouti"	1206	1205	0	-23	238	130	0.02	5	6387	0.22		
"New Caledonia"	1149	1145	0	22	62	155	0.01	-1	11471	0.2		
"Bolivia, Plurinational State of"	1128	-74	0	-10	45	106	0.04	-3	7978	0.11		
"Curaçao"	1123	1094	0	-19	3	163	0	-12		0.24		
"Fiji"	1117	1116	0	86	1826	157	0.01	-7	7384	0.12		
"Congo, Democratic Republic of the"	1112	897	0	2	28	111	0.04	13	6479	0.14		
"Mongolia"	1047	1038	0	21	-66	125	0.03	8	3267	0.22		
"Vanuatu"	1012	1012	0	-1	93	198	0	-2	6248	0.13		
"Palestine, State of"	921	322	0	-4	-3	176	0	8	3026	0.1		
"Turkmenistan"	899	-45696	0	-20	-63	148	0.02	4	3495	0.15		
"Uganda"	874	-2320	0	-24	-53	132	0.02	11	5788	0.09		
"Benin"	805	136	0	-22	111	149	0.01	-2	6481	0.07		
"Pitcairn"	742	742	0	-8	57	227	0	-5		0.23		
"Gabon"	717	-21865	0	-23	26	158	0.01	-2	7114	0.11		
"Maldives"	667	664	0	-2	-14	151	0.01	-3	4478	0.08		
"Namibia"	666	-4154	0	-43	-6	126	0.03	-1	3757	0.37		
"Cook Islands"	642	-383	0	-30	-15	206	0	-4	9417	0.22		
"Palau"	638	638	0	-42	376	209	0	1	6232	0.16		
"Nicaragua"	630	-877	0	6	81	104	0.05	4	5888	0.1		
"Myanmar"	591	-6785	0	-17	89	79	0.10	-1	2536	0.25		
"Wallis and Futuna Islands"	565	565	0	79	7971	218	0	7	10103	0.24		
"Faroe Islands"	500	363	0	48	294	172	0	7	1404	0.27		
"Sint Maarten (Dutch part)"	486	484	0	-11	515	213	0	-7		0.43		
"Africa not elsewhere specified"	464	464	0	-6	-34							
"Guyana"	439	286	0	88	31	144	0.02	13	11175	0.21		
"Malawi"	425	-5453	0	69	-58	168	0	0	5169	0.15		
"Rwanda"	421	289	0	12	-22	159	0.01	17	5437	0.08		
"Nepal"	420	166	0	35	74	96	0.06	8	1856	0.56		
"Burkina Faso"	398	289	0	-45	-92	136	0.02	5	6109	0.05		
"Niger"	394	394	0	7	-49	162	0	13	5715	0.09		
"Brunei Darussalam"	382	382	0	16	-42	109	0.04	26	5185	0.11		
"Central African Republic"	304	304	0	10	850	199	0	7	6606	0.08		
"Samoa"	298	297	0		1556	197	0	-1	6816	0.13		
"Andorra"	280	-187	0	-7	50	166	0	2	610	0.52		
"Burundi"	267	267	0	-18	20	188	0	13	4755	0.14		
"Saint Kitts and Nevis"	263	263	0	-9	80	201	0	-12	5440	0.41		
"Somalia"	256	-57	0	-4	51	150	0.01	9	5305	0.16		
"Suriname"	237	204	0	20	-49	173	0	1	9050	0.14		
"Timor-Leste"	232	232	0			183	0	12	3988	0.22		
"Aruba"	223	222	0	13	201	175	0	-3	4917	0.3		
"Ship stores and bunkers"	201	-913	0	-36	6	75	0.1	-11		0.16		
"Botswana"	178	-109	0	-20	-29	124	0.03	2	2968	0.52		
"Tajikistan"	135	-597	0	-41	22	142	0.02	9	2803	0.17		
"United States Minor Outlying Islands"	133	131	0	-43	-5	177	0	0		0.21		
"French Polynesia"	132	-890	0	-14	7	165	0	1	13300	0.24		
"Dominica"	108	107	0	-7	980	185	0	8	4908	0.65		
"Gambia"	104	-2075	0	-33	1056	167	0	7	8260	0.14		
"Korea, Democratic People's Republic of"	103	100	0	11	442	200	0	-49	1470	0.87		
"Kyrgyzstan"	98	-635	0	-54	-60	127	0.03	1	2892	0.2		
"Montserrat"	88	88	0	-23		224	0	-7		0.49		
"Eswatini"	87	-316	0	7	-41	160	0	1	1597	0.74		
"Chad"	86	-276	0	-2	244	184	0	13	6931	0.16		
"Equatorial Guinea"	85	84	0	6	-95	182	0	2	6008	0.11		
"Saint Lucia"	59	-81	0	8	-71	171	0	-10	5321	0.23		
"Grenada"	53	53	0	-18	-34	191	0	-1	4157	0.2		
"Lao People's Democratic Republic"	47	-219	0		2250	129	0.02	-1	2572	0.28		
"Special categories"	31	-5320	0	4								
"Niue"	22	22	0		69	223	0	7	11410	0.48		
"Haiti"	20	-15	0	-1	-79	140	0.02	0	6340	0.18		
"Guinea-Bissau"	16	16	0			195	0	2	5802	0.16		
"Lesotho"	13	13	0			164	0	-2	1590	0.78		
"Papua New Guinea"	12	-1259	0	22	-98	143	0.02	-1	4973	0.17		
"Bhutan"	11	11	0	2	-15	178	0	15	1733	0.63		
"Greenland"	6	6	0	-18	200	180	0	6	3482	0.44		
"South Sudan"	6	6	0	39	-90	194	0	12		0.25		
"Turks and Caicos Islands"	4	4	0	60	-98	193	0	-3	3491	0.74		
"British Indian Ocean Territory"	2	2	0	-84		219	0	-9		0.67		
"Sao Tome and Principe"	1	1	0			210	0	-3	6155	0.31		
"Kiribati"		-1				205	0	10	5936	0.13		
"Free Zones"						186	0	-34		0.92		
"Bonaire, Sint Eustatius and Saba"						189	0	20		0.19		
"Solomon Islands"						190	0	0	6301	0.17		
"Tonga"						202	0	4	5771	0.16		
"Eritrea"						203	0	-8	6303	0.14		
"Tuvalu"						204	0	17	6386	0.21		
"Micronesia, Federated States of"						208	0	-8	7109	0.19		
"Nauru"						211	0	18	6014	0.27		
"Anguilla"						212	0	-5	4397	0.58		
"Saint Pierre and Miquelon"						215	0	10	3489	0.45		
"Northern Mariana Islands"						216	0	-19	3811	0.2		
"Christmas Island"						220	0	3		0.69		
"Western Sahara"						221	0	-16	12469	0.9		
"Norfolk Island"						222	0	1	5454	0.24		
"Cocos (Keeling) Islands"						225	0	8		0.74		
"Tokelau"						226	0	-33	11566	0.22		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
