Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Fiji's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Fiji (%)	
"Norfolk Island"	2996	2996	0.4	12	-39	222	0	1	5454	0.24		
"France"	2995	-14897	0.4	-9	-41	6	3.2	1	3195	0.06		
"Netherlands"	2630	-3913	0.3	-9	-25	8	2.8	5	3706	0.07		
"Bangladesh"	2035	-321	0.2	44	127	49	0.3	6	4172	0.15		
"Malaysia"	1981	-61559	0.2	-3	-4	25	1.1	3	5172	0.09		
"United Arab Emirates"	1568	-6840	0.2	-23	61	29	0.9	-2	5715	0.08		
"South Africa"	1445	-201	0.2	0	85	41	0.4	-1	9230	0.07		
"Belgium"	800	-5477	0.1	54	86	12	2.4	3	2709	0.08		
"Spain"	796	-1845	0.1	-48	-92	15	1.9	3	3890	0.05		
"Germany"	582	-7385	0.1	-21	-33	3	6.5	3	3376	0.05		
"India"	509	-57487	0.1	-46	-55	10	2.6	2	5793	0.05		
"Micronesia, Federated States of"	465	465	0.1	24	-37	208	0	-8	7109	0.19		
"Sri Lanka"	453	-4418	0.1	-27	59	85	0.08	-3	4351	0.16		
"Saudi Arabia"	413	361	0.1	10	45	32	0.7	3	5816	0.07		
"Christmas Island"	395	395	0	-34	-7	220	0	3		0.69		
"Cambodia"	379	303	0	25	27	66	0.1	16	2651	0.18		
"Austria"	353	-4351	0	12	5283	27	1	3	1514	0.18		
"Indonesia"	338	-32827	0	-11	3	30	0.9	2	5872	0.11		
"Niue"	316	314	0	13	-2	223	0	7	11410	0.48		
"Poland"	299	-445	0	70	120	18	1.5	8	3121	0.08		
"Myanmar"	252	171	0	53		79	0.10	-1	2536	0.25		
"Timor-Leste"	227	188	0	-25	172	183	0	12	3988	0.22		
"Qatar"	212	-131	0	-6	37	70	0.1	0	5745	0.06		
"Korea, Democratic People's Republic of"	170	-865	0	44	851	200	0	-49	1470	0.87		
"Kuwait"	150	133	0	-12	8	76	0.1	-3	5837	0.07		
"Northern Mariana Islands"	145	145	0			216	0	-19	3811	0.2		
"Palau"	144	144	0	28	92	209	0	1	6232	0.16		
"Romania"	134	109	0	325		37	0.5	6	1891	0.07		
"Bahrain"	108	18	0	7	136	101	0.05	1	6359	0.08		
"Mexico"	106	-632	0	98	106	13	2.3	2	7039	0.24		
"Macao, China"	90	90	0	-29	48	81	0.09	15		0.17		
"Uruguay"	66	64	0			95	0.06	0	9836	0.11		
"Norway"	48	-36	0	64	19	39	0.5	3	3470	0.06		
"Philippines"	42	-2923	0	-33	-96	34	0.6	2	4354	0.09		
"Switzerland"	39	-1900	0	-22	93	20	1.5	4	3384	0.07		
"Ukraine"	30	-54	0	-47	692	48	0.3	7	3255	0.06		
"Eswatini"	29	4	0		71	160	0	1	1597	0.74		
"Hungary"	28	-15	0		57	33	0.6	6	2180	0.09		
"Egypt"	24	-412	0	73		46	0.3	-1	5219	0.05		
"Jordan"	22	16	0		50	84	0.08	0	5167	0.07		
"Malta"	21	21	0	-25	1794	120	0.03	1	3249	0.08		
"Maldives"	19	19	0	-37		151	0.01	-3	4478	0.08		
"Panama"	19	17	0	-59	-28	60	0.2	1	8657	0.12		
"Tokelau"	19	11	0	15		226	0	-33	11566	0.22		
"Israel"	19	-834	0	-28	54	42	0.4	4	5483	0.07		
"Moldova, Republic of"	17	17	0			118	0.03	8	2317	0.08		
"Chile"	17	-394	0	-25	-86	43	0.4	6	11582	0.13		
"Italy"	14	-8337	0	-45	100	11	2.5	2	2891	0.06		
"Slovakia"	13	-88	0	64	-22	38	0.5	4	2664	0.07		
"Cyprus"	11	-40	0		-94	105	0.05	-1	3118	0.09		
"Portugal"	10	-14	0	-62	766	40	0.4	2	2788	0.14		
"Azerbaijan"	7	7	0			98	0.05	5	3712	0.09		
"Oman"	6	-27	0	-41		83	0.08	-6	5977	0.08		
"Ireland"	6	-84	0	6	8	36	0.5	4	3265	0.1		
"Benin"	5	5	0	-34		149	0.01	-2	6481	0.07		
"Namibia"	5	-46	0	11	-91	126	0.03	-1	3757	0.37		
"Uganda"	5	-173	0	60	-66	132	0.02	11	5788	0.09		
"Mongolia"	4	-24	0			125	0.03	8	3267	0.22		
"Nigeria"	3	3	0	44	-43	53	0.2	17	7792	0.1		
"Lebanon"	3	-50	0	-19	109	97	0.06	-12	3592	0.06		
"Pakistan"	3	-1772	0	-76		47	0.3	2	4850	0.11		
"Peru"	2	2	0	1		54	0.2	3	10420	0.13		
"Djibouti"	2	2	0			130	0.02	5	6387	0.22		
"Mauritius"	2	2	0		-82	133	0.02	-2	7320	0.08		
"Sierra Leone"	1	-21	0			170	0	10	8820	0.13		
"Lithuania"	1	-84	0			59	0.2	7	1630	0.07		
"Luxembourg"	1	-95	0			71	0.1	3	1488	0.14		
"Malawi"	1	-177	0	-29		168	0	0	5169	0.15		
"Sweden"	1	-1372	0	-55		31	0.9	3	2128	0.07		
"Turkey"	1	-3696	0	-75		22	1.2	3	4285	0.05		
"Denmark"	1	-6349	0	-54		35	0.6	5	2182	0.08		
"Rwanda"		-1				159	0.01	17	5437	0.08		
"Ethiopia"		-2				90	0.07	1	6305	0.11		
"Cameroon"		-2				116	0.03	8	7279	0.14		
"Venezuela, Bolivarian Republic of"		-2				117	0.03	-11	8121	0.16		
"Barbados"		-2				161	0	0	4992	0.21		
"Belize"		-2				179	0	1	5006	0.18		
"Chad"		-2				184	0	13	6931	0.16		
"Bosnia and Herzegovina"		-4				94	0.06	3	2228	0.07		
"Nepal"		-4				96	0.06	8	1856	0.56		
"Bolivia, Plurinational State of"		-5				106	0.04	-3	7978	0.11		
"Madagascar"		-5				138	0.02	2	7339	0.08		
"Saint Vincent and the Grenadines"		-5				196	0	3	6798	0.14		
"Saint Helena"		-9				217	0	6	7699	0.31		
"Latvia"		-14				77	0.1	7	1575	0.08		
"Georgia"		-15				113	0.04	-2	2513	0.09		
"Tunisia"		-16				78	0.10	-1	3411	0.06		
"Cabo Verde"		-16				181	0	4	5196	0.21		
"Costa Rica"		-18				86	0.08	3	6987	0.22		
"Estonia"		-21				73	0.1	6	2314	0.06		
"Brunei Darussalam"		-31				109	0.04	26	5185	0.11		
"Senegal"		-34				110	0.04	4	6632	0.05		
"Niger"		-47				162	0	13	5715	0.09		
"Slovenia"		-48				55	0.2	10	2404	0.07		
"Morocco"		-53				52	0.3	4	4316	0.07		
"Greece"		-55				45	0.3	4	2847	0.05		
"Iceland"		-61				112	0.04	-1	4251	0.05		
"Curaçao"		-66				163	0	-12		0.24		
"Czech Republic"		-77				28	1	4	2987	0.1		
"Russian Federation"		-85				21	1.3	5	4187	0.09		
"Finland"		-89				44	0.4	3	2842	0.07		
"Bulgaria"		-101				57	0.2	6	2237	0.05		
"Guatemala"		-119				68	0.1	7	5828	0.15		
"Falkland Islands (Malvinas)"		-152				207	0	2	12325	0.46		
"Iraq"		-156				62	0.2	3	4107	0.18		
"Colombia"		-167				51	0.3	4	8915	0.13		
"Iran, Islamic Republic of"		-168				72	0.1	-18	5612	0.13		
"Andorra"		-172				166	0	2	610	0.52		
"Suriname"		-250				173	0	1	9050	0.14		
"Anguilla"		-295				212	0	-5	4397	0.58		
"Belarus"		-383				61	0.2	2	2268	0.23		
"Fiji"		-437				157	0.01	-7	7384	0.12		
"Brazil"		-589				26	1	6	10879	0.09		
"Ecuador"		-653				69	0.1	3	9174	0.12		
"Kenya"		-781				80	0.09	2	6680	0.08		
"Argentina"		-1114				50	0.3	-5	10631	0.1		
"Kazakhstan"						58	0.2	6	3017	0.25		
"Croatia"						63	0.2	6	1362	0.07		
"Algeria"						64	0.2	-8	4584	0.07		
"Serbia"						65	0.2	9	2497	0.06		
"Uzbekistan"						74	0.1	16	3412	0.12		
"Ghana"						82	0.08	8	8888	0.18		
"Liberia"						87	0.07	17	11608	0.19		
"El Salvador"						88	0.07	9	4914	0.15		
"Libya, State of"						89	0.07	12	3475	0.08		
"Paraguay"						92	0.06	0	7311	0.15		
"Côte d'Ivoire"						93	0.06	9	6793	0.08		
"Honduras"						99	0.05	4	6104	0.16		
"Angola"						100	0.05	-11	7692	0.06		
"Tanzania, United Republic of"						102	0.05	7	6633	0.1		
"Macedonia, North"						103	0.05	8	1348	0.09		
"Nicaragua"						104	0.05	4	5888	0.1		
"Yemen"						107	0.04	11	5706	0.11		
"Mozambique"						108	0.04	8	6196	0.1		
"Congo, Democratic Republic of the"						111	0.04	13	6479	0.14		
"Gibraltar"						114	0.03	-5	2572	0.09		
"Bahamas"						115	0.03	-8	6248	0.19		
"Zambia"						119	0.03	-9	5447	0.14		
"Albania"						121	0.03	6	1886	0.13		
"Sudan"						122	0.03	-2		0.13		
"Cayman Islands"						123	0.03	5	7522	0.35		
"Botswana"						124	0.03	2	2968	0.52		
"Kyrgyzstan"						127	0.03	1	2892	0.2		
"Trinidad and Tobago"						128	0.03	-1	6663	0.26		
"Lao People's Democratic Republic"						129	0.02	-1	2572	0.28		
"Armenia"						131	0.02	6	3323	0.15		
"Zimbabwe"						134	0.02	7	3754	0.39		
"Guinea"						135	0.02	7	9140	0.19		
"Burkina Faso"						136	0.02	5	6109	0.05		
"Syrian Arab Republic"						139	0.02	-3	2496	0.27		
"Haiti"						140	0.02	0	6340	0.18		
"Mali"						141	0.02	9	5008	0.1		
"Tajikistan"						142	0.02	9	2803	0.17		
"Guyana"						144	0.02	13	11175	0.21		
"Cuba"						145	0.02	-13	7148	0.09		
"Mauritania"						146	0.02	1	5817	0.07		
"Afghanistan"						147	0.02	-8	2990	0.12		
"Turkmenistan"						148	0.02	4	3495	0.15		
"Somalia"						150	0.01	9	5305	0.16		
"Montenegro"						152	0.01	0	2382	0.08		
"Togo"						153	0.01	10	7318	0.08		
"Congo"						154	0.01	-18	6851	0.07		
"British Virgin Islands"						156	0.01	8	7242	0.27		
"Gabon"						158	0.01	-2	7114	0.11		
"Lesotho"						164	0	-2	1590	0.78		
"Gambia"						167	0	7	8260	0.14		
"Bermuda"						169	0	-3	8006	0.28		
"Saint Lucia"						171	0	-10	5321	0.23		
"Faroe Islands"						172	0	7	1404	0.27		
"Antigua and Barbuda"						174	0	1	6334	0.27		
"Aruba"						175	0	-3	4917	0.3		
"Palestine, State of"						176	0	8	3026	0.1		
"Bhutan"						178	0	15	1733	0.63		
"Greenland"						180	0	6	3482	0.44		
"Equatorial Guinea"						182	0	2	6008	0.11		
"Dominica"						185	0	8	4908	0.65		
"Free Zones"						186	0	-34		0.92		
"Seychelles"						187	0	-7	6627	0.06		
"Burundi"						188	0	13	4755	0.14		
"Bonaire, Sint Eustatius and Saba"						189	0	20		0.19		
"Grenada"						191	0	-1	4157	0.2		
"Comoros"						192	0	18	5731	0.22		
"Turks and Caicos Islands"						193	0	-3	3491	0.74		
"South Sudan"						194	0	12		0.25		
"Guinea-Bissau"						195	0	2	5802	0.16		
"Central African Republic"						199	0	7	6606	0.08		
"Saint Kitts and Nevis"						201	0	-12	5440	0.41		
"Eritrea"						203	0	-8	6303	0.14		
"Sao Tome and Principe"						210	0	-3	6155	0.31		
"Sint Maarten (Dutch part)"						213	0	-7		0.43		
"French Southern and Antarctic Territories"						214	0	14		0.12		
"Saint Pierre and Miquelon"						215	0	10	3489	0.45		
"British Indian Ocean Territory"						219	0	-9		0.67		
"Western Sahara"						221	0	-16	12469	0.9		
"Montserrat"						224	0	-7		0.49		
"Cocos (Keeling) Islands"						225	0	8		0.74		
"Pitcairn"						227	0	-5		0.23		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
