Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Bosnia and Herzegovina's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Bosnia and Herzegovina (%)	
"Lithuania"	22380	13655	0.3	20	54	59	0.2	7	1630	0.07		
"China"	21943	-1004511	0.3	-4	44	2	11.1	5	6416	0.04		
"Saudi Arabia"	18514	15371	0.2	15	-6	32	0.7	3	5816	0.07		
"United Arab Emirates"	15945	-38119	0.2	2	76	29	0.9	-2	5715	0.08		
"Greece"	10895	-98231	0.1	-2	35	45	0.3	4	2847	0.05		
"Philippines"	9734	7436	0.1	61	72	34	0.6	2	4354	0.09		
"Algeria"	8086	7305	0.1	5	73	64	0.2	-8	4584	0.07		
"Tunisia"	7711	4030	0.1	215	108	78	0.10	-1	3411	0.06		
"Portugal"	7325	-12121	0.1	48	-5	40	0.4	2	2788	0.14		
"Canada"	7178	-1899	0.1	4	54	14	2.2	1	5042	0.26		
"Morocco"	6092	-5979	0.1	-1	229	52	0.3	4	4316	0.07		
"Israel"	5985	-1697	0.1	27	216	42	0.4	4	5483	0.07		
"Mexico"	5391	-11944	0.1	-6	-4	13	2.3	2	7039	0.24		
"Ukraine"	5223	-30462	0.1	-21	17	48	0.3	7	3255	0.06		
"Libya, State of"	5202	5202	0.1	15	203	89	0.07	12	3475	0.08		
"Syrian Arab Republic"	4643	4458	0.1	96	26	139	0.02	-3	2496	0.27		
"Burkina Faso"	3960	3957	0	172	14516	136	0.02	5	6109	0.05		
"Sri Lanka"	3860	2129	0	39	641	85	0.08	-3	4351	0.16		
"Malaysia"	3735	-13058	0	34	61	25	1.1	3	5172	0.09		
"Belarus"	3600	-5956	0	8	43	61	0.2	2	2268	0.23		
"Kenya"	3569	3199	0	34	31173	80	0.09	2	6680	0.08		
"Bangladesh"	3238	-37187	0	23	79	49	0.3	6	4172	0.15		
"Australia"	3200	-35004	0	15	-27	24	1.1	1	10262	0.1		
"Pakistan"	2577	-11435	0	118	259	47	0.3	2	4850	0.11		
"Moldova, Republic of"	2520	-513	0	-3	19	118	0.03	8	2317	0.08		
"Finland"	2499	-11771	0	13	109	44	0.4	3	2842	0.07		
"India"	2431	-136944	0	-24	-38	10	2.6	2	5793	0.05		
"Korea, Republic of"	2363	-49627	0	-16	-3	9	2.8	4	5699	0.09		
"Qatar"	2303	-745	0	28	-26	70	0.1	0	5745	0.06		
"Afghanistan"	2284	2278	0	-28	2557	147	0.02	-8	2990	0.12		
"Latvia"	2191	-2173	0	0	48	77	0.1	7	1575	0.08		
"Namibia"	2008	1996	0	49	-37	126	0.03	-1	3757	0.37		
"Kuwait"	1917	546	0	28	-38	76	0.1	-3	5837	0.07		
"Singapore"	1579	-4698	0	19	-24	16	1.9	3	5773	0.07		
"Brazil"	1563	-102310	0	5	99	26	1	6	10879	0.09		
"Ireland"	1528	-39313	0	69	41	36	0.5	4	3265	0.1		
"Estonia"	1494	-1011	0	-5	300	73	0.1	6	2314	0.06		
"Iraq"	1456	1456	0	54	-69	62	0.2	3	4107	0.18		
"Cameroon"	1432	1228	0	58	-27	116	0.03	8	7279	0.14		
"Thailand"	1391	-20920	0	-4	53	23	1.2	2	4905	0.09		
"South Africa"	1313	-6689	0	-7	297	41	0.4	-1	9230	0.07		
"Uganda"	1283	265	0	172	249	132	0.02	11	5788	0.09		
"Hong Kong, China"	1217	-5295	0	6	19	5	3.3	3	2841	0.22		
"Jordan"	1183	-156	0	19	26	84	0.08	0	5167	0.07		
"Yemen"	1167	1164	0	13	133	107	0.04	11	5706	0.11		
"Indonesia"	1110	-28144	0	137	1021	30	0.9	2	5872	0.11		
"Cyprus"	1038	177	0	5	31	105	0.05	-1	3118	0.09		
"Mauritania"	1030	1000	0		7	146	0.02	1	5817	0.07		
"Iran, Islamic Republic of"	964	-14631	0	-7	-5	72	0.1	-18	5612	0.13		
"Nigeria"	941	559	0	28	-20	53	0.2	17	7792	0.1		
"Viet Nam"	898	-78370	0	-4	150	19	1.5	8	3535	0.19		
"Oman"	812	621	0	-1	69	83	0.08	-6	5977	0.08		
"Ghana"	618	-1278	0	53	165	82	0.08	8	8888	0.18		
"Senegal"	436	342	0	18	150	110	0.04	4	6632	0.05		
"Kazakhstan"	418	-33966	0	6	24	58	0.2	6	3017	0.25		
"Azerbaijan"	355	349	0	-9	-11	98	0.05	5	3712	0.09		
"Iceland"	274	104	0	44	2954	112	0.04	-1	4251	0.05		
"Mali"	247	235	0		226	141	0.02	9	5008	0.1		
"Côte d'Ivoire"	244	-475	0	72	-45	93	0.06	9	6793	0.08		
"Chile"	235	-640	0	-24	77	43	0.4	6	11582	0.13		
"Colombia"	229	-14663	0	-1	-47	51	0.3	4	8915	0.13		
"Taipei, Chinese"	222	-31999	0	-5	-25	17	1.7	8	5007	0.1		
"Rwanda"	220	182	0	-42	117	159	0.01	17	5437	0.08		
"Japan"	212	-66891	0	-13	181	4	3.5	1	6256	0.09		
"Georgia"	211	167	0	-8	-27	113	0.04	-2	2513	0.09		
"Lebanon"	186	82	0	-54	284	97	0.06	-12	3592	0.06		
"Armenia"	168	143	0	2	17	131	0.02	6	3323	0.15		
"New Zealand"	164	-523	0	15	120	56	0.2	3	11141	0.09		
"Paraguay"	138	70	0		11	92	0.06	0	7311	0.15		
"Malta"	128	-4008	0	-23	-30	120	0.03	1	3249	0.08		
"Mauritius"	113	-93	0		75	133	0.02	-2	7320	0.08		
"Angola"	108	108	0	-14	-63	100	0.05	-11	7692	0.06		
"Dominican Republic"	103	-581	0	-17	445	67	0.1	5	6446	0.22		
"Peru"	103	-1661	0	181	259	54	0.2	3	10420	0.13		
"Argentina"	90	-17466	0	-18	18	50	0.3	-5	10631	0.1		
"Palestine, State of"	86	84	0	32	214	176	0	8	3026	0.1		
"Tanzania, United Republic of"	78	-57	0	-38	413	102	0.05	7	6633	0.1		
"Bahrain"	64	-9731	0	-4	186	101	0.05	1	6359	0.08		
"Djibouti"	63	63	0			130	0.02	5	6387	0.22		
"Kyrgyzstan"	56	-542	0	-21	15	127	0.03	1	2892	0.2		
"Sudan"	55	-4	0	-66	-68	122	0.03	-2		0.13		
"Sierra Leone"	54	32	0		177	170	0	10	8820	0.13		
"Mozambique"	54	7	0		47	108	0.04	8	6196	0.1		
"Cambodia"	46	-9966	0	194	9	66	0.1	16	2651	0.18		
"Liberia"	39	39	0	-11		87	0.07	17	11608	0.19		
"Somalia"	38	37	0	-22		150	0.01	9	5305	0.16		
"Cuba"	36	-34	0	-11		145	0.02	-13	7148	0.09		
"Ethiopia"	36	-288	0	-34	-68	90	0.07	1	6305	0.11		
"Panama"	34	-356	0	2		60	0.2	1	8657	0.12		
"Bolivia, Plurinational State of"	25	-186	0			106	0.04	-3	7978	0.11		
"Niger"	23	22	0		-61	162	0	13	5715	0.09		
"Seychelles"	22	22	0	-68		187	0	-7	6627	0.06		
"Togo"	22	-573	0	8	-34	153	0.01	10	7318	0.08		
"Faroe Islands"	16	-88	0			172	0	7	1404	0.27		
"Benin"	10	10	0		-47	149	0.01	-2	6481	0.07		
"Suriname"	7	-1	0	-69		173	0	1	9050	0.14		
"Ecuador"	7	-27766	0	-15	-57	69	0.1	3	9174	0.12		
"Saint Kitts and Nevis"	5	4	0	-36	-93	201	0	-12	5440	0.41		
"Chad"	3	3	0		-88	184	0	13	6931	0.16		
"Sao Tome and Principe"	3	3	0	-22		210	0	-3	6155	0.31		
"Mongolia"	2	-6	0		-80	125	0.03	8	3267	0.22		
"El Salvador"	2	-22	0	1		88	0.07	9	4914	0.15		
"Nepal"	1	0	0			96	0.06	8	1856	0.56		
"Zambia"	1	-15	0			119	0.03	-9	5447	0.14		
"Costa Rica"	1	-3963	0	-39		86	0.08	3	6987	0.22		
"Gibraltar"		-1				114	0.03	-5	2572	0.09		
"Cayman Islands"		-1				123	0.03	5	7522	0.35		
"Jamaica"		-1				137	0.02	-2	6759	0.22		
"Turkmenistan"		-1				148	0.02	4	3495	0.15		
"Eswatini"		-1				160	0	1	1597	0.74		
"Antigua and Barbuda"		-1				174	0	1	6334	0.27		
"Dominica"		-1				185	0	8	4908	0.65		
"Burundi"		-1				188	0	13	4755	0.14		
"Grenada"		-1				191	0	-1	4157	0.2		
"Nauru"		-1				211	0	18	6014	0.27		
"Tajikistan"		-2				142	0.02	9	2803	0.17		
"Maldives"		-2				151	0.01	-3	4478	0.08		
"Turks and Caicos Islands"		-2				193	0	-3	3491	0.74		
"Montserrat"		-2				224	0	-7		0.49		
"Tuvalu"		-3				204	0	17	6386	0.21		
"Venezuela, Bolivarian Republic of"		-4				117	0.03	-11	8121	0.16		
"Guinea-Bissau"		-4				195	0	2	5802	0.16		
"Cook Islands"		-4				206	0	-4	9417	0.22		
"Congo"		-6				154	0.01	-18	6851	0.07		
"Guyana"		-7				144	0.02	13	11175	0.21		
"Tokelau"		-7				226	0	-33	11566	0.22		
"French Polynesia"		-8				165	0	1	13300	0.24		
"United States Minor Outlying Islands"		-8				177	0	0		0.21		
"Belize"		-8				179	0	1	5006	0.18		
"Congo, Democratic Republic of the"		-9				111	0.04	13	6479	0.14		
"Brunei Darussalam"		-10				109	0.04	26	5185	0.11		
"Comoros"		-11				192	0	18	5731	0.22		
"Central African Republic"		-11				199	0	7	6606	0.08		
"Timor-Leste"		-13				183	0	12	3988	0.22		
"Trinidad and Tobago"		-15				128	0.03	-1	6663	0.26		
"Haiti"		-15				140	0.02	0	6340	0.18		
"Gabon"		-15				158	0.01	-2	7114	0.11		
"Malawi"		-17				168	0	0	5169	0.15		
"Korea, Democratic People's Republic of"		-18				200	0	-49	1470	0.87		
"Macao, China"		-19				81	0.09	15		0.17		
"Ship stores and bunkers"		-29				75	0.1	-11		0.16		
"Niue"		-48				223	0	7	11410	0.48		
"Andorra"		-58				166	0	2	610	0.52		
"Guinea"		-73				135	0.02	7	9140	0.19		
"Honduras"		-80				99	0.05	4	6104	0.16		
"Lao People's Democratic Republic"		-150				129	0.02	-1	2572	0.28		
"Madagascar"		-152				138	0.02	2	7339	0.08		
"Zimbabwe"		-286				134	0.02	7	3754	0.39		
"Falkland Islands (Malvinas)"		-361				207	0	2	12325	0.46		
"Guatemala"		-413				68	0.1	7	5828	0.15		
"Nicaragua"		-531				104	0.05	4	5888	0.1		
"Uzbekistan"		-1399				74	0.1	16	3412	0.12		
"Myanmar"		-6557				79	0.10	-1	2536	0.25		
"Uruguay"		-10660				95	0.06	0	9836	0.11		
"Serbia"						65	0.2	9	2497	0.06		
"Marshall Islands"						91	0.06	-1	7455	0.18		
"Bahamas"						115	0.03	-8	6248	0.19		
"Botswana"						124	0.03	2	2968	0.52		
"Papua New Guinea"						143	0.02	-1	4973	0.17		
"New Caledonia"						155	0.01	-1	11471	0.2		
"British Virgin Islands"						156	0.01	8	7242	0.27		
"Fiji"						157	0.01	-7	7384	0.12		
"Barbados"						161	0	0	4992	0.21		
"Curaçao"						163	0	-12		0.24		
"Lesotho"						164	0	-2	1590	0.78		
"Gambia"						167	0	7	8260	0.14		
"Bermuda"						169	0	-3	8006	0.28		
"Saint Lucia"						171	0	-10	5321	0.23		
"Aruba"						175	0	-3	4917	0.3		
"Bhutan"						178	0	15	1733	0.63		
"Greenland"						180	0	6	3482	0.44		
"Cabo Verde"						181	0	4	5196	0.21		
"Equatorial Guinea"						182	0	2	6008	0.11		
"Free Zones"						186	0	-34		0.92		
"Bonaire, Sint Eustatius and Saba"						189	0	20		0.19		
"Solomon Islands"						190	0	0	6301	0.17		
"South Sudan"						194	0	12		0.25		
"Saint Vincent and the Grenadines"						196	0	3	6798	0.14		
"Samoa"						197	0	-1	6816	0.13		
"Vanuatu"						198	0	-2	6248	0.13		
"Tonga"						202	0	4	5771	0.16		
"Eritrea"						203	0	-8	6303	0.14		
"Kiribati"						205	0	10	5936	0.13		
"Micronesia, Federated States of"						208	0	-8	7109	0.19		
"Palau"						209	0	1	6232	0.16		
"Anguilla"						212	0	-5	4397	0.58		
"Sint Maarten (Dutch part)"						213	0	-7		0.43		
"French Southern and Antarctic Territories"						214	0	14		0.12		
"Saint Pierre and Miquelon"						215	0	10	3489	0.45		
"Northern Mariana Islands"						216	0	-19	3811	0.2		
"Saint Helena"						217	0	6	7699	0.31		
"Wallis and Futuna Islands"						218	0	7	10103	0.24		
"British Indian Ocean Territory"						219	0	-9		0.67		
"Christmas Island"						220	0	3		0.69		
"Western Sahara"						221	0	-16	12469	0.9		
"Norfolk Island"						222	0	1	5454	0.24		
"Cocos (Keeling) Islands"						225	0	8		0.74		
"Pitcairn"						227	0	-5		0.23		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
