Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Brazil's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Brazil (%)	
"Hong Kong, China"	2015212	1333863	0.7	-7	-13	5	3.3	3	2841	0.22		
"Egypt"	2013902	1471932	0.7	-5	15	46	0.3	-1	5219	0.05		
"Iran, Islamic Republic of"	1940974	1875700	0.7	-12	68	72	0.1	-18	5612	0.13		
"Bahrain"	1905161	1627673	0.7	48	183	101	0.05	1	6359	0.08		
"Bangladesh"	1824425	1706586	0.6	5	20	49	0.3	6	4172	0.15		
"Russian Federation"	1587205	-4111554	0.6	-11	4	21	1.3	5	4187	0.09		
"Oman"	1545899	853258	0.6	18	110	83	0.08	-6	5977	0.08		
"Bolivia, Plurinational State of"	1522067	171870	0.5	-3	48	106	0.04	-3	7978	0.11		
"Algeria"	1518387	378459	0.5	7	29	64	0.2	-8	4584	0.07		
"Philippines"	1372550	1072059	0.5	28	64	34	0.6	2	4354	0.09		
"Taipei, Chinese"	1366695	-1342713	0.5	-5	8	17	1.7	8	5007	0.1		
"Pakistan"	1209284	1113600	0.4	24	24	47	0.3	2	4850	0.11		
"Norway"	1206205	584538	0.4	11	33	39	0.5	3	3470	0.06		
"South Africa"	1186757	183685	0.4	-8	20	41	0.4	-1	9230	0.07		
"Venezuela, Bolivarian Republic of"	1085989	923459	0.4	22	39	117	0.03	-11	8121	0.16		
"Nigeria"	929680	-84587	0.3	3	59	53	0.2	17	7792	0.1		
"Poland"	902531	16115	0.3	8	9	18	1.5	8	3121	0.08		
"Ecuador"	895392	776601	0.3	-3	49	69	0.1	3	9174	0.12		
"Sweden"	754892	-934766	0.3	5	98	31	0.9	3	2128	0.07		
"Panama"	650553	530459	0.2	-13	52	60	0.2	1	8657	0.12		
"Israel"	597930	-542505	0.2	8	39	42	0.4	4	5483	0.07		
"Dominican Republic"	581171	553525	0.2	-5	28	67	0.1	5	6446	0.22		
"Morocco"	565413	-1352539	0.2	1	-15	52	0.3	4	4316	0.07		
"Australia"	560620	-594846	0.2	4	20	24	1.1	1	10262	0.1		
"Slovenia"	423899	320631	0.2	-3	35	55	0.2	10	2404	0.07		
"Angola"	407978	238505	0.1	-12	16	100	0.05	-11	7692	0.06		
"Iraq"	398602	93903	0.1	-14	-28	62	0.2	3	4107	0.18		
"Finland"	391643	-247153	0.1	8	33	44	0.4	3	2842	0.07		
"Georgia"	366891	358344	0.1	14	80	113	0.04	-2	2513	0.09		
"Liberia"	356527	356527	0.1	77	60	87	0.07	17	11608	0.19		
"Guatemala"	352850	288538	0.1	7	38	68	0.1	7	5828	0.15		
"Romania"	327143	21763	0.1	-1	14	37	0.5	6	1891	0.07		
"Denmark"	326554	-613937	0.1	0	20	35	0.6	5	2182	0.08		
"Costa Rica"	325562	253926	0.1	-3	33	86	0.08	3	6987	0.22		
"Trinidad and Tobago"	319616	-297434	0.1	8	49	128	0.03	-1	6663	0.26		
"Iceland"	319040	306573	0.1	12	17	112	0.04	-1	4251	0.05		
"Ghana"	318835	199680	0.1	11	61	82	0.08	8	8888	0.18		
"Libya, State of"	313404	292349	0.1	11	88	89	0.07	12	3475	0.08		
"Tunisia"	303023	223312	0.1	-1	29	78	0.10	-1	3411	0.06		
"Marshall Islands"	294879	294756	0.1	161	42	91	0.06	-1	7455	0.18		
"Jordan"	293913	163387	0.1	5	21	84	0.08	0	5167	0.07		
"Bahamas"	290410	290402	0.1	6	69	115	0.03	-8	6248	0.19		
"Qatar"	284263	-505012	0.1	-7	5	70	0.1	0	5745	0.06		
"Yemen"	269457	269440	0.1	-4	-26	107	0.04	11	5706	0.11		
"Ukraine"	226831	15401	0.1	14	65	48	0.3	7	3255	0.06		
"Greece"	223609	128275	0.1	17	13	45	0.3	4	2847	0.05		
"Bulgaria"	216476	139139	0.1	-2	157	57	0.2	6	2237	0.05		
"Kuwait"	193663	143113	0.1	-5	5	76	0.1	-3	5837	0.07		
"Saint Lucia"	182400	182400	0.1	-34	366	171	0	-10	5321	0.23		
"Cuba"	180163	177815	0.1	-16	-14	145	0.02	-13	7148	0.09		
"Jamaica"	171631	171475	0.1	31	-17	137	0.02	-2	6759	0.22		
"Côte d'Ivoire"	159877	75616	0.1	26	98	93	0.06	9	6793	0.08		
"Honduras"	158931	137637	0.1	5	54	99	0.05	4	6104	0.16		
"Lebanon"	156751	136434	0.1	-15	0	97	0.06	-12	3592	0.06		
"Senegal"	145359	129361	0.1	7	-17	110	0.04	4	6632	0.05		
"Ireland"	145001	-442742	0.1	-22	-27	36	0.5	4	3265	0.1		
"Malta"	135798	122521	0	66	25	120	0.03	1	3249	0.08		
"Congo, Democratic Republic of the"	124927	101181	0	36	55	111	0.04	13	6479	0.14		
"Uzbekistan"	118053	113519	0	89	164	74	0.1	16	3412	0.12		
"Curaçao"	117269	75092	0	18	233	163	0	-12		0.24		
"Guyana"	111746	104886	0	27	172	144	0.02	13	11175	0.21		
"Gambia"	107492	107491	0	7	-10	167	0	7	8260	0.14		
"El Salvador"	102481	96032	0	-5	20	88	0.07	9	4914	0.15		
"Togo"	100194	-180155	0	3	3	153	0.01	10	7318	0.08		
"Benin"	99636	99575	0	-7	-22	149	0.01	-2	6481	0.07		
"Nicaragua"	99141	95108	0	-7	58	104	0.05	4	5888	0.1		
"Austria"	98448	-854999	0	-11	-14	27	1	3	1514	0.18		
"Mauritania"	84504	84504	0	4	-14	146	0.02	1	5817	0.07		
"Guinea"	83550	81711	0	17	-6	135	0.02	7	9140	0.19		
"New Zealand"	83453	17178	0	0	3	56	0.2	3	11141	0.09		
"Myanmar"	76965	69464	0	-12	91	79	0.10	-1	2536	0.25		
"Croatia"	72411	46797	0	-6	25	63	0.2	6	1362	0.07		
"Cameroon"	67468	63750	0	-11	61	116	0.03	8	7279	0.14		
"Cyprus"	66533	63074	0	-10	17	105	0.05	-1	3118	0.09		
"Haiti"	66411	65437	0	2	16	140	0.02	0	6340	0.18		
"Luxembourg"	64173	-1012	0	20	27	71	0.1	3	1488	0.14		
"Hungary"	61796	-394701	0	-25	15	33	0.6	6	2180	0.09		
"Turkmenistan"	61622	-40846	0	114	90	148	0.02	4	3495	0.15		
"Somalia"	61375	61370	0	0	-18	150	0.01	9	5305	0.16		
"Congo"	60587	60580	0	43	-18	154	0.01	-18	6851	0.07		
"Kenya"	59881	59144	0	-26	30	80	0.09	2	6680	0.08		
"Albania"	59496	55848	0	4	22	121	0.03	6	1886	0.13		
"Czech Republic"	53407	-553429	0	-11	20	28	1	4	2987	0.1		
"Mauritius"	53176	52595	0	1	136	133	0.02	-2	7320	0.08		
"Syrian Arab Republic"	50890	50831	0	-8	-9	139	0.02	-3	2496	0.27		
"Area Nes"	43457	43131	0	9	59							
"Madagascar"	42791	39163	0	-1	13	138	0.02	2	7339	0.08		
"Sierra Leone"	42687	42316	0	4	-24	170	0	10	8820	0.13		
"Suriname"	38537	37242	0	1	23	173	0	1	9050	0.14		
"Antigua and Barbuda"	34198	34196	0	40	48	174	0	1	6334	0.27		
"Serbia"	33865	-4931	0	-8	41	65	0.2	9	2497	0.06		
"Latvia"	30554	-8080	0	10	30	77	0.1	7	1575	0.08		
"Tanzania, United Republic of"	30549	29899	0	2	35	102	0.05	7	6633	0.1		
"Mozambique"	28827	26805	0	2	-14	108	0.04	8	6196	0.1		
"Cambodia"	28087	-15737	0	48	29	66	0.1	16	2651	0.18		
"Gabon"	27260	27229	0	-1	-8	158	0.01	-2	7114	0.11		
"Aruba"	26609	26551	0	-10	-8	175	0	-3	4917	0.3		
"Lithuania"	24352	-49379	0	-8	-9	59	0.2	7	1630	0.07		
"Cabo Verde"	22934	22904	0	3	-8	181	0	4	5196	0.21		
"Sudan"	22253	22042	0	-8	-17	122	0.03	-2		0.13		
"Estonia"	22242	-31631	0	-29	12	73	0.1	6	2314	0.06		
"Slovakia"	20657	-247680	0	-6	-14	38	0.5	4	2664	0.07		
"Macao, China"	20465	11928	0	20	283	81	0.09	15		0.17		
"Barbados"	20419	19982	0	9	76	161	0	0	4992	0.21		
"Sri Lanka"	20251	-46558	0	-22	11	85	0.08	-3	4351	0.16		
"Maldives"	19862	19857	0	1	107	151	0.01	-3	4478	0.08		
"Macedonia, North"	17324	4187	0	-6	60	103	0.05	8	1348	0.09		
"Belarus"	16309	-518949	0	0	-71	61	0.2	2	2268	0.23		
"Equatorial Guinea"	16170	16170	0	23	-64	182	0	2	6008	0.11		
"Afghanistan"	15834	15212	0	20	-58	147	0.02	-8	2990	0.12		
"Montenegro"	13412	13402	0	-4	-14	152	0.01	0	2382	0.08		
"Kazakhstan"	12528	-127872	0	5	34	58	0.2	6	3017	0.25		
"Ethiopia"	11752	11417	0	-24	2	90	0.07	1	6305	0.11		
"Azerbaijan"	11092	-37425	0	-44	19	98	0.05	5	3712	0.09		
"Grenada"	10982	10933	0	4	35	191	0	-1	4157	0.2		
"Timor-Leste"	10710	10710	0	-1	51	183	0	12	3988	0.22		
"Namibia"	10423	10314	0	-2	62	126	0.03	-1	3757	0.37		
"Zimbabwe"	10329	9827	0	17	155	134	0.02	7	3754	0.39		
"Uganda"	10194	10164	0	17	19	132	0.02	11	5788	0.09		
"Gibraltar"	9727	9727	0	50	515	114	0.03	-5	2572	0.09		
"Cayman Islands"	9680	7079	0	-53	-83	123	0.03	5	7522	0.35		
"Armenia"	9273	9000	0	-18	-66	131	0.02	6	3323	0.15		
"Djibouti"	9205	9202	0	-33	-48	130	0.02	5	6387	0.22		
"Mali"	8868	8380	0	-7	142	141	0.02	9	5008	0.1		
"Seychelles"	8374	7464	0	-3	35	187	0	-7	6627	0.06		
"British Virgin Islands"	7470	6319	0	12	-71	156	0.01	8	7242	0.27		
"New Caledonia"	7227	6617	0	-1	25	155	0.01	-1	11471	0.2		
"French Polynesia"	7071	7043	0	64	274	165	0	1	13300	0.24		
"Belize"	6918	6760	0	2	6	179	0	1	5006	0.18		
"Saint Vincent and the Grenadines"	5905	5905	0	28	203	196	0	3	6798	0.14		
"Comoros"	5855	5655	0	23	-10	192	0	18	5731	0.22		
"Moldova, Republic of"	5604	2140	0	-4	-18	118	0.03	8	2317	0.08		
"Eritrea"	4821	4815	0	22	3	203	0	-8	6303	0.14		
"Zambia"	4513	2902	0	-19	27	119	0.03	-9	5447	0.14		
"Burkina Faso"	4332	4331	0	-21	-24	136	0.02	5	6109	0.05		
"Nepal"	4110	3864	0	13	20	96	0.06	8	1856	0.56		
"Saint Kitts and Nevis"	4088	4054	0	0	39	201	0	-12	5440	0.41		
"Dominica"	3976	3951	0	1	45	185	0	8	4908	0.65		
"Central African Republic"	3905	3849	0	48	4	199	0	7	6606	0.08		
"United States Minor Outlying Islands"	3716	3489	0	-58	-28	177	0	0		0.21		
"Malawi"	3532	1424	0	61	30	168	0	0	5169	0.15		
"Bermuda"	3370	2760	0	21	-25	169	0	-3	8006	0.28		
"Chad"	3212	3175	0	40	34	184	0	13	6931	0.16		
"Sao Tome and Principe"	3051	3023	0	14	-1	210	0	-3	6155	0.31		
"Papua New Guinea"	2985	2913	0	5	-34	143	0.02	-1	4973	0.17		
"Niger"	2751	2705	0	-3	61	162	0	13	5715	0.09		
"Oceania Nes"	2254	2086	0	78	166							
"Guinea-Bissau"	2031	1562	0	-14	-41	195	0	2	5802	0.16		
"Brazil"	1667	-343872	0		-75	26	1	6	10879	0.09		
"Tonga"	1493	1489	0	-2	159	202	0	4	5771	0.16		
"Turks and Caicos Islands"	1466	1465	0	-21	59	193	0	-3	3491	0.74		
"Vanuatu"	1403	1402	0	36	627	198	0	-2	6248	0.13		
"Botswana"	1350	1340	0	15	-46	124	0.03	2	2968	0.52		
"Samoa"	1205	-3327	0	19	4	197	0	-1	6816	0.13		
"Mongolia"	1135	224	0	-31	-53	125	0.03	8	3267	0.22		
"Brunei Darussalam"	1123	1044	0	6	50	109	0.04	26	5185	0.11		
"Fiji"	999	996	0	-9	24	157	0.01	-7	7384	0.12		
"Anguilla"	999	411	0	4	63	212	0	-5	4397	0.58		
"Bosnia and Herzegovina"	930	-4790	0	1	-39	94	0.06	3	2228	0.07		
"Rwanda"	890	880	0	4	111	159	0.01	17	5437	0.08		
"French Southern and Antarctic Territories"	852	849	0		-75	214	0	14		0.12		
"Kyrgyzstan"	716	691	0	11	17	127	0.03	1	2892	0.2		
"Norfolk Island"	708	707	0		1707	222	0	1	5454	0.24		
"Cook Islands"	585	585	0	226	50	206	0	-4	9417	0.22		
"Eswatini"	393	336	0	-29	696	160	0	1	1597	0.74		
"Nauru"	317	317	0		3146	211	0	18	6014	0.27		
"Lao People's Democratic Republic"	304	-1479	0	-35	-69	129	0.02	-1	2572	0.28		
"Palau"	301	299	0	194	7431	209	0	1	6232	0.16		
"Micronesia, Federated States of"	280	279	0	23	317	208	0	-8	7109	0.19		
"Saint Pierre and Miquelon"	260	260	0			215	0	10	3489	0.45		
"Montserrat"	257	256	0	25	59	224	0	-7		0.49		
"Burundi"	252	248	0	-20		188	0	13	4755	0.14		
"Kiribati"	212	211	0	140	-99	205	0	10	5936	0.13		
"Bhutan"	201	-197	0	6		178	0	15	1733	0.63		
"Faroe Islands"	156	153	0		-23	172	0	7	1404	0.27		
"Andorra"	144	57	0	1	-29	166	0	2	610	0.52		
"Solomon Islands"	129	128	0	3	19	190	0	0	6301	0.17		
"Tajikistan"	95	-2099	0	-68	-52	142	0.02	9	2803	0.17		
"Falkland Islands (Malvinas)"	73	68	0		438	207	0	2	12325	0.46		
"Northern Mariana Islands"	68	68	0		32	216	0	-19	3811	0.2		
"Lesotho"	50	45	0	-54	905	164	0	-2	1590	0.78		
"Pitcairn"	38	-2	0	-46		227	0	-5		0.23		
"Christmas Island"	34	-116	0		-30	220	0	3		0.69		
"Tokelau"	30	-1062	0		-97	226	0	-33	11566	0.22		
"Wallis and Futuna Islands"	9	9	0	-24	-84	218	0	7	10103	0.24		
"Tuvalu"	2	2	0	-42	-100	204	0	17	6386	0.21		
"Niue"	2	2	0	-71	-98	223	0	7	11410	0.48		
"Saint Helena"		-2				217	0	6	7699	0.31		
"Korea, Democratic People's Republic of"		-79				200	0	-49	1470	0.87		
"Cocos (Keeling) Islands"		-177				225	0	8		0.74		
"Ship stores and bunkers"						75	0.1	-11		0.16		
"Palestine, State of"						176	0	8	3026	0.1		
"Greenland"						180	0	6	3482	0.44		
"Free Zones"						186	0	-34		0.92		
"Bonaire, Sint Eustatius and Saba"						189	0	20		0.19		
"South Sudan"						194	0	12		0.25		
"Sint Maarten (Dutch part)"						213	0	-7		0.43		
"British Indian Ocean Territory"						219	0	-9		0.67		
"Western Sahara"						221	0	-16	12469	0.9		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
