Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Egypt's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Egypt (%)	
"Gambia"	5902	5894	0	19	-21	167	0	7	8260	0.14		
"Estonia"	5848	-15827	0	-4	75	73	0.1	6	2314	0.06		
"Latvia"	5654	-29868	0	4	-8	77	0.1	7	1575	0.08		
"Honduras"	5638	5579	0	118	815	99	0.05	4	6104	0.16		
"Malawi"	4647	-13631	0	0	-23	168	0	0	5169	0.15		
"Eswatini"	4561	-1314	0	1	29	160	0	1	1597	0.74		
"Haiti"	4555	4546	0	14	7	140	0.02	0	6340	0.18		
"El Salvador"	4471	4431	0	102	345	88	0.07	9	4914	0.15		
"Qatar"	4246	-28718	0	-64	255	70	0.1	0	5745	0.06		
"Maldives"	3838	3615	0	-2	34	151	0.01	-3	4478	0.08		
"Bosnia and Herzegovina"	3697	238	0	33	33	94	0.06	3	2228	0.07		
"Eritrea"	3542	3514	0	-51	-95	203	0	-8	6303	0.14		
"Seychelles"	3330	2951	0	-7	12	187	0	-7	6627	0.06		
"Trinidad and Tobago"	3030	3029	0	26	216	128	0.03	-1	6663	0.26		
"Namibia"	2983	2907	0	-7	1812	126	0.03	-1	3757	0.37		
"Azerbaijan"	2946	1979	0	28	2	98	0.05	5	3712	0.09		
"Armenia"	2928	2909	0	13	33	131	0.02	6	3323	0.15		
"Iceland"	2691	-15320	0	-4	491	112	0.04	-1	4251	0.05		
"Paraguay"	2378	-32422	0	58	-80	92	0.06	0	7311	0.15		
"Uzbekistan"	2235	-30345	0	38	49	74	0.1	16	3412	0.12		
"Comoros"	1881	1731	0	10	11	192	0	18	5731	0.22		
"South Sudan"	1761	1566	0		477	194	0	12		0.25		
"Cabo Verde"	1750	1749	0	3	30	181	0	4	5196	0.21		
"Jamaica"	1547	490	0	31	-6	137	0.02	-2	6759	0.22		
"Cambodia"	1421	-3500	0	31	12	66	0.1	16	2651	0.18		
"Moldova, Republic of"	1194	-6550	0	-2	-10	118	0.03	8	2317	0.08		
"Brunei Darussalam"	1128	587	0	-7	-71	109	0.04	26	5185	0.11		
"Afghanistan"	1106	-268	0	-32	-72	147	0.02	-8	2990	0.12		
"Montenegro"	1098	954	0		8	152	0.01	0	2382	0.08		
"Iran, Islamic Republic of"	994	-9447	0	-49	-39	72	0.1	-18	5612	0.13		
"Nepal"	922	908	0	-61	28	96	0.06	8	1856	0.56		
"Turkmenistan"	916	-2511	0	30	127	148	0.02	4	3495	0.15		
"Macedonia, North"	904	-1666	0	24	237	103	0.05	8	1348	0.09		
"Bolivia, Plurinational State of"	845	801	0	-3	36	106	0.04	-3	7978	0.11		
"Luxembourg"	702	-10991	0	-18	-10	71	0.1	3	1488	0.14		
"Central African Republic"	677	677	0	19	620	199	0	7	6606	0.08		
"Sao Tome and Principe"	421	421	0	11	11	210	0	-3	6155	0.31		
"Dominica"	242	-435	0		-1	185	0	8	4908	0.65		
"Barbados"	190	151	0	35	233	161	0	0	4992	0.21		
"Mongolia"	183	174	0	-27	158	125	0.03	8	3267	0.22		
"Montserrat"	173	154	0	-19	-78	224	0	-7		0.49		
"Macao, China"	152	145	0	19	130	81	0.09	15		0.17		
"Suriname"	144	8	0	4	-32	173	0	1	9050	0.14		
"Guinea-Bissau"	132	117	0	37	-67	195	0	2	5802	0.16		
"Botswana"	117	113	0	30	-43	124	0.03	2	2968	0.52		
"Nicaragua"	108	99	0	17	-31	104	0.05	4	5888	0.1		
"Bahamas"	107	107	0		3467	115	0.03	-8	6248	0.19		
"Oceania Nes"	97	97	0		155							
"Tajikistan"	92	80	0	8	-57	142	0.02	9	2803	0.17		
"Equatorial Guinea"	85	85	0			182	0	2	6008	0.11		
"Antigua and Barbuda"	60	60	0		22	174	0	1	6334	0.27		
"Lao People's Democratic Republic"	57	-12	0		1040	129	0.02	-1	2572	0.28		
"Papua New Guinea"	32	-277	0	-41		143	0.02	-1	4973	0.17		
"Timor-Leste"	27	27	0			183	0	12	3988	0.22		
"Saint Vincent and the Grenadines"	26	26	0		-28	196	0	3	6798	0.14		
"Lesotho"	2	-206	0			164	0	-2	1590	0.78		
"Bhutan"		-1				178	0	15	1733	0.63		
"Andorra"		-3				166	0	2	610	0.52		
"Grenada"		-3				191	0	-1	4157	0.2		
"Vanuatu"		-7				198	0	-2	6248	0.13		
"Solomon Islands"		-15				190	0	0	6301	0.17		
"Bermuda"		-48				169	0	-3	8006	0.28		
"British Virgin Islands"		-84				156	0.01	8	7242	0.27		
"Marshall Islands"		-175				91	0.06	-1	7455	0.18		
"Belize"		-298				179	0	1	5006	0.18		
"LAIA not elsewhere specified"		-1004										
"Europe Othr. Nes"		-657592										
"Myanmar"						79	0.10	-1	2536	0.25		
"Cayman Islands"						123	0.03	5	7522	0.35		
"Kyrgyzstan"						127	0.03	1	2892	0.2		
"Guyana"						144	0.02	13	11175	0.21		
"New Caledonia"						155	0.01	-1	11471	0.2		
"Fiji"						157	0.01	-7	7384	0.12		
"Curaçao"						163	0	-12		0.24		
"French Polynesia"						165	0	1	13300	0.24		
"Saint Lucia"						171	0	-10	5321	0.23		
"Faroe Islands"						172	0	7	1404	0.27		
"Aruba"						175	0	-3	4917	0.3		
"United States Minor Outlying Islands"						177	0	0		0.21		
"Greenland"						180	0	6	3482	0.44		
"Free Zones"						186	0	-34		0.92		
"Bonaire, Sint Eustatius and Saba"						189	0	20		0.19		
"Turks and Caicos Islands"						193	0	-3	3491	0.74		
"Samoa"						197	0	-1	6816	0.13		
"Korea, Democratic People's Republic of"						200	0	-49	1470	0.87		
"Saint Kitts and Nevis"						201	0	-12	5440	0.41		
"Tonga"						202	0	4	5771	0.16		
"Tuvalu"						204	0	17	6386	0.21		
"Kiribati"						205	0	10	5936	0.13		
"Cook Islands"						206	0	-4	9417	0.22		
"Falkland Islands (Malvinas)"						207	0	2	12325	0.46		
"Micronesia, Federated States of"						208	0	-8	7109	0.19		
"Palau"						209	0	1	6232	0.16		
"Nauru"						211	0	18	6014	0.27		
"Anguilla"						212	0	-5	4397	0.58		
"Sint Maarten (Dutch part)"						213	0	-7		0.43		
"French Southern and Antarctic Territories"						214	0	14		0.12		
"Saint Pierre and Miquelon"						215	0	10	3489	0.45		
"Northern Mariana Islands"						216	0	-19	3811	0.2		
"Saint Helena"						217	0	6	7699	0.31		
"Wallis and Futuna Islands"						218	0	7	10103	0.24		
"British Indian Ocean Territory"						219	0	-9		0.67		
"Christmas Island"						220	0	3		0.69		
"Western Sahara"						221	0	-16	12469	0.9		
"Norfolk Island"						222	0	1	5454	0.24		
"Niue"						223	0	7	11410	0.48		
"Cocos (Keeling) Islands"						225	0	8		0.74		
"Tokelau"						226	0	-33	11566	0.22		
"Pitcairn"						227	0	-5		0.23		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
