Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Slovakia's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Slovakia (%)	
"Congo"	3753	3728	0	64	113	154	0.01	-18	6851	0.07		
"Sudan"	3649	1593	0	-8	40	122	0.03	-2		0.13		
"Brunei Darussalam"	3597	3584	0	208	56	109	0.04	26	5185	0.11		
"Madagascar"	3536	1432	0	10	23	138	0.02	2	7339	0.08		
"Benin"	3436	3427	0	15	-18	149	0.01	-2	6481	0.07		
"New Caledonia"	3018	2957	0	65	22	155	0.01	-1	11471	0.2		
"Zimbabwe"	2646	2317	0	199	-44	134	0.02	7	3754	0.39		
"Liberia"	2600	2557	0	-17	-42	87	0.07	17	11608	0.19		
"Mali"	2437	1095	0	-23	9	141	0.02	9	5008	0.1		
"Nepal"	2340	2173	0	2	825	96	0.06	8	1856	0.56		
"Kyrgyzstan"	2337	2323	0	18	-5	127	0.03	1	2892	0.2		
"Guinea"	2156	2141	0	89	126	135	0.02	7	9140	0.19		
"Angola"	2038	2037	0	37	-90	100	0.05	-11	7692	0.06		
"Jamaica"	1855	-20497	0	0	-20	137	0.02	-2	6759	0.22		
"Sri Lanka"	1808	-38081	0	-46	80	85	0.08	-3	4351	0.16		
"Togo"	1778	1748	0	-4	-15	153	0.01	10	7318	0.08		
"Afghanistan"	1656	1340	0	36	-87	147	0.02	-8	2990	0.12		
"Mozambique"	1642	-62038	0	-7	-29	108	0.04	8	6196	0.1		
"Yemen"	1543	1543	0	14	-32	107	0.04	11	5706	0.11		
"Cameroon"	1540	-14606	0	-7	-16	116	0.03	8	7279	0.14		
"Gabon"	1512	-13862	0	13	46	158	0.01	-2	7114	0.11		
"Myanmar"	1452	-52695	0	1	-15	79	0.10	-1	2536	0.25		
"Congo, Democratic Republic of the"	1392	1350	0	-23	101	111	0.04	13	6479	0.14		
"Ethiopia"	1320	-2663	0	-17	-38	90	0.07	1	6305	0.11		
"Syrian Arab Republic"	1184	1137	0	-44	320	139	0.02	-3	2496	0.27		
"Botswana"	1169	988	0	3	189	124	0.03	2	2968	0.52		
"Lao People's Democratic Republic"	1077	403	0	133	170	129	0.02	-1	2572	0.28		
"Mauritania"	1068	1048	0	75	61	146	0.02	1	5817	0.07		
"Faroe Islands"	1001	602	0	18	-37	172	0	7	1404	0.27		
"Niger"	909	847	0	156	-29	162	0	13	5715	0.09		
"Bolivia, Plurinational State of"	862	-280	0	-10	40	106	0.04	-3	7978	0.11		
"Somalia"	783	777	0	2	163	150	0.01	9	5305	0.16		
"Macao, China"	731	502	0	75	-16	81	0.09	15		0.17		
"Burkina Faso"	690	448	0	-17	-25	136	0.02	5	6109	0.05		
"Papua New Guinea"	684	418	0		26	143	0.02	-1	4973	0.17		
"Zambia"	660	430	0	-26	65	119	0.03	-9	5447	0.14		
"Tajikistan"	604	512	0	19	-42	142	0.02	9	2803	0.17		
"Cayman Islands"	579	578	0	19	38	123	0.03	5	7522	0.35		
"Malawi"	535	393	0	-2	30	168	0	0	5169	0.15		
"El Salvador"	491	-366	0	5	-16	88	0.07	9	4914	0.15		
"Namibia"	487	-842	0	-27	293	126	0.03	-1	3757	0.37		
"Venezuela, Bolivarian Republic of"	456	-770	0	-40	51	117	0.03	-11	8121	0.16		
"Honduras"	402	-1440	0	-14	-37	99	0.05	4	6104	0.16		
"French Polynesia"	315	314	0	3	192	165	0	1	13300	0.24		
"Andorra"	306	156	0	40	18	166	0	2	610	0.52		
"Turkmenistan"	293	292	0	-34	-74	148	0.02	4	3495	0.15		
"Curaçao"	275	274	0	-3	-10	163	0	-12		0.24		
"Maldives"	253	253	0	14	33	151	0.01	-3	4478	0.08		
"Fiji"	233	106	0	35	-5	157	0.01	-7	7384	0.12		
"British Virgin Islands"	227	156	0			156	0.01	8	7242	0.27		
"Africa not elsewhere specified"	194	154	0	-41	9600							
"Eswatini"	179	66	0	20	1889	160	0	1	1597	0.74		
"Comoros"	169	143	0	169	11	192	0	18	5731	0.22		
"Seychelles"	163	147	0	-20	-41	187	0	-7	6627	0.06		
"Guyana"	161	-375	0	-10	46	144	0.02	13	11175	0.21		
"Djibouti"	157	-301	0	-35	481	130	0.02	5	6387	0.22		
"Sierra Leone"	146	-1211	0	101	-58	170	0	10	8820	0.13		
"Sint Maarten (Dutch part)"	113	113	0	-36		213	0	-7		0.43		
"French Southern and Antarctic Territories"	109	57	0		4	214	0	14		0.12		
"Bhutan"	89	89	0	-38	230	178	0	15	1733	0.63		
"Burundi"	79	72	0			188	0	13	4755	0.14		
"Cabo Verde"	72	71	0	30	132	181	0	4	5196	0.21		
"Aruba"	62	60	0	57	-75	175	0	-3	4917	0.3		
"Chad"	51	30	0	-33	920	184	0	13	6931	0.16		
"Central African Republic"	48	47	0	-7	66	199	0	7	6606	0.08		
"Barbados"	35	-564	0	68	94	161	0	0	4992	0.21		
"Gambia"	21	-34	0	-52	-75	167	0	7	8260	0.14		
"Equatorial Guinea"	20	19	0	-15	-29	182	0	2	6008	0.11		
"Saint Lucia"	18	15	0	-58		171	0	-10	5321	0.23		
"Antigua and Barbuda"	12	8	0	1		174	0	1	6334	0.27		
"South Sudan"	9	-293	0	30	-57	194	0	12		0.25		
"Nicaragua"	9	-2165	0	-75	-89	104	0.05	4	5888	0.1		
"Greenland"	8	8	0	109	-98	180	0	6	3482	0.44		
"Saint Kitts and Nevis"	7	-237	0	-2		201	0	-12	5440	0.41		
"Kiribati"	6	-1	0			205	0	10	5936	0.13		
"Anguilla"	5	-102	0		25	212	0	-5	4397	0.58		
"Dominica"	5	-504	0	13	-44	185	0	8	4908	0.65		
"Bermuda"	4	0	0		-56	169	0	-3	8006	0.28		
"Haiti"	4	-473	0	-45		140	0.02	0	6340	0.18		
"Palau"	3	3	0	-7	-94	209	0	1	6232	0.16		
"Bahamas"	3	-2	0	8	-99	115	0.03	-8	6248	0.19		
"Micronesia, Federated States of"	2	-2	0		-60	208	0	-8	7109	0.19		
"United States Minor Outlying Islands"	2	-293	0		-95	177	0	0		0.21		
"Samoa"	1	-1	0	0		197	0	-1	6816	0.13		
"Saint Helena"		-1				217	0	6	7699	0.31		
"Tokelau"		-1				226	0	-33	11566	0.22		
"Wallis and Futuna Islands"		-2				218	0	7	10103	0.24		
"Guinea-Bissau"		-3				195	0	2	5802	0.16		
"Saint Pierre and Miquelon"		-4				215	0	10	3489	0.45		
"Tuvalu"		-5				204	0	17	6386	0.21		
"Falkland Islands (Malvinas)"		-7				207	0	2	12325	0.46		
"Nauru"		-8				211	0	18	6014	0.27		
"Saint Vincent and the Grenadines"		-9				196	0	3	6798	0.14		
"Tonga"		-10				202	0	4	5771	0.16		
"Grenada"		-29				191	0	-1	4157	0.2		
"Special categories"		-32										
"Solomon Islands"		-33				190	0	0	6301	0.17		
"Cook Islands"		-42				206	0	-4	9417	0.22		
"Montserrat"		-56				224	0	-7		0.49		
"Timor-Leste"		-68				183	0	12	3988	0.22		
"Cocos (Keeling) Islands"		-87				225	0	8		0.74		
"Eritrea"		-99				203	0	-8	6303	0.14		
"Christmas Island"		-106				220	0	3		0.69		
"Pitcairn"		-132				227	0	-5		0.23		
"Korea, Democratic People's Republic of"		-142				200	0	-49	1470	0.87		
"Turks and Caicos Islands"		-247				193	0	-3	3491	0.74		
"Belize"		-292				179	0	1	5006	0.18		
"Suriname"		-996				173	0	1	9050	0.14		
"Lesotho"		-1268				164	0	-2	1590	0.78		
"Slovakia"		-1050706				38	0.5	4	2664	0.07		
"Marshall Islands"						91	0.06	-1	7455	0.18		
"Free Zones"						186	0	-34		0.92		
"Bonaire, Sint Eustatius and Saba"						189	0	20		0.19		
"Vanuatu"						198	0	-2	6248	0.13		
"Sao Tome and Principe"						210	0	-3	6155	0.31		
"Northern Mariana Islands"						216	0	-19	3811	0.2		
"British Indian Ocean Territory"						219	0	-9		0.67		
"Western Sahara"						221	0	-16	12469	0.9		
"Norfolk Island"						222	0	1	5454	0.24		
"Niue"						223	0	7	11410	0.48		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
