Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Philippines's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Philippines (%)	
"Spain"	292691	-405983	0.4	3	80	15	1.9	3	3890	0.05		
"Belgium"	292326	-498709	0.4	-5	37	12	2.4	3	2709	0.08		
"United Arab Emirates"	266971	-682776	0.4	-18	-3	29	0.9	-2	5715	0.08		
"Ireland"	262910	-917	0.4	45	34	36	0.5	4	3265	0.1		
"Czech Republic"	262512	122292	0.4	9	19	28	1	4	2987	0.1		
"Italy"	232197	-656982	0.3	-5	15	11	2.5	2	2891	0.06		
"Poland"	223935	-76507	0.3	6	19	18	1.5	8	3121	0.08		
"Brazil"	191290	-1114317	0.3	9	19	26	1	6	10879	0.09		
"Denmark"	157955	-61662	0.2	41	153	35	0.6	5	2182	0.08		
"Hungary"	154373	130546	0.2	-6	40	33	0.6	6	2180	0.09		
"South Africa"	128602	51146	0.2	0	44	41	0.4	-1	9230	0.07		
"Russian Federation"	120345	-617717	0.2	15	44	21	1.3	5	4187	0.09		
"Austria"	107143	-25945	0.1	11	29	27	1	3	1514	0.18		
"Argentina"	96208	-281272	0.1	-6	30	50	0.3	-5	10631	0.1		
"Israel"	86253	-191488	0.1	6	72	42	0.4	4	5483	0.07		
"Saudi Arabia"	79787	-2134009	0.1	7	-17	32	0.7	3	5816	0.07		
"Pakistan"	69468	-57633	0.1	3	64	47	0.3	2	4850	0.11		
"Finland"	68826	-183840	0.1	13	7	44	0.4	3	2842	0.07		
"Bulgaria"	57731	-93016	0.1	2	30	57	0.2	6	2237	0.05		
"New Zealand"	56368	-417481	0.1	-3	24	56	0.2	3	11141	0.09		
"Sri Lanka"	53647	46915	0.1	21	15	85	0.08	-3	4351	0.16		
"Curaçao"	53513	53340	0.1	7	174	163	0	-12		0.24		
"Myanmar"	52240	-147214	0.1	18	6	79	0.10	-1	2536	0.25		
"Malta"	47124	-10365	0.1	-40	117	120	0.03	1	3249	0.08		
"Turkey"	47078	-76025	0.1	0	-10	22	1.2	3	4285	0.05		
"Qatar"	46404	-147731	0.1	14	5	70	0.1	0	5745	0.06		
"Romania"	45453	21047	0.1	5	83	37	0.5	6	1891	0.07		
"Peru"	43224	15978	0.1	4	20	54	0.2	3	10420	0.13		
"Sweden"	42534	-170857	0.1	5	39	31	0.9	3	2128	0.07		
"Cambodia"	36488	-5578	0	19	30	66	0.1	16	2651	0.18		
"Chile"	36353	-15406	0	-7	40	43	0.4	6	11582	0.13		
"Bangladesh"	32280	-45305	0	21	81	49	0.3	6	4172	0.15		
"Portugal"	30057	12814	0	-46	10	40	0.4	2	2788	0.14		
"Dominican Republic"	28948	6459	0	37	-27	67	0.1	5	6446	0.22		
"Slovakia"	26711	22451	0	4	34	38	0.5	4	2664	0.07		
"Sierra Leone"	24441	24054	0	240	42763	170	0	10	8820	0.13		
"Kuwait"	23270	-27080	0	-4	-30	76	0.1	-3	5837	0.07		
"Brunei Darussalam"	22337	-416105	0	22	426	109	0.04	26	5185	0.11		
"Costa Rica"	22182	8183	0	-3	40	86	0.08	3	6987	0.22		
"Colombia"	20689	12706	0	-3	65	51	0.3	4	8915	0.13		
"Greece"	19932	-12367	0	28	263	45	0.3	4	2847	0.05		
"United States Minor Outlying Islands"	18532	15446	0	4	18	177	0	0		0.21		
"Iran, Islamic Republic of"	16603	12621	0	-22	-71	72	0.1	-18	5612	0.13		
"Papua New Guinea"	15332	-197146	0	-9	-38	143	0.02	-1	4973	0.17		
"Morocco"	13198	-4030	0	0	-6	52	0.3	4	4316	0.07		
"Tunisia"	12276	8261	0	19	49	78	0.10	-1	3411	0.06		
"Egypt"	12124	2225	0	19	2	46	0.3	-1	5219	0.05		
"Bahrain"	10430	-44882	0	16	-3	101	0.05	1	6359	0.08		
"Iraq"	9734	-60853	0	-20	-48	62	0.2	3	4107	0.18		
"Norway"	9079	-90740	0	12	42	39	0.5	3	3470	0.06		
"Nigeria"	8571	-18859	0	20	69	53	0.2	17	7792	0.1		
"Uruguay"	8009	-6205	0	-16	39	95	0.06	0	9836	0.11		
"Oman"	7347	-242734	0	-4	-40	83	0.08	-6	5977	0.08		
"Lithuania"	7066	1408	0	12	94	59	0.2	7	1630	0.07		
"Kenya"	6798	1736	0	-12	10	80	0.09	2	6680	0.08		
"Panama"	6426	5942	0	-5	3	60	0.2	1	8657	0.12		
"Luxembourg"	6088	2280	0	-2	76	71	0.1	3	1488	0.14		
"Macao, China"	5738	-31664	0	-30	-41	81	0.09	15		0.17		
"Ukraine"	5350	-147006	0	8	29	48	0.3	7	3255	0.06		
"Ecuador"	5197	-21047	0	28	80	69	0.1	3	9174	0.12		
"Cyprus"	4957	-11073	0	-39	-46	105	0.05	-1	3118	0.09		
"Yemen"	4566	4564	0	56	13	107	0.04	11	5706	0.11		
"Slovenia"	4360	-96271	0	-5	52	55	0.2	10	2404	0.07		
"Ghana"	4281	3976	0	-14	32	82	0.08	8	8888	0.18		
"Norfolk Island"	3970	3795	0	2	40	222	0	1	5454	0.24		
"Micronesia, Federated States of"	3784	-3834	0	-13	-35	208	0	-8	7109	0.19		
"Côte d'Ivoire"	3771	3463	0	26	26	93	0.06	9	6793	0.08		
"Macedonia, North"	3670	3560	0	112	128	103	0.05	8	1348	0.09		
"Cuba"	3501	-1491	0	1	17	145	0.02	-13	7148	0.09		
"Estonia"	3380	-676	0	-1	39	73	0.1	6	2314	0.06		
"Guatemala"	3111	-3503	0	5	115	68	0.1	7	5828	0.15		
"New Caledonia"	3054	3038	0	37	-15	155	0.01	-1	11471	0.2		
"Northern Mariana Islands"	2629	2625	0	1	-30	216	0	-19	3811	0.2		
"Palau"	2587	2587	0	5	58	209	0	1	6232	0.16		
"Mongolia"	2396	2016	0	2	23	125	0.03	8	3267	0.22		
"Ethiopia"	2383	2009	0	-1	36	90	0.07	1	6305	0.11		
"Tanzania, United Republic of"	2335	-1744	0	22	60	102	0.05	7	6633	0.1		
"Solomon Islands"	2330	-6003	0	21	17	190	0	0	6301	0.17		
"Marshall Islands"	2261	-8964	0	-30	-12	91	0.06	-1	7455	0.18		
"Jordan"	2103	-9621	0	-29	19	84	0.08	0	5167	0.07		
"Cameroon"	2017	1535	0	-12	420	116	0.03	8	7279	0.14		
"Croatia"	2008	-1763	0	-18	115	63	0.2	6	1362	0.07		
"Afghanistan"	1969	1937	0	-11	-69	147	0.02	-8	2990	0.12		
"Georgia"	1875	-1136	0	-35	337	113	0.04	-2	2513	0.09		
"Nepal"	1822	1752	0	4	100	96	0.06	8	1856	0.56		
"Algeria"	1704	-99030	0	-13	-17	64	0.2	-8	4584	0.07		
"Bermuda"	1565	1562	0	558	-73	169	0	-3	8006	0.28		
"Paraguay"	1475	1407	0	3	83	92	0.06	0	7311	0.15		
"Nauru"	1474	-21466	0		4397	211	0	18	6014	0.27		
"Vanuatu"	1458	-9776	0	30	109	198	0	-2	6248	0.13		
"Uzbekistan"	1406	-2973	0	21	-2	74	0.1	16	3412	0.12		
"Samoa"	1380	1261	0	7	69	197	0	-1	6816	0.13		
"Somalia"	1345	1342	0	128	68	150	0.01	9	5305	0.16		
"Latvia"	1227	-485	0	-8	-24	77	0.1	7	1575	0.08		
"Azerbaijan"	1224	1220	0	33	1702	98	0.05	5	3712	0.09		
"Lebanon"	1187	876	0	-31	-59	97	0.06	-12	3592	0.06		
"Maldives"	1165	817	0	-18	19	151	0.01	-3	4478	0.08		
"Fiji"	1082	1022	0	-16	-29	157	0.01	-7	7384	0.12		
"Serbia"	1044	-2612	0	-2	-59	65	0.2	9	2497	0.06		
"Mauritius"	1015	-10727	0	-4	-28	133	0.02	-2	7320	0.08		
"Kiribati"	993	-8930	0	-7	105	205	0	10	5936	0.13		
"Kazakhstan"	971	917	0	28	-79	58	0.2	6	3017	0.25		
"Uganda"	955	888	0	1	-37	132	0.02	11	5788	0.09		
"Honduras"	742	-2487	0	34	-59	99	0.05	4	6104	0.16		
"Djibouti"	679	559	0	6	36	130	0.02	5	6387	0.22		
"Congo"	638	634	0	57	-34	154	0.01	-18	6851	0.07		
"Turks and Caicos Islands"	625	619	0	68	173	193	0	-3	3491	0.74		
"Andorra"	625	-220	0	39	152	166	0	2	610	0.52		
"Jamaica"	604	456	0	7	53	137	0.02	-2	6759	0.22		
"Suriname"	528	462	0	18	105	173	0	1	9050	0.14		
"Tonga"	512	510	0	1	48	202	0	4	5771	0.16		
"Bahamas"	442	440	0	-29	252	115	0.03	-8	6248	0.19		
"Eswatini"	434	299	0	34	62	160	0	1	1597	0.74		
"Sudan"	420	318	0	-5	-62	122	0.03	-2		0.13		
"Angola"	416	-16154	0	8	-9	100	0.05	-11	7692	0.06		
"Nicaragua"	412	347	0	137	-45	104	0.05	4	5888	0.1		
"Bolivia, Plurinational State of"	361	152	0	-8	231	106	0.04	-3	7978	0.11		
"Venezuela, Bolivarian Republic of"	337	-184	0	-16	-10	117	0.03	-11	8121	0.16		
"Trinidad and Tobago"	324	323	0	-5	-48	128	0.03	-1	6663	0.26		
"Haiti"	268	264	0	-3	-2	140	0.02	0	6340	0.18		
"Lao People's Democratic Republic"	266	-7767	0	-40	-34	129	0.02	-1	2572	0.28		
"El Salvador"	256	-297	0	-27	-77	88	0.07	9	4914	0.15		
"Dominica"	239	239	0	-33	-5	185	0	8	4908	0.65		
"Guinea"	238	233	0	-22	-57	135	0.02	7	9140	0.19		
"Iceland"	223	39	0	-8	-31	112	0.04	-1	4251	0.05		
"Cayman Islands"	222	208	0	9	37	123	0.03	5	7522	0.35		
"Belarus"	215	-4215	0	-16	-47	61	0.2	2	2268	0.23		
"Bosnia and Herzegovina"	209	-7124	0	48	84	94	0.06	3	2228	0.07		
"Oceania Nes"	207	207	0	-46	4141							
"Belize"	205	202	0	23	-73	179	0	1	5006	0.18		
"Aruba"	183	182	0	-22	-9	175	0	-3	4917	0.3		
"Mali"	178	177	0	-32	-67	141	0.02	9	5008	0.1		
"Senegal"	177	-524	0	-33	16	110	0.04	4	6632	0.05		
"French Polynesia"	167	156	0	-14	-32	165	0	1	13300	0.24		
"Timor-Leste"	160	132	0	-21	-28	183	0	12	3988	0.22		
"Niger"	158	41	0	162	-49	162	0	13	5715	0.09		
"Libya, State of"	151	151	0	110	126	89	0.07	12	3475	0.08		
"Barbados"	148	145	0	-12	157	161	0	0	4992	0.21		
"Togo"	141	-70	0	-2	13	153	0.01	10	7318	0.08		
"Armenia"	125	103	0	2	-28	131	0.02	6	3323	0.15		
"Rwanda"	114	86	0	-5	13	159	0.01	17	5437	0.08		
"Seychelles"	113	46	0	-46	-91	187	0	-7	6627	0.06		
"Moldova, Republic of"	107	-243	0	30	-5	118	0.03	8	2317	0.08		
"Albania"	92	-432	0	43	219	121	0.03	6	1886	0.13		
"Namibia"	91	91	0	278	-45	126	0.03	-1	3757	0.37		
"Burkina Faso"	91	44	0	-7	77	136	0.02	5	6109	0.05		
"Mozambique"	83	-1007	0	58	-18	108	0.04	8	6196	0.1		
"Burundi"	72	72	0	-12	54	188	0	13	4755	0.14		
"Chad"	72	17	0			184	0	13	6931	0.16		
"Syrian Arab Republic"	67	66	0	-13	-83	139	0.02	-3	2496	0.27		
"Sao Tome and Principe"	52	40	0	270		210	0	-3	6155	0.31		
"Benin"	50	50	0	-12	24	149	0.01	-2	6481	0.07		
"Botswana"	35	34	0	-39	171	124	0.03	2	2968	0.52		
"Madagascar"	35	-163	0	-48		138	0.02	2	7339	0.08		
"Kyrgyzstan"	34	33	0	-49		127	0.03	1	2892	0.2		
"Zimbabwe"	26	-5883	0	-42	-91	134	0.02	7	3754	0.39		
"Malawi"	25	-920	0	-49	115	168	0	0	5169	0.15		
"Gibraltar"	22	22	0	65		114	0.03	-5	2572	0.09		
"Bhutan"	19	18	0	-45	-45	178	0	15	1733	0.63		
"Gambia"	19	17	0	-31	-41	167	0	7	8260	0.14		
"Liberia"	16	15	0	-54	270	87	0.07	17	11608	0.19		
"Central African Republic"	16	-12	0	9	53	199	0	7	6606	0.08		
"Zambia"	9	9	0	-37	-96	119	0.03	-9	5447	0.14		
"Grenada"	7	2	0	-10		191	0	-1	4157	0.2		
"Saint Lucia"	6	6	0	49		171	0	-10	5321	0.23		
"Antigua and Barbuda"	6	4	0	-30		174	0	1	6334	0.27		
"Cocos (Keeling) Islands"	6	-40	0		-98	225	0	8		0.74		
"Gabon"	4	-8658	0	-54	99	158	0.01	-2	7114	0.11		
"Equatorial Guinea"	2	-2026	0	100		182	0	2	6008	0.11		
"Tuvalu"	2	-3879	0	-30		204	0	17	6386	0.21		
"Africa not elsewhere specified"	1	1	0									
"Cabo Verde"	1	0	0			181	0	4	5196	0.21		
"Saint Kitts and Nevis"		-1				201	0	-12	5440	0.41		
"Falkland Islands (Malvinas)"		-1				207	0	2	12325	0.46		
"Niue"		-1				223	0	7	11410	0.48		
"Pitcairn"		-1				227	0	-5		0.23		
"French Southern and Antarctic Territories"		-2				214	0	14		0.12		
"British Indian Ocean Territory"		-2				219	0	-9		0.67		
"Christmas Island"		-4				220	0	3		0.69		
"Saint Vincent and the Grenadines"		-7				196	0	3	6798	0.14		
"Turkmenistan"		-9				148	0.02	4	3495	0.15		
"Tajikistan"		-10				142	0.02	9	2803	0.17		
"Tokelau"		-10				226	0	-33	11566	0.22		
"Anguilla"		-46				212	0	-5	4397	0.58		
"Wallis and Futuna Islands"		-64				218	0	7	10103	0.24		
"Faroe Islands"		-135				172	0	7	1404	0.27		
"Guyana"		-661				144	0.02	13	11175	0.21		
"British Virgin Islands"		-960				156	0.01	8	7242	0.27		
"Ship stores and bunkers"						75	0.1	-11		0.16		
"Congo, Democratic Republic of the"						111	0.04	13	6479	0.14		
"Mauritania"						146	0.02	1	5817	0.07		
"Montenegro"						152	0.01	0	2382	0.08		
"Lesotho"						164	0	-2	1590	0.78		
"Palestine, State of"						176	0	8	3026	0.1		
"Greenland"						180	0	6	3482	0.44		
"Free Zones"						186	0	-34		0.92		
"Bonaire, Sint Eustatius and Saba"						189	0	20		0.19		
"Comoros"						192	0	18	5731	0.22		
"South Sudan"						194	0	12		0.25		
"Guinea-Bissau"						195	0	2	5802	0.16		
"Korea, Democratic People's Republic of"						200	0	-49	1470	0.87		
"Eritrea"						203	0	-8	6303	0.14		
"Cook Islands"						206	0	-4	9417	0.22		
"Sint Maarten (Dutch part)"						213	0	-7		0.43		
"Saint Pierre and Miquelon"						215	0	10	3489	0.45		
"Saint Helena"						217	0	6	7699	0.31		
"Western Sahara"						221	0	-16	12469	0.9		
"Montserrat"						224	0	-7		0.49		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
